序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年9月30日正值中秋节，我社区许多红袖标志愿者坚持在巡逻岗位上值班巡逻，社区向这些居民志愿者致敬，祝节日快乐，辛苦了。 ​​​​,否,,2012-09-30 10:19,转发,2,赞,专业版微博,https://weibo.com/2153566585/yEeRjlSU3
1,“北沙沟1号楼迎国庆首届象棋比赛”于2012年9月30日上午在北沙沟1号楼老年活动站举行，此次活动是北沙沟楼委会发起召开的，得到许多象棋爱好者的响应。 ​​​​,否,,2012-09-30 10:13,转发,1,赞,专业版微博,https://weibo.com/2153566585/yEeOVCaWS
2,发表了博文 《关于启动海淀区第三批公共租赁住房租赁意向登记工作的通知》 -  廉租住房、经济适用住房、限价商品住房和公共租赁住房轮候家庭：   为解决我区廉租住房、经济适用住房、限价商品住房和公共租赁 O网页链接 ​​​​,否,,2012-09-29 15:28,转发,评论,赞,新浪博客,https://weibo.com/2153566585/yE7smkMeH
3,发表了博文 《关于启动海淀区第六批廉租实物住房租赁意向登记工作的通知》 - 关于启动海淀区第六批廉租实物住房租赁意向登记工作的通知 廉租实物配租家庭：   为解决我区廉租实物配租家庭住房困难，结合我区 O网页链接 ​​​​,否,,2012-09-29 15:24,转发,1,赞,新浪博客,https://weibo.com/2153566585/yE7qTCAt5
4,2012年9月29日上午，甘家口街道工委康副书记代表甘家口街道办事处来我社区看望了孔德懋老人，祝愿她身体健康，两节快乐，并陪同孔老到楼下。 ​​​​,否,,2012-09-29 11:06,9,5,赞,专业版微博,https://weibo.com/2153566585/yE5KcfVhG
5,我社区为方便居民，更好的为居民服务，真正做到想民之所想，在社区居委会放置了 便民老花镜与便民雨伞供居民使用 ​​​​,否,,2012-09-28 16:44,2,2,赞,新浪微群-社区居...,https://weibo.com/2153566585/yDYwU37lo
6,2012年9月27日上午，社区党总支组织社区党员前往北京野生动物园秋游，大家观看了动物园的动物表演，坐车观览了动物，在优美的环境中各位老同志身心得到了放松。 ​​​​,否,,2012-09-27 15:26,1,6,赞,专业版微博,https://weibo.com/2153566585/yDOAo3CDN
7,转发微博。,是,#文明城区创建-ing#（33）为更有针对性地开展创建全国文明城区宣传，使街道的活动策划和信息写作与创建紧密结合，提高创建的知晓率、参与率和支持率，甘家口街道精心编写了《甘家口街道创建全国文明城区系列--宣传工作手册》，向机关、事业单位、社区和地区单位工作人员发放，方便大家随时翻阅使用。 ​​​​,2012-09-20 10:15,1,评论,赞,政府版微博,https://weibo.com/2153566585/yCIyG1In3
8,2012年9月20日，我社区增光佳苑小区更换了物业公司。新入住东方大学城物业管理有限公司北京分公司从北京康宏物业管理有限责任公司增光佳苑公司接收对增光佳苑小区的物业管理，整个交接过程由业委会监督实施。 ​​​​,否,,2012-09-20 10:10,1,评论,赞,专业版微博,https://weibo.com/2153566585/yCIwX3kNk
9,家庭医生式服务宣传手册。 ​​​​,否,,2012-09-19 09:18,42,1,赞,专业版微博,https://weibo.com/2153566585/yCyLawzZd
10,"#微群长文本#我在微群""社区居民之家""中，刚刚发布了一篇长文本《家庭医生式服务》，现在分享给大家，快来看看吧！原文地址：O网页链接 ​​​​",否,,2012-09-19 09:16,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yCyKi8IHN
11,"今日上午，甘家口社区卫生服务中心的医生到我社区免费为社区老人体检、建健康档案，并向前来体检的居民推广宣传""家庭医生式服务"". ​​​​",否,,2012-09-19 09:01,转发,1,赞,专业版微博,https://weibo.com/2153566585/yCyEhegcA
12,"2012年9月18日，社区书记和主任看望了书法家刘魁武老先生，并送上了月饼。刘老挥墨写下了""勿忘九一八 牢记血泪仇""和""牢记国难 勿忘家仇""的字画,以纪念九一八事变 ​​​​",否,,2012-09-18 17:08,2,2,赞,专业版微博,https://weibo.com/2153566585/yCspCg4u2
13,#通知发布#2012年9月19日上午8:30至11:00在我社区活动站举行针对我社区65岁以上常住居民的免费体检，请来参加体检的老人保持空腹。 ​​​​,否,,2012-09-18 17:03,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yCsnBhcFB
14,发表了一篇转载博文 《[转载]最新：国防部强硬表态 中国军队将会采取行动》 -  O网页链接 ​​​​,否,,2012-09-16 11:39,转发,评论,赞,新浪博客,https://weibo.com/2153566585/yC7oW1d9O
15,9月12日上午，在四道社区居委会、四道口党总支的支持与帮助下，我辖区内北沙沟1号楼老年活动站正式开始使用，在揭牌仪式上，该楼居民为我社区居委会赠送了自己所写的书法 ​​​​,否,,2012-09-14 09:50,转发,评论,赞,专业版微博,https://weibo.com/2153566585/yBNPGmo8N
16,“2012年甘家口街道朗诵与主持专题培训”于今日上午在街道社保所二办会议室举行。  ​​​​,否,,2012-09-12 09:17,转发,1,赞,彩信,https://weibo.com/2153566585/yBuLtBDu7
17,近期，甘家口街道将向全地区居民家庭派发“健康大礼包”，我社区工作人员于2012年9月10日上午在社区服务站分装健康大礼包，将尽快派发到我社区居民家中。下图为派发现场及大礼包样品。 ​​​​,否,,2012-09-10 10:26,7,7,赞,专业版微博,https://weibo.com/2153566585/yBcma5gF3
18,O网页链接 ​​​​,否,,2012-09-08 12:03,转发,评论,赞,专业版微博,https://weibo.com/2153566585/yAU8QExw6
19,超级可爱。,是,动物刚生出来的样子，好可爱   ​​​​,2012-09-08 11:50,1,评论,赞,微博 weibo.com,https://weibo.com/2153566585/yAU3zymWT
20,#应用广场签到# 玩应用，涨粉丝！愣着干嘛？还不快来！O网页链接 ​​​​,否,,2012-09-08 10:11,转发,评论,赞,应用广场,https://weibo.com/2153566585/yATpjhctk
21,#WeiJianyi#我们社区的微刊怎么看不见了？ ​​​​,否,,2012-09-08 09:51,转发,2,赞,微博帮助,https://weibo.com/2153566585/yAThk2n0C
22,为了加强十八大期间的社区安全，甘家口街道综治办制作了安全横幅，我社区已于当日将横幅悬挂于社区显要位置，提醒社区居民做好防范。 ​​​​,否,,2012-09-07 09:16,1,评论,赞,专业版微博,https://weibo.com/2153566585/yAJCoFNja
23,#新浪博客七周年#我的博客今天1岁98天了，我领取了新锐博主徽章。原文地址:O网页链接。你也来领取属于你的博客徽章吧:O网页链接 ​​​​,否,,2012-09-05 07:48,转发,评论,赞,新浪博客,https://weibo.com/2153566585/yAqbADlTj
24,发表了一篇转载博文 《[转载]部队第一班——“故居班”的故事》 -  O网页链接 ​​​​,否,,2012-09-04 09:20,转发,评论,赞,新浪博客,https://weibo.com/2153566585/yAhmKtYOj
25,发表了博文 《我的博客今天1岁96天了，我领取了新锐博主徽章》 - 我的博客今天1岁96天了，我领取了徽章.  2011.06.01，我在新浪博客安家。2011.06.05，我写下了第一篇博文：《中国 O网页链接 ​​​​,否,,2012-09-03 20:29,转发,评论,赞,新浪博客,https://weibo.com/2153566585/yAcjN1n1S
26,#360安全桌面寻找淘汰预言帝#在中国好声音的舞台上，每个选手都非常优秀，但是只有真正的好声音才能唱到最后，我认为曹寅，黄一，平安，汪洋，伍佳丽，周礼虎，邹宏宇会在接下来的比赛中率先出局，惨遭淘汰 你认为会是谁呢？猜对了还能赢取ipad2等大奖 O网页链接 ​​​​,否,,2012-09-02 14:11,转发,评论,赞,360安全平台,https://weibo.com/2153566585/yA0pU5Gjp
27,【四道口社区最长寿老人】赵贵云，女，1910年11月6日出生于河南青风县固城乡兰窦庄村，1947年7月4日加入中国共产党，现居住在海淀区车公庄西路12号院。赵贵云老人1947年至1949年期间担任河南青风县...  --发布到微刊《社区杂谈》O网页链接 ​​​​,否,,2012-08-31 15:07,2,2,赞,微刊,https://weibo.com/2153566585/yzHVpFycF
28,#社区动态#今日上午9：00四道口社区第四届残协换届选举大会顺利召开 ​​​​,否,,2012-08-31 10:03,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yzFWc0s74
29,#社区动态#每周三是我四道口社区便民服务日，上午为居民免费理发，下午由甘家口医院的医生或社区医疗志愿者为居民免费量血压、医疗咨询、分析体检报告。 ​​​​,否,,2012-08-29 10:14,1,2,赞,新浪微群-社区居...,https://weibo.com/2153566585/yzn9ufCr4
30,#社区动态#四道口社区为丰富社区居民生活，举办了社区居民书画展，展出的书画全都是社区居民们自己的作品，展出时间：8月29日--9月3日   展出地点：四道口社区活动室（周六、日休息），欢迎居民们前来参观！ ​​​​,否,,2012-08-29 09:57,转发,1,赞,新浪微群-社区居...,https://weibo.com/2153566585/yzn2wf6M6
31,#通知发布#  “迎十八大 促健康甘家口书画大赛”征集参赛作品，围绕十八大主题，作品限小于三尺整张，参赛作品将于9月24日至26日在甘家口街道社区服务中心展出，欢迎大家踊跃投稿。有愿意参加者请于9月3号17点前将作品交到四道口社区居委会，参展后作品将退回。 ​​​​,否,,2012-08-27 14:36,2,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yz60TnPqD
32,#社区动态#2012年上午，社区召开了3名退职居干欢送会。社区及与会居民向他们多年来对社区作出的贡献表示感谢。祝她们退职后保重身体，天天健康。 ​​​​,否,,2012-08-24 11:31,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yyCwjmVtj
33,#社区动态#2012年8月24日上午，在社区活动中心召开了“四道口社区上半年工作总结会”，由社区主任向与会代表汇报了上半年的工作情况，并将下半年将开展的工作向各位代表作了介绍。 ​​​​,否,,2012-08-24 11:27,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yyCuB1Kkz
34,分享《社区杂谈》中的文章  O网页链接 ​​​​,否,,2012-08-24 08:03,转发,评论,赞,微刊,https://weibo.com/2153566585/yyB9XrK0b
35,【帮助|微刊 - 悦读喜欢】  --查看更多，点击进入O网页链接 ​​​​,否,,2012-08-24 08:03,转发,评论,赞,微刊,https://weibo.com/2153566585/yyB9KrCxJ
36,【发刊词】嘿，各位粉友，我们四道口社区创办的《社区杂谈》创刊了，欢迎社区居民积极踊跃的向我们《社区杂谈》投稿，社区全体成员争取将这个微刊创办成社区的一本通俗杂志，只要我们...  --发布到微刊《社区杂谈》O网页链接 ​​​​,否,,2012-08-24 08:00,2,1,赞,微刊,https://weibo.com/2153566585/yyB8IlBTV
37,对@赵雅萱君 说：我们甘家口人全都是你的粉丝。 ​​​​,否,,2012-08-24 07:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2153566585/yyB5HAa7O
38,,是,【今日七夕】“七夕今宵看碧霄，牵牛织女渡河桥。家家乞巧望秋月，穿尽红丝几万条。”“七夕节”又名“乞巧节”，是我国传统节日中最具浪漫色彩的一个节日。[彩虹]大家可能不知道，2006年5月20日，七夕节还被国务院列入第一批国家非物质文化遗产名录呢。祝相爱的人们：七夕节快乐！ ​​​​,2012-08-23 16:43,转发,评论,赞,政府版微博,https://weibo.com/2153566585/yyv8lwyE8
39,#通知发布#招聘  交通协管员 1男性18周岁至52岁，身高165公分。女性18周岁至43岁周岁，身高155公分 。  2初中本市户口。外地人员条件有固定住所.街道社区能证明其在京长 其居住。妻子或女儿（丈夫或儿女）有本市户口 每天不超8小时5天工作。 2000至2500元。录用缴纳五险一金  电话52812515，52812516 ​​​​,否,,2012-08-23 11:23,转发,评论,赞,新浪微群-社区居...,https://weibo.com/2153566585/yyt2KdWyl
40,甘家口街道社区居委会2012年上半年工作总结会正在召开。  ​​​​,否,,2012-08-21 10:28,转发,评论,赞,彩信,https://weibo.com/2153566585/yy9P7gA1E
41,发表了博文 《关于公开征集海淀区创建全国文明城区宣传口号、主题标识（LOGO）、吉祥物、主题歌曲的公告》 - 关于公开征集海淀区创建全国文明城区宣传口号、 主题标识（LOGO）、吉祥物、主题歌曲的公告 O网页链接 ​​​​,否,,2012-08-20 15:22,1,6,赞,新浪博客,https://weibo.com/2153566585/yy2k4i0g7
42,近日，社区组织拍摄首个社区宣传片，有幸登临社区制高点，真是“会当凌绝顶，一览众山小。”社区全貌尽收眼底。 ​​​​,否,,2012-08-20 15:11,1,10,赞,微博 weibo.com,https://weibo.com/2153566585/yy2fGriVU
43,四道口社区有了新的“社区区标”了，由绿叶组成的“四”代表了甘家口地区倡导的健康理念，整个社区在健康理念的引领下居民和谐生活。 ​​​​,否,,2012-08-20 14:40,2,7,赞,微博 weibo.com,https://weibo.com/2153566585/yy2364jaA
44,#达人生日祝福#生日快乐。 ​​​​,否,,2012-08-18 10:11,转发,评论,赞,话题-祝你生日快...,https://weibo.com/2153566585/yxHqSitdM
45,8月14日我社区组织青少年为小区健身器材进行清洗，孩子们擦的很是认真，健身器材也变的很干净，孩子们看到自己的劳动成果也非常开心。这项活动不仅得到了社区居民的欢迎，更得到了孩子家长们的支持. ​​​​,否,,2012-08-17 10:43,9,9,赞,微博 weibo.com,https://weibo.com/2153566585/yxydqaWB2
46,中塔炫之舞之三 O网页链接  （分享自 @新浪视频） ​​​​,否,,2012-08-15 18:13,转发,1,赞,新浪视频,https://weibo.com/2153566585/yxiiQuaaD
47,中塔炫之舞——江逊之演唱视频七 O网页链接 ​​​​,否,,2012-08-15 18:10,转发,1,赞,,https://weibo.com/2153566585/yxihO4MIx
48,中塔炫之舞——歌手珊瑚与观众互动视频四 O网页链接 ​​​​,否,,2012-08-15 18:02,转发,1,赞,,https://weibo.com/2153566585/yxieK3tUB
49,中塔炫之舞 领导讲话 视频二 O网页链接 ​​​​,否,,2012-08-15 17:35,转发,评论,赞,,https://weibo.com/2153566585/yxi3nkzqC
50,和草原有个约定视频之六 O网页链接 ​​​​,否,,2012-08-15 13:46,转发,评论,赞,,https://weibo.com/2153566585/yxgyI4VgB
51,赵雅萱演唱视频之五 O网页链接 ​​​​,否,,2012-08-15 13:41,3,1,赞,,https://weibo.com/2153566585/yxgwCloLB
52,中塔炫之舞视频之一 O网页链接 ​​​​,否,,2012-08-15 13:29,转发,评论,赞,,https://weibo.com/2153566585/yxgrHoTxn
53,2012年8月14日晚，甘家口街道办事处联合地区文化艺术联盟、地区公共健康联合会在中央电视塔广场举办了“中塔炫之舞—健康之舞”的文艺汇演，众多地区明星捧场献艺，中央电视台主持人唐剑幽默风趣的主持为晚会增添了不少风趣。众多现场居民在美丽的电视塔下、凉爽的秋明之夜欣赏了一场精彩的歌舞晚会。 ​​​​,否,,2012-08-14 22:20,4,3,赞,微博 weibo.com,https://weibo.com/2153566585/yxauFFKtk
