序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今天我值班！ ​​​​,否,,2012-09-30 10:18,转发,2,赞,专业版微博,https://weibo.com/2189985157/yEeRblScS
1,预祝辖区居民节日快乐，出门时管好门窗、阀门，注意出行安全。 ​​​​,否,,2012-09-29 08:57,转发,3,赞,专业版微博,https://weibo.com/2189985157/yE4TEqRZG
2,转发微博,是,【中央政治局建议十八大11月8日召开】中央政治局28日召开会议决定，中共十七届七中全会于2012年11月1日在北京召开。中央政治局将向党的十七届七中全会建议，十八大于2012年11月8日在北京召开。大会将选举产生新一届中央委员会和中央纪律检查委员会。 O网页链接 ​​​​,2012-09-29 08:54,转发,评论,赞,专业版微博,https://weibo.com/2189985157/yE4Skzy7Y
3,转发微博,是,别用正在充电的手机接听电话，关爱自己，切记！！！！！ ​​​​,2012-09-26 10:37,1,1,赞,微博 weibo.com,https://weibo.com/2189985157/yDDgIeYkK
4,九点半我社区将在外文印刷厂向楼道组长发放健康礼包咯，礼包是由区提供，里面包括体温计，握力器，跳神及健康宣传单，呵呵，谢谢区领导们对居民的关怀 ​​​​,否,,2012-09-19 08:28,转发,评论,赞,专业版微博,https://weibo.com/2189985157/yCyqYeoHR
5,赞，所有中国人要不忘国耻，理智保钓。,是,#京华时评#【记忆国耻 接力强国】鸣响警报，敲响警世钟。多做有益于未来的实事，少一些宣泄的言行。强国，是一个过程。凡事想明白，才能说清楚，做出好效果。强国梦，前辈奉献，我辈努力，还需要后人刻苦，终有实现之日。又到“九一八”事变周年，1931年距今81年。 O网页链接 ​​​​,2012-09-18 08:24,1,1,赞,专业版微博,https://weibo.com/2189985157/yCoYICuBD
6,#清莲苑#居民送来的字画：“厚德载物”，意思是：好的品行来承载万物，包容万物，滋养万物，造福万物。如果有了好的品行，何来腐败，便是清廉。@甘家口之窗 ​​​​,否,,2012-09-17 15:59,转发,1,赞,专业版微博,https://weibo.com/2189985157/yCiwP6lSk
7,#清莲苑#居民字画之养心：一饮涤昏寐情思朗，爽满天地；再饮清我神，急如飞雨洒轻尘；三饮便得道，何须苦心破烦恼。所谓“贪”皆因心起，如果心静了，淡泊名利了，自然清了。@甘家口之窗 ​​​​,否,,2012-09-17 15:58,转发,1,赞,专业版微博,https://weibo.com/2189985157/yCiwrabdc
8,#清莲苑#愚公一直有意志执着办事认真的寓意。居民送来这幅字画，藉以表达他们对街道领导和居干们长久以来以民为先，为民办事的工作态度的感谢。@甘家口之窗 ​​​​,否,,2012-09-17 15:57,转发,评论,赞,专业版微博,https://weibo.com/2189985157/yCiw1rx2f
9,无线电频率是国家有限的自然资源，既是自然资源，就不可能“取之不尽，用之不绝”。为了满足社会各个层面对无线电频率的需求，达到科学、合理、有效地利用无线电频率资源，维护空中电波秩序，今天我社区在宣传栏内张贴了宣传海报，号召大家合法使用无线电频率 ​​​​,否,,2012-09-17 13:40,转发,评论,赞,专业版微博,https://weibo.com/2189985157/yChCs0ZbW
10,十八大来临之际，我社区举办了“喜迎十八大文艺汇演”和“安保动员大会”，现在给大家晒上午的照片咯 ​​​​,否,,2012-09-04 16:51,1,3,赞,微博 weibo.com,https://weibo.com/2189985157/yAkjt3F7u
11,"回复@甘家口魏波:是呀，一路上不断给他们让路，我选择了包容，其实这也是另一种祥和，哈哈 //@甘家口魏波:会享受,要没这些汽车就更好了.",是,人人都说银杏大街的银杏树很美，其实生活中哪里没有美的事物，哪里没有令人惬意的地方呢！初秋的午后，骑着自行车，慢慢行使于车公庄西路的车道上，感受秋的凉爽，沐浴温暖的阳光，在绿莹莹的树荫下面没美哉美哉@红蚂蚱@甘家口之窗@甘家口花园村社区 ​​​​,2012-09-04 13:55,转发,1,赞,微博 weibo.com,https://weibo.com/2189985157/yAjafdC7K
12,人人都说银杏大街的银杏树很美，其实生活中哪里没有美的事物，哪里没有令人惬意的地方呢！初秋的午后，骑着自行车，慢慢行使于车公庄西路的车道上，感受秋的凉爽，沐浴温暖的阳光，在绿莹莹的树荫下面没美哉美哉@红蚂蚱@甘家口之窗@甘家口花园村社区 ​​​​,否,,2012-09-04 13:43,2,4,赞,华为手机1,https://weibo.com/2189985157/yAj5ldBxL
13,转发微博,是,【DIY麻辣鸭脖】料包：甘草、肉蔻、陈皮、香叶、八角、桂皮.1.鸭脖焯水.2.锅置火上少许油烧热后下入干辣椒、花椒、姜片、葱段爆香.3.倒入清水，加1勺料酒、3勺老抽、2勺生抽、冰糖，料包煮制5分钟，再下入老卤味料.4.焯水的鸭脖大火煮沸，转中火盖锅盖焖制30分钟.5.待汤汁减至一半时转大火收汤汁即可~  ​​​​,2012-09-03 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2189985157/yAanEwGJu
14,@甘家口之窗 为了迎接十八大的到来，做好宣传工作，居委会向广大社区居民征集书画作品，表达对十八大的美好祝愿，各位有心的朋友们，快快把你们的作品送到居委会来吧！~~对于一些优秀作品，我们会给予奖励哟~~ ​​​​,否,,2012-08-28 15:59,1,1,赞,微博 weibo.com,https://weibo.com/2189985157/yzfZdmBkB
15,凡客用户尊享回馈，官方唯一授权，线上渠道同步首发小米手机1S，仅售1499元，先申领，后交费！下手要快准狠，慢了就没机会了噢！VANCL官网每天随机抽取一台小米1S赠送 （分享自 @VANCL粉丝团 ） O网页链接 ​​​​,否,,2012-08-24 09:38,转发,评论,赞,分享按钮,https://weibo.com/2189985157/yyBMj0iop
