序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,近日，街道为每一户社区居民发放了“健康礼包”，内有宣传册、体温计、跳绳和握力器等，居干及时通知单元长领取健康包，发给居民。目前为止，此项工作已经基本完成。各位居民，您注意到礼包后面的“@甘家口之窗”了吗？ ​​​​,否,,2012-09-18 16:05,3,6,赞,专业版微博,https://weibo.com/2170839231/yCrZWusd4
1,早,是,#西湖早茶#：成年人的生活里，没有“容易”二字。——戈尔•维宾斯基 早安，各位。 ​​​​,2012-09-11 08:32,转发,评论,赞,诺基亚5233,https://weibo.com/2170839231/yBl2yoCwv
2,#秋天来了吃什么最健康？# 红枣银耳粥是一款保健调理的食疗药膳，适用于秋季养生调理、营养不良调理、补虚养身调理和养颜美容调理。银耳(干)：银耳能提高肝脏解毒能力，起保肝作用；银耳对老年慢性支气管炎、肺原性心脏病有一定疗效。枣（干）：枣含有磷、钾、镁等矿物质，叶酸，泛酸，烟酸等。 ​​​​,否,,2012-09-10 09:35,1,评论,赞,专业版微博,https://weibo.com/2170839231/yBc1L5xFn
3,#秋天来了吃什么最健康？# 南宋著名诗人陆游曾作《粥食》诗一首：“世人个个学长年，不悟长年在目前，我得宛丘平易法，只将食粥致神仙。”秋天干燥，熬点白果粥如何？白果学名银杏，在医疗作用上可以治疗肺结核。另外，白果的营养价值很高哦！白果可以滋阴养颜抗衰老，使人肌肤、面部红润。 ​​​​,否,,2012-09-06 11:02,1,评论,赞,微话题-秋天来了...,https://weibo.com/2170839231/yAATa4pgT
4,@鲁公门下 @章章香香 @竹本小茜 //@甘家口航天社区: 各位粉儿，可以把您家好吃的晒出来，大家参考一下。,是,# 秋天来了吃什么最健康？# 近日，秋风习习，天气渐渐凉爽，但是天气也渐干燥，人体水分容易缺少。秋燥时节，吃什么最健康呢？各位粉儿，大家快来晒晒自家健康大餐吧！您今天吃的是羊肉大汤还是煲羊头，喝的是川贝炖秋梨还是野菊蜂蜜饮呢？@甘家口之窗 @红蚂蚱 @甘家口魏波 @北京老董的 ​​​​,2012-09-05 15:31,转发,5,赞,微博 weibo.com,https://weibo.com/2170839231/yAtdtAiq8
5,各位粉儿，可以把您家好吃的晒出来，大家参考一下。,是,# 秋天来了吃什么最健康？# 近日，秋风习习，天气渐渐凉爽，但是天气也渐干燥，人体水分容易缺少。秋燥时节，吃什么最健康呢？各位粉儿，大家快来晒晒自家健康大餐吧！您今天吃的是羊肉大汤还是煲羊头，喝的是川贝炖秋梨还是野菊蜂蜜饮呢？@甘家口之窗 @红蚂蚱 @甘家口魏波 @北京老董的 ​​​​,2012-09-05 15:29,1,1,赞,微博 weibo.com,https://weibo.com/2170839231/yAtd0BzJm
6,# 秋天来了吃什么最健康？# 近日，秋风习习，天气渐渐凉爽，但是天气也渐干燥，人体水分容易缺少。秋燥时节，吃什么最健康呢？各位粉儿，大家快来晒晒自家健康大餐吧！您今天吃的是羊肉大汤还是煲羊头，喝的是川贝炖秋梨还是野菊蜂蜜饮呢？@甘家口之窗 @红蚂蚱 @甘家口魏波 @北京老董的 ​​​​,否,,2012-09-05 09:21,5,2,赞,微博 weibo.com,https://weibo.com/2170839231/yAqNyisFU
7,话说年初说好的涨工资呢？ @海淀在线 @海淀区政府网站,是,【广州】专业社工成“香饽饽” 但缺口达到6000人 O网页链接广州130多个街道铺开建设家庭综合服务中心，每个家庭服务中心都需配置50%由政府购买的专业社工，一时社工成为“香饽饽”。据了解广州市专业社工缺口达到6000人。但另一方面，由于工资水平、工作强度等原因，社工又在不断流失中。 ​​​​,2012-09-04 11:55,转发,5,赞,微博 weibo.com,https://weibo.com/2170839231/yAinnfMsl
8,已经通知居民参加！做好饭为全家啊！,是,#文明城区创建-ing#（20)亲爱的甘粉们，“家有甘露，味在永徽”推出系列活动“快乐每一天，烹饪我最行”烹饪培训讲座 ，时间8月30日上午9:00，地点大永徽酒楼二层大厅。最早转发并 @甘家口之窗 的60位幸运的甘粉们将获得聆听大师讲座的机会，截止时间2012年8月29日上午11:00。加油抢沙发吧 …… ​​​​,2012-08-29 13:50,转发,评论,赞,政府版微博,https://weibo.com/2170839231/yzozcv0Aq
9,如不彻查，伤了基层群众的心啊！,是,【辽外逃市委书记被双开 一家逃到美国】辽宁凤城原市委书记王国强曾于2010年7月以赴美参加女儿毕业典礼为由，办理因私出国护照，因故未成行。2012年3月，王国强在美驻沈阳总领事馆办理了一年多次赴美签证，4月24日擅自与妻从沈阳机场出境赴美，疑卷款2亿。5月，王国强被双开。O网页链接 ​​​​,2012-08-29 13:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2170839231/yzoxzp3ys
10,,是,#民生海淀#近日，紫竹院街道在北洼路、厂洼、车南里、车道沟等7个长河沿岸、养犬人士较多的社区安装了50个宠物粪便收集器。收集器内装有宠物便便袋和小铲子，方便狗狗主人及时清理宠物粪便。希望养狗狗的童鞋像爱护狗狗一样，爱护环境！ ​​​​,2012-08-29 08:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2170839231/yzmEcBAU4
11,顶一个！见者即顶！建议设置现场观众代表品尝，大众评审！,是,#文明城区创建-ing#（20)亲爱的甘粉们，“家有甘露，味在永徽”推出系列活动“快乐每一天，烹饪我最行”烹饪培训讲座 ，时间8月30日上午9:00，地点大永徽酒楼二层大厅。最早转发并 @甘家口之窗 的60位幸运的甘粉们将获得聆听大师讲座的机会，截止时间2012年8月29日上午11:00。加油抢沙发吧 …… ​​​​,2012-08-29 08:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2170839231/yzmDaucRt
