序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,注意防火 平安过节 ​​​​,否,,2012-09-29 12:11,转发,1,赞,专业版微博,https://weibo.com/1268517515/yE6aqkY7w
1,2012年9月28日上午，“西钓社区2012年秋季趣味运动会”在居委会门前小广场举行。趣味运动会在“环中塔园小区健步走”中拉开了的序幕，活动现场气氛热烈。最后在“串珠子”、“夹乒乓球”、“划船”等项目中决出一等奖6名、二等奖12名及参与奖若干名。 ​​​​,否,,2012-09-29 11:44,1,3,赞,专业版微博,https://weibo.com/1268517515/yE5Zx9Fyh
2,2012年9月27日下午，西钓社区党总支召开了创先争优活动工作总结会，社区创先争优活动领导小组成员及部分党员参加了大会。会上，社区党总支书记尹雪玉同志对创先争优活动做了全面总结。@甘家口之窗 ​​​​,否,,2012-09-27 16:51,转发,1,赞,专业版微博,https://weibo.com/1268517515/yDP9455bW
3,今天上午，上级防火部门和社区居干到我社区防火重点区域西钓新村检查和宣传节前防火工作，并在醒目位置张贴《致居民的一封信》，提醒大家注意防火，平安过节。 ​​​​,否,,2012-09-27 16:20,1,1,赞,专业版微博,https://weibo.com/1268517515/yDOWkdcw4
4,转发微博,是,#文明城区创建-ing#（35）【“小书签”承载“大法宣”】今年是甘家口地区“新居民法制宣传年”，街道结合法制知识设计了一套以“十二星座”为主题的小书签，计划按月通过社区居委会向咱们地区常住的外来人员进行发放。拿到书签的您一定留好，集齐十二星座书签还可参加#“六五”普法#知识有奖竞猜哦！ ​​​​,2012-09-26 12:21,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDDXauHRU
5,//@甘家口西三环社区: 转发微博,是,早安，各位！今天是2012年9月26日星期三，限行尾号4和9。昨天的降雨，到了夜晚逐渐停止，而降雨后的天气也渐渐凉起来。今天，本市为多云转阴的天气，最高气温可升到26℃。但雨后路面湿滑，出行的朋友要注意安全。明后两天，本市将有大风和降温的天气过程，请大家注意防范。@李洪洋 ​​​​,2012-09-26 09:01,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDCDUlFwr
6,[推荐]//@甘家口西三环社区: 转发,是,,2012-09-26 09:00,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDCDro64E
7,望居民注意出行安全 ​​​​,否,,2012-09-25 16:39,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDwdnzI2c
8,中秋、国庆佳节前夕，社区走访了辖区内的统战对象 ​​​​,否,,2012-09-25 11:31,转发,1,赞,专业版微博,https://weibo.com/1268517515/yDucglsua
9,,是,#健康甘家口#（183）【健康动起来】乒乓球是我国的国球，兵乓球运动有着深厚的群众基础，凝聚着健康向上，勇于拼搏的体育精神。近日，街道成立了甘家口地区乒乓球协会，为地区广大的乒乓球爱好者搭建了一个互相交流、增进友谊的平台。无论哪种运动，投身其中健康都会与您同行，健康动起来喽 ​​​​,2012-09-25 10:08,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDtEzddXM
10,国庆居民好去处//@北京发布: 【发布厅昨日热点】@交通北京 称9月29日起，地铁四号线将使用新版节前运行图；@京西门头沟 推介京西边陲—清水镇，这里环境优雅、景色秀丽、人杰地灵、历史悠久，名胜众多。,是,【京西边陲——清水镇】这里环境优雅，景色秀丽，名胜众多：著名的灵山、百花山、小龙门国家森林公园、京西大峡谷龙门涧皆在境内。这里历史悠久，源远流长，文化积淀深厚，文物古迹遍地；这里人杰地灵，古今名人辈出；这里有饱经沧桑的古代民居，无不记载着这一地区凝重的历史和淳朴的民风。  ​​​​,2012-09-25 08:51,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDt94zygo
11,转发微博,是,【明康陵、思陵首次对市民开放】#聚焦北京#昌平区明十三陵中的康陵是明朝第十位皇帝武宗朱厚照与皇后的合葬陵墓；思陵是明朝最后一位皇帝崇祯帝朱由检的陵墓。经过多年修复，两座陵寝终于揭开神秘面纱向游人短暂开放。开放时间为：9月22日—10月7日，每天13:00—15:00，感兴趣的朋友不妨一游！ ​​​​,2012-09-24 16:58,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yDmUo8Hc0
12,,是,#健康甘家口# 首届甘家口“健康节”在玉渊潭公园盛大启幕，以本届健康节以“健康无处不在，乐享幸福生活”为主题，挖掘地区健康资源，拓展健康领域，让地区居民从细节中发现健康的秘诀，在实践中体验人生的快乐。健康甘家口，迈步向前走！走起 我在#玉渊潭公园# 2北京·玉渊潭公园 ​​​​,2012-09-21 15:11,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yCTVE0osa
13,转发微博,是,#健康甘家口#（180）9月14日，海淀报头版对我街道的就业工作进行了报道。O网页链接。您知道吗？为了促进地区就业，我街道社保所每单月都会组织举办现场招聘会、每双月则由社保所的工作人员走进社区，在您家门口为您解疑答惑，且这些活动都将提前在@甘家口之窗 上发布预告信息，欢迎关注哦！ ​​​​,2012-09-20 15:54,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yCKMD2sNg
14,,是,根据《国务院关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》（国发〔2012〕37号）要求，经市政府同意，2012年“十一”黄金周期间，7座以下（含7座）小型客车免收收费公路通行费，通告见链接O网页链接 ​​​​,2012-09-20 14:03,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yCK3lxM7e
15,学习中//@甘家口四道口社区: 转发微博。,是,#文明城区创建-ing#（33）为更有针对性地开展创建全国文明城区宣传，使街道的活动策划和信息写作与创建紧密结合，提高创建的知晓率、参与率和支持率，甘家口街道精心编写了《甘家口街道创建全国文明城区系列--宣传工作手册》，向机关、事业单位、社区和地区单位工作人员发放，方便大家随时翻阅使用。 ​​​​,2012-09-20 12:22,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yCJoAdWJB
16,//@甘家口中纺社区:  //@甘家口之窗:#微群精选#（127）中秋、十一双节，在外工作的您是不是正为回家购票排队发愁呢？今天起北京西站将增设两个自助售票网络购票换票厅，可进行自助购票啦！,是,【北京西站今起可自助购票】#聚焦北京#今天起，北京西站将可自助购票。二楼进站口东西两侧将增设两个自助售票网络购票换票厅。厅内18台自助售票网络购票换票机将于每日6时至23时投用。您可按照屏幕显示自助购票、自助换票，这样就会大大减少您在窗口排队等候的时间。 ​​​​,2012-09-20 09:13,转发,评论,赞,专业版微博,https://weibo.com/1268517515/yCI9y9RFK
17,今天上午，西钓社区在中塔园小区小广场开展《西钓社区健康咨询爱心义诊》活动，组织社区医生为居民量血压、答疑解惑；社区并为居民送上“健康大礼包（跳绳、握力器、体温计）”，活动现场人头攒动，吸引众多居民前来参加。 ​​​​,否,,2012-09-19 10:42,1,评论,赞,专业版微博,https://weibo.com/1268517515/yCzjvwJ3p
