序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,#自驾出行请注意#自驾出行检查好随车工具。检查灭火器是否过期，千万不要忘记检查备胎，由于长期存放，备胎胎压最好稍高于正常胎压。另外，一般轮胎胎纹小于2mm时，就不能跑长途了。特别要注意看看胎壁有没有裂缝、破损，或鼓起小包，如有的话，必须马上更换。 别忘了检查前、后雾灯能否正常工作。 ​​​​,2012-09-29 14:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yE72vBaWm
1,为以整洁、清新的环境迎接建国63周年，我们东营房社区在2012年9月27日上午动员了社区志愿者、物业及保洁人员共60余名，开展了以“美化家园、喜迎国庆”为主题的环境治理活动。活动中大家不怕脏不怕累，整理绿地、清除杂草。通过此次活动，不仅使社区环境变得干净整洁，还提高了居民对环境保护的意识。 ​​​​,否,,2012-09-27 11:45,1,1,赞,专业版微博,https://weibo.com/2645235407/yDN8OjMsk
2,2012年9月26日下午，东营房社区利用社区大讲堂平台，邀请了街道安全办公室洪书勤科长在社区居委会举行了消防知识讲座。通过此次讲座，有效增强了辖区居民们的消防法制观念和消防安全意识，进一步提高了社区抗御火灾事故的能力。大家很感谢洪科长的精心讲课，纷纷建议社区日后可以经常开展类似的讲座。 ​​​​,否,,2012-09-26 16:17,1,1,赞,专业版微博,https://weibo.com/2645235407/yDFuTb7e3
3,,是,【明年本市将推出“北京老龄网”， 养老床位信息将定期公布】市政府正在筹划明年推出“北京老龄网”。“老龄网”将公开北京市所有养老院的信息，包括养老院名称、剩余床位、护理能力、收费标准、是否有综合责任险等内容都将一一公布，除此以外，还将定期公布养老床位。 ​​​​,2012-09-26 09:33,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yDCQOzI8q
4,学习啦,是,急救小课堂：救援前提条件：现场环境评估（Danger）。判断现场是否安全需1、仔细评估现场环境。2、确定时间、地点、人数、事件类型。3、去除危险因素，确保现场安全。4、及时发现现时危险、继发危险、潜伏危险。5、保证急救者安全、被救者安全、旁观者安全并采取相应措施。 ​​​​,2012-09-26 09:32,1,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yDCQvmkd2
5,可以设置免打扰时间段,是,#博采众长#电话销售保险已经变成了电话“扰民”。北京日报有一个好消息说，今后，北京地区消费者如不愿接受寿险电话销售，便可以通过北京保险行业协会网站登录禁拨平台，登记个人号码后就可以申请禁止拨打，申请将于登记后的7个工作日生效。 ​​​​,2012-09-24 09:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yDk0wkb5c
6,,是,【12条公交线路明天起调整路线】#聚焦北京#为方便更多的小区居民出行、完善公交微循环，从本月21日将对12条公交线路进行调整，其中新开2条“专”字头线路，427、599、20、385、459、553、950、636路8条线路调整优化，1条线路分段优化，另配合线路分段优化启用91路路号。大家快看一下吧，以免坐错车哦！ ​​​​,2012-09-20 17:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yCLfm0pfO
7,,是,【北京燃气启用“96777”话务中心】北京燃气“96777”新话务中心19日正式启用。新话务中心接线席位和每天来电接听量都显著增加，全天24小时为市民提供燃气咨询服务。今后，“96777”将在节假日向用户发送安全用气提示短信，并有针对性地向隐患多、通气时间长的社区和家庭进行电话安全提示与回访。 ​​​​,2012-09-20 17:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yCLevo1gY
8,放风筝时注意啦,是,【险！风筝线伤人 宝宝被划伤头颈】9月15日，上海的一位妈妈带着孩子去公园放风筝，不料孩子被风筝线划到了头颈，伤口有十几公分长，差点碰到颈动脉。风筝线又细又锋利，而且不容易看见，非常危险。为此，警方特别提醒：请尽量不要在小朋友多的地方放风筝，也请家长们注意保护孩子！ ​​​​,2012-09-19 17:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yCBTc3gGQ
9,,是,【市属公园双节推出十大游园活动】双节期间，北京市属各公园将以“弘扬文化 团圆金秋”为主题，结合传统节庆特色与公园历史文化，举办传统祈福、文化表演、休闲健身等10项游园活动。北京名城文化、民俗文化、非物质文化遗产等将在北京公园中联袂呈现。 ​​​​,2012-09-19 14:33,1,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yCAOWnILj
10,,是,【国庆自驾游手册】黄金周即将来临，高速公路免收通行费政策让这个假期的自驾游情况发生不少改变。准备自驾的驴友们，早做准备，提前了解假期自驾出行小技巧吧。 ​​​​,2012-09-19 09:55,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yCz0e16Yh
11,北京划定63处禁止开发区域,是,【北京划定63处禁止开发区域】#聚焦北京#北京首次划出63处禁止开发区域。在这些区域内将禁止进行工业化城镇化开发、禁止建设房地产项目等，除必要的交通、保护、修复、监测及科学实验设施外，禁止任何与资源保护无关的建设，将依法查处各类违法违规行为。 ​​​​,2012-09-18 14:55,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yCrxC5pfO
12,六类人不适合吃月饼,是,#小贴士#六类人不适合吃月饼。中秋将至，但月饼并非人人都适合吃。海淀医院营养科主管护师韩静提醒，以下几类人群吃不好还会生病或者使原有病情加重，同时，无糖月饼也要警惕。@首都健康 ​​​​,2012-09-18 14:51,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yCrw0syAH
13,,是,【北京市统一受理行政投诉电话96160开通】#聚焦北京#如果大家要投诉全市各级行政机关及其工作人员违规违法行政行为，可拨打96160，这是市监察局、市行政投诉中心统一受理行政投诉电话，从昨天起就已经开通。大家可以通过固定电话、手机、网络、传真、短信、来信、来访等方式进行投诉。 ​​​​,2012-09-17 14:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yChTAhygR
14,,是,【北京家庭医生式服务年内覆盖所有常住居民】今年年底“家庭医生式服务”将全面进社区，覆盖100%的常住居民。今后您在社区卫生服务中心，就可以找自己的家庭医生团队进行复查，接受全科医生的疾病管理和健康指导。遇到感冒等“小病”也可以不再去大医院排队挂号，而是通过自己的家庭医生拿药治疗。 ​​​​,2012-09-17 14:04,1,1,赞,微博 weibo.com,https://weibo.com/2645235407/yChMvcEoq
15,转发微博,是,今天是“世界清洁地球日”，浩瀚宇宙中，有一颗蔚蓝色的星球，那就是地球。蔚蓝代表天空、海洋和自由，代表平静和幸福。有节制地对待地球，才能获得自由享受地球的结果。保护地球，保护宇宙中的这一抹生命之色，举手之劳，我们都可以做点什么。 ​​​​,2012-09-14 16:38,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yBQvb3LZF
16,转发微博,是,【发改委：刷卡手续费下调幅度为23%-24%】今天有媒体报道称，发改委已于近日向各大行下发了银行卡刷卡手续费下调的征求意见稿，下调平均幅度逾30%。对此，发改委相关负责人证实，发改委确实已经下发了银行卡刷卡手续费下调的征求意见稿，但下调幅度是23%—24%，并非30%。O网页链接 ​​​​,2012-09-14 10:22,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yBO2RocfF
17,电梯下坠时保护自己的最佳动作,是,【救命常识：电梯下坠时保护自己的最佳动作】今天下午，武汉欢乐大道东湖景园小区工地，一载满粉刷工人的电梯突然从30层坠落，现已造成19人死亡为此，请您细看视频中面临危险务必牢记的五个最佳动作，关键时刻能救命。为了自己、亲人、朋友的安全，请立即转发扩散吧！O网页链接 ​​​​,2012-09-14 10:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yBNXR8IJ8
18,大家都来学习一下 发生地震如何逃生,是,地震发生时，在不同场所应该如何逃生呢？我国多数专家认为：震时就近躲避，震后迅速撤离到安全地方，是应急避震较好的办法。避震应选择室内结实、能掩护身体的物体旁、易于形成三角空间的地方，开间小、有支撑的地方，室外开阔、安全的地方。坐下或蹲下降低身体重心，抓住牢固的物体。 ​​​​,2012-09-13 10:31,1,1,赞,微博 weibo.com,https://weibo.com/2645235407/yBEFYxAsD
19,,是,【老旧小区换暖气片可免安装费】#聚焦北京#本市老旧小区热计量改造中，推出很多附加”免费服务，热计量设备可免费安装，且当年开始可按分户计量收费。如业主家要更换暖气，施工人员可免费帮安装。另外明年北京将开始对既有建筑进行热计量收费，目前免费安装时机一旦过去，市民可能要自己花钱安装。 ​​​​,2012-09-12 14:19,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yBwJSo7GF
20,转发微博,是,【家庭才艺大赛邀你参加】不管你是不是北京的常住家庭，如果你身怀才艺，那就来一次全家总动员，参加“我的北京我的家——第六届北京家庭才艺大赛”吧！您可拨打96156社区服务热线咨询，也可登录北京市社区服务信息网或北京青年宫网站了解详情。 ​​​​,2012-09-12 09:47,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yBuXHeoHo
21,[黑板]祝所有的老师节日快乐,是,今天是9月10日，是第二十八个教师节。放下手头的工作，挤出些许的时间，给您的老师发条短信、打个电话，送上您的节日祝福吧！[呵呵]老师，谢谢您！您辛苦啦~[黑板] ​​​​,2012-09-10 09:50,转发,评论,赞,专业版微博,https://weibo.com/2645235407/yBc7OlF33
22,,是,会上，市工商局公布了房地产经纪行业首批10种不公平格式条款，并提醒广大消费者，在签订租房合同或二手房买卖合同时，尽量选择从“北京工商”网站上下载的合同示范文本；使用中介提供的合同时，如发现存在此10种不公平格式条款，可拒绝签订并向12315热线投诉或举报，我们将依法予以处理。 ​​​​,2012-09-07 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAKel7d2y
23,2012年9月7日上午，东营房社区党支部组织社区党员召开了创先争优活动总结暨十八大安保动员会，会上，李安山书记总结了创先争优活动以来取得的成效、宣读了社区党支部“创先争优”活动的长效机制、对即将来临的十八大安保工作作了安排部署。党员们纷纷表示：落实创先争优长效机制，为十八大安保做贡献。 ​​​​,否,,2012-09-07 10:42,3,3,赞,专业版微博,https://weibo.com/2645235407/yAKbqgaA6
24,转发微博,是,【12种全责事故示意图】路遇交通事故，经常看见双方为“是谁的责任”而争辩的不可开交，希望看过此图后，对大家界定事故责任能有所帮助。[呵呵] ​​​​,2012-09-06 15:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yACFMF88G
25,,是,【本月20日起全城大扫除】本月20号到27号，为了迎接即将到来的国庆节，全市将开展环境卫生大扫除。与以往不同，本次大扫除将地下通道、背街小巷等平时不起眼的“角落”纳入重点区域。另外天安门广场会进行24小时环卫作业，确保节前能露出广场条石地面本色。干干净净迎国庆，到时我们大家可要爱惜啊。 ​​​​,2012-09-06 15:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yACCewdJ4
26,生命的神奇,是,,2012-09-06 09:44,1,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAAnd3gtG
27,司机盆友注意啦：今年国庆节小客车免费通行的时间统一明确为9月30日零时至10月7日24时,是,【9月30日零时至10月7日24时 小客车免费过高速】交通运输部昨天发出紧急通知，要求各地交通运输主管部门全力确保今年国庆节长假期间小型客车免费通行工作平稳有序实施。今年国庆节小客车免费通行的时间统一明确为9月30日零时至10月7日24时，预计公路交通流量会出现较大增长。O网页链接 ​​​​,2012-09-06 09:31,1,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAAi3jbgH
28,转发微博,是,【现场学急救】9月8日（本周六）是世界急救日。北京120将在北京市电力公司供电服务中心展示厅（珠市口东大街13号天都京港大厦一层）举办科普教育主题活动。急救导师将带领大家学习急救知识、实操急救技能，并进行健康咨询和查体，发放急救手册等纪念品。报名的朋友私信留下姓名年龄电话吧！ ​​​​,2012-09-05 17:18,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAtV50IVE
29,转发微博,是,【新电子眼能同时识别车辆五种违法】不少老司机都知道，遍布大街的电子摄像头拍闯红灯就管不了超速。现在，新型一体化多功能“电子警察”，一个摄像头能兼顾3条车道，可同时识别违法变道、车辆轧线、逆行等5种以上违法行为。目前已在丰葆路、刘家窑桥南、东直门外大街等多个路段“上岗”。 ​​​​,2012-09-05 14:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAt0H2aQs
30,,是,【公安部推出14项便民措施】你是否有过到机场发现忘带身份证的尴尬？以后遇到这种情况不用着急了。对急需登机、乘火车、住旅馆而忘带身份证的人员，具备全国人口信息查询条件的机场、火车站派出所和旅馆辖区派出所可开具临时证明。这是公安部推出的14项便民措施之一。其他便民措施点击大图。via公安部 ​​​​,2012-09-05 14:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAsUmjHcb
31,注意啦 嗜睡是种病,是,刚才车组将一名嗜睡患者送往医院，病因有待检查。嗜睡是一种神经性疾病，能引起不可抑制性睡眠的发生。夜间睡眠差、营养不足、青少年或中青年肥胖超重、抑郁症、糖尿病等都可能诱发嗜睡。这些睡眠阶段会经常发生，且不合适宜，如果行走、驾车时发生则容易导致危险，要尽快治疗。【嗜睡是病，得治！】 ​​​​,2012-09-04 15:17,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAjHAuGDH
32,绿色出行 大家一起努力吧,是,#文明出行秀达人#“少开一天车，开车零违章，乘车守秩序，出行讲礼让”，王永大声告诉我们！@北京发布 @交通北京 ​​​​,2012-09-04 14:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2645235407/yAjzvBHSF
