序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,另外田村社区服务信息网，也就是96156热线平台，是公布有关社区建设、社区服务、服务超市等方面的信息，欢迎乐府社区的居民们光顾O网页链接 ​​​​,否,,2012-08-29 11:04,1,1,赞,微博 weibo.com,https://weibo.com/2645310347/yzntX7eV4
1,乐府周边服务商圈，方便居民的日常生活，请大家登陆田村路街道惠民服务平台O网页链接 有餐饮、理发、超市、菜市场、家政服务等与大家日常生活紧密相关的信息，欢迎居民们登陆查看 ​​​​,否,,2012-08-29 11:02,1,1,赞,微博 weibo.com,https://weibo.com/2645310347/yznt3gQuu
2,看看我们乐府社区的小画家作品展。 ​​​​,否,,2012-08-14 10:13,1,1,赞,微博 weibo.com,https://weibo.com/2645310347/yx5JvkdEN
3,乐府社区青少年暑期社会实践活动，绘画。 ​​​​,否,,2012-08-10 14:01,1,评论,赞,微博 weibo.com,https://weibo.com/2645310347/ywvwfAcGo
4,恭喜我乐府家园社区红“袖子舞蹈队”在第六届华北五省赛区舞蹈赛中，参赛作品“海的礼赞”在业余中老年组中荣获表演二等奖，其作品荣获创作一等奖。 ​​​​,否,,2012-07-24 11:26,1,评论,赞,微博 weibo.com,https://weibo.com/2645310347/ytUeVB97Q
5,"我刚刚入驻了@美丽说 ，男生止步,求姑娘关注>>O网页链接 ​​​​",否,,2012-07-21 12:57,转发,评论,赞,美丽说,https://weibo.com/2645310347/ytsyksRlX
6,恭贺乐府社区的王梦宇同学被海淀区评为“文明小使者”。 ​​​​,否,,2012-07-20 15:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/ytk2a4ZA0
7,"2012年7月20日,北京长庚医院义诊进咱们乐府社区了,地点在13号楼北边水榭广场,有需要咨询的居民朋友们请前往参加,长庚医院从7月18日起为广大居民朋友们贴""三伏贴"",医保可报销. ​​​​",否,,2012-07-20 11:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/ytinwBAol
8,"2012年7月20日,北京长庚医院义诊进咱们乐府社区了,地点在13号楼北边水榭广场,有需要咨询的居民朋友们请前往参加,长庚医院从7月18日起为广大居民朋友们贴""三伏贴"",医保可报销. ​​​​",否,,2012-07-20 10:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/yti30whRa
9,2012年征兵工作开始了，请乐府社区关注此事的居民们登录海淀征兵网（O网页链接了解信息和征兵登记。 ​​​​,否,,2012-07-20 10:07,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/yti0W1ySi
10,乐府社区居委会学习第十一次党代会 ​​​​,否,,2012-07-16 15:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/ysIzepvEO
11,分享图片 ​​​​,否,,2012-07-02 10:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/yqykrlQJZ
12,热烈祝贺我社区舞蹈队表演的西班牙舞蹈--燃烧的舞裙，在北京市第15届中老年优秀健身表演赛中获得优秀奖，看，她们多么的美丽，自信。 ​​​​,否,,2012-07-02 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2645310347/yqyfx1ZDU
