序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【云白风清 假期将近】#北京你好#今日限行1和6，最高气温22℃，偏北风4、5级转2、3级。最后两天上班了，坚持住，坚持住，哈哈。这几天天空格外热闹，又是多云，又是小雨，又是大风。不过今天风清云淡，大家的工作也差不多了吧，只待假期啦。原创图片是咱北京的市花，从五月热热闹闹陪我们到了现在了。 ​​​​,2012-09-28 09:38,1,2,赞,微博 weibo.com,https://weibo.com/2645349767/yDVJFeUeP
1,//@头条新闻: 转发微博,是,【国际媒体报道中日钓鱼岛争端汇总】O网页链接 ​​​​,2012-09-24 10:44,转发,评论,赞,专业版微博,https://weibo.com/2645349767/yDksM0Znx
2,为纪念9.18，建西苑社区居民在社区活动室举办喜迎两节唱红歌活动，社区居民积极参加，大家欢聚一堂。 ​​​​,否,,2012-09-19 15:55,2,2,赞,专业版微博,https://weibo.com/2645349767/yCBmxBRtB
3,转发微博,是,【蓝天白云构美景 饮食调节防秋燥】19日11时北京气象信息：蓝天白云构成了一幅简约而美丽的画面，清新的空气、宜人的阳光写满了秋天的魅力，最高气温28℃，夜间多云转晴，最低气温15℃。近来空气干燥，要注意饮食调养，清润为宜。早晚气温虽凉，体弱者也不要顿增厚衣，适应秋凉，以增强抗寒能力。 ​​​​,2012-09-19 11:32,转发,评论,赞,专业版微博,https://weibo.com/2645349767/yCzDw44xh
4,建西苑社区联系长庚医院医护人员，为社区内老年人做健康系列讲座，关爱社区老年人身心健康。 ​​​​,否,,2012-09-17 15:48,1,3,赞,专业版微博,https://weibo.com/2645349767/yCiszvBeL
5,//@山南社区: //@海淀区政府网站:祝老师们节日快乐~,是,又是一个小阴天，又是周一。路上的童鞋不要着急，没出门的童鞋要抓紧了，早安。还有，节日快乐，那些让我们印象深刻的老师！ ​​​​,2012-09-10 15:25,转发,评论,赞,专业版微博,https://weibo.com/2645349767/yBejzugs4
6,转发微博,是,【傍晚以后阵雨光临】6日11时北京气象信息：今天下午多云转阴有阵雨，最高气温24℃，预计降雨在傍晚后光临本市，对晚高峰交通影响不大。目前北京的天气已有秋天的意味，空气干燥，请及时补充水分；早晚凉爽，老人和孩子、体弱者要适时的增加衣物，避免感冒。夜间阴有阵雨，最低气温17℃。 ​​​​,2012-09-06 11:08,1,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yAAVgEGpU
7,//@山南社区: //@海淀垃圾分类: 垃圾分类，你今天参与了吗？//@海深林幽_3sm: 垃圾分类行动！//@海淀垃圾分类://@佩在成都天气晴: 随手小行动。扔垃圾前请想想它们会去向何处。,是,#海淀垃圾分类# 垃圾投放——1、投放前 瓶罐类物品应尽可能将容器内产品用尽后，清理干净后投放；破碎的玻璃制品、刀片等金属片、牙签竹签等锋利物，请用厚纸包好，并写上“危险”字样后弃置。@中国垃圾论坛 @信用卡董峥 @新加坡Shangrila-Herb @固废资讯播报 @原野暮色 @热爱家园 ​​​​,2012-09-06 11:07,1,1,赞,微博 weibo.com,https://weibo.com/2645349767/yAAV0nUxN
8,关于征集应急避险民谣的通知 作品要求：作品要写清楚灾害类别，内容要有较强的艺术感染力，力求篇幅短小精巧，语言生动活泼，朗朗上口、通俗易懂，节奏感强，韵律感强，利于传唱。 请有兴趣本社区居民联系我们！联系电话：58973722 ​​​​,否,,2012-09-05 21:43,1,1,赞,微博 weibo.com,https://weibo.com/2645349767/yAvEO1oPn
9,关于征集应急避险民谣的通知 作品要求：作品要写清楚灾害类别，内容要有较强的艺术感染力，力求篇幅短小精巧，语言生动活泼，朗朗上口、通俗易懂，节奏感强，韵律感强，利于传唱。 请有兴趣居民联系我们！ ​​​​,否,,2012-09-05 14:11,2,2,赞,微博 weibo.com,https://weibo.com/2645349767/yAsHmfDTW
10,转发微博,是,【鬼节祭扫 勿忘防火】今天是农历七月十五是道教中元节，又称“七月节”或“盂兰盆会”，为三大鬼节之一。鬼节也是祭祀扫墓活动日。为此，北京消防提示广大市民：在鬼节期间文明祭祀，防止因祭祀烧纸、焚香和燃放鞭炮引发森林火灾。务必做到人走火灭，绝不留火灾隐患，避免疏忽大意，因小失大。 ​​​​,2012-08-31 09:31,1,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzFJbm5E1
11,转发微博,是,#温馨提示# 【秋季预防心脑血管疾病】秋季是心脑血管疾病的多发季节，许多人特别是中老年人在秋季会突然出现头晕、肢体麻木、无力、心悸、气短、胸闷等症状，严重时还会危及生命。因此秋季更要做好心血管疾病的预防和调养。O网页链接 管住嘴，迈开腿，按时服药~[lxhx走] ​​​​,2012-08-30 09:40,1,1,赞,微博 weibo.com,https://weibo.com/2645349767/yzwmqa2nn
12,//@海淀区政府网站: 闷啊~身上粘哒哒的有木有~~~[lxhx失落],是,【还是34℃！】#北京你好#今日限行5和0，最高气温34℃。如果说还在三伏，这样的天气我们也无所谓，但经过上周的飒飒秋意，这夏天的回马枪就格外的难耐。昨天有位朋友一天都在抱着冷饮，到了下午：心烦，恶心，肚子里一漾一漾的“烦闷”。小布提醒大家，爱护健康，远离饮料！原创图片——夏天的梦。 ​​​​,2012-08-30 09:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzwfxb7bt
13,转发微博,是,【8月30日7时头条新闻要闻回顾】  O网页链接 ​​​​,2012-08-30 09:21,1,1,赞,微博 weibo.com,https://weibo.com/2645349767/yzweprmcH
14,转发微博,是,【29日早晨6点北京天气预报】：今天白天晴，早晨平原地区有轻雾，出行要注意交通安全，最高气温34℃，上午能见度逐渐转好，紫外线很强，户外注意遮阳防晒。夜间晴间多云，最低气温23℃。 ​​​​,2012-08-29 09:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzn1X6ISB
15,转发微博,是,【北京9月可能严重拥堵 下雨天可弹性工作】针对9月可能出现的严重交通拥堵，北京市交通委昨日出台系列措施。市区两级党政机关和国有企事业单位将尽量不选择易堵日安排大型会议和活动。9月21日、26日和28日等重点工作日及晚高峰降雨特殊天气，企事业单位可采取弹性工作时间。O网页链接 ​​​​,2012-08-29 09:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzn11bd1F
16,转发微博,是,【8月29日7时头条新闻要闻回顾】  O网页链接 ​​​​,2012-08-29 09:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzmXtkKbq
17,//@海淀垃圾分类: 大骨头、玉米核等人吃不掉但是无法用来做生物处理的，也都不算。//@奋斗中的鼠族: 还有个简单的办法，什么东西能吃，但是人吃不掉的那部分，，，，，，,是,#海淀垃圾分类# 厨余垃圾——家庭中产生的易腐食物垃圾，主要包括菜帮菜叶、剩菜剩饭、瓜果皮核、废弃食物等。可经生物处理，制成堆肥和生物柴油等。 剩菜剩饭等烹调残物，滤干水后再扔进厨余垃圾桶。剩油最好用费纸吸净后扔进其他垃圾桶。@中国垃圾论坛 @固废资讯播报 ​​​​,2012-08-29 09:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzmX3kkUk
18,//@北京孝为先-郑志刚: 世上最年长老人庆祝116岁生日,是,#他们#【世上最年长老人庆祝116岁生日】据美国ABC News报道，美国人Besse Berry Cooper在8月26日迎来了她116岁的生日，她成为吉尼斯记载目前在世的最年长者。吉尼斯显示，世界上已经有8人达到过116岁。Cooper曾经教师，她认为自己最重要的长寿秘诀是“只管好自己的事，从不吃垃圾食品”。 ​​​​,2012-08-28 20:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzhD1DJD1
19,//@杭锦后旗公安局: 转发微博,是,【新生入学需警惕】新生入校易碰到以下诈骗方式：一是通过以次充好、以少充多甚至以假乱真的方式推销电话卡；二是假冒学校名义给新生家里邮寄“补充内容通知书”，谎称学校收钱，诈骗钱财；三是巧言借用新生的银行卡，获得银行卡密码后取钱逃。 ​​​​,2012-08-28 20:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzhCBEioa
20,转发微博,是,"#新24孝：教父母学会上网。使用电脑和互联网可以刺激长者的认知力# 这些认知力主要包括长时记忆、短时记忆、执行功能、可视化搜索、信息处理、注意力(Ordonez TN,et al.，2010)。科学家通过比较读书与使用互联网对大脑的影响发现，在互联网上搜索信息比读书可以更强烈地激活前额皮层。 ​​​​",2012-08-28 20:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yzhCugoeH
21,转发微博,是,【8月27日7时头条新闻要闻回顾】 O网页链接 ​​​​,2012-08-27 09:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yz48OqHXC
22,转发微博,是,【雨情信息】市气象台发布8月27日06时至08时降雨量：城区平均0.9毫米，全市平均0.3毫米，最大为东城古观象台17.4毫米，工人体育场10.7毫米，天安门9.6毫米，楼梓庄9.2毫米，其他地区为0.0到3.4毫米。最大雨强出现在东城古观象台06至07时，1小时降水量17.1毫米。 ​​​​,2012-08-27 09:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yz48nxt7Q
23,转发微博,是,#海淀活动# 【垃圾减量日主题宣传实践活动走进海淀】23日，垃圾减分参与月暨周四垃圾减量日主题宣传实践活动在海淀公园举办。同时，我区垃圾减量垃圾分类官方微博正式启动运行~@海淀在线 @海淀垃圾分类 O网页链接 ​​​​,2012-08-27 09:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yz4839JYU
24,转发微博,是,【8月24日7时头条新闻要闻回顾】 O网页链接 ​​​​,2012-08-24 09:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yyBDldG5O
25,//@海淀在线: 转发微博,是,【邮政代办“驾驶证”】驾驶证有效期满换证、遗失补证、损坏换证等业务都可到邮局办理了。您只需携带本人二代身份证原件和复印件、“身体体检证明”和近期免冠白底彩色一寸证件照片3张及驾驶证原件，到开办此业务的邮局填写“机动车驾驶证申请表”后即可办理。最后，邮递员将按预留地址投递到您手中。 ​​​​,2012-08-24 09:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yyBDayt4e
26,转发微博,是,【舒适秋日 尽情享受吧】#北京你好#今日限行4和9，最高气温28℃，秋天，是一个热情的季节，大自然用丰厚的馈赠饱偿人们的付出。秋天，是一个爽朗的季节，风与云不停追逐，时时变幻。从清晨到黄昏，走在路上的时候，别在光顾着玩手机了，多看看周围，尽可能的去享受北京的秋天吧。 ​​​​,2012-08-22 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yyiOrvDms
27,转发微博,是,【8月22日7时头条新闻要闻回顾】 O网页链接 ​​​​,2012-08-22 09:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yyiOanfTl
28,转发微博,是,【8月21日7时头条新闻要闻回顾】O网页链接 ​​​​,2012-08-21 09:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy9AqzsR0
29,转发微博,是,【秋天5大水果冠军挑着吃】1、柚子：碳水化合物最低，糖尿病患者与减肥者佳选，每天食用量别超200克，一天一大瓣即可；2、柑橘：维生素B1冠军，止咳化痰，吃多易上火；3、鲜枣：软化血管，抗癌降压，一天吃8~10个即可；4、石榴：含膳食纤维最高，防便秘治腹泻；5、板栗：富含矿物质。 ​​​​,2012-08-21 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy9AdxEqy
30,【发布厅昨日热点】@北京市教委 称市属高校将为入学交通费有困难的新生提供全额或部分补助，资助热线010-83551285； ​​​​,否,,2012-08-21 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy9A51hgD
31,//@杭锦后旗公安局: //@德州运河公安分局: 夏季盗窃案件多发，居民一定要记得关好门窗防盗。,是,#微警情#8月19日7时至8月20日7时，德州市公安局报警服务台共接警1731余起，出警295起。警方提示，昨日盗窃案件较突出，请市民务必提高警惕，加强安全防范，如发现被盗，请及时报警，以便警方及时破案。 ​​​​,2012-08-20 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy25yg7ka
32,转发微博,是,【漂亮宝宝“听”出来！】美国研究发现，常听音乐能使孩子变漂亮。日本幼儿开发协会做过试验，把几十位出生不久的孩子拍照录像，作为原始资料。然后每天早中晚三次播放莫扎特的小夜曲。四个月后，这些孩子的面容发生了很大变化，表情也比一般孩子活泼，动作协调连眼神都与一般孩子有根本区别。 ​​​​,2012-08-20 14:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy25u7Vzw
33,转发微博,是,【迎七夕 [ali扑倒]“巧果”火热上市】虽然距离中国传统的“七夕节”还有一段时间，可从8月8号起，七夕节的应节食品“巧果”已悄然上市，“巧果”呈现鲤鱼、窗棂、葫芦、叶子、灯笼、如意锁、贝壳等7种造型，馅料则有蓝莓和荔枝两种健康食材，并配以蜂蜜掺杂其中……[din亲亲]O网页链接 ​​​​,2012-08-20 14:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yy25c8t0N
34,//@七月依昕: 转发微博,是,,2012-08-17 10:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yxxW166px
35,转发微博,是,【8月17日7时头条新闻要闻回顾】 O网页链接 ​​​​,2012-08-17 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yxxUqowj3
36,//@海淀在线: 记得带雨具哟,是,【17日早晨6点北京天气预报】 今天白天多云转阴，偏南风2、3级，最高气温29℃，白天依然有些闷热感，傍晚开始门头沟，房山有阵雨；夜间阴有阵雨，南转北风1、2级，最低气温21℃。外出带上雨具，注意出行安全。 ​​​​,2012-08-17 09:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yxxUcuKs5
37,转发微博,是,#防范骗子心理战#在电信诈骗案件中，骗子总是想法抓住事主的心理弱点，让事主失去判断力。比如爱财，这是许多人的心理特点，“银行卡消费”骗局就是利用了对自己钱财的关切，而中奖之类的骗术则是抓住了想发财的心理。说亲属在外患病急需钱财，是利用了对亲人的关切，老人们最容易上这一类的当。 ​​​​,2012-08-15 09:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yxeTu0KXF
38,转发微博。,是,【8月15日7时头条新闻要闻回顾】 O网页链接 ​​​​,2012-08-15 09:31,转发,评论,赞,媒体版微博,https://weibo.com/2645349767/yxeTe4ciq
39,转发微博,是,【天晴气温升 外出需防晒】8月15日7时北京气象信息：今天早晨5点南郊观象台的气温为17.4℃，感觉很是凉爽。今天白天天气晴朗，在阳光的照射下气温上升速度较快，最高气温将回升至31℃左右，中午前后较热，并且紫外线照射强度也很强，外出还需要采取有效防晒措施。夜间晴朗微风，最低气温20℃。 ​​​​,2012-08-15 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yxeSQovLr
40,"//@北京市石景山: 危情时刻,应急车道就是""生命通道"",请尊重应急车道,尊重生命。",是,"前晚7点多,京承高速进京方向麒麟楼隧道出口处一旅游大巴侧翻,致多名乘客受伤。某些车辆急于返京,挤占应急车道将事发路段堵死。救援人员被迫中途停车,密云太师屯中队的消防员冒雨扛担架折返于侧翻大巴与救护车间,一趟趟将伤者送到救护车上。危情时刻,应急车道就是""生命通道"",请尊重应急车道,尊重生命。 ​​​​",2012-08-14 16:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yx8mvsxJC
41,转发微博,是,#健康海淀# 【洪涝灾害后传染病防治知识】 暴雨洪涝是一种破坏性极大的自然性灾害，灾后传染病的发生是有一定规律的，事先做好预防就可确保大灾之后无大疫。1.注意饮食卫生 2.养成良好卫生习惯 3、做到生活有规律，要注意天气变化，预防发热和腹泻 4.注意防蚊和灭蝇等~O网页链接 [图:网络] ​​​​,2012-08-14 16:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yx8lFqdn0
42,暑期来临，建西苑社区组织学生参加社区公益劳动活动，擦拭社区宣传栏、无障碍扶手。共同创造美好的生活环境，培养学生劳动意识。 ​​​​,否,,2012-08-14 14:26,1,1,赞,微博 weibo.com,https://weibo.com/2645349767/yx7og8EPe
43,孩子暑期每年都有活动，要到居委会登记，就可以参加//@疯鱼地盘: 要是小区里在孩子放假的时候有这么个活动，就好了，解决孩子们暑期没人看管的问题//@田村路建西苑社区: 转发微博,是,#海淀新闻#【这个暑假不平淡】暑假既是青少年自由玩耍的美好时光，也是走出家门，积极参加社会实践的最好机会。参加讲座、参观博物馆或者在家门口一块学习，有没有当年一起做作业的感觉？？[冠军诞生] ​​​​,2012-08-14 14:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/yx7nlnWM0
44,//@头条新闻: 转发微博,是,【8月12日伦敦奥运全景回顾】 国际奥委会主席罗格宣布伦敦奥运会正式闭幕。最终金牌榜，美国46金第1，奖牌数达到104块；中国38金第二，奖牌数87块；东道主英国队夺29金第三；俄罗斯24金第四；韩国13金第五。更多内容，敬请点击关注：O网页链接 ​​​​,2012-08-13 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywWri2hHW
45,//@田村路国防大学永定路社区: 转发微博,是,【立秋后要提防几种疾病】①孩子—感冒发烧:秋季是感染病高发期，孩子往往会发烧、恶心呕吐、腹泻②年轻人—咽喉炎:空气变干燥，温度也逐渐降低。注意多喝温热水，少吃辛辣食物，保护好嗓子③中年人—骨头痛:夏季出汗多，肌肉毛孔疏松，秋天一到，不通则痛，出现关节肿胀等症状。 ​​​​,2012-08-13 10:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywWrdA3wE
46,转发微博,是,#海淀新闻#【这个暑假不平淡】暑假既是青少年自由玩耍的美好时光，也是走出家门，积极参加社会实践的最好机会。参加讲座、参观博物馆或者在家门口一块学习，有没有当年一起做作业的感觉？？[冠军诞生] ​​​​,2012-08-13 10:33,2,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywWr6vBRQ
47,转发微博,是,【天气炎热防暑防晒最重要】9日07时北京气象信息：白天晴间多云，城区及大部分地区最高气温34℃。天气炎热，紫外线很强，出行要躲避烈日，外出一定要做好防护工作，涂抹防晒霜，打上遮阳伞，防晒的同时还要注意防暑，及时补充水分。好的天气不要忘了开窗通风。夜间晴间多云，最低气温23℃。@气象北京 ​​​​,2012-08-09 09:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywktN6Wsu
48,转发微博,是,【海葵袭击东南沿海 3人死亡200万人转移】台风海葵昨天凌晨在浙江省象山县沿海登陆后，浙江、江苏、上海出现狂风暴雨，航班高铁大面积停运，目前各地已接到3人因灾死亡报告，400多万人受灾，各地紧急转移民众约200万人，直接经济损失超百亿元。O网页链接 动态路径：O网页链接 ​​​​,2012-08-09 09:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywkqrmqoO
49,//@田村路金沟河社区: 转发微博。,是,【水果的神奇功效】1、草莓—培养耐心补维生素。2、香蕉—快乐心情。3、葡萄—增强免疫抗衰老。4、梨—助器官排毒。5、火龙果—缓解重金属中毒。6、柚子—维护血管。7、苹果—防癌症。8、西瓜—利尿排毒。9、荔枝—生血养颜。10、猕猴桃—降低胆固醇。11、龙眼—开胃益脾。（南方网） ​​​​,2012-08-08 10:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywb7elfaL
50,//@头条新闻: 转发微博,是,【奥运金牌榜：中国34金 美国30金】伦敦奥运第11比赛日，中国收获3枚金牌。体操冯喆双杠夺冠 O网页链接；平衡木邓琳琳摘金眭禄银牌 O网页链接；乒乓球女团中国队击败日本队卫冕成功 O网页链接 详细金牌榜：O网页链接 ​​​​,2012-08-08 10:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2645349767/ywb6wBS10
