序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年9月19日上午在永达社区市民学校组织安全知识学习，邀请北京建安通安防器材有限公司的经理，给大家讲解应急情况下的安全撤离方法，例如：火灾时安全逃生的途径、厨房燃气泄露的预防、油锅起火的扑灭等等知识。帮助大家正确的处理紧急情况和突发情况。 ​​​​,否,,2012-09-19 16:05,21,1,赞,专业版微博,https://weibo.com/2646631585/yCBqyoLYb
1,宠物狗咬伤隔壁鸡 邻居为报仇要将狗打成鸡的样子 邻里间狗咬伤鸡，双方主人打了起来，最终江北法院判决狗主人一方赔偿4000多元 这是一起狗咬鸡引发的官司。 O网页链接[din戴熊] ​​​​,否,,2012-08-31 14:50,1,1,赞,微博 weibo.com,https://weibo.com/2646631585/yzHOvaXxP
2,上大学，一天的成本是多少？南师大数学科学学院的老师们精打细算，为该院新生准备了一份大学账单。在这份账单中，大学4年，每个学生平均每天的成本高达282元！据了解，高职院校的上学成本则更高，接近500元。同学们，一定要珍惜大学光阴啊。 O网页链接 ​​​​,否,,2012-08-31 14:19,1,1,赞,微博 weibo.com,https://weibo.com/2646631585/yzHBX9t34
3,​​​​,否,,2012-08-31 11:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2646631585/yzGpaAPaQ
4,郎咸平地产论足以祸国殃民 郎咸平在中国的影响太大了。他的一些观点是极端和具有煽动性的不断的误导政府误导民众。关于房地产泡沫，他本末颠倒，最后给出导致更大泡沫的政策性建议。如政府按照他的理论进行房地产改革，会把泡沫推到了极端，最后中国经济真的就像他说的没有救了。 O网页链接 ​​​​,否,,2012-08-31 10:57,1,1,赞,微博 weibo.com,https://weibo.com/2646631585/yzGhTnQnt
5,千年老二，第三次得亚军，亚军也值得尊重。O网页链接 ​​​​,否,,2012-08-03 10:35,1,1,赞,微博 weibo.com,https://weibo.com/2646631585/yvqb8BUeU
6,永达社区明天带领专业人员上门灭蚁，请居民们家中留人。 ​​​​,否,,2012-07-30 15:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2646631585/yuQdFyItY
7,温馨提示,是,从田村路到我社区200米的马路已经开始施工，预计修路时间为1个月左右，希望走这条路的人们能够绕行。 ​​​​,2012-07-18 15:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2646631585/yt1rA1mBE
8,//@田村路金沟河社区: 今天应该吃饺子,是,【今日数伏】俗话云“冷在三九，热在三伏”，京城即将进入高温、高湿、高热的三伏天。今年的“三伏”为30天，今天进头伏，7月28日进中伏，8月7日进末伏。在华北地区有“头伏饺子二伏面，三伏烙饼摊鸡蛋”的民间谚语。伏天里要注意饮食清淡，多喝白开水或者热茶，并保持心情舒畅，防止“情绪中暑”。 ​​​​,2012-07-18 14:16,1,评论,赞,微博 weibo.com,https://weibo.com/2646631585/yt0MXdpon
9,鹰爸虎妈，引发我们对教育的思考,是,【奶爸携9月大女婴自驾33城市 网友称对婴儿不利】近日，朝阳区八里庄东里社区的居民宝超发帖分享携女儿万里自驾之旅，引起热议。从北京一路南下，3个月里行驶2万公里，途经33个城市。奶爸宝超的做法赢得一些网友叫好的同时，也有些网友认为旅途辛苦，并不利于孩子的成长。O网页链接 ​​​​,2012-07-17 11:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2646631585/ysQbdweT2
