序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,在国庆节及中秋佳节即将来临之际，本社区在9月27日上午，举办了以“迎中秋，贺国庆，喜迎党的十八大”为主题的文艺演出活动。 演出的节目都是居民及社区工作人员自编自演的。大家用自己的歌声及舞姿，抒发着对祖国的真挚情感，对居民的真诚祝福。充实了居民的文化生活，得到了居民的欢迎和喜爱。 ​​​​,否,,2012-09-27 14:53,2,评论,赞,专业版微博,https://weibo.com/2650437795/yDOncqdMb
1,为了更好的方便居民健身，为社区居民提供一个优质高效的健身场所，泽丰苑社区于2012年9月6日开始对园区一期和二期的中心广场进行健身器材的更新改造，居委会成员到现场与安装师傅协商安装事宜，此次改造添加了居民建议的棋盘桌和广场座椅，让社区居民不再为没有棋盘和座椅而烦恼，社区百姓拍手称赞。 ​​​​,否,,2012-09-10 10:35,1,1,赞,专业版微博,https://weibo.com/2650437795/yBcpZFa1v
2,为了方便社区残疾朋友出行，泽丰苑社区居委会协调相关部门，为社区65个单元楼安装了残疾人无障碍设施，安装工程于2012年9月6日开始施工，预期三天结束，工程结束后不管是残疾朋友还是老年人都可以扶着楼梯扶手出入单元门了，为他们的出行带来了一定的便利条件。 ​​​​,否,,2012-09-10 10:32,1,1,赞,专业版微博,https://weibo.com/2650437795/yBcoRC4Z0
3,泽丰苑社区位于海淀区田村路街道的东部，东临永定路，西接采石路，南临金沟河路，北临阜石路。东壤田村路街道阜三社区辖区，西到采石路大街；南接金沟河路超市发玉海园店北测，北邻海淀区采石路消防特勤中队，呈东西宽174米、南北长439米的长方形状，面积0.05866平方公里。 ​​​​,否,,2012-08-31 15:34,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yzI6AyHY1
4,为提高社区独生子女的动手能力，让“六型社区”的创建理念深入到每个家庭，泽丰苑社区服务站于2012年8月29日组织社区青少年擦拭社区宣传栏，以整洁优美的社区环境呈现于社区居民。 ​​​​,否,,2012-08-29 17:18,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yzpVxdOhJ
5,"8月28日下午,八里庄街道来我社区参观消防工作室 ​​​​",否,,2012-08-29 17:11,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yzpSEqdmQ
6,有关创建六型社区的问答题穿插在节目当中，让居民朋友们既欣赏了精彩的文艺节目，又提高了创建六型社区的相关知识，歌声嘹亮笛声悠扬，居民朋友们在欢乐祥和的气氛中度过了一个美丽的夜晚。 ​​​​,否,,2012-08-29 17:09,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yzpS6reNe
7,为增强社区居民参与六型社区的创建热情，2012年8月28日晚，泽丰苑社区居委会举办了泽丰苑社区消夏文艺晚会，居民朋友们表演了精彩的文艺节目，内容涉及舞蹈、歌曲、功夫扇、笛子等， ​​​​,否,,2012-08-29 17:08,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yzpRFyukZ
8,泽丰苑居委会定于8月28日晚7点在一期中心花园举行“泽丰苑社区2012年消夏文艺晚会”届时欢迎您光临！ ​​​​,否,,2012-08-27 16:56,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yz6VDwg4S
9,8月22日下午，社区组织20户居民参与了北京大学环境与经济研究所的学生的调研活动，内容是：北京市居民环境与健康的调查问卷。分别在社区居委会活动室及居民家开展。李燕芳、李丽分别带学生进行入户。 ​​​​,否,,2012-08-24 15:26,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yyE3P3xvh
10,8月22日下午，社区组织20户居民参与了北京大学环境与经济研究所的学生的调研活动，内容是：北京市居民环境与健康的调查问卷。分别在社区居委会活动室及居民家开展。李燕芳、李丽分别带学生进行入户。 ​​​​,否,,2012-08-24 15:16,1,1,赞,微博 weibo.com,https://weibo.com/2650437795/yyDZF60yV
