序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中秋前夕，玉海园一里社区陆续慰问社区内部分八旬老人，老人们都非常高兴。 ​​​​,否,,2012-09-07 16:10,7,1,赞,专业版微博,https://weibo.com/2648916065/yAMkqfHwE
1,转发微博,是,【免费流感疫苗下月接种】#生活提示#随着季节变化天气逐渐转凉，衣服增减的不及时，就很容易感冒。头晕脑胀不仅影响工作学习，还可能传染家人。目前，本市各接种门诊的自费流感疫苗接种已经开始，免费的流感疫苗接种将于10月10日启动，一直持续到11月底。祝各位同学身体健康！ ​​​​,2012-09-07 15:48,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yAMbvnrDZ
2,2012年09月13日在玉海园社区，为流动育龄妇女进行免费孕检。2012年9月10日前，居住在玉海园一里社区参加孕检的育龄妇女携带流动人口婚育证明，到一里居委会加盖查验章和有居委会名称的方章 ​​​​,否,,2012-09-06 10:30,1,1,赞,微博 weibo.com,https://weibo.com/2648916065/yAAFV9JBJ
3,转发微博,是,【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ​​​​,2012-08-30 16:23,1,1,赞,微博 weibo.com,https://weibo.com/2648916065/yzyZR8h0W
4,努力生活,是,生活坏到一定程度就会好起来，因为它无法更坏。努力过后，才知道许多事情，坚持坚持，就过来了。  ​​​​,2012-08-30 16:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yzyZ4nQ2b
5,玉海园一里、二里、玉阜嘉园社区第四届残协换届选举暨残疾人代表大会在玉海园一里社区召开，共计15名代表参加会议。举手表决通过了新一届残协委员会人选并通过了主席、副主席和委员的人选。将继续发挥好残协为残疾人朋友的服务作用，落实国家关于残疾人的优惠政策，为残疾人营造和谐温馨的生活环境。 ​​​​,否,,2012-08-30 16:19,1,2,赞,微博 weibo.com,https://weibo.com/2648916065/yzyYhB5ps
6,转发微博,是,【非京籍者办护照先网上预约】#聚焦北京#9月1日起，非京户籍人员可在本市办理出入境证件。符合条件的非京籍人士办理时需提前网上预约，以提前完成审核工作，减少申请人等候时间。申请人可登录首都之窗网站（O网页链接）或拨打出入境管理总队咨询电话（84020101）了解相关信息。 ​​​​,2012-08-29 16:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yzpL41Nrq
7,转发微博,是,"#新24孝：教父母学会上网# 通过调查问卷研究，科学家们发现，长者经常与隔代人通过发邮件、视频聊天联系，而且奶奶（外婆）比爷爷（外公）要频繁，因为这样既省电话费，又能更丰富地表达感情(Sergio Sayago, et al.，2011)。 ​​​​",2012-08-29 16:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yzpK3mQb7
8,为了丰富中小学生的假期生活，社区组织青少年捡拾白色垃圾，开展维护环境，做文明小使者活动。大家手持垃圾袋及竹夹子在社区内开始了环境卫生整治活动 ​​​​,否,,2012-08-23 10:58,1,1,赞,微博 weibo.com,https://weibo.com/2648916065/yysSxiBmU
9,转发微博,是,,2012-08-16 17:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yxrgLeUDH
10,社区推行文明养犬，提倡养犬人除脏去粪 ​​​​,否,,2012-08-16 16:55,1,1,赞,微博 weibo.com,https://weibo.com/2648916065/yxrdVox1V
11,安全快乐生活每一天,是,玉海园一里社区召开了消防安全培训会。民警通过生动的案例向在座的居民介绍了燃气安全、用电安全的知识。物业工作人员带来了灭火器，现场向大家示范如何使用并如何识别有效期。 ​​​​,2012-08-15 14:21,2,2,赞,微博 weibo.com,https://weibo.com/2648916065/yxgN2grkD
12,善待动物//@海淀街道立新社区: 转发微博,是,流浪動物走的路艱難無比，是你無法想象的。請大家真的真的不要傷害牠們。 ​​​​,2012-08-15 14:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yxgMwmm9Q
13,玉海园一里社区召开了消防安全培训会。民警通过生动的案例向在座的居民介绍了燃气安全、用电安全的知识。物业工作人员带来了灭火器，现场向大家示范如何使用并如何识别有效期。 ​​​​,否,,2012-08-15 12:29,3,评论,赞,微博 weibo.com,https://weibo.com/2648916065/yxg3nbpeY
14,关爱眼健康，眼科医院到玉海园一里社区，免费为居民进行视力、裂隙灯、小瞳眼底检查 ​​​​,否,,2012-08-13 15:17,1,1,赞,微博 weibo.com,https://weibo.com/2648916065/ywYiLtUo7
15,转发微博。,是,#招招可防入室盗#美人卷珠帘，深坐蹙娥眉[bed凌乱]。最受美女们喜欢的防盗小窍门：在窗户上挂一幕珠帘，或者垂一束风铃，既浪漫，又能起到很好的防盗作用。 ​​​​,2012-08-09 16:52,转发,评论,赞,政府版微博,https://weibo.com/2648916065/ywncX1mW9
