序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月13日上午，三里社区居委会组织全体工作人员对辖区内进行一次全面灭蚊蝇工作，通过这次的灭蚊蝇工作有效的降低了社区内蚊虫密度，为居民创造了一个健康洁净的生活环境。 ​​​​,否,,2012-09-14 15:19,1,1,赞,专业版微博,https://weibo.com/2650451165/yBPZg93Zs
1,2012年8月24日下午，我社区刘主任组织社区全体工作人员和社区居民代表在市民学校召开了2012年上半年工作总结会。会议上刘主任对上半年的工作向居民代表做了汇报，并提出了社区下半年工作安排及要求，为社区下半年工作指明了方向，明确了重点，为完成下半年目标任务也奠定了坚实的工作基础。 ​​​​,否,,2012-09-03 13:59,1,2,赞,微博 weibo.com,https://weibo.com/2650451165/yA9Lmfjr5
2,8月17日上午，我们三里社区组织“党员志愿者服务队”和“社区志愿者巡逻队”以及物业垃圾分类工作人员进行清理小广告、捡拾白色垃圾，是社区环境得到了改善。 ​​​​,否,,2012-08-23 17:05,2,2,赞,微博 weibo.com,https://weibo.com/2650451165/yyvhvu3xE
3,8月21日上午，我社区居委会人员和社区同学们一起到空巢老人家进行慰问。使得同学们懂得从小就要尊老敬老，把我们中华民族的这一优良传统美德继承并发扬光大。同时，学生们还主动的为爷爷奶奶表演节目，老人的脸上洋溢着幸福的笑容。这次活动不仅为老人送去了温暖，也使自己度过了非常有意义的一天。 ​​​​,否,,2012-08-23 16:59,1,3,赞,微博 weibo.com,https://weibo.com/2650451165/yyveVBS4P
4,8月16日下午，居委会全体工作人员、社区志愿者与能动英语工作人员一起在社区健身广场，为我社区的青少年组织一次既有娱乐，又有知识问答“清凉一夏，能动趣味运动会”。同时此次活动也丰富了孩子们的暑期生活。 ​​​​,否,,2012-08-20 11:23,1,1,赞,微博 weibo.com,https://weibo.com/2650451165/yy0LbfnmJ
5,田村路街道于8月11日上午在三里社区健身广场举办了海淀区创建全国文明城区启动仪式。参加的有海淀区督导小组、街道工委书记、街道办事处主任、机关干部、28个社区居委会干部、演职人员以及社区居民参加了此次大型活动，活动现场四周彩旗飘舞，发放宣传材料等。 ​​​​,否,,2012-08-16 16:50,1,1,赞,微博 weibo.com,https://weibo.com/2650451165/yxrbE9z7f
6,我社区于8月6日上午组织了青少年参加社会活动，在社区工作人员的带领下，对社区内铲除小广告、清除绿地的果皮、纸屑、白色垃圾、灭蚊蝇等，进行彻底的大清理。通过这次实践活动不仅美化了小区的环境，更是对青少年的一种教育，让他们感受到了劳动的快乐和保护环境的的重要。 ​​​​,否,,2012-08-08 11:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2650451165/ywbC48nXJ
7,2012年7月31日“健康北京灭蚁行动”入户灭蚁行动正式启动了，在社区工作人员的陪同下专业灭蚁工作人员走进居民家中灭蚁。此次灭蚁行动社区居民积极参与、做好家庭环境卫生清理，配合专业人员入户灭蚁并正确使用灭蚁药物，实现远离蚂蚁侵扰，拥有健康家庭的目标。 ​​​​,否,,2012-08-01 17:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2650451165/yv9RR3vQf
8,7月27日上午，社区居委会工作者和社区卫生服务站工作者王站长、高大夫一起看望社区老年人，到家中为老年人免费检查。同时也嘱咐老人有事及时和我们联系，我们尽最大的努力帮助社区居民，解决实际困难。望所有的老年人健康、幸福。 ​​​​,否,,2012-07-30 17:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2650451165/yuR0w6zKR
9,2012年7月25日下午，根据上级通知，我社区居委会工作人员组织险情排查，利用社区内宣传栏等宣传方式提醒社区内广大居民朋友们做好防雨防雷电各项准备工作，同时大力做好雨季宣传工作。 ​​​​,否,,2012-07-25 16:57,转发,1,赞,微博 weibo.com,https://weibo.com/2650451165/yu5PPAhpW
10,7月21日，暴雨袭击了京城。社区造成了路面积水，下水道堵塞。灾情发生后，街道办事处、社区居委会、社区居民积极采取行动，发扬不怕苦，不怕累，不怕险的精神，迅速投入到抢险救灾之中，全力筑牢防汛防线。 ​​​​,否,,2012-07-23 14:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2650451165/ytM6e9J1H
11,我社区于7月9日上午，在居委会办公室由书记组织居委会全体成员学习北京市第十一届党代会精神。大家在学习的过程中，充分认识学习党代会精神的重要意义，把党代会的精神贯彻到工作和学习中去。 ​​​​,否,,2012-07-09 17:15,转发,评论,赞,微博 weibo.com,https://weibo.com/2650451165/yrF71gzFN
