序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,【中秋节未到 月饼已登台】虽然距离中秋节还有一段时间，但我区各大商场超市里的月饼已经是上市促销了，值得注意的是，由于今年全国范围内实施新版食品添加剂使用标准之后，按照规定，月饼中防腐剂的种类和用量都受到了严格的控制，保质期大多都是两个月了~O网页链接 ​​​​,2012-09-10 14:58,转发,评论,赞,专业版微博,https://weibo.com/2645293117/yBe8Cry90
1,今天天气好晴朗，处处好风光！ ​​​​,否,,2012-09-03 11:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yA8AvEmwD
2,//@田村路玉海园一里社区: 转发微博,是,【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ​​​​,2012-08-31 09:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yzFB8gcga
3,祝大家节日快乐！//@海淀区政府网站: “七夕”快乐~！[七夕],是,[玫瑰] 今天你‘七夕’了吗？祝大家情人节快乐~~~~[七夕] ​​​​,2012-08-23 15:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yyuCjk6nY
4,转发微博,是,#便民消息#【12345，政府服务热线帮群众解难题 拉近距离】目前，12345正计划开通官方微博和直播室，拓宽百姓诉求的渠道。同时将进一步深化功能，在受理、交办、督办、反馈、落实、回访功能的基础上，增加决策会商，把12345建成社情民意的汇集、分析、研究中心。O网页链接 ​​​​,2012-08-21 16:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yyc6jvPkC
5,再多一个粉呗，这个数字停留的时间有点长啊！ ​​​​,否,,2012-08-17 14:12,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yxzA9bJvY
6,小日本！//@李开复://@福布斯中文网: 【日本安保厅大量人员控制钓鱼岛】保钓人员通过facebook在钓鱼岛附近更新信息，日本保安厅有至少30名人员已控制钓鱼岛，已经控制了多名保钓人士，而登陆钓鱼岛的启丰二号船头被多次撞击损毁，不清楚是否有能力回航。日本也派出直升机监控，并向保钓船发射水炮。,是,【香港保钓人士成功登岛】日本媒体和香港保钓人士都已经确认，香港保钓人士已经成功登陆钓鱼岛。香港保钓船启丰号的6名船员已经登岛。他们表示至少会： 1. 插国旗 2. 唱国歌 3. 放置中国制电视机和收音机接收中国广播 4. 拆日本灯塔 5.拾石头。而日本海上保卫厅表示，将会逮捕登岛人员。 ​​​​,2012-08-16 05:25,转发,评论,赞,Android客户端,https://weibo.com/2645293117/yxmHWbUgN
7,//@李开复: //@牛文文: 晚上继续来！转发就送电子杂志，订阅就5折，包快递！月初杂志就到你手中。真正实惠！猛戳这里：O网页链接,是,再发一条新的：庆祝《创业家》创刊4周年，8月15日-8月20日，老牛决定全场杂志史无前例的5折订阅包快递！对转发此微博的博友每人赠送一期电子杂志（纸质杂志送了几万本，老牛再送不起了！），转一次送一期。这才是真正实惠！要抓住机会猛戳O网页链接。 ​​​​,2012-08-16 05:22,转发,评论,赞,Android客户端,https://weibo.com/2645293117/yxmGwnM6F
8,"@文明北京: #滋乌反哺#//@中国文明网: 【别让我们白发父母空等待】古人云""父母在,不远游""。可在这个流动性日益增强的现代社会中,越来越多的人远离故土到大城市工作，""父母在不远游""已成为遥远的怀想。""百善孝为先""，其实""孝星""就在我们身边和""孝心""也本就存在我们心中，请尽力关心下父母，尽一份孝心。",是,"【新""24孝""行动标准发布 呼吁每周给父母打电话】14日，新版""24孝""行动标准发布，与传统""24孝""相比，新""24孝""不仅包括""教父母学会上网""、""为父母购买合适的保险""等与现代生活紧密结合的行动准则，还包括""支持单身父母再婚""、""仔细聆听父母的往事""等观念突破和对老年人的心理关怀。O网页链接 ​​​​",2012-08-15 10:46,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yxfnJ94O9
9,//@海淀区政府网站: 转发微博,是,#市住保办一周博友评论回复#上周有网友提问：公共租赁住房的审核及公示时限是多长呢？现在，我们来回答大家 ​​​​,2012-08-15 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/yxfn8evQo
10,终于能上网了！ ​​​​,否,,2012-08-15 10:44,1,1,赞,微博 weibo.com,https://weibo.com/2645293117/yxfmUC5xJ
11,转发微博,是,,2012-08-12 14:44,转发,评论,赞,微博 weibo.com,https://weibo.com/2645293117/ywOEvyFJp
12,//@平安北京:一定看清楚：1008600是诈骗电话,是,,2012-08-11 22:56,转发,评论,赞,Android客户端,https://weibo.com/2645293117/ywIrXd9wT
