序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,白露到来，添件衣裳~,是,【白露】#北京你好#今日限行1和6，最高气温25℃部分地区有阵雨。今日白露，每到这个节气总想起“蒹葭苍苍，白露为霜，所谓伊人，在水一方”的句子。若是在野外，几场秋风秋雨过后，路边的茅草就该是转黄的时候了，芦苇丛苍茫无尽，挂着冰凉的露珠，想要追寻的梦想，总在彼岸招摇。原创图片——蒹葭。 ​​​​,2012-09-07 11:30,1,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yAKuLDi97
1,上周我社区组织党委成员和小朋友们开展了城市清洁日工作，社区是我家，环境靠大家~ ​​​​,否,,2012-09-03 11:22,1,1,赞,微博 weibo.com,https://weibo.com/2647574577/yA8Jr7fxV
2,今天是周一，愿大家一周好心情~ps：今天出行时发现路边的车站很多穿校服的小盆友出现了~大家出行可以比平时稍早一些，错开上学高峰~ ​​​​,否,,2012-09-03 09:47,1,1,赞,微博 weibo.com,https://weibo.com/2647574577/yA877lyqK
3,返校咯~小盆友们开学了，开车请慢行，一起保护祖国的花朵~,是,#海淀新闻#警察叔叔陪我返校！在中小学校集中返校开学之际，海淀警方启动高峰勤务，派出所民警于上下学的高峰时段在校园周边巡逻防范，切实提高师生家长安全感，共同创建文明、安全、和谐校园环境。[甩甩手] ​​​​,2012-09-03 09:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yA86hmdaO
4,便民利民，预约上门~,是,#我要办事# 【海淀区房管局房屋登记预约系统正式上线】平台的开通是为了方便百姓预约相关事项的办理时间，预约成功后，申请人将收到确认短信，系统也会自动发送《预约通知书》。请保留好确认短信或打印《预约通知书》，预约当天携带到办事现场入口：O网页链接 @海淀在线 @安居北京 ​​​​,2012-08-28 10:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yzdN8bvXs
5,"//@海淀区政府网站: 【二代身份证不会被消磁】二代身份证使用的芯片类似于U盘,是不会发生所谓的""消磁""的情况。如果您的二代身份证信息无法读取,应该是芯片四周的线圈出现了损坏或者是对方身份证识别仪出现了故障,建议到派出所进行检测,如确实是损坏了,需要重新办理。大家平时放置身份证时别折了窝了",是,#求证# 有报道称【身份证不能长期与手机放在一起】有市民反映他的第二代身份证在办理业务时读不了信息，结果发现原来是他常把证件与手机放一起所致。二代身份证采用内置IC芯片技术，不能长期与手机、电视机等有磁性物体放一起，否则会使芯片出现故障，从而影响设备读取数据导致不能使用。@平安北京 ​​​​,2012-08-27 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yz3QudTRB
6,女性朋友看过来~,是,#每天一碗养颜粥#5年内比同龄人年轻10岁。原料：绿豆50克、扁豆50克、莲子50克、薏米50克、大枣30克、枸杞10克。功效：增强免疫力，抗疲劳，抗衰老，补肾，补气，增加元气。提高免疫力，抗疲劳，抗衰老。现代医学发现具有防癌抗癌的功效。 ​​​​,2012-08-24 14:59,1,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yyDSUCRPP
7,今天灭蚁公司的工作人员冒着大雨来到我社区入户发药和布药，消灭小蚂蚁，共建美好西木社区~ ​​​​,否,,2012-08-01 15:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yv9pyqcDb
8,爱心天气预报：亲爱的居民朋友们，今天白天小到中雨，夜间中到大雨，23-29摄氏度。请大家做好防雨准备~ ​​​​,否,,2012-07-25 09:27,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yu2T4501O
9,夏日特饮之 冬瓜茶 准备： 一只砂锅，一块冬瓜1000克左右，150克红糖，150克冰糖。 1）冬瓜去皮去籽洗净切小方块，码入砂锅 2）倒入准备好的红糖，冰糖 3）加水至七分满 4）文火煮1小时，至冬瓜呈半透明咖啡色即可关火，滤出冬瓜茶。 ​​​​,否,,2012-07-18 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/ysYTkaWRU
10,凉拌苦瓜 原料： 苦瓜500克，熟植物油9克，酱油10克，豆瓣酱20克．精盐2克，辣椒丝25克，蒜泥5克。 做法： 1、将苦瓜剖两半，去瓤洗净后切1厘米宽条，在沸水中烫一下放凉开水中浸凉捞出，控净水分。 2、将苦瓜条加辣椒丝和精盐，控水，然后放凉开水中浸凉捞出，放酱油、豆瓣酱、蒜泥和熟油拌匀即可。 ​​​​,否,,2012-07-17 09:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/ysPyM7ibF
11,好心情，从周一开始~西木社区祝福社区工作者和居民朋友们一周好心情~ ​​​​,否,,2012-07-16 09:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/ysFZwrE4C
12,西木爱心天气预报：今天白天到夜间，雷阵雨，22至30摄氏度，微风。请大家出门记得带伞喔~ ​​​​,否,,2012-07-04 11:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yqRAv1Oq0
13,西木社区“爱心指路队”正式成立啦~西木社区爱心指路队是由社区巡逻志愿者队伍发展出来的。志愿者们联合居委会委员共同制作了爱心小地图，将西木社区附近的商圈、卫生服务站、车站等信息一一标注，方便给过往的群众指路。服务虽小，爱心是大，愿我们的爱心指路队在炎炎夏日给路过的您带来一丝凉意！ ​​​​,否,,2012-07-04 10:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2647574577/yqR9DC0WQ
