序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,节日天气情况：国庆假日期间，我国大部地区气温适宜，除西南地区、西北地区东南部等地多阴雨天气外，其他大部地区以晴间多云天气为主，总体天气条件较好，适宜人们外出活动。4日前后，海南受热带气旋影响将出现较强风雨天气。请大家密切关注天气预报，根据天气情况提前安排好出行计划！ ​​​​,否,,2012-09-30 12:57,17,9,赞,微博 weibo.com,https://weibo.com/2750914481/yEfTJuYXe
1,今晚适合赏月的地方真多啊,是,【今晚适合赏月的地方真多啊】中秋夜，新疆西部、四川南部山区和四川盆地、云南中西部等地天空云量较多，部分地区有弱降水，大城市中成都、重庆、昆明遗憾与明月无缘。其它地区多以晴间多云天气为主，大气透明度好，风清月朗，适宜赏月。但现在正值秋季，尤其北方地区，外出赏月时注意添加衣物。 ​​​​,2012-09-30 12:55,2,1,赞,媒体版微博,https://weibo.com/2750914481/yEfSDgnU1
2,出行提示：1.机场高速（S12），出京方向五元桥路段拥堵，车辆行驶缓慢。请途经车辆安全驾驶。2.京津永乐主站出京方向天津段有临时交通管制，车辆出现滞留。 ​​​​,否,,2012-09-30 12:51,6,3,赞,微博 weibo.com,https://weibo.com/2750914481/yEfR8rjaX
3,请关注这个展览！,是,"#丰台发布#“发现丰台之美”图片展览今天已在首都博物馆展出。整个展览分为城记、城景、城事、城脊、城趣五部分。展览将持续至十月中旬。欢迎广大市民前往参观。发现丰台之美,领略丰台之美! ​​​​",2012-09-30 12:46,4,1,赞,政府版微博,https://weibo.com/2750914481/yEfPhxEPD
4,请大家关注出行信息，出行时做到文明有序。,是,#丰台发布##交通提示#截止9月30日10时30分，我区主要道路运行平稳，京港澳高速出京方向交通拥堵有所缓解，出京方向行驶缓慢，进京方向正常；京开高速出京方向行驶缓慢，进京方向正常；市内主要道路道路车辆行驶正常，六里桥、丽泽桥、赵公口长途客运站人流量较大，目前全区交通应急人员全部在岗在位。 ​​​​,2012-09-30 12:46,2,1,赞,政府版微博,https://weibo.com/2750914481/yEfOYktXn
5,石榴庄村委会希望广大村民在节日期间能自觉维护公共场所的卫生和良好秩序，做到文明出行、健康过节！衷心祝愿大家中秋、国庆双节快乐！ ​​​​,否,,2012-09-29 10:02,21,7,赞,微博 weibo.com,https://weibo.com/2750914481/yE5k3tRGO
6,石榴庄村民欢乐迎“双节”_中国广播网  O网页链接 ​​​​,否,,2012-09-29 09:48,19,9,赞,JiaThis分享按钮,https://weibo.com/2750914481/yE5epkQpQ
7,秋季天气干燥，大家要多饮水！,是,【长假期间我国大部天气晴好】今天是长假前的最后一天，南方大部降温4-6℃，局地可达8℃；东北和西南仍持续阴雨，黑龙江东部降雨较强。但从明天开始，东北将拨云见日，晴天主打。此后，全国大部的好天气将一直伴随整个假期，适宜外出游玩。4日前后海南将有大雨暴雨，请注意防范。O网页链接 ​​​​,2012-09-29 09:04,4,3,赞,媒体版微博,https://weibo.com/2750914481/yE4WHAyIb
8,请大家提前做好黄金周的出行准备，安全礼让，文明出行！！,是,#出行提示# “十一”黄金周期间本市所有收费公路将对7座以下（含7座）小客车免费通行，预计节日期间市域内主要高速公路车流量将有大幅上升，易出现交通拥堵。@交通北京 为您准备了市域内8条主要高速公路拥堵绕行路线图，请您参考：[推荐] ​​​​,2012-09-29 08:53,5,3,赞,政府版微博,https://weibo.com/2750914481/yE4RW74D6
9,创建首都文明区需要全区人民的共同努力！,是,#丰台发布#9月26日，我区南苑乡石榴庄村举办“创建首都文明区·迎国庆·庆中秋”十字绣大赛。根据作品的选题及编织水平，评选出一、二、三等奖。通过发放创建首都文明区宣传材料，组织参赛选手观看宣传片，大力宣传创区相关工作及该乡创区工作取得的系列成就，推动我区创区工作的深入开展。 ​​​​,2012-09-28 09:58,6,1,赞,政府版微博,https://weibo.com/2750914481/yDVS6w9j5
10,温馨提示：北京市交通交管部门预告，本周三至周五，晚高峰极易出现大范围严重交通拥堵。交通部门提醒市民尽量少开车，更多选择公共交通出行。另据天气预报显示本周四、周五有4—6级大风，请大家提前做好出行准备，注意防风保暖。 ​​​​,否,,2012-09-26 15:27,10,7,赞,微博 weibo.com,https://weibo.com/2750914481/yDFaC7d5k
11,石榴庄村“迎国庆 庆中秋”十字绣大赛，经前期的作品收集，共有40幅作品参赛。9月26日上午，石榴庄村进行了大赛评选及颁奖活动。南苑乡副乡长杨云、乡工会主席王俊庆及丰台区鸿基培训学校的手工编织老师应邀参加作品的评选，并对参赛作品进行点评。经评选大赛产生一等奖3名，二等奖6名，三等奖10名。 ​​​​,否,,2012-09-26 14:34,29,11,赞,微博 weibo.com,https://weibo.com/2750914481/yDEOSnbiY
12,温馨提示：据气象台消息，明日可能有阵雨，请大家提前做好出行安排，外出时注意安全。天气变化请大家注意添加衣服，注意饮食卫生，有效预防感冒、腹泻等疾病。 ​​​​,否,,2012-09-24 10:25,6,3,赞,微博 weibo.com,https://weibo.com/2750914481/yDkkQyp2d
13,各位石榴庄村民请注意：石榴庄村开展的“争创首都文明区，石榴庄庆十一、迎中秋十字绣作品大赛”已经开始，请还未交作品的参赛者务必在9月26日前将您的作品上交至各分公司或村委会，本月底大赛将进行评选和颁奖活动！！感谢大家参与！！ ​​​​,否,,2012-09-24 10:21,6,5,赞,微博 weibo.com,https://weibo.com/2750914481/yDkjj6dcU
14,创建首都文明区，做文明健康北京人，请大家一起推广第九套广播体操！！,是,第九套广播体操（大众广播体操）高清完整版O网页链接 ​​​​,2012-09-24 10:20,18,8,赞,专业版微博,https://weibo.com/2750914481/yDkiZjJlc
15,转发微博,是,#2012北京国际铁人三项赛志愿者#4. 志愿者风采 ​​​​,2012-09-24 10:19,4,1,赞,微博 weibo.com,https://weibo.com/2750914481/yDkionqjD
16,转发微博,是,#2012北京国际铁人三项赛志愿者#2.市区领导慰问志愿者 ​​​​,2012-09-24 10:19,3,1,赞,微博 weibo.com,https://weibo.com/2750914481/yDkikfgbc
17,461416 ​​​​,否,,2012-09-22 08:46,转发,评论,赞,短信,https://weibo.com/2750914481/yD0PKCbgL
