序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博。,是,【北京天气】今天有两个好消息，第一个是今天周五，明儿不上班，第二个是周末很凉爽。周末两天北京阴天，最高气温仅有30℃，凉爽的令人内牛满面。周六晚上将有雷阵雨，但也只是夜间，不影响大家白天外出。O网页链接 ​​​​,2012-08-10 08:41,转发,评论,赞,iPhone客户端,https://weibo.com/2726944357/ywtqudycY
1,转发微博,是,【房山4200名山区居民将搬至平原】房山区人口迁移办公室消息：预计将有4200名生活在山区险村的居民将迁往平原地区居住，为他们建设的住宅区将在今年8月底之前开工。市政府要求，受灾乡镇至少在入冬前要完成房屋的修复。对于险村险户，应在一年半内集中搬迁，但具体迁入地址还要结合村民意愿和镇域规则 ​​​​,2012-08-08 16:43,转发,评论,赞,微博桌面,https://weibo.com/2726944357/ywdIPzElK
2,转发微博,是,#出行提示#今日21:30，因降雨较大，京港澳高速北京段全线封闭。 ​​​​,2012-07-27 21:52,1,评论,赞,微博桌面,https://weibo.com/2726944357/yuqCo5qOA
3,转发微博,是,抗洪救灾 众志成城 ​​​​,2012-07-27 21:51,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yuqCgFPyP
4,//@北京发布:回复@jackin剑:各有关部门都在积极做好灾后服务工作，如有需要，欢迎您拨打电话。,是,【房屋防汛报修值班电话开通】即使大雨已经结束，但经过雨水冲刷的房屋，仍有可能出现漏雨、渗水、需要加固等状况。在此，给大家提供市住建委公布的各区县房屋防汛昼夜值班电话，市民可以通过电话报修求助。 ​​​​,2012-07-27 15:29,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yuo735kUr
5,转发微博,是,【郭金龙：北京暴雨灾害教训异常深刻】人民网报道，今日上午11时15分许，在北京暴雨重灾区房山十渡镇前头港村，正在房山区指导救灾善后工作的北京市委书记郭金龙表示，这场灾害给北京带来的教训是异常深刻的，必须不断反思，永远铭记，不断改进工作，使得这样的灾难不再出现。O网页链接 ​​​​,2012-07-27 12:31,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yumWGkeCH
6,转发微博,是,【市公安局公布伤亡人员身份核实电话】经过紧张工作，公安机关已核实清楚大部分遇难人员身份，仍有少数人员身份无法确认，请有线索的失踪人员家属或知情者尽快与公安机关联系。公安机关将全力做好接待、登记、核实等工作。联系单位：市公安局治安管理总队，电话：62014533（24小时专人职守）。 ​​​​,2012-07-27 12:30,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yumWpvduV
7,//@北京发布:转发微博,是,【下午有雷阵雨 周六降水明显】27日11时北京气象信息：白天以阴为主，能见度低会影响视线，注意交通安全。夜间阴有中雨，雨势逐渐加强，周六有明显降雨，局部量级较大，并伴有雷电，建议减少外出活动。降雨会导致山区出现滑坡、泥石流等地质灾害的风险加大，提醒当地政府和居民注意防范。 ​​​​,2012-07-27 11:11,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yumqmjp8O
8,转发微博,是,【房山临时安置房8月5日前可入住】房山区已全力开展灾后重建工作。预计为受灾群众临时搭建的房屋将在十天左右可供灾民入住。另外计划用三个月左右时间修缮受灾房屋，对不能回迁的受灾群众，将选择搬迁安置。 ​​​​,2012-07-27 09:24,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yulIMCtjA
9,转发微博,是,【遭遇山洪泥石流如何自我保护】７月２０日以来，北方一些地区遭遇暴雨袭击，一些山区发生泥石流、山洪等地质灾害，地质专家提醒公众，山区发生山洪泥石流时，应学会自我保护。 ​​​​,2012-07-26 14:34,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yuek23F7h
10,转发微博,是,记者亲身体验，暴雨天气 平安自救的知识。O网页链接 ​​​​,2012-07-26 12:47,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yudCAlnK9
11,转发微博,是,#汛情通报#市防汛办提示您：今日傍晚到夜间本市部分地区将出现中到大雨，相关部门已发布暴雨蓝色、汛情蓝色和地质灾害黄色预警，请广大市民远离山区、河道，注意防范泥石流、雷电等灾害，加强自身防护，确保人身安全。 ​​​​,2012-07-25 14:50,转发,评论,赞,微博桌面,https://weibo.com/2726944357/yu505dwcW
