序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,#iLaphone双节重磅促销#你旺我也旺！这个好活动必须力挺！恭祝你们飞黄腾达！也希望能有这个好运气中奖，小编辛苦啦！ @黄寒笑 @申满 @何容 @邹幼 @沙紫僖  地址：O网页链接,是,"#每售3000台,汽车送出来.iLaphone双节重磅促销#能将iPhone变成笔记本的超牛产品，售1179；每卖3000台，汽车送一台。促销详情：O网页链接 预售页面：O网页链接 关注@iLaphone爱拉风 转发并@ 三位好友，iPod Touch等你拿哦 O网页链接 ​​​​",2012-09-28 17:44,转发,评论,赞,微活动-#每售3000...,https://weibo.com/2854964393/yDYVaosfP
1,#厨啡#参加活动的同时让我们一同分享快乐生活，期待好运气！2012我的好运来啦！非常感谢！我会努力的! 。 @周映 @萧全丽 @娄贤冠 @高鹤 @康杏星  地址：O网页链接,是,厨啡咖啡生活体验馆，双节优惠送#THE　COFFEE　JAM#第一波：从即日起至１０．０７转发微博即可获得独家拼配的意式特浓咖啡　买一送一优惠。 O网页链接 ​​​​,2012-09-28 17:44,转发,评论,赞,微活动-厨啡#THE...,https://weibo.com/2854964393/yDYV82Liw
2,#飞触3#支持下祝你所有心愿都会顺利实现，快乐永驻你悠悠心间！ @沙姵 @卓明 @黄惠 @潘仲任 @江心  地址：O网页链接,是,#飞触3#金秋泡妞、送礼之必备利器——不是4999，也不是2999，只要1499！真的只要1499！现在就关注@飞触平板电脑 官方微博，转发本微博@3个好友，并猛戳支持按钮（O网页链接）你就有机会获得飞触平板电脑一台哦！想成为那个幸运者吗？还不狂击起来！ O网页链接 ​​​​,2012-09-28 17:44,转发,评论,赞,微活动-庆双节送...,https://weibo.com/2854964393/yDYV5ED2z
3,#居然之家环宇店地点#[bofu啃西瓜]转一转，相信会有好运被我转出来的！！！ @荀翠 @韩羽 @敖靖镜 @任贝倩 @蔚霖  地址：O网页链接,是,9月29日-10月7日居然之家合肥环宇店开展中秋有礼，国庆钜惠优惠活动，全场成交价上低至75折。满2000元即可领取一张抽奖券，参加环宇店10月7日晚8点前的“苹果”抽奖活动，一等奖 iPhone4s 5部、二等奖 iPad2 10部、三等奖 ipod nano6 20部。详情咨询：2935555 O网页链接 ​​​​,2012-09-28 17:44,转发,评论,赞,微活动-转发最高...,https://weibo.com/2854964393/yDYV1y37G
4,#双节将至双福共享#小编如此给力，我也要给力！！！ @赵斗健 @莫党盼 @汪丽轮 @张曙盛 @任雪  地址：O网页链接,是,#双节将至 双福共享# 国庆中秋两佳节，双份祝福来送上。上海新浪二手房与您一起道出对家人朋友爱人的祝福。现在只要您关注@上海新浪二手房，参与话题写下祝福语。转发此微博并且@3位好友，就有机会获得手机充值卡温情礼品哦~赶快行动吧！ O网页链接 ​​​​,2012-09-28 17:44,转发,评论,赞,微活动-双节将至 ...,https://weibo.com/2854964393/yDYUZcm26
5,喜欢就转发吧，下一个幸运会是你吗 @焦夏承 @黄靖 @姜立 @安心军 @褚锐  地址：O网页链接,是,#聚美大牌疯狂满减月#庆波斯顿官方聚美旗舰店盛大开业！9月27日，波斯顿、高夫、妮维雅三大男士护肤品牌限时满200减100返100！O网页链接参加微博有奖转发，即有机会获得价值94元波斯顿传奇香水（共100份）！微博晒单请点击O网页链接 O网页链接 ​​​​,2012-09-28 17:44,转发,评论,赞,微活动-#聚美大牌...,https://weibo.com/2854964393/yDYUX6EZ8
6,#迎国庆关注易哥免费得LG四核手机#你旺我也旺！这个好活动必须力挺！恭祝你们飞黄腾达！也希望能有这个好运气中奖，小编辛苦啦！ @严菁 @顾冉溢 @沙驹 @邢芙 @雷新  地址：O网页链接,是,LG四核Optimus 4X已在易迅火爆销售，Android4.0 4.7寸720P高清大屏 1.5GHz四核，今天起到29日只要你关注@易迅网手机通讯 转发话题并@ 给您三位好友即有机会获得LG擎天4核手机一部！快来参加吧！O网页链接 同时手机全场满千送百活动火爆进行中！ O网页链接 ​​​​,2012-09-28 17:43,转发,评论,赞,微活动-庆国庆 赢...,https://weibo.com/2854964393/yDYUT04qz
7,期待张炜high爆全场，还有三个喜欢的在32郎组，明天的半决赛都不忍心看了。真心希望关喆，平安，丁丁都能入围就好了,是,,2012-09-28 17:43,1,1,赞,微博 weibo.com,https://weibo.com/2854964393/yDYUQkkS8
8,小时候玩过这个的自觉转发！！ ​​​​,否,,2012-09-28 17:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2854964393/yDYUN5otm
9,#蔡康永爱情短信#支持下祝你所有心愿都会顺利实现，快乐永驻你悠悠心间！ @郝秀东 @方浩雪 @丁纯 @马茹 @徐琬  地址：O网页链接,是,,2012-09-28 17:43,转发,评论,赞,微活动-#蔡康永爱...,https://weibo.com/2854964393/yDYULiU9D
