序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,#请理性爱国#对日本侵犯我国主权行为，我们坚决反对；对损害同胞财产与感情行为，我们也绝不容许！今天，我们用理性宣示力量：我们愤怒，但不失去理智；我们呐喊，但不传播谣言；我们热血，但不盲从暴力！今天，从你我开始，用理性宣示力量。点击呼吁：O微博呼吁理性爱国 新浪微博-随时随地分享身边... ​​​​,2012-09-21 11:18,10,评论,赞,专业版微博,https://weibo.com/1543689924/yCSoLCl38
1,转发微博,是,合理利用个人的经济行为回击侵我主权者！同时保持理性勿打砸国人自家财产，爱国但不能互相损害！ ​​​​,2012-09-21 11:17,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSoCsLDL
2,转发微博,是,爱国不是“打砸抢烧”，更不是自残自爆。我们践行了理性爱国，文明爱国，我们没有牺牲正常社会秩序为代价来爱国，我们反对暴力，遵纪守法。 ​​​​,2012-09-21 11:17,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSoyDbzt
3,//@i垡头三区社区: 转发微博,是,"我们要坚守岗位,做好自己的本职工作.维护社会稳定,发展经济,强国富民.我们要理性保钓。打,砸，抢，烧的行为，不但不是爱国，而且是害国的行为，我们坚决反对害国害民的暴力行为。我们都要做一位遵纪守法的爱国，爱乡，爱土的好公民。 ​​​​",2012-09-21 11:17,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSotCSHW
4,理性爱国，依法保钓~ ​​​​,否,,2012-09-21 11:16,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSoeyFCe
5,爱国主义和其它道德感情与信念一样，使人趋于高尚. ​​​​,否,,2012-09-21 11:12,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSmwtwnn
6,爱国主义深深扎根于人的本能和感情之中。爱国之情则是放大了的孝心 ​​​​,否,,2012-09-21 11:12,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSmlfS0B
7,爱国主义是一种生动的集体责任感! ​​​​,否,,2012-09-21 11:11,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSm5A1eo
8,对待钓鱼岛事件，广大民众应理性对待和冷静思考！ ​​​​,否,,2012-09-21 11:10,1,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSlOqL2m
9,一种国家，民勇于公战，耻于私斗；一种国家，民怯于公战，勇于私斗。历史与当下都存在。 ​​​​,否,,2012-09-21 11:10,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCSlHlgX1
10,抵制日货一点都没错，经济战日本更没错，综合国力的上升，军事实力的提升，经济实力的展示，这一切都是对付对手的一张张牌，让我们的牌多起来，张张牌都打出力道，打出一套组合拳，这才是理性爱国。 ​​​​,否,,2012-09-21 10:13,2,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRYAuceL
11,“爱国切莫伤及同胞，微博呼吁理智爱国，抵制打砸抢。” ​​​​,否,,2012-09-21 10:11,1,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRXE1K7p
12,理智爱国，不要打砸抢，不要伤害同胞，不要帮倒忙。理性抵制日货的贴发了无数，可还有人热衷于打砸抢，应怀疑这些人別有用心，应查清身份，追究责任，依法惩处。 ​​​​,否,,2012-09-21 10:10,1,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRXjizzY
13,我们尊重爱国情感，呵护年轻人的爱国热情，但绝不容忍不法行为，拒绝让爱国成为流氓的庇护所，不让爱国变成暴行的遮羞布和赦免牌。 ​​​​,否,,2012-09-21 10:01,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRTzmcwo
14,爱国是一个公民起码的道德，也是中华民族的优良传统。“天下兴亡，匹夫有责”，在事关领土主权和国家利益的大是大非面前，我们每一个人都有义务和责任捍卫国家利益。 ​​​​,否,,2012-09-21 10:00,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRTsfVqI
15,我们需要的是稳定团结和理智，需要的是有秩序有步骤的举国反制。中国政府正在积极应对并发出了强有力的声音，下一步继续采取何种措施或策略，相信中国政府是有能力的、有办法的。 ​​​​,否,,2012-09-21 10:00,1,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRTb8q4l
16,爱不爱国，怎么来表达和宣泄是要讲究策略和方法的，与其做一些形式上的过激行为，为什么不静下心来想想怎么做才更有效，更能给损害我国利益的人以有力的打击呢？ ​​​​,否,,2012-09-21 09:59,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRT1ndas
17,宣泄情绪都要遵守法律，简单粗暴地打砸抢烧或捏造网络谣言等是要为自己的不冷静付出代价的。 ​​​​,否,,2012-09-21 09:59,转发,评论,赞,360安全浏览器,https://weibo.com/1543689924/yCRSTnHmW
