序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"祝同仁们""双节""快乐 ​​​​",否,,2012-09-29 11:13,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yE5MP4fAr
1,​​​​,否,,2012-09-29 11:09,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yE5Lj78VS
2,节前大扫除 ​​​​,否,,2012-09-29 11:06,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yE5JWyW2M
3,下大雨喽，提醒大家出行要注意安全！ ​​​​,否,,2012-09-25 15:12,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yDvDQoea3
4,上午9：00，中仁中医院的医生来到了小关社区活动广场，开设了一条为社区居民免费医疗问诊的绿色通道。此次义诊服务得到了社区居民的广泛认可。 ​​​​,否,,2012-09-25 09:49,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yDtwRnqyj
5,开心工作一下午！,是,,2012-09-20 15:02,转发,评论,赞,微博精选,https://weibo.com/2370541753/yCKrsacPL
6,,是,【神一样的抓拍13】爆笑瞬间13！爷爷那是什么!!那是观音草！我们孙家世世代代都靠他来治咳嗽！！！@微博精选#搞笑##各种萌# ​​​​,2012-09-20 15:01,转发,评论,赞,微博精选,https://weibo.com/2370541753/yCKqYijbg
7,,是,看什么看，没见过奥利奥吗  @微博精选#搞笑# #各种萌#    ​​​​,2012-09-20 14:59,转发,评论,赞,微博精选,https://weibo.com/2370541753/yCKq9c5LB
8,居委会民政干部带领社区低保人员定期清理社区角落里张贴的小广告，维护社区环境，共创美好家园！ ​​​​,否,,2012-09-20 14:45,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yCKky0fvv
9,2012年9月20日下午14：00，小关社区居委会组织社区内的党员、居民代表、楼门组长以及享受国家低保的人员，在社区内进行迎十一，清理环境卫生的工作，此次活动得到了社区居民们积极的响应。 ​​​​,否,,2012-09-20 14:40,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yCKir5I8R
10,9月17日上午9：30，我社区召开创先争优活动总结工作会议。社区党委成员、支部书记、委员及部分党员代表参加了会议。[c关注] ​​​​,否,,2012-09-17 10:15,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yCghroUGa
11,[黑板]社区是社会的细胞，社区安全是社会稳定、和谐的基础，安全社区是全面建设小康社会、构建和谐社会和平安社会的重要组成部分.近日，居干在我社区内张贴标语及宣传横幅，向广大社区居民宣传创建安全社区、和谐社区的精神，降低辖区内安全隐患及居家安全事故的发生。 ​​​​,否,,2012-09-17 10:03,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yCgcnhMWU
12,最喜欢的一道菜菜，HH，超好吃！,是,#享.美味#【日本豆腐≠豆腐】我国传统的豆腐，100克可提供138毫克的钙，63毫克镁，12.2克蛋白质。而日本的内酯豆腐呢，100克含钙17毫克，镁24毫克，蛋白质5，相差很多。我们的豆腐用石膏和卤水制成，含有钙和镁，内酯豆腐则是用葡萄糖酸内酯凝固剂制成，不含钙也不含镁，所以营养成分就变的很“稀”了 ​​​​,2012-09-12 15:01,转发,评论,赞,微博精选,https://weibo.com/2370541753/yBx0YkPom
13,,是,我都陪你坐了一上午了，你倒是说句话啊。@微博精选 #搞笑# #各种萌# ​​​​,2012-09-12 14:59,转发,评论,赞,微博精选,https://weibo.com/2370541753/yBx0g1r8N
14,开心工作一下午！,是,,2012-09-12 14:56,转发,评论,赞,微博精选,https://weibo.com/2370541753/yBwYW9ieh
15,社区居民朋友们：我社区来了一位中医专业的社区实践、学习大学生，可以为居民提供如诊脉、针灸等中医诊疗服务，望社区居民相互转告，前来咨询！ ​​​​,否,,2012-09-12 14:54,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yBwYagWU2
16,社区居民注意了：今年国庆节长假为期八天。小客车高速路免费通行的时间明确为９月３０日00：00至１０月７日24：00。 ​​​​,否,,2012-09-12 11:16,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yBvxGbUU8
17,分享图片 ​​​​,否,,2012-09-12 11:14,转发,评论,赞,专业版微博,https://weibo.com/2370541753/yBvx2zjnA
