序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,2012年9月5日上午9点，在社区花园成功开展了安全社区宣传活动！ ​​​​,否,,2012-09-05 09:57,1,评论,赞,微博 weibo.com,https://weibo.com/2409172342/yAr24DVOr
1,转发微博。,是,#孕晚期准妈妈的营养# 六是补充充足的牛磺酸。如果缺乏牛磺酸，会引起胎儿视网膜发育异常。动物食品则大多含有牛磺酸。牛磺酸几乎存在于所有的生物之中，哺乳动物的主要脏器。如心脏、脑、肝脏中含量较高，含量最丰富的是海鱼、章鱼、虾，和贝类的中牡蛎、海螺、蛤蜊等。 ​​​​,2012-07-18 10:25,转发,评论,赞,政府版微博,https://weibo.com/2409172342/ysZhgt5aB
2,转发微博。,是,#孕晚期准妈妈的营养# 五是注意植物油的摄入。植物油不仅含丰富的必需脂肪酸，而且富含维生素E。维生素E可避免胎儿发育异常和肌肉萎缩。如多吃花生、芝麻、核桃以及芝麻油、豆油等，就可得到足量的维生素E。 ​​​​,2012-07-18 10:25,转发,评论,赞,政府版微博,https://weibo.com/2409172342/ysZhf0DgU
3,转发微博。,是,#孕晚期准妈妈的营养# 三是适当吃些杂粮。如杂合面、小米、玉米等，多补充维生素B。 ​​​​,2012-07-18 10:25,转发,评论,赞,政府版微博,https://weibo.com/2409172342/ysZhde8w4
4,转发微博。,是,#孕晚期准妈妈的营养# 二是应供给充足的必需脂肪酸。孕晚期是胎儿大脑细胞增值的高峰，需要提供充足的必需脂肪酸如花生四烯酸，以满足大脑发育所需，多吃海鱼可利于DHA的供给。 ​​​​,2012-07-18 10:25,转发,评论,赞,政府版微博,https://weibo.com/2409172342/ysZhba2Iv
5,转发微博。,是,#孕晚期准妈妈的营养# 一是应增加蛋白质的摄入。节制食盐的摄取，节制热量高的食物，节制甜食或辛辣、油腻的食物，米、面包等主食不要吃太多。要多吃含有优质蛋白质的蛋、牛奶、肉类以及大豆制品等。 ​​​​,2012-07-18 10:25,转发,评论,赞,政府版微博,https://weibo.com/2409172342/ysZh94Mlw
6,转发微博,是,#孕晚期准妈妈的营养# 四是增加铁的摄入。胎儿的肝脏在此期间以每天5毫克的速度贮存铁，直至出生时达到300-400毫克的铁质。孕妇应每天摄入铁达到28毫克，且应多摄入动物肝脏，肝脏中含有血红蛋白、核黄素、叶酸、维生素B12、维生素A等。多吃菠菜、紫菜、芹菜、海带、黑木耳等。 ​​​​,2012-07-18 10:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/ysZgGEWOd
7,转发微博,是,#夏至清热养生五食材越吃越健康# 夏至天气燥热，让人容易口干舌燥，火气大。所以在夏季，吃一些清火清热，生津补气的食物，可以缓解身体的燥热，让身体变得舒适、健康。1、花菜：生津止渴。2、南瓜：补中益气。3、菠菜：润肠止渴。4、金针菇：清热解忧。5、莲藕：安神凉血。 ​​​​,2012-07-18 10:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/ysZgqqZSp
8,[呵呵],是,#2012中关村科教旅游节# 海淀区旅游委黄亦红主任上台讲话，并对2012中关村科教旅游节进行了更细致的介绍并号召更多的企事业单位参与进来，共享旅游资源。希望媒体能多多宣传中关村科教旅游节，让更多的朋友了解科教旅游节，从而积极的参与进来~@海淀区政府网站 @海淀在线 ​​​​,2012-07-12 16:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/ys7iemPhP
9,牡丹东里社区灭蚁工作已顺利完成，感谢社区全体居民对我们工作的支持与配合！ ​​​​,否,,2012-07-12 11:11,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/ys50KoYUU
10,灭蚁行动（三）：灭蚁专员认真负责，为老年人家庭亲自入户点药！ ​​​​,否,,2012-07-10 17:13,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/yrOwM0sh5
11,灭蚁行动（二）：每层走，每户敲，发放免费灭蚁药品！ ​​​​,否,,2012-07-10 17:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/yrOv04Pal
12,灭蚁行动（一）：烈日炎炎，精神抖擞！出发！ ​​​​,否,,2012-07-10 17:06,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/yrOtRbD5l
13,2012年7月10日下午，在牡丹东里社区进行统一灭蚁行动。由居委会委员带领各灭蚁专业人员分组下户，进行灭蚁。 ​​​​,否,,2012-07-10 17:04,转发,评论,赞,微博 weibo.com,https://weibo.com/2409172342/yrOt7mpiS
