序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,,是,【生活中的食物让你远离疾病痛苦】1、呕吐：吃蕃茄；2、龋齿：喝茶水；3、口臭：多饮水；4、感冒：吃大蒜；5、心脏病：喝苹果汁；6、高血压：喝橘子汁；7、脱发：吃红枣、牛排；8、哮喘：多吃鱼；9、牙出血：吃猕猴桃；10、运动疲劳：吃香蕉；11、打嗝：吃白糖。是药三分毒，收藏起来以备不时之需吧！ ​​​​,2012-09-26 09:27,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yDCOo7N36
1,惠民好,是,【10万张景区门票免费发放 可通过旅行社或网上申请】北京市预计在中秋、国庆长假前免费向市民发放10万张景区门票。市民有望通过旅行社或北京旅游网网上申请来获得免费门票。为迎接高速免费的自驾游热潮，各远郊区县将在两节期间增加临时停车场，至少比往年同期增15%的车位。配图O网页链接 ​​​​,2012-09-19 11:09,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yCzue6YMP
2,转发微博,是,#昨夜今晨#【中国海监船抵钓鱼岛海域】今早6时许，由中国海监50、15、26、27船和中国海监51、66船组成的2个维权巡航编队，抵达钓鱼岛海域，对钓鱼岛及附属岛屿附近海域进行维权巡航执法。这是我国政府宣布钓鱼岛领海基线后，首次在钓鱼岛附近海域开展的维权巡航执法。（央视）O网页链接 ​​​​,2012-09-14 07:53,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBN4q0ZQp
3,昨天我社区成功举办了“创建居民与宠物和谐相处新社区”启动仪式。 ​​​​,否,,2012-09-13 16:45,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBH7JzUht
4,转发微博,是,日本政府决定最快明天就与所谓钓鱼岛“岛主”签署“买卖合同”！我国政府今天发声明宣布中华人民共和国钓鱼岛及其附属岛屿的领海基线，意味着不再承认钓鱼岛存在主权争议。总理讲话说：中国政府和人民绝不会退让半步！发微博#钓鱼岛是中国的#，一起转起来，发出我们的最强音！O网页链接 ​​​​,2012-09-13 07:56,转发,评论,赞,微话题-钓鱼岛是...,https://weibo.com/2369398073/yBDEQbHZ3
5,,是,#大头条#【中国采取系列措施反制日本 维护主权】中国海监船11日上午已抵达钓鱼岛外围海域，海监部门将视情况开展维权行动，宣示主权。中央气象台把钓鱼岛及周边海域的天气预报纳入到国内城市预报中，包括温度、湿度、风速、降雨量等。中国媒体集中声讨日本“购岛”，警告其勿玩火！O网页链接 ​​​​,2012-09-12 07:55,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBueapSFZ
6,转发微博,是,【各省区市和中心城市汽、柴油最高零售价格表】自9月11日零时起，将汽、柴价格每吨分别上涨550元和540元，测算全国90号汽油和0号柴油价格平均每升分别上涨0.41元和0.46元。北京92号汽油上涨0.44元/升，0号柴油上涨0.47元/升。O网页链接 ​​​​,2012-09-11 08:16,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBkWf9agA
7,,是,#钓鱼岛是中国的#金鹰奖颁奖典礼上文章说：钓鱼岛是中国的！就在同一天郭敬明也发表＂爱国体＂微博，当我们的国家面临困难、挑战的时候，无论是艺人，文人，还是百姓，都有着一个共同的名字——中国人！在各种感情之中，都有着一种共通的情感——爱国！今天是2012年9月11日星期二，早安! ​​​​,2012-09-11 07:42,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBkI68RNo
8,转发微博,是,"【老师好】#北京你好#今日限行2和7，最高气温27℃,晴间多云。“师者，所以传道授业解惑也。”今天是教师节，还记得自己从走进学校到意气风发的告别校园，老师的谆谆教诲让我成为今天的我。老师，今天我们已经失去联系好多年，也许您已经不记得我这个并不出色的学生。但我要向您说，老师，我想你了。 ​​​​",2012-09-10 07:01,转发,评论,赞,专业版微博,https://weibo.com/2369398073/yBb0XqDFV
9,,是,【中秋国庆小客车免费通行 官方:全力确保平稳有序】今年中国国庆节日7座以下的小型客车可免收高速公路过路费。有关部门预计，自驾游将同比上涨15%。为避免各地高速公路收费站交通拥堵， 交通运输部5日发出紧急通知，全力确保国庆长假小客车免费通行平稳有序实施。O网页链接 ​​​​,2012-09-06 08:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2369398073/yAzKtiztQ
