序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,今天我社区举行中秋、十一居民联欢会 ​​​​,否,,2012-09-27 17:03,转发,评论,赞,专业版微博,https://weibo.com/2647361891/yDPdQsZgM
1,转发微博,是,#惠活动#【看望房山娄子水小学学生】中秋快到了，在“7 •21暴雨中受灾最严重的房山娄子水小学的孩子们也开学快一个月了。孩子们生活学习得怎样？周五（21日）我想邀请惠粉们一起去看望这些小同学们。给孩子们带点月饼，和孩子们一起参加体育活动。如果您有时间并愿意给孩子们带块月饼，咱们一起去吧。 ​​​​,2012-09-19 14:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yCANRC4Jj
2,转发微博,是,一到晚间7、8点钟以后，王府井南口便有一些“宰客”出租车、黑车、摩的在路边趴活儿揽客，对北京口音一律拒载，专拉外地客人，不打表故意绕远高价宰客。9月7日晚9时许，东城公安分局会同相关部门联合执法开展清理整治，还将不定期对违规载客车辆采取集中行动，形成震慑力量，从而减少并杜绝此类现象。 ​​​​,2012-09-10 17:21,转发,评论,1,微博 weibo.com,https://weibo.com/2647361891/yBf4H0211
3,转发微博,是,【关于2012年度社会工作者资格考试合格标准有关问题的通知】接人力资源和社会保障部办公厅 [2012]78号文，关于2012年度社会工作者和注册税务师资格考试合格标准通知如下： ​​​​,2012-09-10 17:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yBf2Wfcmy
4,#异地高考靠谱吗#我选择不靠谱，只照顾特殊群体 ​​​​,否,,2012-09-07 09:16,转发,评论,赞,微话题-异地高考...,https://weibo.com/2647361891/yAJCzkeOZ
5,转发微博,是,【南京】招聘时9人竞争一个岗位 上岗两年后12人走了9人 大学生社工缘何频频流失?O网页链接 “2009年，根据全市招聘，江东街道来了12名大学生社工，如今两年过去了，只剩下3名大学生社工还在坚守岗位，我们应该尽快想办法让他们‘扎根’……”一席话，让会场不少人大代表大吃一惊。 ​​​​,2012-09-06 09:57,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yAAsIBZsP
6,我们也要积极参加,是,北京市96156社区安全用药知识大课堂于九月十一号下午2:30—4:30（下周二下午）在街道社区服务中心四楼教室讲课;内容:中老年人消化系统、骨关节炎、腰腿痛、居民日常用药、合理用药等常识。由北京市三甲医院主任医师授课。欢迎小关社区居民前去参加。 ​​​​,2012-09-03 17:00,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yAaWZ2FHo
7,居委会开始办理二至六年级非本市户籍学生“在京借读证明” ​​​​,否,,2012-08-29 16:52,转发,6,赞,微博 weibo.com,https://weibo.com/2647361891/yzpL3q9I9
8,转发微博,是,【多放洗衣粉更干净？】有人认为衣服太脏，就用很多洗涤剂，但漂洗时间不够，洗涤剂在衣服上残留，反而对皮肤有刺激，引发过敏性皮炎，甚至影响肝脏功能。要多漂洗几次，特别是内衣裤更应这样；干洗的衣服拿回来要充分晾晒，等洗涤剂完全挥发后再穿；洗衣机也应经常清洗和消毒。by新浪健康 ​​​​,2012-08-21 16:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yychgdOqr
9,居委会已组织居民开展“7.21”特大自然灾害捐赠活动。 ​​​​,否,,2012-07-27 10:17,转发,2,赞,微博 weibo.com,https://weibo.com/2647361891/yum4fd3S1
10,转发微博,是,,2012-07-17 11:03,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/ysQ68gDT5
11,转发微博,是,#锦囊妙计#有些家庭一双筷子可能要用好几年，实际上筷子也有寿命，一般来说，一双筷子用了半年以后，在筷子上面细小凹槽里就会残留许多细菌和清洁剂，这种情况下致病几率也相应增高。因此建议筷子每周用沸水煮五分钟左右彻底消毒，也可以每天放在高温消毒柜中消毒，持续使用半年以上应及时更新。 ​​​​,2012-07-17 11:02,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/ysQ5szcfv
12,社区要开展“保障食品安全 服务公众健康”科普之夏活动，什么样的活动形式比较好呢？广泛征集意见中。。 ​​​​,否,,2012-07-17 10:49,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/ysQ0n1YzH
13,转发微博,是,@平安北京 求帮助求转发！！！！！今天我同学@茫茫不见 不幸把凭国家公派留学奖学金的一些材料落在了地铁上！！ 是在西直门站。 东西十分重要没有复印件都是一些文件，求扩散求寻找！！ 材料上有该同学的姓名，身份证号，以及电子邮箱。希望发现的好心人帮帮我们！！谢谢！！ ​​​​,2012-07-12 09:29,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/ys4lqaq5T
14,转发微博,是,#高招信息#北京交通大学在京本科一批一志愿提档线：理科575分，文科560分。北航在京一批提档线：文科525分，理科609分。首都经济贸易大学在京一本提档线：文科505分，理科500分。 ​​​​,2012-07-11 16:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yrXC852NV
15,今日社区联系工作人员为小关西后街清理下水道，居民对我们的工作很满意 ​​​​,否,,2012-07-11 16:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yrXBtibn1
16,上周六社区带领工作人员入户进行“健康北京 免费灭蚁”行动。免费为居民家中放药。 ​​​​,否,,2012-07-09 10:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yrCE5usXa
17,"我上传了1张照片到专辑""社区活动"" O网页链接 ​​​​",否,,2012-07-04 17:12,转发,评论,赞,微相册,https://weibo.com/2647361891/yqTXe6yk3
18,社区微博名字应该是街道名加社区名，无奈我们街道叫花园路街道，社区叫花园路社区，要是这样的话，我们的名字应该是：花园路花园路社区（街道俩字要求省略），汗。。。。 ​​​​,否,,2012-07-04 16:37,转发,5,赞,微博 weibo.com,https://weibo.com/2647361891/yqTJlxTkW
19,转发微博,是,,2012-07-04 16:29,1,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yqTFWi80b
20,我社区党支部被评为“先进基层党组织”，这是对我们社区以往工作的肯定，也是对我们的莫大鼓励。 ​​​​,否,,2012-07-04 10:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yqRsSwemF
21,转发微博,是,夏季谨防小儿手足口病 手足口病会传染，做好防控是关键。 易感儿童要保护，合理饮食多休息。 公共场所需防范，室内空气常更换。 坚持消毒不放松，卫生死角要常清。 饭前便后要洗手，养成卫生好习惯。 多吃蔬菜和水果，增强体质要锻炼。 手足口病不可怕， 认真防范靠大家！ ​​​​,2012-07-04 10:45,转发,评论,赞,微博 weibo.com,https://weibo.com/2647361891/yqRqapadJ
