序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博。,是,#长假游玩如何利用好保险#【出国游选境外救援险】相比国内游，出国游更注重保障，保障内容也跟国内游有一定差别。对于选择境外游的游客来说，境外救援保障、意外伤害保障和财物损失保障是最基本的三项保障。另外，去不同国家旅游，也要根据医疗水平的不同来调整医疗险的保额。（4/4） ​​​​,2012-09-25 07:09,2,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDstSnkhX
1,理性爱国,是,【台媒：台湾70多艘渔船保钓 舰艇全程护航】台北“中央社”报道，台湾宜兰渔民今天下午3时集结70多艘渔船，从南方澳渔港出发前往钓鱼岛海域，这是历年民间发起最大保钓活动。台湾当局海巡部门为确保渔船安全，派出10艘以上舰艇随行，并成立紧急应变中心、指挥所，全程掌握状况。（据参考消息） ​​​​,2012-09-25 07:09,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDstLyuT6
2,转发微博。,是,随着中秋、国庆双节的临近，根据《交通运输部关于切实做好重大节假日免收小型客车通行费有关工作的通知》（以下简称《通知》），截至9月23日，据本报记者统计，已有北京、上海、山东等20多个省份公布了国庆假期收费公路免费的实施细则。（图片不清楚，人民日报原文连接：O网页链接 ​​​​,2012-09-25 07:08,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDstvjtgJ
3,愿所有人都幸福,是,#青年思语#【幸福六定律】1.幸福就是知足，懂得满足才会有幸福的感觉。2.幸福感不会永恒不变而会随着时间的变化而更新。3.获得幸福的经历越曲折，得到的幸福感就越大。4.没有渴求就没有幸福，幸福感与渴求度成正比。5.幸福感的获得需要有愉悦的心情。6.物质的幸福感时间短暂，精神的幸福感时间久远。 ​​​​,2012-09-25 07:08,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDstmaSco
4,转发微博。,是,"【看“脸色”吃饭】#生活服务#1.面色苍白：气血不足。蜜汁花生枣，红枣补气，花生衣补血；2.面容黑暗：肾气不足，阴液亏损。栗子炖白菜，栗子健脾补肾，白菜补阴润燥；3.面容粗糙：阴血不足。笋烧海参，海参滋阴养血，竹笋清内热。4.面容多皱：脾胃两虚。核桃山药泥.山药补脾益肾,核桃补肺益肾。据新浪 ​​​​",2012-09-25 07:07,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDst8gzpU
5,转发微博。,是,"日前,北京保监局和北京保险行业协会宣布正式开通北京人身保险电话营销禁拨号码登记平台,北京地区消费者如果不愿意接受保险电话销售,可以通过北京保险行业协会网站登录禁拨平台,登记个人号码申请禁拨。在禁拨期限内,将不会接到所选择的人身保险公司的营销电话。（禁拨平台链接O网页链接） ​​​​",2012-09-25 07:07,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDssZ71ao
6,转发微博。,是,【一生有四个发胖危险期】#生活服务#第1阶段：工作三年内；第2阶段：婚后；第3阶段：40岁左右；第4阶段：更年期和退休后。数据显示：中国城市男性平均腰围接近76.2厘米，40-50岁男性已达到82.6厘米。专家支招:避免压力导致暴食；远离三高食品；每天至少步行20分钟；每天睡7-9小时。你做到没?据健康时报 ​​​​,2012-09-25 07:06,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDssNzlup
7,转发微博。,是,#晚安成都#我想要的未来，有房子住，不用多大，最好窗外有阳光；早晚有酸奶，一天能吃上一个苹果，有锅给我煮汤，偶尔能逛逛公园，一年能陪爸妈几次；有工作，有本本，有单反，有书看，有歌听；朋友偶尔奔过来聚一次，偶尔能到处走走。这样，就很幸福了。(转) 各位晚安！ ​​​​,2012-09-25 07:06,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDssHn6V2
8,两节前的最后奋战，愿您轻松快乐～建材东里社区居委会 ​​​​,否,,2012-09-25 07:05,转发,评论,赞,iPhone客户端,https://weibo.com/2650638411/yDss9FMc6
9,社区文化周活动之才艺展作品将于本月22日在社区居委会展出，届时欢迎广大社区居民前来参观。 ​​​​,否,,2012-08-20 09:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2650638411/yy03rdnKU
