序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,分享图片 ​​​​,否,,2012-09-20 10:23,2,2,赞,iPhone客户端,https://weibo.com/2647617371/yCIBXlCuQ
1,西三旗再开舆情工作推进会，主抓主打，深入开展。 ​​​​,否,,2012-09-20 10:22,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yCIBIyUzw
2,中国渔船大胆捕鱼大胆登岛，后面的兵大哥等不及了都。 ​​​​,否,,2012-09-14 08:58,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yBNuMoq4p
3,创城啦！！ ​​​​,否,,2012-09-06 09:05,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yAA7CsQCd
4,十八大安保动员部署 ​​​​,否,,2012-08-29 09:06,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yzmI5cCRS
5,西三旗街道举办红十字应急救护教育培训。 ​​​​,否,,2012-08-24 08:57,2,1,赞,iPhone客户端,https://weibo.com/2647617371/yyBvL5q5w
6,悦秀园接受市委、区委领导和二十八个街乡同仁检阅，欢迎指导。 ​​​​,否,,2012-08-23 15:23,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yyuC29PVD
7,公证法律普及度有限，许多关于继承的纠纷处理还存在漏洞。望相关单位多讲座多普及 ​​​​,否,,2012-08-10 10:18,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/ywu3HgdKU
8,悦秀园上午在会议室举办亲子活动，欢迎大家来参与指导。 ​​​​,否,,2012-07-27 08:38,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yulqlk5YY
9,育新有育新的难处，难在居民太有文化太有素质，悦秀有悦秀的难处，难在人杂农民多，所以说文化工作难做其实不在于社区的人员结构，而在于他们对社区工作认识越来越多，要求就越来越高，工作自然难搞。 ​​​​,否,,2012-07-18 09:21,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/ysYRlzA5k
10,街道召开社区文化研讨会，各抒己见 ​​​​,否,,2012-07-18 09:18,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/ysYPOrkAV
11,围脖运营管理培训会。 ​​​​,否,,2012-07-04 14:23,转发,评论,赞,iPhone客户端,https://weibo.com/2647617371/yqSQMdTcX
