序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,昨晚的月亮很亮啊！中秋节快乐噢！,是,早晨好！今天你微笑了吗？你吃月饼了吗？中秋节快乐！ ​​​​,2012-09-30 06:06,转发,评论,赞,手机微博触屏版,https://weibo.com/2652290623/yEdcObxrJ
1,转发微博。,是,早晨好！今天你微笑了吗？你吃月饼了吗？中秋节快乐！ ​​​​,2012-09-30 06:03,转发,评论,赞,手机微博触屏版,https://weibo.com/2652290623/yEdbtsevw
2,转发微博。,是,【不必过于在乎的东西】1.成败：感情上失恋一次，事业上失败一次，选择上失误一次，才能真正长大。2.名利：快乐是选择的快乐，能放下才能拿得起。3. 财富：争取但不攫取，向往但不神往。4.人言：沉默是最好的疫苗。5.宠辱：为人须达观，宠泰然，辱也淡然。6.孤独：这是人生的必然部分。 ​​​​,2012-09-25 07:31,转发,评论,赞,iPhone客户端,https://weibo.com/2652290623/yDsCNvqjP
3,为创建文明社区，营造干净、优美的环境，迎接国庆节和十八大的召开，让居民生活在舒适、整洁的社区里。我永泰园第二社区王丽娟主任、周韶英书记亲自带领下，于9月18日下午居委会全体人员清扫楼内外卫生，对乱喷、乱写的小广告及时擦掉，并发现一处，清理一处。 ​​​​,否,,2012-09-19 06:59,转发,评论,赞,专业版微博,https://weibo.com/2652290623/yCxQYnf0k
4,//@西三旗小营联合社区:各位居民，请提高警惕，谨防被骗！//@经典英文语录:骗术新招，大家在签收快递时请务必提高警惕,是,"【假扮快递送包裹 一旦签收就逼你交钱】最近出现一种新骗术:有人自称快递公司,由于天气潮湿看不清地址、姓名，请你提供,然后上门送包裹（假烟或假酒）,你一旦签收就会接到电话:快递你已收,必须给钱,一般索要数万元.如果不给，便会上门要债。（新闻晨报）PS：大家在签收快递时请务必提高警惕 ​​​​",2012-09-12 06:52,转发,评论,赞,小米手机,https://weibo.com/2652290623/yBtOG4Kw1
5,//@西三旗小营联合社区:附近的居民注意了！,是,【下周停电计划】#生活提示#本市下周（9月19日、20日）有停电计划，请大家提前做好准备。 ​​​​,2012-09-12 06:52,转发,评论,赞,小米手机,https://weibo.com/2652290623/yBtOnbzCE
6,//@中国社工时报:直接求助媒体和基金会吧。//@男颜不受要一世长安:如今她已转入南京治疗，但是高达100万的费用让这个单亲家庭无力承担。能帮忙转发一下么？“做社工是大爱，就像蒲公英一样，只要散播它的种子，总有一天它会开花，会遍布每一个,是,李行贵州大学社工101班的学生，于2012暑期在老家发生车祸，被诊断为十二指肠破裂，仍未脱离生命危险，治疗费用昂贵，一个单亲家庭已然负担不了，但命在旦夕，望大家多多帮忙，募捐时间9月13～14，募捐地点贵州大学南北新校区，电话：18798875056（聂同学）捐款工商账号：9558802806101139283 刘湘文 ​​​​,2012-09-12 06:47,转发,评论,赞,小米手机,https://weibo.com/2652290623/yBtMhs6a2
7,//@北京市小帮手服务中心:转发微博,是,市气象台11时发布下午预报：晴转多云，最高气温27℃；下班多云，26到24℃。紫外线强护眼防晒不可少。夜间多云转阴西南有阵雨。 ​​​​,2012-09-05 13:10,转发,评论,赞,小米手机,https://weibo.com/2652290623/yAsin0de7
8,《红牛集团继承人撞死巡警》 (来自 @手机新浪网) O网页链接 ​​​​,否,,2012-09-05 08:07,转发,评论,赞,手机新浪网,https://weibo.com/2652290623/yAqjy7BmI
9,《台海空军将护马英九望钓鱼岛》 (来自 @头条新闻) O网页链接 ​​​​,否,,2012-09-05 07:59,转发,评论,赞,手机新浪网,https://weibo.com/2652290623/yAqgecoKr
