序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,中央文明办、教育部、共青团中央、全国妇联等部门在今年“十一”期间，继续在未成年人中开展“向国旗敬礼、做有道德的人”网上签名寄语活动。请大家积极参加。网址是： O网页链接 姓名一栏，加永泰西里社区为前缀，方便统计。 ​​​​,否,,2012-09-28 10:42,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yDW9X7ZXT
1,“这是琴叶榕，这是金边虎皮兰……”曹师傅说起阳台上养护的绿植，真是如数家珍。2012年9月24日上午，在看到永泰西里社区居委会发出“最美阳台”征集令后，曹师傅等居民主动报名，并邀请社区居委会工作人员上门参观、拍照。 ​​​​,否,,2012-09-24 17:01,转发,评论,1,专业版微博,https://weibo.com/2411814624/yDmVM9ldU
2,为了庆祝《关于控制人口增长问题致全体共产党员、共青团员的公开信》发表32周年，近日，永泰西里社区结合文明创建，举办了“计生宣传员手抄报比赛作品展”，一幅幅色彩缤纷的作品在计生宣传专栏一经展出，就吸引了众多居民驻足观看。 ​​​​,否,,2012-09-24 16:39,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yDmMLmteQ
3,“书记，谢谢您，我母亲特别叮嘱我，一定要来谢谢大家对我们一家的关心！”“千万别客气，实在要谢的话，要感谢街道组织部对社区党员的关心！”2012年9月13日上午，困难党员赵师傅的儿子、儿媳一行人，来到永泰西里社区党总支，为党总支送来了锦旗，以感谢党和政府对困难家庭的关系。 ​​​​,否,,2012-09-16 14:52,1,1,赞,专业版微博,https://weibo.com/2411814624/yC8F93YVx
4,9月13日下午，为了营造良好文明创建氛围，永泰西里社区居委会以“文明永泰西里，精彩有你有我”为主题，举办了永泰西里社区文明风采摄影展。27张照片，配上文字说明，围绕敬老爱老、文体、青少年、计生等特色工作，将宣传栏装饰得很漂亮，展现了永泰西里社区的文明风采。 ​​​​,否,,2012-09-16 14:50,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yC8Er2cto
5,9月13日下午，永泰西里社区召开残疾人协会换届选举大会，社区全体干部、残疾人及残疾人家属共计23余人参加了会议，会议由社区文体干部杜平彩主持。残疾人协会换届选举严格遵守选举办法，按照选举流程，以无记名投票的方式选举产生了新一届残联主席1名、副主席1、委员3名。 ​​​​,否,,2012-09-16 14:49,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yC8DTkP82
6,2012年9月11日，永泰西里社区居委会福利主任张德红与社区卫生服务站姬大夫一起，走访慰问了两户残疾人家庭，已了解他们对于病人免费用药方面的需求情况。 ​​​​,否,,2012-09-16 14:34,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yC8xY1o4y
7,2012年9月12日，永泰西里社区计生工作人员陈秋芬等人，组织社区15位流动育龄妇女来到西三旗街道社区服务中心，参加了“免费孕检在身边”活动。计生专干陈姐不仅时不时提醒参加检查人员做好准备，还帮她们看起了孩子。 ​​​​,否,,2012-09-16 14:33,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yC8xqm4FP
8,2012年9月14日，永泰西里社区居委会计生工作人员又接到一个咨询独生子女伤残家庭特扶事宜的电话，对居民提出的问题进行了耐心细致的解答。9月上旬开始，为了保障独生子女伤残家庭的利益，计生工作人员组织计生宣传员在每个楼门口张贴特扶政策宣传海报。 ​​​​,否,,2012-09-16 14:30,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yC8wqAmHs
9,【天气预报】 ​​​​,否,,2012-09-11 08:41,转发,评论,赞,专业版微博,https://weibo.com/2411814624/yBl68xxts
