序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月28下午清润家园社区召集社区党员及居民代表观看了电影《毛泽东在韶山》，又向各位党员及居民代表通报了最近社区的情况，并布署了“国庆”期间安防工作安排，确保社区安定祥和的治安环境。 ​​​​,否,,2012-09-29 17:13,转发,评论,赞,小米手机,https://weibo.com/2436378261/yE88Xuk4R
1,@北京市民政局:中共中央政治局会议建议中国共产党第十八次全国代表大会11月8日召开,是,【中共中央政治局会议建议中国共产党第十八次全国代表大会11月8日召开】会议决定，中国共产党第十七届中央委员会第七次全体会议于2012年11月1日在北京召开。中共中央政治局将向党的十七届七中全会建议，中国共产党第十八次全国代表大会于2012年11月8日在北京召开。 ​​​​,2012-09-29 17:01,转发,评论,赞,小米手机,https://weibo.com/2436378261/yE84bo0HX
2,社区内处处挂了红旗和彩旗，营造浓厚的节日气氛，祝社区全体居民度过一个喜庆祥和的中秋和国庆节 ​​​​,否,,2012-09-29 16:55,转发,评论,赞,小米手机,https://weibo.com/2436378261/yE81I3mx6
3,祝社区居民中秋国庆快乐，阖家欢乐 ​​​​,否,,2012-09-29 16:52,转发,评论,赞,小米手机,https://weibo.com/2436378261/yE80Fz8Fd
4,温馨提示//@北京市民政局:节前拥堵，七大热点区域绕行方案,是,【节前拥堵，七大热点区域绕行方案】本周是两节前的最后一周，交管部门根据往年情况，梳理出朝阳北路大悦城、木樨园、大郊亭等7大热点区域的绕行方案，提醒广大市民节前去往这些地区时请尽量乘坐公共交通工具。同时建议市民出行时尽量避开城市主干线，多选择支路、城市联络线、城市次干路行驶。 ​​​​,2012-09-25 21:49,转发,评论,赞,小米手机,https://weibo.com/2436378261/yDyeWjZD1
5,起雾了，注意安全,是,起雾了，各位路上注意安全，尤其是开车的童鞋，回家的听着新闻联播饭饭吧，今晚有小雨 ​​​​,2012-09-24 19:08,转发,评论,赞,小米手机,https://weibo.com/2436378261/yDnL6A2H7
6,转发微博,是,,2012-09-19 22:27,转发,评论,赞,小米手机,https://weibo.com/2436378261/yCDVtoTQH
7,#海淀区创建全国文明城区#清除街边小广告，文明树新风活动,是,9月19日上午，社区的工作人员参加了街道城管科组织的“文明树新风，清除小广告”整治清河车站周边卫生环境，以整洁的面貌迎接国庆的到来。 ​​​​,2012-09-19 19:23,转发,评论,赞,小米手机,https://weibo.com/2436378261/yCCIX5NO5
8,9月19日上午，社区的工作人员参加了街道城管科组织的“文明树新风，清除小广告”整治清河车站周边卫生环境，以整洁的面貌迎接国庆的到来。 ​​​​,否,,2012-09-19 19:22,1,评论,赞,小米手机,https://weibo.com/2436378261/yCCIvAuVt
9,//@海淀在线:医药分开实际效果好，患者更加满意，负担更轻,是,【北京“医药分开”试点将扩展至专科医院】今年内，儿童医院、妇产医院等专科医院或将成为首批试点医药分开的专科医院。自友谊医院和朝阳医院试点医药分开两个多月来，两家医院常见病患者挂普通号数量上升，专家门诊量都下降一成多。专家问诊时间增加，满足了疑难病患者对优质医疗资源的需求。 ​​​​,2012-09-19 19:18,转发,评论,赞,小米手机,https://weibo.com/2436378261/yCCGW5ai5
10,转发微博,是,【北京家庭医生式服务年内覆盖所有常住居民】今年年底“家庭医生式服务”将全面进社区，覆盖100%的常住居民。今后您在社区卫生服务中心，就可以找自己的家庭医生团队进行复查，接受全科医生的疾病管理和健康指导。遇到感冒等“小病”也可以不再去大医院排队挂号，而是通过自己的家庭医生拿药治疗。 ​​​​,2012-09-17 12:35,转发,评论,赞,小米手机,https://weibo.com/2436378261/yChcggKgc
11,西三旗社保所定于9月13日上午9:30在永泰东里50号楼社区服务中心三层举行招聘会，届时将有30余家单位参加，欢迎有求职意向的人员青睐应聘。 ​​​​,否,,2012-09-10 16:25,转发,1,赞,专业版微博,https://weibo.com/2436378261/yBeHZwY7q
12,"西三旗地区社区大课堂报名通知，课程主要有计算机(初级、中级）、绒线编织、手工艺、烹饪。除计算机课外,各科均可现场报名. 计算机课报名地点:信息管理学校社区办公室 ，详情请见各个院内张贴的通知。欢迎社区居民报名 ​​​​",否,,2012-09-10 16:22,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBeGKprrX
13,//@海淀区政府网站: 转发微博，十一小长假就要来了，打算出境游的朋友，在申办出入境证件最好避开周六,是,【申办出入境证件最好避开周六】#提醒#今年因中秋和国庆假期相连，办出入境证件进入高峰期，警方提醒市民尽量避开周六高峰及热门办证地点递申请，大家到这网站看看O办理机构：东城分局、西城分局（新壁街受理点... ，找个离您近的申请点。同时像东城出入境管理支队等办证大厅民警已全体停休，尽可能多开办理窗口为民服务。 ​​​​,2012-09-10 15:36,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBeo6tjOl
14,教师节来了，祝所有的老师教师节快乐，桃李满天下，天天开心，身体健康！！ ​​​​,否,,2012-09-10 15:33,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBen15S1E
15,中秋节未到 月饼已登台,是,【中秋节未到 月饼已登台】虽然距离中秋节还有一段时间，但我区各大商场超市里的月饼已经是上市促销了，值得注意的是，由于今年全国范围内实施新版食品添加剂使用标准之后，按照规定，月饼中防腐剂的种类和用量都受到了严格的控制，保质期大多都是两个月了~O网页链接 ​​​​,2012-09-10 15:31,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBemh18Qm
16,独生子女家庭伤残特别扶助申报和独生子女家庭特别扶助申报开始了，符合条件的独生子女家庭可以到社区居委会办理。咨询电话：62999410 ​​​​,否,,2012-09-10 15:29,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBelbjEPc
17,"文明城区个个参与，和谐社区人人受益,清润家园社区9月10日在社区开展文明城区创建座谈会，请社区的文艺骨干、积极分子等共议海淀区建设、社区建设等 ​​​​",否,,2012-09-10 15:27,转发,评论,赞,专业版微博,https://weibo.com/2436378261/yBekBycmZ
18,迎国庆大扫除,是,,2012-09-06 18:59,转发,评论,赞,小米手机,https://weibo.com/2436378261/yAE0MDWFl
19,//@安居北京:#博采众长#今晚，北京先雾后雨，城区降雨在6点半以后逐渐展开，大家下班时，不管是雾还是雨，请小心慢行。,是,【京津廊坊将落雨】目前河北中部降雨回波已逼近廊坊，比如很多北京人去买房的涿州、固安已开始下雨，天津南部的静海、大港也下了，雨带正在缓慢北上，天津市区、廊坊市区将出现降雨，北京越往南降雨条件越好，房山、大兴、丰台都会降雨，至于城区，本博将密切关注，随时发布最新情况。 ​​​​,2012-09-06 18:58,转发,评论,赞,小米手机,https://weibo.com/2436378261/yAE0joLiZ
20,流动人口育龄妇女孕检通知，请相互转告。 清润家园社区的符合条件的妇女请于2012年9月12日（星期三）下午13:00—16:00永泰东里50号楼四层， 1、携带《流动人口婚育情况证明》（原籍婚育证）； 2、自备水（做B超检查，需事先憋尿）； 3、凡原籍需要孕检回执的，务必自带照片1张（1寸） ​​​​,否,,2012-09-06 16:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2436378261/yADbpyAhI
