序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,在中秋和国庆佳节就要来临之际，为了减轻因得重病而陷入困境的人的经济负担，也为了让他们过一个踏实一点的节日，清缘东里社区给胡秀廷、苑胜利等两户因病致穷的特困户发放了慈善救助金各1000元。 ​​​​,否,,2012-09-27 15:24,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yDOzHdXHc
1,中秋和国庆佳节就要来临之际，为了让低保户等生活困难人员能过一个欢乐祥和的节日，清缘东里社区的工作人员给本社区的13户低保户发放了米、油、香菇等节日慰问品，同时，也把社区居委会的关心和温暖送到了困难人员的心窝里。 ​​​​,否,,2012-09-27 15:23,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yDOzqm05v
2,9月24日，六月鲜健康私房菜大赛总决赛在北京健一公馆举行。共有八位选手进行了冠军角逐，我社区的李树生遇强愈强，从食材的选择、营养的搭配、色香味等方面进行了综合考虑，最终想出一菜双吃的锅包豆腐和肉，两者用苦瓜分开，一边是酸甜口，一边是咸香口。这个菜品获得了专家的一致好评，并获二等奖。 ​​​​,否,,2012-09-26 15:15,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yDF5IE475
3,为了迎接中秋国庆双节，助力全国文明城区创建，丰富社区文化生活，增强居民友谊，清缘东里社区居委会于9月26日，举办了“创建文明城区 喜迎中秋国庆”棋牌赛，该活动得到了广大居民的热烈欢迎。 ​​​​,否,,2012-09-26 15:14,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yDF5l1W7T
4,我社区李树生在六月鲜健康私房菜总决赛中荣获二等奖，大家要向他学习呀，多做好菜，多吃健康菜 ​​​​,否,,2012-09-26 15:12,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yDF4u8cer
5,//@公益慈善论坛: //@免费午餐: 张轶超说：“真理太遥远，但良知就在你内心。不背弃你的良知，便是自由之所。”// @童花头JJ : 这个还是很打动人的，也许就从此改变了他们的人生,是,【最榜样：“放牛班”的年轻老师】#从心启程 爱暖上海#他曾是复旦学生报纸的主编、校园BBS的意见领袖。毕业后他没有追求高薪高就，而是为农民工子女提供免费课外教育，十年帮助了城市边缘数千名孩子。他是张轶超，他说：“真理太遥远，但良知就在你内心。不背弃你的良知，便是自由之所。”[上海志愿者] ​​​​,2012-09-21 16:39,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCUva0MWy
6,转发微博,是,"#晚安#睡前给自己的四句话：1.我们觉得不快乐,是因我们追求的不是幸福，而是比别人幸福；2.爱情就好比打喷嚏,不经意总能打出来,刻意要打却总是不尽如人意；3.人生一半的麻烦，源自你说yes太快，说no太慢；4.许多事不要害怕做错,即使错了，也不必懊恼,人生就是对对错错,回头看来,对错已无所谓了。 ​​​​",2012-09-18 15:58,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrXeBTig
7,转发微博,是,锦城虽乐，不如回故乡；乐园虽好，非久留之地。—— 华罗庚  早安，各位。 ​​​​,2012-09-18 15:53,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrV300km
8,//@北太平庄政法大院社区: 是哦！,是,1、锅：没有痛苦的煎熬，哪有沸腾的生活。2、碗：若不首先充实自己，怎会有营养供给别人？3、擀面杖：尽管其他方面一窍不通，可也有自己的一技之长。4、菜刀：最会制造分裂，却能做得两面都光亮。5、高压锅：压力，能缩短通向成功的距离。6、筷子：一生正直无私，为别人尝尽甜酸苦辣.。 ​​​​,2012-09-18 15:51,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrUrs3Ed
9,//@北太平庄政法大院社区: 让我们的心都简单一些吧！,是,【简单与复杂】人，小时候简单，长大了复杂；穷的时候简单，变阔了复杂；落魄的时候简单，得势了复杂；君子简单，小人复杂；看自己简单，看别人复杂。这个世界其实很简单，只是人心很复杂。其实人心也很简单，只是利益分配很复杂。人，一简单就快乐，但快乐的人寥寥无几。把该放下的放下，让心轻松。 ​​​​,2012-09-18 15:49,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrTE63UH
10,//@西三旗永泰园第一社区: 转发微博,是,【爱国就应做理性守法的公民】日本政府侵犯中国主权，中国民众表达自己的爱国热情，实在是非常正常的事情。前几日，部分民众自发来到日本驻华大使馆门前，谴责日本“购岛”的非法行径，整个过程中秩序井然。民众在表达爱国热情时理性而守法，值得称赞的，这样才能向外界展示一个国家强大的内在力量。 ​​​​,2012-09-18 15:48,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrSUj0jU
11,转发微博,是,爱国是一种态度，不是一双拳头；爱国是一种理性，不是一根铁棍；爱国是让自己的国家变得更好，不是去伤害自己的人民；爱国不是泄愤，而是要先爱法治，是要让我们的公民权利得到尊重与捍卫。暴力不是我们爱国的通行证，它并不会让那座美丽的岛屿离我们越来越近。为了我们的钓鱼岛做一个文明的爱国者。 ​​​​,2012-09-18 15:23,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yCrIMndQN
12,为了深入开展创建全国文明城区主题宣传实践活动，清缘东里社区居委会联系了派王鞋业志愿到小区为辖区居民免费擦鞋、补鞋，为文明城区创建工作贡献自己的一份力量，将文明之风切实带入居民日常生活，号召大家积极积极参与文明城区创建，让文明之风在社区、在居民心中落地生根。 ​​​​,否,,2012-09-13 16:49,转发,评论,1,专业版微博,https://weibo.com/2565496853/yBH9j7Z1L
13,为了进一步推进文明城区创建工作，做好十八大安保工作的部署，9月13日上午，清缘东里社区居委会组织居民代表和志愿巡逻员召开了创建全国文明城区动员暨十八大安保工作部署会。 ​​​​,否,,2012-09-13 16:45,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yBH7A8JS8
14,为了营造创建全国文明城区的宣传氛围，清缘东里社区居委会结合本社区“绿色出行 健康生活”的社区品牌，将于9月20日举办奥林匹克森林公园健步走活动。希望65周岁以下、身体健康的辖区居民积极参与，所有参与者都将获得纪念奖一份 ​​​​,否,,2012-09-13 16:42,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yBH6lAptT
15,争创文明城区、共建文明社会，每个居民都应该积极参与，正当文明有礼北京人、海淀人、西三旗人 ​​​​,否,,2012-09-12 15:23,转发,评论,赞,专业版微博,https://weibo.com/2565496853/yBx9JqX8r
16,转发微博,是,#早安#幸福不是你开多豪华的车，而是你开着车平安到家。幸福不是你的爱人有多漂亮，而是爱人的笑容有多灿烂。幸福不是在你成功时的喝彩多热烈，而是失意时有个声音对你说：朋友别倒下！幸福不是你听过多少甜言蜜语，而是你伤心落泪时有人对你说：没事的，有我呢。早安，浙江！O网页链接 ​​​​,2012-09-05 08:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2565496853/yAqD8ii4A
17,转发微博,是,#早安心语#胸怀是委屈撑出来的；烦恼是自己想出来的；痛苦是与人比出来的；疾病是恶习造出来的；心态是经历磨出来的；快乐是知足养出来的；健康是活动炼出来的。早安，朋友。 ​​​​,2012-09-04 15:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2565496853/yAjS9jODR
18,转发微博,是,生活与生命的分别在于： 前者只是一种我们经历过的无法逃避的、在有一天终于都会过去的分分秒秒，而后者却是我们执着的，不断想要珍惜地记起来的那些人和事的总和。 ——席慕容 ​​​​,2012-09-04 15:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2565496853/yAjOxiVs1
19,//@青年时报: #博文精选#：,是,今天早晨，醒来，洗漱，出门，发现天地焕然一新：小吃摊消失了，油条豆浆不卖了，地下通道一尘不染，路旁摆满鲜花，连马路都有被拖把拖过，走10米就一个志愿者拿着一个铁钳盯着落下的树叶，每个街头井然密布警察和穿着马卦的志愿者，我顿时明白了━━创建文明城市了。2012年9月4日记。 ​​​​,2012-09-04 15:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2565496853/yAjIMnihZ
