序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,不错不错,是,#海淀活动# 【快乐小“换客”“换物”也环保】所谓“换客”就是指把自己的闲置品拿出来跟别人交换物品的人。为了帮助社区的孩子们度过一个别具特色的暑假，花园路街道在开学前举办了这场热热闹闹的“闲置物品交换会”，让孩子们当一次“换客”，给他们带来难得的体验。[杰克逊]O网页链接 ​​​​,2012-08-22 14:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yykZ9ycKW
1,转发微博,是,【精神的富有】50岁的李随法经营一家老年餐厅，他想让更多老人在家门口吃上便宜干净的饭菜。热腾腾的饭菜溢出的不仅是香味，还有一份温暖和责任。有人说，他不是在卖饭，而是在行好。把生意做出这样口碑的不多。很多人想赚老年人的钱，往往赚了钱却丢了良心，李师傅精神上的富足谁能体会？@文明北京 ​​​​,2012-08-22 14:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yykYCssMY
2,举手之劳可以让世界更美好[cai走走],是,【为了他们，请进行垃圾分类】@好摄之友 杭州金涛这几天一直在杭州天子岭垃圾填埋场拍摄，环卫工人、特别是垃圾分类工作者最让他感动，工人们必须把垃圾中不可回收利用的废弃物捡出，工作环境又臭又脏，垃圾压缩包装的机器又在露天工作，气温高工作强度不小，如果你觉得不忍，请尽量做好自宅垃圾分类！ ​​​​,2012-08-21 10:03,1,2,赞,微博 weibo.com,https://weibo.com/1226292854/yy9EUAp2M
3,"【如果他们老了】不要责难他们大小便失禁弄脏了衣裤,他们也曾因此为你擦屎端尿;不要怪他们弯腰驼背脚步迟缓,他们也曾扶着你直起腰杆,蹒跚学步;不要嫌弃他们把饭菜口水流在衣服上,他们也因此为你喂过饭;不要烦他们言语唠叨含糊不清,你曾经的呀呀学语,叽叽喳喳,他们却当作动听的歌[din爱你] ​​​​",否,,2012-08-20 15:53,2,1,赞,微博 weibo.com,https://weibo.com/1226292854/yy2wyuXnF
4,转发微博,是,【北京门牌楼号禁止跳过不吉利数】北京市质监局消息，北京地方标准《门牌、楼牌设置规范》将于今年9月正式实施。规范中强调，门牌号根据阿拉伯数字的顺序依次来编号，这意味着遇到4、13、14等“不吉利”数字也不得跳号；待拆迁地应按照每隔10米距离预留一个号的原则编门牌号。O网页链接 ​​​​,2012-08-20 15:31,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yy2nA5g1R
5,感动ing [xb哭],是,【金婚夫妻的简单爱情】嘉兴市中医院的病房里，住着一对老夫妻：丈夫汪炳连，80岁，妻子金倩影，73岁，在病床边照顾了19年。汪大爷1993年起住院，1995年查出尿毒症，肾切除后因要长期做血透住院至今。两个儿子曾多次提出请护工，但被母亲拒绝：“只要我还能动弹一天，就肯定会照顾老头子一天。” ​​​​,2012-08-20 15:26,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yy2lPkqIr
6,转发微博,是,【雷电黄色预警信号】市气象台14时35分发布雷电黄色预警信号：受雷雨云团影响，未来3小时本市北部（延庆、昌平、怀柔、密云、平谷、顺义）和西部（门头沟、房山）有雷阵雨，局地短时雨强较大，请注意防雷防雨。 ​​​​,2012-08-20 15:23,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yy2kuzR2N
7,人生的辉煌，不在于你在风口浪尖，有无数的献花掌声向你涌来的那一时；而在于，当你繁华褪尽，甚至身体残缺，你自己都感到卑微，但还有人对你表示敬意的那一刻——我们正在积累，我是志愿者！,是,#早安志愿者#人生的辉煌，不在于你在风口浪尖，有无数的献花掌声向你涌来的那一时；而在于，当你繁华褪尽，甚至身体残缺，你自己都感到卑微，但还有人对你表示敬意的那一刻——我们正在积累，我是志愿者！ ​​​​,2012-08-20 08:57,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxZNDFq7M
8,早安,是,【这样的心理调节你做的到吗？】1、把看不顺的人看顺；2、把看不起的人看起；3、把不想做的事做好；4、把想不通的事想通；5、把快骂出的话收回；6、把咽不下气的咽下；7、把想放纵的心收住。你不需每时每刻这样做，但这样多做几回你就会：1、情商高了；2、职位升了；3、工资涨了；4、朋友多了。  ​​​​,2012-08-20 08:45,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxZJ8pvjP
9,转发微博,是,陈升曾做过件很煽情的事，他提前一年预售演唱会的门票，仅限情侣购买，一人的价格可以获得两个席位，一年后两张券合在一起才能奏效。这场演唱会的名字叫：明年你还爱我吗？到了第二年，空了好多位子。他面对着一个个空板凳，唱了这首把悲伤留给自己。O网页链接 ​​​​,2012-08-17 14:10,1,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yxzztsCAi
10,【为了您的视力，请对电脑作如下设置】桌面-右键-属性-外观-高级－项目选择（窗口）、颜色1（L）选择（其它）将色调改为：85。饱合度：123。亮度：205－添加到自定义颜色－在自定义颜色选定点确定－确定。这个色调是眼科专家配置，长时间使用会很有效的缓解眼睛疲劳保护眼睛。 赶紧转给你关心的人吧! ​​​​,否,,2012-08-17 11:25,1,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yxyucCdH8
11,"【转】今晚7点半在工人体育场将举行足球比赛.准备去观赛的朋友,请您提前规划好路线,尽量避开东二环东四十条桥区和东三环长虹桥区,以及工体北路、工体东路等周边道路.建议前去观赛的朋友尽量选择公共交通,坐地铁2号线,在东四十条桥站下车后向东步行就可到达场馆了 ​​​​",否,,2012-08-17 11:19,转发,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yxys4vzJD
12,转发微博,是,【寻找走失老人】网友@北京咕咚 告诉我们，一名老人8月2日中午在北京师范大学东门的中国银行附近走失。老人信息：戴茹兰，女，66岁，身高1.53米，花白头发。走失时身穿咖啡色短袖衬衫、黑色小白花长裤、灰色旅游鞋。老人随身携带老年证和联络信息卡。联系电话：13910589885 13801110239 @平安北京 ​​​​,2012-08-17 11:17,1,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yxyr53Rjh
13,@HATV民生热线: 每一个失独家庭都曾拥有相似的幸福，子女绕膝，其乐融融，在每位失独父母心中，梦想的天伦之乐成了他们心中最深的痛。他们会担心卧病在床时无人照顾，还会担忧临终之时无人关怀。圆梦养老院的建立无疑像一把钥匙打开失独老人的心结，向失独家庭的成员传递温暖，养老困惑找到解决的出路,是,"现在，人们把过了育龄期的独生子女意外死亡父母称之为“失独老人”。 如何让他们无后顾之忧、共享阳光下的温暖已越来越受到全社会的关注。从去年开始，海安在全国创新实施失独老人集中供养模式，在全县各镇建立圆梦敬老院,政府买单免费接纳失独老人入住，为失独老人养老提供了一份成功样本。 ​​​​",2012-08-17 11:15,转发,评论,赞,微博 weibo.com,https://weibo.com/1226292854/yxyq8gEDq
14,,是,要懂得珍惜守护身边的每个人，因为前世扭断脖子的回眸，我们才换来今生的相遇~[阳光]  ​​​​,2012-08-17 09:24,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxxHc5sLZ
15,同学们，今天周五楼~~~~,是,天使、萝莉在人间！同学们，今天周五喽！ (图片分享自@刘楚恬 的微相册O网页链接 ) ​​​​,2012-08-17 08:47,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxxsc9GTY
16,每天提醒自己，不要忘记爸妈，不要忘记亲人。,是,每天提醒自己，不要忘记理想，不要忘记目标；每天提醒自己，不要忘记学习，不要忘记看书；每天提醒自己，不要忘记包容，不要忘却善心；每天提醒自己，不要忘记身体，不要忘记锻炼；每天提醒自己，不要忘记美丽，不要忘记快乐；每天提醒自己，不要忘记爸妈，不要忘记亲人。 ​​​​,2012-08-16 16:19,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxqZddper
17,天堂般的小镇//@唯美英文: 法国的一个小镇[礼花]@家居丶时尚,是,法国的一个小镇~~也许某一天我们都会在那留下足迹~~【 关注@家居丶时尚】 ​​​​,2012-08-16 15:13,转发,1,赞,微博 weibo.com,https://weibo.com/1226292854/yxqyyfsQR
