序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,为纪念《中共中央关于控制我国人口增长问题致共产党员、共青团员的公开信》发表32周年。西铁营社区组织计生协会会员、辖区育龄妇女和计生家庭在小区健身院举办了“纪念9.25公开信发表32周年”计生政策咨询为主题的宣传活动。 ​​​​,否,,2012-09-29 15:08,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yE7ksorIR
1,在中秋、国庆两节来临之际，西铁营社区组织社区工作者、辖区居民，于9月28日上午，前往玉林里社区参观创建首都文明区书画展。社区居民朋友们接受了文化的熏陶和教育，使大家受益匪浅，提高了思想素质和文化素质，为争创首都文明区和喜迎十八大的胜利召开营造了良好的文化氛围。 ​​​​,否,,2012-09-29 14:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yE7dero4W
2,#向国旗敬礼 做有道德的人#为欢度国庆佳节、喜迎党的十八大，深化“做一个有道德的人”主题活动，加强未成年人爱国主义教育，从9月24日起，西铁营社区面向全社区广大家庭的青少年开展“向国旗敬礼，做一个有道德的人”网上签名寄语活动。 ​​​​,否,,2012-09-27 15:10,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yDOueyRKw
3,在中秋节和国庆节到来之际，西铁营社区党委对辖区离休老干部进行了走访慰问。社区书记和党务专职人员先后到9名离休老干部家中送去了鸡蛋、牛奶等慰问品，并询问了他们的身体和生活情况，使老干部深切感受到党组织的关怀和温暖，提升了老干部晚年生活质量。 ​​​​,否,,2012-09-27 15:06,转发,1,赞,微博 weibo.com,https://weibo.com/2298938993/yDOszslsX
4,9月14日上午西铁营社区举办了西铁营民俗风情节暨右安门第二届民俗运动会。右安门街道办事处的相关领导、民俗协会会长到场观看了开幕式并为运动会致辞讲话。来自社区的众多居民兴致勃勃的参加了多个项目的趣味比赛。 ​​​​,否,,2012-09-15 11:38,2,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yBXYf2xZ5
5,2012年9月7日上午，西铁营社区继续开展垃圾减量、积分换礼的活动。辖区居民早已形成了固有的意识，每月第一周的周五上午，都会准时把分类好的垃圾拿到居委会来，等着过称、回收。 ​​​​,否,,2012-09-07 16:07,1,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yAMju3jQa
6,近日，西铁营社区党委对创先争优活动开展以来的工作进行了梳理，五个党支部分别召开工作总结会、党员满意测评和创先争优长效机制的建立研讨会，各支部分别提出了建立长效机制的内容，召开座谈会，发出满意度测评表，通过电话、入户走访、邮箱、短信等形式联系党员，让每个党员都参与进来。 ​​​​,否,,2012-09-05 09:40,1,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yAqV6iWgh
7,说的好，支持,是,,2012-09-01 07:29,转发,评论,赞,iPhone客户端,https://weibo.com/2298938993/yzOmaA4zi
8,西铁营社区举办文明城区大家创，文明歌曲大家唱消夏晚会。 ​​​​,否,,2012-08-24 21:07,2,评论,赞,iPhone客户端,https://weibo.com/2298938993/yyGiah0Wt
9,西铁营社区以“诚实守信”为主题，在辖区内开展“百姓信得过”诚信经营月活动。引导辖区经营者规范经营，倡导公平、公正，促进诚信经营。 ​​​​,否,,2012-08-21 13:50,2,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yyb9d6pDu
10,为响应上级提出的岗位大练兵、大比武活动。提升社区工作和服务水平，我社区领导对此项活动给予了高度重视，要求把岗位练兵与日常工作相结合，内练素质、外塑形象、提高整体素质及工作水平，更好地投入社区建设。8月15日上午10点，西铁营社区在百合园小区活动室举行了“西铁营社区岗位大比拼擂台赛”。 ​​​​,否,,2012-08-15 16:27,2,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yxhCc53x8
11,为深入学习贯彻北京市党代会精神，右安门街道组织街道百姓讲师团讲师积极备课，于8月15日上午走进西铁营社区宣讲北京市第十一次党代会精神，将理论武装工作引向最基层，大力凝聚发展共识与合力。 ​​​​,否,,2012-08-15 16:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yxhAJ5fv5
12,8月9日上午九点，按照党员发展程序，社区党委在社区会议室，召开发展预备党员征求群众意见座谈会，对计划下半年发展成预备党员的两名入党积极分子，广泛征求群众意见。参加会议的有社区党委书记，党员代表、居民小组长、居民代表、群众代表。 ​​​​,否,,2012-08-15 16:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yxhzr1jf8
13,为了深入学习贯彻落实李超钢、冀岩同志在丰台区2012上半年经济形势分析会上的讲话精神，扎实工作，更好建设首善之区，西铁营社区于2012年8月9日，10日，先后两次组织社区干部、党员代表、居民代表学习了李超钢书记的讲话，领会讲话精神，认清当前形势，从实际出发更好的发挥社区服务管理功能。 ​​​​,否,,2012-08-15 16:19,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yxhyJxOvz
14,根据中央精神和市、区委关于做好创先争优长效机制建设和活动总结工作的要求，结合街道、社区实际，西铁营社区党委于8月9日在社区会议室召开“创先争优建立长效机制和工作总结”建议征求座谈会。参加座谈会的有社区党委书记、党员代表、群众代表。 ​​​​,否,,2012-08-15 16:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yxhwDeVdd
15,"我上传了3张照片到专辑""默认专辑"" O网页链接 ​​​​",否,,2012-08-14 00:09,转发,评论,赞,微相册,https://weibo.com/2298938993/yx1Mxl5Cc
16,"#社区""小""课堂#为使社区里的孩子们，假期生活的更充实、更有意义，西铁营社区领导精心准备，协调相关部门，于8月13日将辖区里的孩子们请到社区来聆听“社区小讲堂”——青少年成长知识讲座，让他们感受不同于学校里的学习氛围,活动室里坐满了人，社区20多名中小学生以及部分家长，正在认真的聆听着. ​​​​",否,,2012-08-13 23:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yx1IouOJ8
17,#爱国教育青少年涉台知识竞赛#为了激发广大青少年学生的爱国热情，使他们进一步了解台湾的历史、文化和风土人情，同时丰富他们的暑期生活，西铁营社区结合涉台教育方案，于2012年8月13日，开展了青少年涉台教育知识问答活动。社区青少年及家长都积极踊跃的前来报名参加。 ​​​​,否,,2012-08-13 23:46,1,1,赞,微博 weibo.com,https://weibo.com/2298938993/yx1Dnm3vI
18,"2012年8月11日(周六)环境清洁日西铁营社区由书记、主任带领社区干部和志愿者对153号院绿地进行环境整治。炎炎夏日,大家齐动手,为首创尽一份力,更为居民生活环境添一份美. ​​​​",否,,2012-08-11 10:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ywDIaswM2
19,#消防队员当“老师”暑期安全很重要#为使社区青少年度过一个平安快乐的暑期，增长课外知识，拓宽视野，进一步加强青少年及家长的消防安全意识，了解消防知识，2012年8月8日上午，西铁营社区组织辖区青少年及家长20人，前往丰台区右安门消防中队参观学习，让青少年及家长们大开眼界，意犹未尽，受益匪浅 ​​​​,否,,2012-08-09 10:42,2,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ywkMTq2UA
20,为引导青少年树立绿色环保理念，倡导和推广“绿色文明生活方式”，增强青少年的思想道德素质和实践能力，自觉参与创建文明城区的卫生意识，深入社区开展打扫卫生、礼仪劝导等实践体验活动。2012年8月4日上午，西铁营社区组织青少年对辖区进行一次环境保洁活动，对社区周边进行环境卫生清洁。 ​​​​,否,,2012-08-04 11:05,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yvzNGtL7N
21,"我上传了2张照片到专辑""默认专辑"" O网页链接 ​​​​",否,,2012-08-03 18:17,转发,评论,赞,微相册,https://weibo.com/2298938993/yvtcNEkMc
22,为了进一步推进垃圾分类减量工作，使青少年从小养成低碳环保的生活理念，更好地参与、配合、支持正在开展的生活垃圾分类工作，西铁营社区于2012年8月3日上午。邀请辖区的青少年参加社会实践活动，争当社区环保小卫士。让同学们了解环保知识，增加环保意识，参与“垃圾减分”活动。同学们受益匪浅。 ​​​​,否,,2012-08-03 18:12,转发,1,赞,微博 weibo.com,https://weibo.com/2298938993/yvtaxy3E9
23,自7月21日北京骤降大暴雨后，右安门街道西铁营社区将救灾防病工作作为当前工作的重中之重，社区利用电子屏和板报，及发放宣传单，来宣传灾后防病知识信息。 ​​​​,否,,2012-07-30 16:01,1,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yuQBoxIsj
24,灾害无情人有情，7.21暴雨给房山等地区带来巨大灾害，社区居民时刻关心他们的灾情，积极为灾区捐款捐物，外出务工党员不能亲自来，让家人送来1000元，生病党员等都主动打电话让家人送来捐款，群众也积极到社区表达爱心，捐款捐物。希望能帮助灾区人民共渡难关。 ​​​​,否,,2012-07-28 09:31,转发,评论,赞,iPhone客户端,https://weibo.com/2298938993/yuvchi7jR
25,居民站在雨水井口保护居民防止掉进井口发生危险 ​​​​,否,,2012-07-21 21:03,1,2,赞,iPhone客户端,https://weibo.com/2298938993/ytvJK1ByN
26,今日暴雨突袭，社区干部、物业领导、小区居民齐上阵，共同疏通下水管道，在拉开两个下水井口后，齐膝深的水慢慢的降低了水位，进入小区的水也被挡在了沙袋外面 ​​​​,否,,2012-07-21 20:44,3,评论,赞,iPhone客户端,https://weibo.com/2298938993/ytvBMf62r
27,"我上传了2张照片到专辑""默认专辑"" O网页链接 ​​​​",否,,2012-07-17 15:29,1,评论,赞,微相册,https://weibo.com/2298938993/ysRQceX8c
28,#居民申请廉租房听证会#2012年7月17日上午，在西铁营社区，召开了辖区居民孙秉雨的廉租房听证会。会上民政主任介绍了他的基本情况，代表们认真听取了申请标准和政策，针对具体申请人的情况进行讨论，大家一致认为孙秉雨的情况符合廉租房条件，同意申请。 ​​​​,否,,2012-07-17 11:23,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ysQe9y3lA
29,7月13日上午，西铁营社区党委组织党员、干部学习刘淇书记在中国共产党北京市第十一次代表大会上的报告及丰台区区委书记李超钢同志在丰台区领导干部大会上的讲话。 ​​​​,否,,2012-07-14 08:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ysmYUqCmc
30,西铁营社区为了学习和实践科学发展观，于2012年7月13日上午，召开了西铁营社区两委一站民主生活扩大会议。社区两委一站成员进行了深刻的批评和自我剖析。从学习、工作、团结、工作创新等方面对自己提出了更高的要求，并就社区建设目前存在的困难和日后的工作方向等问题提出了各自的看法和主张。 ​​​​,否,,2012-07-13 16:33,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ysgy02oGL
31,#关注用药安全，健康常伴身边#西铁营社区邀请丰台区药监局的张彦丽讲师，于2012年7月13日，举办“关注用药安全，健康常伴身边”的健康讲座。介绍了许多常见疾病显示特征、以及在多种疾病并存的情况下如何尽量安全配药；分清处方药与非处方药；学会看说明书；不要盲目食用保健品等用药知识和原则须知。 ​​​​,否,,2012-07-13 16:16,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/ysgr8vMaq
32,#做文明有礼的北京人、垃圾减分从我做起#2012年7月6日，西铁营社区继续开展“垃圾零废弃，文明零陋习”系列活动。随着社会的发展，低碳生活已经成为生活的潮流。为进一步推动节能减排理念深入社区，培养居民环保意识，不断促进家庭美德建设，在全社区营造良好的低碳生活氛围，提升社区的文明程度。 ​​​​,否,,2012-07-06 16:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yrcqNnNrg
33,#庆七一、促和谐#为深入开展社区民主自治工作，丰富社区党员和居民代表的生活，激发社区工作人员和党员、居民代表的学习热情，在中国共产党91华诞之际，以“庆七一、促和谐”为主题，西铁营社区组织党员、居民代表及部分居民游览北京市西山昌华森林公园。 ​​​​,否,,2012-07-04 16:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yqTNdd7lo
34,#退休教师献爱心#2012年7月3日，家住西铁营社区的居民张淑芳老师向丰台区儿童福利院捐献了一台全新的小天鹅电脑洗衣机。古人常说：“仁者爱人，有礼者敬人，爱人者，人恒爱之；敬人者，人恒敬之。”在社区中还有许多像张老师这样的好人，用自己的行动促进助人为乐、互相关爱的良好风气的形成。 ​​​​,否,,2012-07-04 09:43,转发,评论,赞,微博 weibo.com,https://weibo.com/2298938993/yqR19lZiU
