序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,转发微博,是,期盼已久的中秋+国庆终于来了，平安北京在这里祝广大粉丝们节日快乐！出门在外一定要注意安全哦 ​​​​,2012-09-30 09:14,转发,2,赞,微博 weibo.com,https://weibo.com/1797168385/yEerc1ZR0
1,//@公安部打四黑除四害: 中秋国庆佳节来临之际，公安部治安管理局恭祝广大网友心旷神怡、心闲手敏、心花怒放、心满意足、心想事成！,是,【公安部治安管理局发布黄金周“五心”安全提示】中秋国庆假日来临，公安部治安管理局提示大家：1、旅游观光要“留心” ；2、参加活动要“细心” ；3、人员密集要“当心” ；4、拖家带口要“上心” ；5、自驾出游要“小心” 。转起这张图，给自己和朋友们提个醒，节日快乐，安全第一！ ​​​​,2012-09-30 01:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yEbltgPCN
2,夏小然，你丢东西了，请认识的网友尽快告之//@乖蛋-总裁: @北京全攻略 @通州警方在线,是,失物招领：夏小然，湖北十堰市张湾区汉江路42号，9月28号晚来店购物时遗忘快递大信封一个，内有户口本，来京火车票（已使用，她目前应该在通州区），身份证复印件两张。拜托万能的微博了，求转发扩散，谢谢！@ayawawa @乖蛋的心 @乖蛋-总裁 @文怡 @丁三条 @1039园园 @八通网 @急诊科女超人于莺 ​​​​,2012-09-29 23:18,5,2,赞,微博 weibo.com,https://weibo.com/1797168385/yEax2qAAE
3,//@北京晚报: 好，俺喜欢晴天哈哈,是,【国庆期间全国大部天气晴好】国庆假日期间，我国大部地区气温适宜，除西南地区、西北地区东南部等地多阴雨天气外，其他大部地区以晴间多云天气为主，总体天气条件较好，适宜人们外出活动。4日前后，海南受热带气旋影响将出现较强风雨天气。O网页链接微博直播国庆天气O网页链接 ​​​​,2012-09-29 18:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yE8LY3nsD
4,罪犯家属和律师可通过电话或网络预约会见,是,#警讯#北京看守所在押人员家属律师可电话网络预约会见：今天上午，北京市公安局监所管理总队举行新闻通气会，向社会公布了全市19个看守所家属、律师预约会见方式。今后，凡在看守所羁押的已被判处刑罚的罪犯家属，及资质完备的律师，可通过电话或网络预约会见。预约会见方式见北京市公安局官方网站。 ​​​​,2012-09-29 16:31,1,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yE7RS6xAE
5,微博透露不在家 小偷知道去盗窃,是,#微提醒#【微博透露不在家 小偷知道去盗窃】邯郸警方提醒您：中秋、十一出游微博晒快乐时，最好不要泄露出游时间、人数，更不要泄露家庭住址哦！避免小偷盯上您的微博，发现家中无人去盗窃。CTFJ ​​​​,2012-09-29 16:21,2,1,赞,微博 weibo.com,https://weibo.com/1797168385/yE7O2vhNG
6,发表了博文 《坚守，在首都东南大门》 - 在通州区最南端的进出口，有座治安检查站，它如同进入首都的第一道大门，将外来的危险隐患拦截在京城之外。护卫这道大门的是通州公安分局应寺检查站的28名民警，他们不 O网页链接 ​​​​,否,,2012-09-29 10:37,5,4,赞,新浪博客,https://weibo.com/1797168385/yE5y8mLpP
7,转发微博,是,"我被最后一句话""扯""倒了！本次艺博会LOGO可谓匠心独具步步紧扣主题。整体由“艺”字形变而来，上半部分似A取“Art”，下部好似一条弯弯的河流，众所周知通州位于京杭大运河起点，与水结缘，“运河文化”正是通州区努力打造的品牌之一。另外，图案线条灵动，色如彩虹，象征着通州新地标“彩虹之门”。 ​​​​",2012-09-28 15:18,1,1,赞,微博搜索,https://weibo.com/1797168385/yDXXGlx3a
8,#艺博会安全服务提示#【防骗安全服务提示】[3]与陌生人接触时，千万不要动贪念或想发大财。对那些打着诸多旗号套近乎的人，一定要多留个心眼，如有疑问，及时向警方或相关单位核实。[4]时刻牢记防骗必备口诀：不贪小便宜不吃大亏。 ​​​​,否,,2012-09-26 19:54,1,3,赞,微博 weibo.com,https://weibo.com/1797168385/yDGUToZCc
9,#艺博会安全服务提示#【防骗安全服务提示】[1]在公共场合不要轻易收受陌生人的东西，不要饮食陌生人递来的饮料、食物，不要抽陌生人的烟，不要将手机供给陌生人使用。[2]如需问路、问讯、看管物品等，最好找现场民警、工作人员、保安等帮忙，并记住警号、工作牌号等，千万不要让陌生人帮看管物品。 ​​​​,否,,2012-09-26 19:52,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yDGUeDlig
10,#艺博会安全服务提示#【乘车安全服务提示】[3]在公交车上最好不要玩手机，建议使用安全绳带将手机连在身上或将手机放在包内或贴身口袋内。[4]乘坐出租车时要选择正规运营的车辆，不要乘坐非法运营车辆，并留意副驾驶座前的司机个人情况牌，下车时索要发票，以便随身物品遗失时能及时联系司机。 ​​​​,否,,2012-09-26 19:50,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yDGTbBtmJ
11,#艺博会安全服务提示#【乘车安全服务提示】[1]为避免造成展区及周边交通堵塞，希望广大群众乘公交交通工具到场参观。[2]提前准备好零钱，不要在站点翻找、清点财物。上下车时应遵守乘车秩序，不要只顾挤车或抢座位而放松警惕。 ​​​​,否,,2012-09-26 19:37,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yDGNMeXeu
12,#车辆停放安全服务提示#【车辆停放安全服务提示】[3]摩托车、自行车最好也配备机械大锁，即使短时间离开，也要锁好车，绝不能抱有“就几分钟，不会出事”的侥幸心理。[4]发现车辆被撬盗，应保护好现场，及时报警。 ​​​​,否,,2012-09-26 19:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1797168385/yDGMNE47Q
