序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,@文明北京 @文明东城 @中国文明网 @崇外文明办 2012年9月27日周四上午，都市馨园社区党委在宜黄会馆召开了“创先争优总结大会”。都市馨园社区党委结合本社区实际，在社区开展创先争优活动，刘燕书记将2年多来“五好”争创工作情况做了详细总结。 ​​​​,否,,2012-09-28 16:54,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yDYAD7qmU
1,@北京人口计生 @北京东城人口计生 2012年9月24日上午9：30分，都市馨园社区计生委在宜黄会馆举办了“都市馨园社区纪念9.25《公开信》知识竞赛”。社区全体计生宣传员参加了比赛。本着了解掌握计生知识第一，比赛第二的原则，选手们认真对待。 ​​​​,否,,2012-09-25 09:38,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yDts9aC8O
2,大家快来参与吧！绿色出行，有你有我！//@文明北京: 对于个人来讲，一定要参与“争当文明出行达人”网上签名承诺活动，才有可能获得奖励，全市将通过抽签评出1000名文明出行达人，每人奖励绿色时尚自行车一辆，我也邀请您和您的家人一起参与呦~,是,向 @平安北京 @文明北京 @交通北京 提问: 请问参与活动如何表彰呢 O网页链接 ​​​​,2012-09-21 10:53,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCSeR2GW9
3,@文明北京 @文明东城 @中国文明网 @崇外文明办 9月19日都市馨园社区内进行了秋季狂犬补免活动。宣传文明养犬。 ​​​​,否,,2012-09-20 11:00,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCIR65boW
4,自采暧补贴紧急通知：今年符合补贴条件的失业、退休人员，于本周20、21日到崇外街道办事处一层办理。@崇东社区 @快乐的崇西 @新怡家园社区 @新世界家园社区 @西花市南里东区 @西花市南里西区社区 @西花市南里南区社区 @大桥社区居委会 @国瑞城东区居委会 @国瑞城中区居委会 @国瑞城西区居委会 ​​​​,否,,2012-09-20 09:18,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCIbVkpPh
5,#推广普通话#@文明北京 @文明东城 @中国文明网 @崇外文明办 都市馨园社区在小区内张帖今年的推广普通话的宣传画。 ​​​​,否,,2012-09-19 09:22,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCyMOtuU2
6,@文明北京 @文明东城 @中国文明网 @崇外文明办 今日早晨都市馨园书记刘燕给所有社区同志召开紧急会议，关于今天重要敏感日加强巡视、值勤。 ​​​​,否,,2012-09-18 14:21,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCrjOAOxp
7,失主尽快到居委会北屋取,是,#失物招领#@文明北京 @文明东城 @中国文明网 @崇外文明办 近日拾到施娟女士的社保卡和一张银行卡，请到都市馨园居委会北屋领取。 ​​​​,2012-09-18 14:16,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCrhN0meF
8,,是,#失物招领#@文明北京 @文明东城 @中国文明网 @崇外文明办 近日拾到施娟女士的社保卡和一张银行卡，请到都市馨园居委会北屋领取。 ​​​​,2012-09-18 11:54,1,评论,赞,专业版微博,https://weibo.com/1261913155/yCqm2ee7K
9,#失物招领#@文明北京 @文明东城 @中国文明网 @崇外文明办 近日拾到施娟女士的社保卡和一张银行卡，请到都市馨园居委会北屋领取。 ​​​​,否,,2012-09-17 17:21,2,评论,赞,专业版微博,https://weibo.com/1261913155/yCj4nBFwm
10,"@文明北京 @文明东城 @中国文明网 @崇外文明办 近日都市馨园社区在小区内张帖""全国民防教育宣传日的""海报. ​​​​",否,,2012-09-17 16:34,2,评论,赞,专业版微博,https://weibo.com/1261913155/yCiL4A64g
11,#党员生活日#@文明北京 @文明东城 @中国文明网 @崇外文明办 2012年9月17日今天都市馨园党员生活日，党委副书记李彦博给党员们找来《党员李林森同志先进事迹》的影片，播放给大家看。 ​​​​,否,,2012-09-17 16:29,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCiJhcXwS
12,上周末都市馨园社区的志愿者在崇文门路口做志愿服务。 ​​​​,否,,2012-09-17 16:14,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yCiD02zaK
13,@崇外文明办 @文明东城@文明北京@中国文明网 2012年9月14日上午9点30分在都市馨园社区居委会门前组织开展了“都市馨园社区计划生育宣传月 避孕药具免费发放日”活动。活动中社区计生主任、社区服务站计生协管及计生宣传员等都参加了此次活动. ​​​​,否,,2012-09-14 15:38,1,评论,赞,专业版微博,https://weibo.com/1261913155/yBQ6PDoWV
14,"崇外街道第三届社区健身操舞大赛,都市馨园社区非常重视此次比赛,由社区居民16人组成,学习第九套广播体操,每日都会练习.通过此次活动达到锻炼身体的目的.@崇外文明办 @文明东城@文明北京@中国文明网 ​​​​",否,,2012-09-13 15:16,2,评论,赞,专业版微博,https://weibo.com/1261913155/yBGxK2r3C
15,"#社区调解#都市馨园15号楼的251号居民与261居民产生了房屋漏水问题,居委会出面调解后,请开发商来进行维修.解决了问题.251号的居民特意到居委会,送来了锦旗""为民排忧解难,办事便民高效""@文明北京 @文明东城 @崇外文明办 @中国文明网 ​​​​",否,,2012-09-12 15:28,1,1,赞,专业版微博,https://weibo.com/1261913155/yBxbO0Ebb
16,#团聚文化东城 绽放炫彩青春##繁花满城#崇外街道-陪聊队（都市馨园社区在2011年建立了阳光使者陪聊队）@文明北京 @文明东城 @崇外文明办 @中国文明网 ​​​​,否,,2012-09-12 15:07,1,1,赞,专业版微博,https://weibo.com/1261913155/yBx3Ah1wU
17,@文明北京 @文明东城 @崇外文明办 @中国文明网 在十八大即将召开之际，崇外街道兴隆都市馨园社区团支部于2012年9月10日在对都市馨园社区内进行“党的十八大意义宣传”活动，团员们对社区群众发放了宣传材料。社区团支部书记李彦博为社区青年讲解了十八大的意义. ​​​​,否,,2012-09-11 15:57,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yBnXdzsSV
18,@文明北京 @文明东城 @崇外文明办 @中国文明网 都市馨园社区的普法志愿者合唱《点亮智慧人生》，歌颂着普法志愿者们在法律工作中的无私奉献精神。本次活动将普法宣传融入到群众文化当中，提高了居民的法律意识，为建设和谐街道、和谐东城创造良好的文化氛围。 ​​​​,否,,2012-09-10 09:45,1,评论,赞,专业版微博,https://weibo.com/1261913155/yBc5GhiL4
19,#法律咨询进社区# @文明北京 @文明东城 @崇外文明办 @中国文明网 华泰律所的陈律师来到都市馨园社区，为前来咨询的社区居民免费解答法律问题。细心倾听他们的问题，运用法律知识对他们的问题进行分析。居民们对解答非常满意并感谢居委会为他们提供这样一个法律咨询平台，真正地为社区居民办实事。 ​​​​,否,,2012-09-10 09:42,转发,评论,赞,专业版微博,https://weibo.com/1261913155/yBc4twysk
20,有我们社区呀。,是,#健康东城#【东城将建的50个中医健康社区名单】8月21日，本微博曾经发布了东城今年将建50个中医健康社区的消息，内容详见O网页链接。居民到这些社区可以享受针灸、拔罐等中医特色服务，还能通过医保报销。这50个健康社区都包括哪些呢？请看下表 ​​​​,2012-09-03 17:31,4,评论,赞,微博 weibo.com,https://weibo.com/1261913155/yAb9ywAnz
21,#文明城区#@文明北京 @文明东城 @崇外文明办 @中国文明网 都市馨园社区中小学生参加社区居委会组织的在公交汽车站做文明交通引导员活动。 ​​​​,否,,2012-09-03 15:52,4,2,赞,微博 weibo.com,https://weibo.com/1261913155/yAav4AnPs
22,//@文明北京:  预告啦！9月4日(星期二)明天上午9:30，“畅通北京绿色出行月”缓解交通拥堵社会宣传实践活动启动仪式在朝阳公园南门广场举行，有时间感兴趣的朋友可以参加哦，“文明北京”到时也会现场直播！敬请留意  [玫瑰],是,注意啦！9月1日至9月30日，首都文明办、市交通委、市公安交管局、市环保局联合在全市驾驶人中开展“争当文明出行达人网上承诺签名”活动，将从参与者中评出1000名“文明出行达人”给予奖励。9月1日启动“文明出行秀达人”微博话题讨论活动，欢迎所有网民和驾驶人踊跃参加。O网页链接 ​​​​,2012-09-03 15:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1261913155/yAarWbe5x
