序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,苦莫苦于多愿 ​​​​,否,,2012-07-12 17:43,1,4,1,微博 weibo.com,https://weibo.com/2736825537/ys7A2Dgsh
1,#美国将建第一条高速铁路#美国时速354公里（220英里）的高铁已经相当于每秒98.34米，基本超过所有小轿车。目前最快的高铁技术在中国人手里，2010年时速486.1公里的京沪高铁至今领先世界。现在的中国高铁仍然受制于去年的温州动车事故，未发挥其高速效用。//@徐小平: 美国铁公鸡发力了！,是,【美国首条高速铁路将在加州兴建 造价680亿美元】当地时间7月6日，加州参议院以21对16通过高铁首期工程启动的资金提案。加州高铁总造价680亿美元，总长度为1280公里。从洛杉矶到旧金山，时速220英里的高速子弹列车将两地单程车距由原来的9小时缩短为2小时40分钟。O网页链接 ​​​​,2012-07-08 20:45,转发,1,赞,微博 weibo.com,https://weibo.com/2736825537/yrx3PaHav
2,//@北京市市政市容委: 大家都住在哪个门附近呢？[cai开心]//@京港地铁: 北京城的每个城门，功能都各有不同，来看看吧！,是,#大话北京# 原来，北京城的每个城门，功能都各有不同，所谓#九门走九车#；正阳门（前门）走龙车；安定门走粪车；德胜门走兵车；宣武门走囚车；阜成门走煤车；东直门走木车；西直门走水车；朝阳门走粮车；崇文门走酒车。大家都住哪个门附近呢？（Via：王建伟） ​​​​,2012-07-08 16:59,2,评论,赞,微博 weibo.com,https://weibo.com/2736825537/yrvAb72FI
3,#轩辕剑开播#作为中国独有的玄幻武侠电视剧，轩辕剑可谓是要打造成继《仙剑》系列后的又一扛鼎之作。不过在首播两集后，在情节设计与道具方面引得众网友纷纷吐槽，首先是平板电脑在剧里可谓大放异彩，其次就是时下大热的丧尸情节再次呈现让网友们普遍反映新意欠缺。 ​​​​,否,,2012-07-08 15:47,1,1,赞,话题-轩辕剑开播,https://weibo.com/2736825537/yrv6I8nrS
4,全国科技创新大会7月6日至7日在北京举行，总书记在会议上发表重要讲话，提出到2020年基本建成中国特色国家创新体系，进入创新型国家行列。他强调，只有不到10年的时间，当务之急，是要进一步解放思想、深化改革，破除一切束缚创新的思想观念桎梏和体制机制障碍，最大限度解放和发展科技第一生产力。 ​​​​,否,,2012-07-08 00:14,转发,评论,赞,微博 weibo.com,https://weibo.com/2736825537/yrp0lzkVV
5,千万国共將士浴血奋战方有和平稳定强大富裕之今日，吾辈当思来之不易，须秉承前辈意志，为建设民主公平之中国而自强不息。,是,,2012-07-07 08:26,转发,评论,赞,华为Ascend手机,https://weibo.com/2736825537/yriNkfSvF
6,#高义伯胡同#每天上班时候自西单下公交车，穿行横二条胡同、力学胡同、高义伯胡同、太仆寺街、罗家胡同至背阴胡同。这几个胡同里边最有意思的当属高义伯胡同，因为这条街又窄又短还有个弯，数十米的长度最窄处也就一米有余，活似个狗尾巴，在民国以前这条路真的就叫做“狗尾巴胡同”！ ​​​​,否,,2012-07-06 20:41,转发,评论,赞,微博 weibo.com,https://weibo.com/2736825537/yrebnBxYC
7,你要么远离政治，要么明白历史//@徐小平:环球时报：“成年人利用未成年人实现政治目的是不道德的。”,是,这次赞同《环球时报》。我赞美一些90后，但不鼓励他们上街，因为不知道秋后会怎么算账。更赞同成年人利用未成年人实现政治目的是不道德的，所以应取消少先队以及政治课。 ​​​​,2012-07-06 20:00,转发,评论,赞,HTC One X,https://weibo.com/2736825537/yrdULfzVj
8,#穿越#根据广义相对论，时空被引力弯曲，引力越强则弯曲程度越大。弯曲程度特别大时候有可能出现克莱因瓶的情形，即时间发展的头被拐进了屁股后头，这就出现了“穿越”。至于小说里盛行的“超光速穿越”，违背了相对论的大前提——光速极限，所以这种自我矛盾的科盲小说比跳进黑洞穿越的弱智不止一点。 ​​​​,否,,2012-07-05 23:33,转发,评论,赞,HTC One X,https://weibo.com/2736825537/yr5Slzmiu
9,一年期存款基准利率明日起下调0.25个百分点，一年期贷款基准利率下调0.31个百分点，并将金融机构贷款利率浮动区间的下限调整为基准利率的0.7倍。释放货币存量提高货币流动性促进经济增长。,是,【中国央行下调人民币存贷款基准利率】据新华社报道，中国人民银行决定，自2012年7月6日起，金融机构一年期存款基准利率下调0.25个百分点，一年期贷款基准利率下调0.31个百分点，并将金融机构贷款利率浮动区间的下限调整为基准利率的0.7倍。O网页链接 ​​​​,2012-07-05 19:26,转发,评论,赞,HTC One X,https://weibo.com/2736825537/yr4gbvOXK
10,自元大都始，北京成为全国统一的政治中心和首都，开放的坊巷制度最终定型为胡同。而胡同的名称一直都只是靠人们口头相传，至于用文字写在标牌上挂在胡同口上，只是民国后才有的，所以现有很多胡同的叫法因标牌而不标准，比如背阴胡同的正宗叫法应如帽儿胡同、盆儿胡同一样叫背阴儿胡同。 ​​​​,否,,2012-07-05 12:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2736825537/yr1wByeu0
11,地铁1号线信号系统坏了，今天上班迟到的童鞋应该不少吧 ​​​​,否,,2012-07-05 08:54,转发,7,赞,HTC One X,https://weibo.com/2736825537/yr07J54yS
