序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@李开复: //@洪晃ilook:  //@戴小京: 西去路上，处处莲花。 //@孟岩语怪力乱神:中秋前夜驾鹤西去,是,,2012-09-30 09:31,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yEexVgKTd
1,若无闲事挂心头。,是,,2012-09-30 09:28,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yEewEnKOw
2,[挖鼻屎] //@北京市民政局:同学们，高速上的副驾们，看到这条微博一定严肃叮嘱司机，开车要谨慎啊、杜绝事故。放假兴奋、飘忽的心还是到了目的地再放飞吧！,是,【北京京港澳高速路拥堵28公里】据北京交通广播103.9播报，北京京港澳高速窦店段发生20多起事故，拥堵长达28公里。附图为北京高速路绕行线路。另外京开高速出京方向玉泉营桥至西红门南桥车多缓慢，京承高速出京方向来广营主站有短暂排队情况，京藏高速居庸关路段车多行驶缓慢。 ​​​​,2012-09-30 09:25,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yEevIsCEQ
3,,是,下午还参加了朝阳区社会建设办公室与人文学院建立的双基地签约仪式。其中设计了研究项目和人才培养两大类的内容。我们可能会承担其中的一部分。政府越来越重视对社区工作者的能力和专业素质，针对他们的培训就是一项比较重要的任务了。 ​​​​,2012-09-30 09:24,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yEev4y19P
4,"我刚更新了#微博客户端秋季版#，1.全新个人主页, 2.信息流新增趋势：热门文章、推荐好友, 3.新增微博专属二维码, 4.新增发送队列, 5.新增个性会员主题，赶快成为微博会员吧！下载地址：O网页链接 ​​​​",否,,2012-09-18 06:33,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yCofN3sKp
5,@胡新花社会工作室 @挚恋中国风 @中国社工时报 //@奥韵时讯:9月15日风林绿洲社区第六届邻里文化节传统文化庙会暨风林国学社成立2周年庆祝。赞,是,2012年9月15日上午9点风林绿洲小区广场，风林绿洲社区第六届邻里文化节、“迎中秋”传统文化庙会。庆祝风林国学社成立2周年。如期举行。难得古老吟唱，汉服展示，名家朗诵，精彩武术表演给大家上演了一场传统文化的盛宴。 ​​​​,2012-09-16 07:54,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5Vwatgu
6,,是,#诚实守信三字经#讲道德、莫迟缓、学人长、补己短；勤努力、猛追赶；跟形势、观念转；学雷锋，德彰显；建社区、宏图展；讲正气、行慈善；宽待人，送温暖；促和谐、要果敢；生活中、要检点；行不端，要收敛；讲文明，科学管；遵法纪，守诺言；扬国粹，志不减… 地址：O网页链接 ​​​​,2012-09-16 07:52,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5UYbwnJ
7,@,是,今天下午道德讲堂活动的美女主持哦，美女主持 ​​​​,2012-09-16 07:52,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5UNz77S
8,我们的王老师是最棒的。,是,道德讲堂 ​​​​,2012-09-16 07:51,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5UsAhuU
9,,是,#从洼里乡到奥运村#这张照片谁见过，谁了解照片的故事，或者谁能联系得上照片上的某个人，欢迎您私信小奥~~ ​​​​,2012-09-16 07:34,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5No5nud
10,#最美奥运村# ​​​​,否,,2012-09-16 07:28,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yC5Lc9CRq
11,@书法中国风 @北京王惠 @鹏小山 @潘石屹 @任志强 @王大伟 @牛人禾--牛火焱律师 @521从前从前 @奥运时讯 @,是,2012年9月15日上午9点风林绿洲小区广场，风林绿洲社区第六届邻里文化节、“迎中秋”传统文化庙会。庆祝风林国学社成立2周年。如期举行。难得古老吟唱，汉服展示，名家朗诵，精彩武术表演给大家上演了一场传统文化的盛宴。 ​​​​,2012-09-15 20:18,1,评论,赞,Android客户端,https://weibo.com/2649708973/yC1naCCfC
12,我社区定于2012年9月15日上午9点在风林绿洲小区广场举办风林绿洲社区第六届邻里文化节、“迎中秋”传统文化庙会。庆祝风林国学社成立2周年。届时演出难得古老吟唱，汉服展示，名家朗诵，精彩武术表演等非常值得期待。节目主持为北京生活频道著名主持人。地址：在鸟巢西侧大屯路上中科院地理所站即到。 ​​​​,否,,2012-09-12 18:38,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yByreikNI
13,,是,聆听是一种享受 《[转载]蓝诺作品朗诵集--康健》 (来自 @头条博客) O网页链接 ​​​​,2012-09-05 08:12,转发,评论,赞,Android客户端,https://weibo.com/2649708973/yAqlAlAQR
