序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,庆中秋 迎国庆 百面国旗社区挂 国庆中秋双双庆，在这个特别、美好、难忘的日子里，让我们共同祝福我们亲爱的祖国国泰民安，前程似锦。并预祝党的十八大顺利召开。 ​​​​,否,,2012-09-27 16:18,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yDOVwBLHK
1,@围围秀秀,是,车如其人，看车猜车主~~ ​​​​,2012-09-19 09:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yCz01ivgZ
2,"我上传了9张照片到专辑""2012shuhuazhan""，快来看看吧！O网页链接 ​​​​",否,,2012-09-19 09:25,转发,评论,赞,微相册,https://weibo.com/1722402051/yCyOd5s7e
3,9.18日下午，南植社区举办社区手工书画展。此次展出的作品玲琅满目，用各种花草粘的压花，布艺画，油画，书法，工笔，十字绣，中国结等...... ​​​​,否,,2012-09-19 08:59,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yCyDuuYQ7
4,转发微博,是,【日本抗议中国海监船驶入“日本领海”】人民日报记者刘军国消息，综合日媒消息，14日上午6艘中国海监船驶入“日本领海”，日内阁官房长官藤村修指“这并无前例”。日本外务事务次官河相周夫上午召见了中国驻日大使程永华，抗议中国海监船驶入“日本领海”，程永华则反驳“钓鱼岛是中国固有领土”。 ​​​​,2012-09-14 15:58,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBQf2wZ1u
5,转发微博,是,【丽江小吃】螺旋团子、荞糕、核桃丸子、状元糕、香辣藕脯、纳西钵仔糕、粟肉饼、螺旋饼、菠萝八宝饭、米灌肠、火腿野生菌竹筒饭、紫米粑粑、油炸水蜻蜓、耗牛肉、纳西腊排骨、油炸蛋串、凉粉、耗牛肉蛋卷、烤乳扇、纳西卷粉。 作为一名资深吃货，怎能错过？（图转） ​​​​,2012-09-14 14:15,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yBPziCbgz
6,//@看书有道: 好清新~~！喜欢。。。,是,,2012-09-14 09:25,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBNFK1aGn
7,转发微博,是,不用打字就可以把书上的文字快速输到电脑上！神奇的方法请点击：O网页链接 ​​​​,2012-09-14 09:24,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBNFe6ZEK
8,为社区居民修路，居民连声道好！！ ​​​​,否,,2012-09-12 15:49,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBxkgv2Wi
9,转发微博,是,北京市各区县社工工资明细 将不定期更新 社工你过的幸福么？ O网页链接 ​​​​,2012-09-12 15:47,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBxjLtcfp
10,转发微博,是,地震发生时，在不同场所应该如何逃生呢？我国多数专家认为：震时就近躲避，震后迅速撤离到安全地方，是应急避震较好的办法。避震应选择室内结实、能掩护身体的物体旁、易于形成三角空间的地方，开间小、有支撑的地方，室外开阔、安全的地方。坐下或蹲下降低身体重心，抓住牢固的物体。 ​​​​,2012-09-12 15:03,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBx1E24NM
11,转发微博,是,【中国反制日本绝不手软】针对日本“购岛”闹剧，中国政府本着有理有利有节的原则，将出台一系列强有力的反制措施，而且绝不手软。钓鱼岛主权之争是一场国家意志的长期较量，不可能一蹴而就，但如果这次不把日本的嚣张气焰打下去，东亚地区将后患无穷。O网页链接人民日报海外版 ​​​​,2012-09-12 08:53,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yBuBwjGUW
12,转发微博,是,,2012-09-12 08:47,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBuzf5l4F
13,转发微博,是,,2012-09-11 15:35,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBnOfcrrp
14,转发微博,是,"9月8日下午3时许,的哥李书强在方庄遇到一位年近五旬的男子打车去积水潭医院,他在工作时不慎被木头砸伤了中指,鲜血如注。出租车飞速行驶,半路却遇上堵车。报警后,一位骑摩托车的交警在前开道,及时抵达了医院。帮助带路的交警并没有留下姓名,只是告诉李书强,如果他此次因闯红灯被罚,可以与交通队联系。 ​​​​",2012-09-11 15:32,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBnN3iIik
15,//@看书有道: 土豆的另类存在方式！！太有趣了~~~,是,,2012-09-11 09:15,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBlkc0XUD
16,//@首都社区服务: 汽柴油价11日起每吨分别上调550和540元,是,#国内新闻#【汽柴油价11日起每吨分别上调550和540元】国家发改委发出通知，决定自9月11日凌晨起，将汽、柴油价格每吨分别提高550元和540元，测算到零售价格90号汽油和0号柴油（全国平均）每升零售价分别提高0.41元和0.46元。这轮调整是2012年国内成品油价格连续两次上调。 ​​​​,2012-09-11 09:15,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBljRiOnO
17,今天是一年一度的教师节～我们祝愿天下所有的老师身体健康，心想事成～ ​​​​,否,,2012-09-10 09:43,转发,评论,赞,专业版微博,https://weibo.com/1722402051/yBc4XpmLO
18,转发微博,是,#地铁时光机#【老车票】环线地铁建成通车后，运营压力明显增大，北京地铁票价也有了第二次调整，1991年1月1日，北京地铁票价调整为伍角，在一、环线通用。1971年到1990年20年间，北京地铁的客运量也有了迅猛的增长，年客运量由828万人次增长到3.82亿人次，日均客运量由2.8万人次增长到100.8万人次。 ​​​​,2012-09-05 10:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yArhj3ji4
19,转发微博,是,,2012-09-04 10:36,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yAhRrtwku
20,//@北京地铁: #文文明明 与你牵手#【地铁文明大家谈】这种坐姿您可能是舒服了，但是有没有考虑过其他人的感受呢？地铁是公共场所，请大家注意自己的一言一行。感谢铁丝分享。,是,@北京地铁 鄙视不文明现象 ​​​​,2012-08-24 10:38,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yyCaIfkMS
21,//@永定路街道三街坊北社区: 好棒呀~~~真方便~~,是,,2012-08-24 10:25,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yyC5A0lxu
22,//@微博客服: 微博互助专区O网页链接，说出你的问题、搜索你的答案，互助无处不在~,是,#在你身边#当你玩微博遇到问题的时候，当你想知道其他人遇到这个事是怎么解决的时候，当你想知道这样做的结果是什么的时候，请你来这里→_→微博互助专区：O网页链接 说出你的问题，搜索你的问题，发起问题投票，请大家互相帮忙，解疑答惑！让我们告诉你，微博还可以这么玩！[发表言论] ​​​​,2012-08-23 15:59,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yyuQvxwYM
23,转发微博,是,【一篇点击率过百万的文章 】24岁分手了，25岁好似不会恋爱了，26岁。。。在网络上看到的一篇文章，看完很有感触，有种想落泪的感觉，分享给大家~！文章中的那个“你”，也许不是别人，正是自己。 ​​​​,2012-08-23 15:56,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yyuPe5kWh
24,转发微博,是,,2012-08-23 11:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yysTa3DZe
25,//@平凡的小祁祁: 转发微博,是,"#爱在微博蔓延#因为微博，相遇,相知；因为微博，一起笑,一起哭；七夕，爱在微博蔓延:烦恼时评论是最好的回应;遇到困难时转发是最大的支持;需要帮助时微博帮助O微博帮助-首页就在你身边…微博上的那些爱，你感觉到了吗?微博有爱，总有一个人在微博等你~ O网页链接 ​​​​",2012-08-23 11:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yysT76inM
26,"奖品！一定要HOLD住！一起来抢啊！""#我的保险我做主#转发赢千元购物卡"" O网页链接",是,#我的保险我做主#有一种承诺叫平安，有一种服务叫快易免，有一种创新叫一证快赔，有一种回馈叫平安产险客服节。立即前往回馈平台O网页链接 New iPad、千元、百元购物卡等多重好礼享不停！此外关注@中国平安 +转发本帖，同样有千元购物卡等你赢！ O网页链接 ​​​​,2012-08-23 10:35,转发,评论,赞,微活动-#我的保险...,https://weibo.com/1722402051/yysJ2pVlT
27,"woow~~奖品好给力啊！赶快参加！ ""#我的保险我做主#转发赢千元购物卡"" O网页链接",是,#我的保险我做主#有一种承诺叫平安，有一种服务叫快易免，有一种创新叫一证快赔，有一种回馈叫平安产险客服节。立即前往回馈平台O网页链接 New iPad、千元、百元购物卡等多重好礼享不停！此外关注@中国平安 +转发本帖，同样有千元购物卡等你赢！ O网页链接 ​​​​,2012-08-23 10:34,转发,评论,赞,微活动-#我的保险...,https://weibo.com/1722402051/yysINzgCW
28,@六号院社区 @香山四王府社区 @围围秀秀,是,南植社区参加第七届北京公园节健身休闲竞赛暨跳绳比赛，在女子个人比赛中，以一分钟189个的好成绩，获得了此次女子个人跳绳第二名！ ​​​​,2012-08-22 17:24,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylYw5a2U
29,南植社区参加第七届北京公园节健身休闲竞赛暨跳绳比赛，在女子个人比赛中，以一分钟189个的好成绩，获得了此次女子个人跳绳第二名！ ​​​​,否,,2012-08-22 17:21,1,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylXcuHem
30,香山街道举办第七届北京公园节健身休闲竞赛暨香山地区跳绳比赛，在香山植物园举行！ ​​​​,否,,2012-08-22 17:18,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylWap6wE
31,//@伍什城: 转发微博,是,"【蒙牛3000箱临期牛奶 生产日期遭改晚6个月】蒙牛公司驻义乌市经理王孙富，5月初从蒙牛公司员工聂立峰处以正价一半的价格购买了3000箱生产日期为2011年12月份的蒙牛纯牛奶(属临期品),将日期涂改为2012年5月19日和6月1日后，以正品价格销往浦江义乌。该案已移送公安部门处理。O网页链接 ​​​​",2012-08-22 17:12,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylTLrRKH
32,转发微博,是,10万根牙签的艺术 （转）  ​​​​,2012-08-22 15:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylo5ByJz
33,我刚换了“情迷宝丽来”模板 O我的首页 微博-随时随地发现新鲜事 ​​​​,否,,2012-08-22 15:36,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylgH27Lw
34,转发微博,是,#北京寻狗#@很旅行的爱情：  家有一只比熊狗，白色，名字叫“大雄”2012年8月10日~晚上7-8点之间~在石景山区老山公园（八宝山地铁往北）附近走丢，小狗见到生人爱叫，胆小，贪吃，体重大约10公斤左右~希望各位好心人帮忙留意一下，更希望收留它的好心人能与我联系~提供重要线索者，必有 ​​​​,2012-08-22 15:34,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylfRAePW
35,转发微博,是,【狗狗贪玩卡住头 消防队员把它救】8月21日，河南洛阳石油路上一工厂看门狗自己不小心把头卡在铁门下的栅栏里，因为脖颈卡的很紧，没有器械操作空间，洛阳消防支队消防官兵费了好大劲，尝试4套方案，历经一小时终于把它营救出来。 ​​​​,2012-08-22 15:33,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yylfDpb7Y
36,//@微博客服: 发微博上传一张亲密的照片不仅能够领取勋章，而且还有钻戒等你拿心动不如行动[ali扑倒]微相册使用帮助O网页链接,是,【七夕我们结婚吧】一等奖（TOP1)：结婚钻戒一枚哦，心动了吧！[花心]发微博含#我们结婚吧#+晒你和ta的亲密照片，领取“我们结婚吧”勋章，按最终的作品有效转发数评出奖品哦，奖品丰厚，详情请猛击：O我们结婚吧 新浪微博-随时随地分享身边的新鲜... 时间：2012年8月6日--8月27日 ​​​​,2012-08-21 16:52,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yycl5xYcg
37,[呵呵],是,刚看到这个微博，说是记录从她1岁到现在30岁和她爸爸的合影。我看了心灵又触动了，看着我小时侯1岁的照片坐在年轻时候爸妈的腿上笑着，不禁感叹转眼这么多年了，父母用青春换来了我们的今天！ ​​​​,2012-08-21 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yycifa1X3
38,转发微博,是,刚看到这个微博，说是记录从她1岁到现在30岁和她爸爸的合影。我看了心灵又触动了，看着我小时侯1岁的照片坐在年轻时候爸妈的腿上笑着，不禁感叹转眼这么多年了，父母用青春换来了我们的今天！ ​​​​,2012-08-21 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yyci79KDN
39,转发微博,是,#北京寻主# 在工体附近捡了一只狗，灰色，公狗，有点像剃了毛的雪纳瑞，指甲像是修过，觉得像是家养狗。现在寄存在宠物店，有点迷茫，有人丢失这样的狗狗吗？？如果有人丢就带着证件和照片去认领！！如果这狗是流浪狗，北京本地人想领养的也可以联系 @Rock辣椒好像叫张楠 ​​​​,2012-08-21 16:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yych3ys7O
40,转发微博,是,【西装衬衫领带的搭配】①蓝西装：白、粉、乳黄、银灰、和明亮蓝色衬衫；深蓝、红色、黄、灰、胭脂、和砖色领带。②黑西装： 白或浅色衬衫；配灰、蓝、墨绿领带。③灰西装： 以白为主淡色衬衫；灰、绿、黄和砖色领带。④褐西装： 白、灰、银、明亮的褐色衬衫；灰、绿、黄色领带。O网页链接 ​​​​,2012-08-21 10:52,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy9Z637Ev
41,把隐患消灭在萌芽中～,是,#警情追踪#19日下午3点半，劲松路“北容酒楼”后厨起火，大火蔓延至酒楼烟道和窗外。4点半左右，消防部门将火扑灭，过火面积为10平方米，没有造成人员伤亡。劲松街道办事处负责人介绍，酒楼厨师炼油时锅里着火，随后想用凉水扑灭，导致火灾。提示大家油锅起火不能用水灭啊~via：北京城你不知道的事儿 ​​​​,2012-08-21 10:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy9YKtyEY
42,//@北京地铁: #文文明明 与你牵手# 【地铁文明大家谈】这里不是晨练场所，也不是奥运赛场，这样的跨栏动作既不安全也影响正常排队秩序，您翻越的不是围栏，而是文明。,是,汽车加塞可以抵制，这人加塞咋整，北京地铁天通苑北起点站，排队进车站，山路十八弯，但总有人依次跳闸拦，一个又一个，刘翔该乐了，后继有人了@北京新闻广播 @文明北京 @927路况直播 ​​​​,2012-08-21 10:50,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy9Yg3iov
43,转发微博,是,,2012-08-20 16:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy2RpiXgY
44,为了迎接跳绳比赛，居民每天积极练习，准备以最好的状态参加跳绳比赛～ ​​​​,否,,2012-08-20 11:11,转发,2,赞,微博 weibo.com,https://weibo.com/1722402051/yy0G1hk9O
45,为了迎接跳绳比赛，居民每天积极练习，准备以最好的状态参加跳绳比赛～ ​​​​,否,,2012-08-20 10:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy0uq3t0N
46,今天南植社区对社区的药品安全信息员进行了培训。 ​​​​,否,,2012-08-20 10:39,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy0tnl50I
47,转发微博,是,#十渡景区# #房山旅游# 8月19日，经历“7.21”风雨洗礼后，十渡风景区重新开放营业，拒马乐园、孤山寨、东湖港三大主要景点和集观光、体验、采摘于一体的平峪“田园超市”可正常接待游客，景区内宾馆、饭店及80%的民俗户可同期正式迎客。同时，拒马乐园南山观光索道也于当天正式投入运营。 ​​​​,2012-08-20 10:36,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yy0s7jLBc
48,,是,"【拯救夜鹭】前天上午,昌平区流村镇古将村村民将受伤夜鹭送往野生动物救助中心治疗。5天前,他在王家园水库附近的养蜂基地放蜂时,捡到一只受伤的""灰鸟"",将其带回家,查阅资料发现可能是夜鹭后,他赶紧联系野生动物保护部门。后经鉴定,这正是国家二级保护动物夜鹭。保护野生动物,就是保护我们自己。 ​​​​",2012-08-17 17:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxAM9zoHK
49,//@海淀在线: 转发微博,是,传一张圆明园的天鹅图 ​​​​,2012-08-17 16:20,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxAq2eadK
50,//@科技北京: 1、 开放时间:每周一 至 周五开放; 2、开放方式：有组织的面向学生、社会免费开放。（需提前一周电话预约）； 3、票务：免费； 4、 交通：交通路线：乘40、59、604路半步桥站下车； 5、 地址: 白纸坊东街甲29号万寿公园内。,是,#科普嘉年华# #科普基地#宣武区公共安全宣传教育基地是北京市人民政府2007年为民办实事折子工程之一，旨在通过对公共安全知识的挖掘、整合，撷取精髓，以图文并茂、人机互动、模拟体验等形式，生动、真实地展示了公共安全知识，强化公共安全意识，提高自救互救能力。 ​​​​,2012-08-17 16:15,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxAo6w32S
51,食品什么好能安全？,是,#男子三餐吃泡面猝死#台北一名男子，因为三餐都吃泡面，结果“钠”摄取量过高，罹患高血压后猝死；医师指出，泡面大多高盐，有的光是一碗泡面，就超过整天2400毫克钠的摄取量，提醒民众斟酌使用酱包，才不会增加罹患高血压风险。。 O网页链接 “美食吧” O网页链接 ​​​​,2012-08-17 16:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxAn8xItV
52,,是,,2012-08-17 14:14,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxzB8CK2I
53,转发微博,是,,2012-08-17 14:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxzzpFwZw
54,多多支持～,是,"南植代表队，在2012魅力社区大舞台台参赛节目NO.158""六字诀'气功，希望大家给投票，多多支持～O网页链接 ​​​​",2012-08-17 11:13,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxypDxZqp
55,//@甘家口新街社区: 垂涎三尺哇[花心],是,#文明城区创建-ing#（17）#家有甘露 味在永徽# 由海淀区饮食服务行业协会、海淀区甘家口街道办事处联合主办，大永徽（北京）餐饮娱乐有限公司、甘家口街道微博@甘家口之窗 承办的＂家有甘露、味在永徽＂社区家庭厨艺大赛，冠军揭晓啦！很多网友都猜到了，这款冠军菜就是......见图~ 您猜对了吗？ ​​​​,2012-08-17 11:04,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxym0FJHi
56,转发微博,是,好友赴非洲出差时身染疟疾，回京后发病昏迷，病情危重，留下刚满百天的双胞胎儿子，妻子已悲痛欲绝，目前病人多器官濒临衰竭，需全身换血，医院提出以血换血，现呼唤北京的爱心人士热血相赠，一起救救这个30岁的好丈夫，好爸爸。电联13717700495 @北京交通大学知行论坛 @北京交通大学官方微博  ​​​​,2012-08-17 10:47,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxyePnzP1
57,清除白色垃圾，还我美丽家园，南植社区组织青少年参加捡拾白色垃圾活动，参加的青少年有13名， ​​​​,否,,2012-08-17 10:42,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxycOFvVO
58,转发微博,是,这不是宝马，这是永久。 ​​​​,2012-08-16 17:25,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yxrpYrwHH
59,转发微博,是,[震惊]近日，西二旗消防中队接到报警，海淀区上地环岛创业大厦对面公园公厕一男子手被卡在马桶。经现场了解该男子在上厕所时不小心将手机和钱包掉在便池，执意伸手捞手机和钱包，由于管道较深，手臂卡在了便池。消防官兵将便池底坐整体的从地面下移出然后在利用工具将便池铁皮破拆开救出该男子。 ​​​​,2012-08-13 10:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/ywWeE7dcf
60,转发微博,是,【中国移动指令大全】有了这些你就不用再跑营业厅了，赶快收藏吧！ ​​​​,2012-08-13 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/ywWaodQFc
61,@六号院社区 @,是,#北京寻主#@JamS小蝴蝶：北京市海淀区香山南路拣到一只走失的小狗~脖子上有狗绳，很亲人，会握手，坐下，像是家养走失的，不像流浪狗，红色鼻头，像没长大的金毛。刚喂了水和吃的。主人看到联系我！小家伙很可怜 ​​​​,2012-08-13 09:51,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/ywWa8hnkf
62,祝所有的父母都身体健康～,是,如果有一天，你发现妈妈煮的菜太咸太难吃；如果有一天，你发现爸爸老是咳个不停；如果有一天，你发现父母喜欢吃稀饭；如果有一天，你发现父母过马路反应慢了；如果有一天，你发现父母不再爱出门；如果有这么一天，说明父母真的老了。树欲静而风不止、子欲养而亲不在，你留意过自己的父母吗？（转） ​​​​,2012-08-09 08:44,1,评论,赞,微博 weibo.com,https://weibo.com/1722402051/ywk0SEXw2
63,@六号院社区 @海淀在线 @香山北炮社区 给我们多多投票，每天可以投票100次啊～,是,"南植代表队，在2012魅力社区大舞台台参赛节目NO.158""六字诀'气功，希望大家给投票，多多支持～O网页链接 ​​​​",2012-08-07 17:11,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4u4eell
64,南植代表队，在2012年魅力社区大舞台参赛的节目NO.159舞蹈“妈妈恰恰”希望大家多多支持与投票～O网页链接 ​​​​,否,,2012-08-07 17:08,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4sLi1VK
65,"南植代表队，在2012魅力社区大舞台台参赛节目NO.158""六字诀'气功，希望大家给投票，多多支持～O网页链接 ​​​​",否,,2012-08-07 17:06,4,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4rTcZzk
66,南植社区代表队，在2012年魅力社区大舞台的参赛节目 NO160“幸福山歌”O网页链接 ​​​​,否,,2012-08-07 17:03,1,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4qysQt9
67,刘翔17:45出战110米栏预赛力争晋级，你说他能坚持到底吗？ ​​​​,否,,2012-08-07 17:01,转发,1,赞,微博 weibo.com,https://weibo.com/1722402051/yw4pZiygl
68,每人一台？,是,假如本届伦敦奥运会结束时，中国代表队还能在金牌榜上排第一，现决定：关注@金港通数码 并转发本微博的，每个人送一台iPhone4S，绝不食言。 （不玩文字游戏，绝对的每个人送一部！本公司大量库存，见图） ​​​​,2012-08-07 17:01,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4pPfFMK
69,[呵呵],是,"8月5日晚,4名聋哑游客在怀柔莲花池迷路,惟一的唇语翻译是位聋人,虽然报了警,但无法通过手机交流。消防队员经过一个多小时的攀爬,非常偶然地在野长城畔一山坳处找到了他们,其中一位比利时人竟然已经85岁了,下山途中基本丧失了行动能力,只能被消防员搀扶着挪动,又用了两小时左右终于安全营救下山。 ​​​​",2012-08-07 16:45,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4jrza4Y
70,,是,"#网上交友#近几年婚恋网站迅速发展，""托儿""一族也开始吧目光转移到婚恋网站上，因会员身份认证制度的缺失，频频出现酒托、饭托、婚托等诈骗行为。调查显示，目前一半以上的人都认为婚恋网站已成为婚托酒托等诈骗行为赖以生存的温床。有律师认为，这些寄生行为是值得注意的新型犯罪方式 ​​​​",2012-08-07 16:44,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw4j10xaa
71,"我参与了@大麦现场志 发起的投票【9月创刊号封面人物你来定】，我投给了""张惠妹""这个选项。你也快来表态吧：O网页链接  ​​​​",否,,2012-08-07 16:10,转发,评论,赞,投票-9月创刊号封...,https://weibo.com/1722402051/yw44X0awC
72,有奖转发 地址：O网页链接,是,夏目友人帐之大萌物猫咪老师宅人披肩，如果你是猫咪老师控的话，赶快参加我们的活动吧！转发就有机会获得猫咪老师披肩，两位幸运者。动漫，让生活变的更加美好！（购买地址：O网页链接） O网页链接 ​​​​,2012-08-07 16:09,转发,评论,赞,微活动-猫咪老师...,https://weibo.com/1722402051/yw44PAAIN
73,“一砸即中，为中国健儿加油！”，这个活动推荐给大家。 地址：O网页链接 ​​​​,否,,2012-08-07 16:08,转发,评论,赞,微活动-一砸即中...,https://weibo.com/1722402051/yw4470QUn
74,"分享个好玩的活动给你们，都来看看吧。""经验带你看奥运，猜中国奖牌数，赢500G硬盘"" O网页链接",是,奥运比赛进入第9天中国已拿下30枚金牌，总共61枚奖牌。你是否见证了每一枚奖牌的获得，就算错过也不可怕，因为百度经验悉心为大家准备了奥运知识专题O网页链接，给你不能错过的精彩。转发此微博@三位好友，并预测中国的金牌数，有机会赢得好礼。 O网页链接 ​​​​,2012-08-07 16:07,转发,评论,赞,微活动-经验带你...,https://weibo.com/1722402051/yw43SvJwM
75,加油～,是,#残奥会#伦敦残奥会在即，著名影星刘德华北京探访残奥运动员，并将赴伦敦支持残奥。O网页链接 ​​​​,2012-08-07 16:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw41X96w0
76,//@微博客服: 8年前，雅典奥运会刘翔用12秒91征服世界；8年后，伦敦奥运，刘翔再次出发。点此一起为刘翔加油O网页链接,是,【视频-央视5分钟纪录片 回顾刘翔12年奥运之路】视频:O网页链接 在第三十届伦敦奥运会的田径比赛中，中国选手刘翔将会再次冲击110米栏的奥运金牌，让我们通过一段纪录片来回顾刘翔这12年的奥运之路。#刘翔加油# ​​​​,2012-08-07 16:02,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw41F73YQ
77,,是,【湖北十堰特大暴雨已致13死725伤3人失踪】8月4日至6日，湖北十堰出现特大暴雨，导致多种灾害并发。目前全市共有43万人受灾，因灾死亡13人，失踪3人，受伤725人。此轮暴雨最大降雨量超过400毫米，短期内通信、供电、供水、交通中断。新华社发（曹忠宏 摄） ​​​​,2012-08-07 16:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw40WuLIR
78,好可怜的小松鼠～,是,,2012-08-07 15:11,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw3Hcxyal
79,安全第一！,是,#牵手平安行# 夏季天气炎热[阳光]，容易使人心浮气燥[愤怒]，尤其是在高速公路上行驶，更需要小心谨慎。@南京交警 为车友准备了高速公路安全行驶小提醒，告诉您高速公路易发生的交通事故和如何预防和处置，还为您准备了车辆经过收费站时的注意事项，希望给您带来清新提醒和帮助。 ​​​​,2012-08-07 15:10,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw3GJjYSO
80,,是,刚有网友咨询#外省市机动车驾驶证如何换领本市机动车驾驶证?#，我们在交管局的网站上找来了相关的说明，和大家分享下。如果您还想进一步了解相关信息，也可以发送电邮至“欣欣信箱”（xin@bjjtgl.gov.cn），交管部门会予以解答~ ​​​​,2012-08-07 15:08,转发,评论,赞,微博 weibo.com,https://weibo.com/1722402051/yw3G5q44L
