序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,"柳南社区的秦正林和心心分别获得""人气宝宝""和""漂亮宝宝"",祝贺他们~也谢谢大家的关注和投票~",是,宝宝微博秀风采活动票数统计出来啦！恭喜每组第一名的小盆友获得宝宝之星称号，也恭喜每组的2——6名获得未来之星称号哦！（统计的评论数已将20日以后的略去了）感谢各位朋友们的支持！我们会越做越好的，更多活动敬请关注我们的微博 ​​​​,2012-09-27 15:29,转发,评论,赞,360安全浏览器,https://weibo.com/1920649935/yDOBMlYeU
1,"[放假啦]中秋佳节临近,社区开展各类慰问活动,向居民送上节日问候 ​​​​",否,,2012-09-27 15:24,转发,评论,赞,专业版微博,https://weibo.com/1920649935/yDOzQF7OP
2,坚决支持！理性爱国~,是,理性爱国，维护主权，抵制日货 ​​​​,2012-09-20 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yCIsmciGG
3,请大家使劲支持秦正林哦~,是,宝宝微博秀风采 我是柳芳南里的参赛选手“聪明宝宝”秦正林 我要认真研究这辆装载车，我可是博士后呢嘿嘿。 ​​​​,2012-09-17 11:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yCgTDu7sL
4,好漂亮滴宝宝。大家快来支持喽,是,宝宝微博秀风采 我是柳芳南里的参赛选手，“漂亮宝宝”心心，我是小红帽，我可爱吗？ ​​​​,2012-09-17 11:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yCgTvcWxZ
5,柳芳南里社区的宝宝在参加比赛哦~。请大家使劲围观。鼓励小宝宝哦,是,宝宝微博秀风采 我是柳芳南里的参赛选手，“漂亮宝宝”范泽卿。我漂亮吗？ ​​​​,2012-09-14 11:00,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yBOhXvnCr
6,柳南社区的小朋友在参加宝宝秀风采比赛哦~，~大家快来，用转发、评论的方式给你他们加油哦。要围观奥~~,是,宝宝微博秀风采 我是柳芳南里的参赛选手“聪明宝宝”秦正林 我要认真研究这辆装载车，我可是博士后呢嘿嘿。 ​​​​,2012-09-14 09:55,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yBNRP4Kbo
7,柳南社区的小朋友在参加宝宝秀风采比赛哦~，~大家快来，用转发、评论的方式给你他们加油哦~,是,宝宝微博秀风采 我是柳芳南里的参赛选手，“漂亮宝宝”心心，我是小红帽，我可爱吗？ ​​​​,2012-09-14 09:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yBNRuDK8A
8,柳芳南里精心策划和实施科普工作，开展了形式多样、富有成效的科普宣传活动。 ​​​​,否,,2012-09-12 11:49,转发,评论,赞,专业版微博,https://weibo.com/1920649935/yBvL0nirB
9,柳芳南里社区内拥有朝阳学院教研中心、清华附中朝阳分校、朝阳区教职工楼等与教育事业息息相关的单位，时值教师节，社区拉出两条横幅，祝福老师们节日快乐 ​​​​,否,,2012-09-10 17:01,转发,评论,赞,专业版微博,https://weibo.com/1920649935/yBeWNDCpJ
10,爱心求助：社区内现有一残疾人由于上下楼不方便，求租一套居室，要求：在柳芳南里社区内，有电梯，一室一厅等小户型。有信息者请您与社区联系，私信或者电话64607112.[微博三周年]首先感谢您对残疾人的帮助 ​​​​,否,,2012-09-03 16:40,1,1,赞,微博 weibo.com,https://weibo.com/1920649935/yAaOF6D8T
11,[群体围观]社区e事员。热情招募中……在qq号、手机号、邮箱或微博中，选择您最常用的通讯方式留给我们。私信我也行哦~。~“社区是我家，和谐建设靠大家”[lt羞] ​​​​,否,,2012-08-29 16:54,转发,评论,赞,微博 weibo.com,https://weibo.com/1920649935/yzpLZ3HPj
