序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,谢谢支持 我们一定更加努力~~ //@代家小Q:相当好吃！ //@阳光的波波李: 很好吃 //@兔窄窄:就是这个,是,香营村有机红提正式入驻@沱沱工社有机食品网超 ，优惠尝鲜价，欢迎大家惠顾，希望村庄用心栽培的有机红提能陪伴大家过一个快乐幸福的中秋、国庆双节~~O网页链接 ​​​​,2012-09-29 21:44,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yE9URer9k
1,#香营动态#9月22日，在县果品中心的工作人员的带领下，我村有机红提参加了通州区金盛强世界花卉创意园举办的“斗菊 爽蟹 品名果”首届北京市乡土专家市民朋友回乡游活动，上千名游客慕名前来。现场不仅有各个区县特产，还有果品老师现场讲解绿色果蔬小知识，为市民们带去了绿色食品，也带去生活知识。 ​​​​,否,,2012-09-24 14:39,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yDlZU2kdY
2,香营村有机红提正式入驻@沱沱工社有机食品网超 ，优惠尝鲜价，欢迎大家惠顾，希望村庄用心栽培的有机红提能陪伴大家过一个快乐幸福的中秋、国庆双节~~O网页链接 ​​​​,否,,2012-09-24 10:10,17,评论,赞,专业版微博,https://weibo.com/2165249515/yDkf0At8o
3,#香营动态#2012年9月21日，香营村大学生村官作为本村团员代表参加了共青团香营乡委员会第十二次代表大会，选出了新一任的香营乡团总支书记和委员会成员。相信在新一届的领导班子努力下，香营乡的团工作定将更上一层楼。 ​​​​,否,,2012-09-23 16:34,转发,1,赞,微博 weibo.com,https://weibo.com/2165249515/yDdkkzkfh
4,#健康指南#秋分过后，气温速降，寒凉渐重，易引起旧病复发，多出现凉燥咳嗽症状。可选用白萝卜梨汤，以具有消食、理气功效的白萝卜配合具有润肺清燥、止咳化痰功效的梨，是对咳嗽病人很好的辅助治疗食品，即便是伴有发热的病人，也可食用。 ​​​​,否,,2012-09-23 16:28,转发,2,赞,专业版微博,https://weibo.com/2165249515/yDdhS73Vi
5,我国古籍《春秋繁露·阴阳出入上下篇》中说：“秋分者，阴阳相半也，故昼夜均而寒暑平。”秋分之“分”为“半”之意。 秋分“秋分”的意思有二：一是太阳在这一天直射地球赤道，因此这一天的24小时昼夜均分；全球无极昼极夜现象。二是按我国古代的季节划分法，秋分日居秋季90天之中，平分了秋季。 ​​​​,否,,2012-09-22 21:14,转发,1,赞,专业版微博,https://weibo.com/2165249515/yD5JjE6KJ
6,红提丰收~！！！不要流口水哦~ ​​​​,否,,2012-09-21 10:35,5,7,赞,专业版微博,https://weibo.com/2165249515/yCS7pchUX
7,村葡萄园里到处都是盛开的牵牛花，花朵与红提相互呼应，共同构成生态葡萄园美丽的风景。 ​​​​,否,,2012-09-21 10:34,转发,1,赞,专业版微博,https://weibo.com/2165249515/yCS79xzLU
8,#随手拍香营#红山楂 ​​​​,否,,2012-09-20 16:15,2,1,赞,专业版微博,https://weibo.com/2165249515/yCKUU2Z19
9,#随手拍香营#野菊2 ​​​​,否,,2012-09-20 08:34,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yCHU00oZn
10,#随手拍香营# 野菊 ​​​​,否,,2012-09-20 08:33,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yCHTqdXJq
11,#勿忘国耻#九一八事变指1931年9月18日中国东北军和日本关东军爆发的一次军事冲突和政治事件。此次事变后，日本走上全面侵华的道路，并利用投靠日本的前清废帝溥仪在东北建立了满洲国傀儡政权，实行了14年之久的殖民统治，因此被中国民众视为国耻，9月18日在中国许多非正式场合都被称为“中国国耻日”。 ​​​​,否,,2012-09-18 08:06,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yCoRjavTr
12,反对暴力，理性爱国。 ​​​​,否,,2012-09-17 16:45,1,评论,赞,专业版微博,https://weibo.com/2165249515/yCiPMibG3
13,今夜难眠,是,【你好，明天】清晰的领海基线，勾勒出中国捍卫钓鱼岛主权的严正立场和坚定决心。历经百余年坎坷，中国懂得和平之珍贵，也深知改革发展局面来之不易。然而，没有道义互相，何谈礼尚往来；没有主权尊严，哪有和平发展？吾国虽大，寸土不让；犯我疆域，其远必诛！念东海碧波，故土孤悬，今夜难安！ ​​​​,2012-09-11 21:52,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yBqh6vN5l
14,教诲如春风，师恩似海深，祝亲爱的老师们节日快乐~ ​​​​,否,,2012-09-10 14:29,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yBdXalSwf
15,,是,【云南彝良地震已造成80人遇难】云南省民政厅今日凌晨通报称，截至目前，7日中午发生在云南彝良县的地震已造成当地80人死亡，74.4万人受灾。据不完全统计，当地需紧急转移安置人口20.1万人，直接经济损失35亿元人民币。O网页链接 专题：O网页链接 ​​​​,2012-09-08 11:28,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yATUwqsuZ
16,你我形象，即是中国形象。,是,【你好，明天】国际航班上大打出手，高速公路边哄抢葡萄，接连曝光的不文明事件，引发国民素质的讨论。一种现象出现，固然有社会原因，可也不能把所有过错都推给时代。国家是国民共同体，你我都是国家形象、时代面孔的塑造者。一个人左右不了时代，但可以左右自己的言行。改变身边，即是改变中国。安。 ​​​​,2012-09-07 08:34,转发,评论,赞,专业版微博,https://weibo.com/2165249515/yAJlr50FX
