序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,古有曹植七步成诗，今有我七日织“围脖”。我获得了【七步成诗】勋章，谢谢大家的支持O网页链接 ​​​​,否,,2012-09-18 09:12,转发,评论,赞,勋章馆,https://weibo.com/2651296763/yCpi8sbze
1,维生素多少1、维生素A：对眼睛保健很重要，促进骨骼与牙齿发育 ；2、维生素B2：保持皮肤健康及促进血液循环，治疗口疮，改善头痛； 3、维生素D：补充成人骨骼所需钙质； 4、维生素E：与生育相关 ；5.维生素K：与凝血作用相关。维生素很重要，但绝不能随便补充 - 原文地址：O网页链接 ​​​​,否,,2012-09-13 10:23,转发,评论,赞,新浪微群-爱生活...,https://weibo.com/2651296763/yBECsrLB8
2,应社区居民的要求，对新发地社区便民菜车售菜时间进行调整圆明园花园小区调整为：周二、周四、周日（早０６：００—１２:００）地点：小区十二生肖。七彩华园小区调整为：周一、周五（早０６：００—１２:００）地点：小区南门外停车场内。请居民相互转告。 ​​​​,否,,2012-09-13 10:06,转发,评论,1,专业版微博,https://weibo.com/2651296763/yBEvL1guS
3,"社区模特队，舞动花伞在""甜蜜蜜""中感受生活的甜蜜。 ​​​​",否,,2012-09-13 10:00,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBEtiwtxB
4,二、资格认证的方式：1、户籍地与居住地均为本事的人员，无需本人任办理认证手续；2、居住地在外埠的领取待遇人员，需持《异地认证表》到居住地街道（乡镇）劳动保障部门，区县及以上社保经办机构办理异地待遇领取资格认证手续。 社保所咨询电话：62812797 ​​​​,否,,2012-09-12 14:24,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBwLRBvaT
5,关于领取养老待遇人员办理资格认证有关工作的通知：资格认证的范围1、按月领取基本养老金的离退休人员；2、按月领取伤残津贴，护理费的工伤职工；3、按月领取供养亲属抚恤金的工亡职工的供养亲属；4、按月领取城乡居民养老金的人员；5、按月领取城乡无社会保障老年居民养老保险待遇的人员。 ​​​​,否,,2012-09-12 14:19,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBwJQkP2n
6,转发微博,是,"【酸奶DIY】1.准备引子酸奶。牛奶；2.准备白糖(可不加,不加比较酸)；3.牛奶倒锅内，加白糖煮开，将煮开的牛奶放凉至不烫手后倒入酸奶，搅拌均匀；4.装入开水烫过并且无油无水的密封瓶中，放入电饭煲内，锅中加清水，加热至锅壁稍稍烫手断电，8小时候浓稠的酸奶就做好了。 ​​​​",2012-09-12 10:19,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBvaonGsF
7,秋季天气干燥，风大请居民注意防火。 ​​​​,否,,2012-09-12 10:14,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBv8l3eav
8,关于发放独生子女费登记通知：2012年度独生子女父母奖励费登记工作正式开始，凡户籍在马连洼派出所，以个人名义在职介、人才及在马连洼街道社保存档的独生子女父母（独生子女年龄在18周岁以内）请携带户口本、结婚证、独生子女父母光荣证、个人存档证明原件到居委会办理相关登记手续，截止时间10月20日 ​​​​,否,,2012-09-12 10:12,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBv7GxYrd
9,转发微博,是,【人民日报：中国钓鱼岛岂容他人肆意“买卖”】从日本处理与周边邻国领土主权争端中，丝毫看不出其对过去侵略战争和殖民统治有真诚悔意。无论日本政府如何辩解粉饰，都掩盖不了这一行径的实质是在拿别人的东西进行“买卖”。这种行为是荒唐的，也是非法的，且注定是不可能得逞的！O网页链接 ​​​​,2012-09-11 11:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2651296763/yBmbQj0ay
10,转发微博,是,【“消防1号”北海之旅】9月15日，我们将组织20名微博粉丝来到北海公园参观体验消防艇，一同感受咱北京“水上消防”的魅力所在。届时，将有专人为您讲解消防艇的结构功能，还将邀请您一同登艇参观，体验消防水炮“威力”。如果您是消防谜或是航海谜，一定不要错过呦！ 报名链接：O网页链接 ​​​​,2012-09-11 11:24,转发,评论,赞,微博 weibo.com,https://weibo.com/2651296763/yBmam8Dm4
11,大家出行注意带雨具,是,【下午到夜间有小到中雨】11日11时北京气象信息：今天下午到前半夜有小到中雨，大部分地区的累积降水量为5到15毫米，最高气温25℃，降雨使得路面湿滑，驾车出行要注意交通安全。今天夜间阴有阵雨转多云，最低气温17℃。明天有4、5级偏北风，气温有所下降，要增加衣物，注意预防感冒。 ​​​​,2012-09-11 11:23,转发,评论,赞,专业版微博,https://weibo.com/2651296763/yBma0y8mS
12,农大南路社区老年学校声乐班今天开班。 ​​​​,否,,2012-09-06 09:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2651296763/yAAgcn81M
13,关于志愿接待俄罗斯家庭北京六日游报名通知 ​​​​,否,,2012-09-05 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2651296763/yAr33bSSf
