序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,已按照“三级审核、两级公示”程序通过市级备案且尚未配租配售的家庭注意了《关于海淀区第三批公共租赁住房租赁意向登记工作的通知》已贴出，请注意查看。 ​​​​,否,,2012-09-28 15:38,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDY61s3vI
1,//@平安北京: 喜欢WIFI上网的朋友们注意了【警惕不法分子利用无线wifi钓鱼窃取用户信息】,是,#警方提示# 【警惕不法分子利用无线wifi钓鱼窃取用户信息】详见下文： ​​​​,2012-09-28 15:26,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDY19aJfD
2,转发微博,是,【身体清理法】1清肺：多吃苹果，苹果皮中的果胶和抗氧化物能减轻肺部的炎症。2清肠：多吃香蕉等水果，多吃粗粮。3清胃：不熬夜；少吃过甜咸辣酸冷烫食物。4清肝：每天运动10分钟。5清胆囊：多吃芹菜、谷物、红薯等高纤维食物。少吃动物内脏、蛋黄等含胆固醇的食物。6清肾脏：少吃盐，多喝水。 ​​​​,2012-09-28 08:55,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDVuId4A5
3,转发微博,是,【什么样的香蕉可以缓解孕期便秘】香蕉是润肠的，可缓解便秘症状，但其实只有熟透的香蕉才能有缓解便秘的功能，生的香蕉吃得太多反而会加重便秘。没有熟透的香蕉多含鞣酸，会起到阻碍消化的作用，抑制胃肠蠕动。香蕉吃多了也容易引起准妈妈血糖升高，增加妊娠糖尿病的几率 ​​​​,2012-09-28 08:54,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDVs4ei0j
4,转发微博,是,【八大癌症“免死金牌”】1.胃癌“免死金牌”——大蒜。2.肝癌“免死金牌”——蘑菇。3.胰腺癌“免死金牌”——菜花。4.肺癌“免死金牌”——菠菜。5.肠癌“免死金牌”——茭白。6.乳腺癌免死金牌——海带。7.皮肤癌“免死金牌”——芦笋。8.宫颈癌“免死金牌”——黄豆。转发一次救人无数！ ​​​​,2012-09-27 11:53,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNc2lD3O
5,//@修心养生辞典: 中药零食--阿胶枣，,是,【中药零食--阿胶枣】阿胶枣深受很多朋友的喜爱。阿胶能补脾和胃、益气安神、滋阴润燥。吃阿胶枣要注意什么？1）吃得过多不利于消化和吸收，一次食用最好不超过7颗；2）感冒发热或伤食停滞等情况，应停服；3）月经期间不能吃，阿胶枣补血还能活血，易造成经量过多；4）拉肚子、有上火症状时不能吃. ​​​​,2012-09-27 11:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNbKk6q6
6,转发微博,是,【大风蓝色预警信号】市气象台11时10分发布大风蓝色预警信号：午后本市风力逐渐加大，傍晚到夜间平均风力达5-6级阵风7级左右，明天白天仍有四五级北风，请注意防范。 ​​​​,2012-09-27 11:52,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNbBqSSN
7,//@修心养生辞典: 几个小动作，预防颈椎病肩周炎，,是,【几个小动作，预防颈椎病肩周炎】简单实用！特别适合电脑族。。。也转给你身边的朋友吧。。。 ​​​​,2012-09-27 11:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNbqw5SK
8,//@修心养生辞典: 10大短命生活小习惯，,是,【10大短命生活小习惯】第一名：缺乏运动；第二名：跷二郎腿；第三名：如厕看报；第四名：刚睡醒立刻下床；第五名：连续使用电脑3小时以上；第六名：弯腰搬重物；第七名：用力排便；第八名：喝水太少；第九名：喜吃烫食；第十名：喝过量咖啡或茶。 ​​​​,2012-09-27 11:51,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNbf0Qwt
9,//@修心养生辞典: 健康小知识：五官变化预示健康状态，,是,【健康小知识：五官变化预示健康状态】1、眼睛忽然看不见东西了，这是肝功能衰弱的标志。2、嗅觉越来越不灵了，这是肺功能衰弱的标志。3、嘴唇感觉变迟钝了，这是胰脏功能衰弱的标志。4、耳朵听不清声音了，这是肾功能衰弱的标志。5、味觉迟钝尝不出味道了，这是心功能衰弱的标志。童鞋们要警惕哦！ ​​​​,2012-09-27 11:50,转发,评论,赞,微博 weibo.com,https://weibo.com/2651121173/yDNb68SAe
