序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,社区志愿者在社区内巡逻 ​​​​,否,,2012-09-18 10:21,6,评论,赞,专业版微博,https://weibo.com/2648902601/yCpKbrlEl
1,本周起，古月园社区党支部聊天室以及服务站图书角将向辖区广大居民开放，地点设在居委会小会议室，开放时间为上午9:30——11:00，下午2:30——4:00。聊天室开放日为每周四；图书角开放日为每周三，可提供免费外借服务。欢迎社区居民朋友们来到这里共享欢乐愉悦的闲暇时光！ ​​​​,否,,2012-09-17 11:29,1,评论,赞,专业版微博,https://weibo.com/2648902601/yCgLdm2uu
2,今年3月份的“中国俄罗斯旅游年”开幕式上，郭金龙书记在会见俄罗斯领导人时，代表北京市政府向俄方郑重发出邀请，邀请俄罗斯家庭于今年下半年来北京民宿旅游，体验北京民宿风情，以促进两国间旅游交流和人民友谊。有意愿接待的家庭请到居委会（电话62839206）报名，经市、区旅游局审定后方可接纳。 ​​​​,否,,2012-09-05 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yAqNz9tjH
3,转发微博。,是,很多愿望，我想要的，上苍都给了我，很快或者很慢地，我都一一地接到了。而我对青春的渴望，虽然好像一直没有得到，可是走着走着，回过头一看，好像又都已经过去了。原来，这就是青春。——席慕容《槭树下的家》 ​​​​,2012-09-03 08:58,转发,评论,赞,政府版微博,https://weibo.com/2648902601/yA7NfbhBe
4,转发微博,是,#惠说北京#9月开学季，市公交集团为方便学生乘车，增加77路、301路、327路、391路、452路、458路、459路、505路、526路、662路、663路、665路、691路、693路、715路、723路、特8路外环、特9路外环、特9路内环19条公交线的车辆。特9路报站时会提醒乘客各站途经的高校，不熟悉的高校新生不必担心坐过站。 ​​​​,2012-08-30 09:30,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yzwicAUc5
5,8月20日，社区服务站专栏重新更换了展板，替代了之前经过风吹日晒雨淋后已经褪色褶皱的展板，以便居民清晰查看。 ​​​​,否,,2012-08-22 09:28,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yyiRr50Di
6,8月13日 古月园社区服务站推出第五期专栏：为奥运健儿喝彩 ​​​​,否,,2012-08-14 10:34,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yx5Sjm1br
7,8月9日 古月园社区服务站推出第四期专栏：迎接肢残人活动日 ​​​​,否,,2012-08-14 10:32,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yx5RwBH3d
8,//@马连洼天秀花园社区: 【海淀北部新建俩公交场站】,是,#民生海淀#【海淀北部新建俩公交场站】位于海淀北部的西二旗公交场站、上庄镇西辛力屯村公交场站目前已开工建设。西二旗站作为昌平线与13号线的换乘站，将扩建成重要的交通枢纽，预计12月建成投入使用。上庄镇西辛力屯村公交场站预计今年十一前交付使用。届时海淀北部市民公共交通将更加方便。 ​​​​,2012-08-06 15:36,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yvUqU2kOE
9,转发微博,是,#惠说北京#咱北京是世界文化名城，有让咱自豪的历史和文化。8月7日至18日前门将举办第三届历史文化节，每位参观者都可参加评选前门“十大特色建筑、十大特色店铺、十大特色美食”，登录前门大街官网进行投票。关注前门商业区，感受历史文化魅力。 ​​​​,2012-08-06 15:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2648902601/yvUp08GMW
