序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,接下来发“月华中秋 情浓社区”联欢系列活动，文艺演出大合影，大家同唱《难忘今宵》： ​​​​,否,,2012-09-27 17:09,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yDPgs5JwN
1,"接下来发点“月华中秋 情浓社区”联欢系列活动，18点30-20点时段的照片(二),节目精彩纷呈，下面发图： ​​​​",否,,2012-09-27 17:07,1,1,1,专业版微博,https://weibo.com/1612425144/yDPfC3Vl6
2,"接下来发点“月华中秋 情浓社区”联欢系列活动，18点30-20点时段的照片(一),节目精彩纷呈，下面发图： ​​​​",否,,2012-09-27 17:04,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yDPep1MRy
3,接下来发点“月华中秋 情浓社区”联欢系列活动，18点-18点半“走月”、“跳月”、“摸秋”时段的照片： ​​​​,否,,2012-09-27 16:50,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yDP8RCR4G
4,9月22日在茉莉园社区文化广场举办的“月华中秋 情浓社区”联欢系列活动，16点-18点是“月亮集市”时段，书画和布艺展示、丝带绣制作，现场制作小橘灯、绘制兔儿爷、月饼制作，中秋故事小屋、乐高儿童乐园，中秋猜灯谜等等一应俱全，下面上图： ​​​​,否,,2012-09-27 14:53,转发,1,赞,专业版微博,https://weibo.com/1612425144/yDOn49TFe
5,[呵呵]请来参加的居民们自备小凳~,是,喜迎中秋欢度国庆——茉莉园社区联欢会 ​​​​,2012-09-21 15:52,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yCUchhlCM
6,“月华中秋 情浓百旺”庆中秋、迎国庆系列活动9月22日（周六），月亮集市部分内容丰富（16-18点，关键词：兔儿爷、丝带绣、剪纸、布贴画、做月饼、卖点心、米酒、艾灸、卖饮料、书画、小桔灯制作、灯谜、儿童乐园会…），欢迎大家前来参与！ ​​​​,否,,2012-09-21 11:32,1,1,赞,专业版微博,https://weibo.com/1612425144/yCSuNrdKC
7,"关于参加摄影作品征集展示活动的通知为弘扬践行“北京精神”，迎接庆祝党的十八大胜利召开, 营造和谐的家庭文化氛围，不断将我区家庭文化活动推向深入，北京市妇联和北京电视台联合主办了“最美北京——和谐家庭•幸福时刻”摄影作品征集展示活动。现将活动具体安排通知见插图。 ​​​​",否,,2012-09-19 08:52,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yCyADtlOM
8,关于月亮集市，欢迎邻居们积极参与现场摆摊~~ 月亮集市有2部分内容，一是邀请民间艺人摆摊 二是以家庭为单位摆摊，欢迎邻居们积极到现场摆摊，自己制作的手工艺品、旧物件、旧书、孩子们的玩具等都可以摆摊交换或出售。,是,喜迎中秋欢度国庆——茉莉园社区联欢会 ​​​​,2012-09-13 10:44,转发,评论,赞,专业版微博,https://weibo.com/1612425144/yBELcFxAu
9,喜迎中秋欢度国庆——茉莉园社区联欢会 ​​​​,否,,2012-09-13 10:43,2,2,赞,专业版微博,https://weibo.com/1612425144/yBEKAgN5r
