序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@科技北京: 转发微博。,是,根据《国务院关于批转交通运输部等部门重大节假日免收小型客车通行费实施方案的通知》（国发〔2012〕37号）要求，经市政府同意，2012年“十一”黄金周期间，7座以下（含7座）小型客车免收收费公路通行费，通告见链接O网页链接 ​​​​,2012-09-20 14:45,转发,评论,赞,专业版微博,https://weibo.com/1642542701/yCKks5BAq
1,转发微博,是,,2012-09-14 10:16,转发,评论,赞,专业版微博,https://weibo.com/1642542701/yBO06B9sE
2,转发微博,是,【白云占据天空上 阵雨傍晚凑热闹】3日7时北京气象信息：白天全市以阴天为主，最高气温28℃，下班时段（傍晚）城中心区为阴天，东部地区有阵雨，外出的人们请带上雨具。白天东部的阵雨基本不会影响正常的生活和工作秩序。夜间阴有阵雨，最低气温23℃。 ​​​​,2012-08-03 09:11,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yvpDf512M
3,//@北京发布: 今天的雨预计要到夜里了，大家出行请关注@气象北京 @交通北京 @北京地铁 了解出行信息。,是,【今日雨不断 大家要防范】31日7时北京气象信息：昨天傍晚到夜间本市普降大雨，今天降水还将持续，雨势相对平缓，白天阴有中到大雨，夜间小到中雨，气温25到22℃。雨天路滑，早晚高峰交通压力会比较大，开车的朋友要减速慢行，保持安全车距，山区做好山洪泥石流等地质灾害的防范工作。 ​​​​,2012-07-31 10:04,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuXHcyBlU
4,转发微博,是,【今夏暴雨频发 教你读懂天气预警信号】气象专家介绍，根据中国气象局定义，暴雨按其降水强度大小分为三个等级：24小时降水量为50—99.9毫米称“暴雨”；100—200毫米为“大暴雨”；200毫米以上称“特大暴雨”。暴雨预警信号分四级，分别以蓝色、黄色、橙色、红色表示其严重程度，由低至高递增。 ​​​​,2012-07-28 09:06,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuv2eoek6
5,//@平安北京: 【雨情信息】请大家留意天气情况和实时路况信息,是,【雨情信息】市气象台发布27日14时至28日00时降水量：北京地区全市平均降雨13.8毫米，城区平均21.0毫米，城区最大卢沟新桥55.1毫米，西南部平均15.5毫米，东北部平均14.8毫米，最大降雨出现在密云区密云站78.6毫米，最大雨强出现在密云区密云站22-23时，1小时降水量66.2毫米。 ​​​​,2012-07-28 09:05,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuv1Kz7XR
6,//@北京市商务委: 中国烟花惊艳伦敦奥运会开幕式,是,【中国烟花惊艳伦敦奥运会开幕式】刚刚开幕的伦敦奥运会开幕式上，中国烟花再一次璀璨亮相，让全世界炫目。据了解，伦敦奥运开幕式烟花都是从中国运过去的，其中浏阳烟花占了四分之三。这也成为伦敦奥运开幕式最亮眼的“中国元素”。 ​​​​,2012-07-28 09:04,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuv1iuNU2
7,转发微博,是,"交管部门已对全市易积水的下凹式立交桥、公路、铁路立交桥等点段施划积水水位警示、警戒标线。5厘米宽的黄色警示线距地面最低点20厘米,提示当水面在警示线以下时,道路可以通行,但需小心驾驶;5厘米宽的红色警戒线距地面最低点27厘米,提示当水面达到警戒线时,道路积水严重,不能通行O网页链接 ​​​​",2012-07-26 14:23,转发,1,赞,微博 weibo.com,https://weibo.com/1642542701/yuefJaZB6
8,转发微博,是,注意事项：1 根据消毒不同处理对象，合理选用消毒方法。2 建议首选含氯消毒剂，也可以选择其他符合国家标准或规范的消毒剂，方法应按说明书执行。3 实施现场消毒时应做好个人防护。4 含氯消毒剂、过氧乙酸要现用现配。5 对不耐腐蚀的物品进行消毒时，应严格掌握消毒时间，消毒后及时将残余消毒剂清除。 ​​​​,2012-07-26 14:23,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuefFDg2l
9,//@海淀街道苏州街路社区: 转发微博,是,#健康知识# 水灾后的健康知识（清晰）。 ​​​​,2012-07-26 14:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yuefvArU2
10,转发微博,是,7月21日，61年一遇的特大暴雨骤袭京城，本市普遍遭受灾害。其中，房山、门头沟、丰台、通州、密云、平谷及石景山等区县受灾严重。截止到７月23日18时30分，全市受灾人数190万人、紧急转移安置77325人，倒塌房屋10660间、农作物受灾238688公顷。 ​​​​,2012-07-24 16:49,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/ytWlNuLPb
11,转发微博,是,#捐赠小贴士#您可以到市捐赠中心及各区县捐赠中心捐赠款物捐赠物品主要接收单衣、毛巾被（受灾区无法消毒的限制，建议捐赠新品）；各级捐赠机构会落实有关规定，将接受的每一笔捐赠当面点清，并向捐赠者出具合法、有效的接收凭证；各区县接收的捐款由区县统筹安排用于“7.21”灾害救灾、救助工作。 ​​​​,2012-07-24 16:48,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/ytWlKh67h
12,转发微博,是,【北京天气：午后或迎雷阵雨】昨晚至今晨，北京部分地区出现降雨，最大的为门头沟3.3毫米，城区平均0.1毫米。今天下午可能还有雷阵雨，最高气温31℃，空气湿度大，感觉会较闷热，多喝水，可有效防止中暑。看看预报，未来几天雷阵雨不断啊，不过雨量分布不均。O网页链接 ​​​​,2012-07-10 14:22,转发,评论,赞,微博 weibo.com,https://weibo.com/1642542701/yrNpc88Pi
