序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,肖家河社区是典型的城乡结合部的平房社区，面对社区中的消防安全隐患，马连洼街道出资购置了灭火器于8月17日免费发放给社区每户居民，派发现场由消防中队的消防员为现场居民针对灭火器使用及消防知识进行了培训，居民们受益非浅。 ​​​​,否,,2012-08-20 10:35,转发,1,赞,微博 weibo.com,https://weibo.com/2651476505/yy0rDsN24
1,肖家河社区是典型的城乡结合部的平房社区，面对社区中的消防安全隐患，马连洼街道出资购置了灭火器于8月17日免费发放给社区每户居民，派发现场由消防中队的消防员为现场居民针对灭火器使用及消防知识进行了培训，居民们受益非浅。 ​​​​,否,,2012-08-20 10:20,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yy0luAhDB
2,社会实践结束了，实习生赵琰楠说：在工作过程中，一定要注重时间的合理安排，既要避免活动安排过早、战线拉得太长又要避免同一时段活动较多，过于匆忙而导致失误。居委会的网站不断完善，宣传资料很齐全，影响力也不断壮大，这实在令人欣慰，这20天实践教给我们的不仅仅是理论知识，更多的是实际运用。 ​​​​,否,,2012-08-06 13:56,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yvTMomL1G
3,我在用刚刚发布的#新版微相册#，看起来还不错～是个分享照片的好地方，想看看朋友们的照片吗？猛击这个链接O网页链接 ​​​​,否,,2012-08-06 13:32,转发,评论,赞,微相册,https://weibo.com/2651476505/yvTCxzPQu
4,今天，肖家河社区请来北京疾控中心的医生，专门为流动家庭中的婴幼儿开展免费体检，内容含概身高、体重、血红蛋白检测等几部分，体检中的49名孩子大多是2岁以下的儿童，大多数家长没有给孩子做过细致的体检，我们为每位儿童建立了健康档案，之后社区将对体检结果中有问题的儿童进行追踪并配备营养包。 ​​​​,否,,2012-08-06 13:31,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yvTC8cau4
5,配合母乳喂养周的到来，肖家河社区计生专干针对相关知识制作了110份答题，把准备好的题钉在彩绳上，并在活动现场拉成一个方格空间，参加活动的家长们对关注的内容自行摘取之后领取纪念品一份，兑奖时安排母婴骨干和专业老师负责解释答疑，这种形式的开展有效的推广了生殖知识，受到了广大妇女的欢迎。 ​​​​,否,,2012-08-06 13:16,转发,1,赞,微博 weibo.com,https://weibo.com/2651476505/yvTw6o2XZ
6,“妈妈课堂”开课啦！我社区特邀请海淀妇幼保健医院的石主任前来授课，自8：30开课，课程一个小时，培训的主要知识分为母乳喂养的技巧、如何确立母亲母乳喂养的自信，幼儿家长和孕妇30人参加。新生儿及孕产期妇女对课程内容表现出浓厚的兴趣，从开课前到课后石主任的身边都围绕着多个要咨询的妇女。 ​​​​,否,,2012-08-06 13:13,转发,1,赞,微博 weibo.com,https://weibo.com/2651476505/yvTuUeovQ
7,8月2日肖家河社区围绕“第21个母乳喂养周”开展了以主题为“母乳喂养，呵护健康”大型宣传活动。发放宣传材料505页，避孕工具300多支。此次活动得到了中国计生协、海淀区计生协、马连洼街道计生办、海淀妇幼保健医院、乡卫生院防保科等多家单位大力支持，近100个流动人口家庭参与本次活动并受益。 ​​​​,否,,2012-08-06 13:09,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yvTtljf20
8,每周三进行“我与社区共成长•欢乐暑假北京行”活动，进行了《慧眼看海淀，妙手绘北京——“眼中的海淀•心中的北京”暑期主题活动》、《传递健康知识，培养良好习惯》及《文化之旅：首都博物馆之行》三期大型活动。尽管北京细雨蒙蒙，然而课后四点班却是欢声笑语，阴雨天气丝毫没有影响孩子们的心情。 ​​​​,否,,2012-08-06 12:47,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yvTkolJeB
9,周四，诗歌朗诵:朗诵主题相对集中，有一定的思想意义，富有情感，文字洗练精美，孩子们在朗诵时需要调动自己的思想感情，用富于表现力和感染力的有声语言进行表达，在标准其语音、规范其语法等方面有很大优势。下午播放爱国励志电影，增强爱国教育。周五，进行球类运动磨练孩子们的意志，丰富课外生活 ​​​​,否,,2012-08-06 12:35,转发,评论,赞,微博 weibo.com,https://weibo.com/2651476505/yvTfavTGg
