序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,//@北京朝阳: 2012CBD国际金融论坛正在朝阳规划艺术馆举行，请关注@朝阳规划艺术馆 的微直播。,是,#北京CBD商务节#[2012北京CBD国际金融论坛]博鳌亚洲论坛国际咨询委员会委员、二十国集团研究中心秘书长、北京CBD国际论坛理事长 龙永图 演讲 ​​​​,2012-09-17 15:36,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCinJiePP
1,理性爱国,是,理性爱国、奋力强国、精心治国，才能真正捍卫国家和民族的尊严。 ​​​​,2012-09-17 15:30,1,评论,赞,专业版微博,https://weibo.com/2649761961/yCilh7ihX
2,转发微博,是,#魅力朝阳#【科学实验广场亮相朝阳公园】近日，融汇近百种趣味实验的“科学实验广场•狂欢集市”在朝阳公园开幕。活动中，力、热、声、光、电磁、生物六大类趣味科学主题实验同时进行，还有科普专家现场讲解“纸做的青铜器”、“液氮花朵”等趣味演出。活动将持续至12月9日，感兴趣的朋友不要错过啦！ ​​​​,2012-09-17 15:28,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCiku3bgU
3,//@微博客服: #打击虚假活动#此类活动为虚假活动，非新浪微博举办的官方活动，请各位网友：1、不要轻信虚假中奖信息；2、不要轻易点开链接；3、勿在非官方网址下填写个人资料以免信息泄露…如何面对虚假活动可点击双井号或进入O网页链接查看。如遇到虚假内容可举报O网页链接,是,,2012-09-17 15:28,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCiko8xui
4,//@朝阳公园社区志愿者微博: //@麦子店朝阳公园社区: 26条无灯路年底“亮”起来,是,【26条无灯路年底“亮”起来】#聚焦北京#本市即将有26条小区出行路、断头路在夜晚亮起来。其中，朝阳区23条，丰台区3条。目前，已有3条道路完工，预计11月底全部完工。为了杜绝新生问题，逐步解决遗留问题，城市道路的照明设施已被纳入到新建、改扩建道路的批准、方案审查、施工许可和竣工验收中。 ​​​​,2012-09-17 15:21,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCihG15f3
5,//@朝阳公园社区志愿者微博: //@麦子店朝阳公园社区: 便民利民的麦子店街道社区平台,是,麦子店街道社区服务热线58260950： 社区服务热线，也称为“小呼叫热线”，是快捷的社区服务互动平台。依托固定电话、网络电话和呼叫器等设备，整合市、区、街、居四级服务资源，将社区居民电话直接转到事项办理人解答疑惑，减少不必要的环节，提高办事效率。 ​​​​,2012-09-17 15:21,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCihBxXsE
6,//@朝阳公园社区志愿者微博: 转发微博,是,【愉快的人】一位年轻人去拜访一位年长的智者。他问：“我如何才能变成一个自己愉快、也能够给别人带来愉快的人呢？”智者微笑着说：“我送给你四句话。第一句话是，把自己当成别人。第二句话是，把别人当成自己。第三句话是，把别人当成别人。第四句话是，把自己当成自己。（转自《精致小说》） ​​​​,2012-09-17 15:21,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCihztSsV
7,//@朝阳公园社区志愿者微博: 转发微博,是,醋不但有很多保健作用，烹调美味更离不开它。许多人并不知道，醋还有另外一个妙用：让米饭更松软。验表明，煮米饭时按500克米加1毫升醋的比例放些食醋，可使米饭松软，米香更浓。而且，加少量醋做的米饭更易于存放，尤其在炎热季节，能防米饭变馊。 ​​​​,2012-09-17 15:21,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCihtA9YH
8,//@政府微博助理: #爱心帮助#李宗育，2012年8月30日下午3点在山西省晋城阳城县西关玩耍就再也没回家。大家帮忙转发，希望他早日回家。[爱心传递]@平安晋城 @阳城110,是,#爱心微博#【寻找17岁男孩】李宗育，男，身高1.7米，2012年8月30日下午3点在山西省晋城阳城县西关玩耍就再也没回家，走时身穿阳城县三中夏季校服，灰色旅游鞋，身上只有1块5毛钱，也没有和家里人生气，家长已报警。@宝贝回家志愿者-木鱼 请孩子本人或知情者见到话给孩子父亲去电话：李凤军13753644081 ​​​​,2012-09-17 15:17,转发,1,赞,专业版微博,https://weibo.com/2649761961/yCig0ymhS
9,肠胃健康很重要！,是,健康小提示：饭后不能马上吃水果 肠胃一般先消化淀粉、脂肪和蛋白质等，最后才果糖。水果的主要成分就是果糖，饭后马上吃水果会导致水果在肠胃停留过久，引起肠胃疾病。 ​​​​,2012-09-17 15:10,转发,评论,赞,专业版微博,https://weibo.com/2649761961/yCidaaLzR
10,微博三岁了,是,#微博三周年之2009/8/28-2012/8/28#[微博三周年]不知不觉中，微博伴随大家走过了3个春秋。在微博上我们一起分享有趣的事，随时接收关注人最新的动态，了解最新资讯，我们和微博共同记录成长，微博也让我们的生活更加精彩。在微博三周岁生日到来之际，让我们一起祝微博3岁生日快乐吧！[微博三岁啦] ​​​​,2012-08-24 18:59,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761961/yyFsh0cUo
11,毒蛇咬伤急救特效药,是,一旦毒蛇咬伤，抗蛇毒血清为急救特效药。上海赛伦生物技术有限公司的服务热线：400-016-9995。如有急需，医疗机构和患者可以直接与公司联系。请各位博友转发，尤其是要告知山区的童鞋和各位驴友，以备不时之需。 ​​​​,2012-08-24 18:58,转发,评论,赞,微博 weibo.com,https://weibo.com/2649761961/yyFrW2iJj
