序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
0,9月27日上午，龙潭街道在京城百工坊举办“弘扬中秋民俗文化、传承民间手工技艺”中秋节手工艺大集活动。 ​​​​,否,,2012-09-28 14:34,转发,评论,赞,专业版微博,https://weibo.com/1774813711/yDXG8lDHV
1,转发微博,是,【你好，明天】中国航母梦，今朝终得圆。欣喜之余，我们当清醒：是改建航母，不是自建航母；是走向深蓝的关键，但只是第一步。今天的中国，能为全球生产衬衣袜子，却造不出一流的发动机。支撑世界第二大经济体的，更多的是成本和数量。从大国到强国，市场换不来、花钱买不到。自主创新，时不我待！安。 ​​​​,2012-09-26 09:06,转发,1,赞,专业版微博,https://weibo.com/1774813711/yDCFS6Byr
2,祝贺北京市东城区政务微博群上线！@北京市东城 ​​​​,否,,2012-09-26 09:05,转发,评论,赞,专业版微博,https://weibo.com/1774813711/yDCFzbPXW
3,@北京市东城,是,#出行提示#今天7时至20时五环路内（不含五环）机动车限行尾号为4和9，加之中秋国庆双节因素，预计车流量为节前最大，易发生交通拥堵，建议您驾车避开高峰，错峰出行，尽可能选择公共交通工具。 ​​​​,2012-09-26 09:05,转发,评论,赞,专业版微博,https://weibo.com/1774813711/yDCFovXYP
4,龙潭街道将于9月27日（周四）上午9:00与京城百工坊联合举行“弘扬中秋民俗文化、传承民间手工技艺”中秋手工艺大集活动，欢迎大家前来参加。@北京市东城 ​​​​,否,,2012-09-26 09:02,转发,评论,赞,专业版微博,https://weibo.com/1774813711/yDCE2iYkv
5,向 @平安北京 @文明北京 @交通北京 提问: 请问参与活动如何表彰呢 O网页链接 ​​​​,否,,2012-09-21 10:37,5,2,赞,微访谈-文明出行...,https://weibo.com/1774813711/yCS8ns3Ag
6,向 @平安北京 @文明北京 @交通北京 提问: 请问都有哪些活动宣传口号啊 O网页链接 ​​​​,否,,2012-09-21 10:36,转发,评论,赞,微访谈-文明出行...,https://weibo.com/1774813711/yCS84fGdt
7,转发微博,是,#关注幼儿园小学安全#既然能够错时上下班，躲开交通拥堵高峰。市内的小学和幼儿园为什么不能做呢？@北京发布 @郑渊洁 @北京晨报 @平安北京 作为一个小学生家长，我强烈建议幼儿园和小学按年级错时上下学，缓解校门口拥堵现状。让我们为惨死的@北京西城 厂桥小学学生默哀。 ​​​​,2012-09-18 09:59,转发,评论,赞,微博 weibo.com,https://weibo.com/1774813711/yCpBaDyg5
8,转发微博,是,#早安小贴士#早上好！今天北京晴，29-16°C，空气质量中等，紫外线强。今日机动车限行尾号是3和8~今天是九一八，我们铭记历史。勿忘国耻，但更要理性爱国，爱我们的同胞！让我们一起努力！ ​​​​,2012-09-18 09:21,转发,评论,赞,微博 weibo.com,https://weibo.com/1774813711/yCplMwIRG
9,传播正能量！,是,"【从道德讲堂到微电影:""钥匙阿姨""为什么那样""红""】近日一部改编自常州""道德讲堂""典型人物徐琴秀真实故事微电影《钥匙阿姨》在互联网热映，播放量达600多万次，郭明义等也在微博转发并评论。""钥匙阿姨""走红看似偶然，其实她本身心灵、行为、品德之美，才是促使人们热议的文化源流.O网页链接 ​​​​",2012-09-18 09:14,转发,评论,赞,专业版微博,https://weibo.com/1774813711/yCpj3v2d0
