序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    为进一步提高民警水中救生技能，适应在强降雨等极端自然条件下，抢险救灾工作的需要，8月7日下午，西城公安分局组织分局各单位民警代表，在游泳馆进行了第一期水中救生培训。培训中，教员向警察学员们现场讲解并模拟演示了“池岸救生、水中急救、水中拖带、现场急救”等多种溺水情况下的水中救生方法。 ​​​​                                                            ", 2012-8-9 14:42,转发,评论,赞,微博 weibo.com,ywmmtjF2R
2,"
                                                                                                    7.21特大暴雨捐款活动ING：又是金钱又是单~感谢老人送温暖 ​​​​                                            ",是,无, 2012-8-3 15:30,转发,2,赞,微博 weibo.com,yvs6LbzH2
3,"
                                                                                                    雨季过后，居委会成员用喷雾器为居民公共区域喷洒消毒液，以灭活那里的病毒细菌，减少病菌由环境向人传播的几率，保护大家的身体健康。 ​​​​                                            ",是,无, 2012-8-2 16:38,转发,2,赞,微博 weibo.com,yvj7Q3EqY
4,"
                                                                                                    7.21特大暴雨捐款活动ING：非常感谢两位老人，拄着拐杖送来温暖 ​​​​                                            ",是,无, 2012-8-2 16:20,1,评论,赞,微博 weibo.com,yvj0Bum4J
5,"
                                                                                                    7.21特大暴雨捐款活动ING： 居民冒雨献爱心 ​​​​                                            ",是,无, 2012-8-1 15:12,转发,2,赞,微博 weibo.com,yv98Bm5pT
6,"
                                                                                                    //@平安北京:                                             ",否,"
                                                                                                    【白天小雨东部小到中雨】8月1日7时北京气象信息：今天早晨有小雨，白天小雨持续，东部地区有小到中雨，最高气温24℃，道路湿滑，出行注意交通安全，山区注意防范山体滑坡、泥石流等地质灾害。今天气温不高，凉爽舒适，年老体弱者可以适当穿件长袖衫。夜间阴转多云，最低气温21℃。 ​​​​                                                            ", 2012-8-1 10:45,1,1,赞,微博 weibo.com,yv7o4oXU8
7,"
                                                                                                    //@交通北京: #转发微博#[闪电] 防雷电小常识。您都知道吗？                                            ",否,"
                                                                                                    #安全广播站#【雷电天气小常识】遇到雷电天气该怎么做：关闭门窗，远离金属；关闭电器，拔掉电源；及时躲避，远离大树；停止水上活动，不要使用手机。   ​​​​                                                            ", 2012-7-31 17:27,1,评论,赞,微博 weibo.com,yv0AK3zwG
8,"
                                                                                                    最好周末也免了啊 呵呵//@海淀街道苏州街路社区: 转发微博                                            ",否,"
                                                                                                    【节假日高速费免了】 可靠消息，今后重大节假日期间免收7座及以下小型客车通行费啦！免费通行的时间范围为：春节、清明、劳动节、国庆节等4个国家法定节假日，以及当年国办确定的上述节假日连休日。以后节假日回家探亲访友不用再交高速费用了！请大家迅速扩散这一利国利民的好事。via@中国国土资源报 ​​​​                                                            ", 2012-7-31 16:39,转发,评论,2,微博 weibo.com,yv0hpw1L7
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #出行提示#今日16时，房山区108国道辛庄大桥附近发生山体落石，共计约2立方米，抢险人员已到现场清理，未对交通造成影响。请在山区道路出行的朋友们注意交通安全。 ​​​​                                                            ", 2012-7-31 16:38,转发,评论,赞,微博 weibo.com,yv0h60tfC
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #交通出行提示#再次提醒大家，今天晚间，位于西四环五棵松桥的万事达中心将举办大型演唱会。预计入场和散场期间，周边道路可能会出现行驶缓慢的情况，建议前去观看演出的朋友乘坐地铁一号线，过往的车辆请尽量避开场馆东侧的西翠路，以免在路上延误时间。 ​​​​                                                            ", 2012-7-31 16:03,转发,评论,赞,微博 weibo.com,yv02B7ruC
11,"
                                                                                                    //@甘家口西三环社区: //@海淀区政府网站: 转~//@安居北京: 路面沉降抢修电话88465055，存在手机里会有用。                                            ",否,"
                                                                                                    #媒体报道#交通部门提示，如果平整的路面出现缓慢沉降的迹象，可能是地下有土体病害的先兆。市民可拨打88465055等抢修电话。如果市民驾车陷入路面的坑中，应先保证人员的安全撤离，再拨打电话报警，或联系救援车。O网页链接 ​​​​                                                            ", 2012-7-31 16:02,转发,评论,赞,微博 weibo.com,yv02sx4UN
12,"
                                                                                                    7.21特大暴雨捐款活动ING 狂风暴雨没有浇灭居民那颗火热的心 ​​​​                                            ",是,无, 2012-7-31 15:55,转发,评论,赞,微博 weibo.com,yuZZBgOdP
13,"
                                                                                                    不错//@甘家口甘东社区: 漂亮                                            ",否,"
                                                                                                    海淀街道各社区工作者的工服出炉了... ​​​​                                                            ", 2012-7-30 16:43,转发,1,赞,微博 weibo.com,yuQSyC1Xy
