序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    秋老虎好厉害啊，感觉夏天又回来了                                            ",否,"
                                                                                                    早安，各位！今天是2012年8月29日星期三，限行尾号4和9。最近两天，本市气温呈上升趋势。今天，本市最高温度将上升至34℃，传说中的“秋老虎”开始发威了，中午前后会比较热，大家尽量避免外出。不过，早晚气温不高，年老体弱的朋友应注意调整着装。@李洪洋 ​​​​                                                            ", 2012-8-29 08:40,转发,评论,赞,iPhone客户端,yzmxmjn4k
2,"
                                                                                                    同志们，学起来吧                                            ",否,微博已被原作者删除, 2012-8-28 16:31,-1,评论,赞,iPhone客户端,yzgc4ic3D
3,"
                                                                                                    今天七夕，中国的情人节，愿天下有情人白头偕老                                            ",否,微博已被原作者删除, 2012-8-23 10:30,-1,评论,赞,iPhone客户端,yysGR3wiF
4,"
                                                                                                    终于可以bu yong                                            ",否,"
                                                                                                    #大美海淀#8万余株向日葵都向着太阳，游客也绽放出阳光般笑脸，“金色夏日——向日葵文化展”在北京植物园拉开帷幕。金灿灿的黄色钻葵、身材“矮小”的切花向日葵以及被大家熟知的食葵和油葵金灿灿地铺了一地，展览将一直持续到9月中旬。 ​​​​                                                            ", 2012-8-21 15:46,1,评论,赞,iPhone客户端,yybUrqdOU
5,"
                                                                                                    下午了来个苹果提提神吧                                            ",否,"
                                                                                                    【苹果比咖啡更能有效提神】苹果含有丰富的糖类、维生素、微量元素以及水溶性食物纤维和有机酸，是健康之果~不仅如此，苹果还具有天然的怡人香气，对于人体来说，有舒缓压力、提神醒脑的功效，而苹果中的矿物质硼，也同样可以使困倦的大脑快速恢复清醒状态。感觉困倦？啃苹果吧。 ​​​​                                                            ", 2012-8-21 15:44,转发,评论,赞,iPhone客户端,yybTkxzWF
6,"
                                                                                                    厦门旅游又一好去处，真是好浪漫啊                                            ",否,"
                                                                                                    厦门萤火虫公园位于文曾路怡情谷，通过人工养殖培育了上万只萤火虫。我们组团一起去厦门吧！     ​​​​                                                            ", 2012-8-20 15:44,1,评论,8,iPhone客户端,yy2sS5I3j
7,"
                                                                                                    废物利用，环保又美观，发挥想象力，也来试试吧                                            ",否,"
                                                                                                    酸奶桶，食用油桶等做的花盆。真可爱~~ ​​​​                                                            ", 2012-8-16 14:45,转发,评论,赞,iPhone客户端,yxqn6sD9b
8,"
                                                                                                    奶茶里根本没有奶，都是植脂末、糖反式脂肪，小盆有们还是不要再喝了。其实用红茶加奶在放点蜂蜜非常好喝，做法也简单，大家可以试试[咖啡]                                            ",否,"
                                                                                                    【每天一杯奶茶，一个暑假能胖8斤】本月初，台湾健康部门公布的一份有关青少年夏日饮料健康调查的报告指出，珍珠奶茶是致肥的元凶。如果每天都喝一杯珍珠奶茶，一个暑假下来，就会胖4.3公斤。记者发现，珍珠奶茶是不少年轻人的最爱，但对其可“增肥”的效果少有人知晓。O网页链接 ​​​​                                                            ", 2012-8-15 14:05,转发,评论,赞,iPhone客户端,yxgGfc1XG
9,"
                                                                                                    京郊又一好去处，转了@迷走都市 @飘扬Betty @大米粒G 【赏花正当时第二届“畅游四季花海，醉享画里乡村”赏花季在北京延庆启动。延庆县四海镇是“四季花海”的核心产业区，万寿菊、百合、各种宿根花卉的盛花期实现重合，形成了较长的赏花季。市民还可骑自行车在四海镇的花海中畅游。                                            ",否,"
                                                                                                    【京郊赏菊 延庆四季花海自助游玩攻略】恐怕京郊没有哪片花海像延庆的四季花海那样令人过目难忘了。当我们乘了两个小时的车、昏昏欲睡时突然发现了这么一个世外幽谷，数千亩橙色的万寿菊被群山环抱，每一块菊田明亮得就像是画家的油画笔肆意涂抹上的痕迹，带着醉人的艺术感编条长微博方便大家看 ​​​​                                                            ", 2012-8-14 22:04,转发,1,赞,iPhone客户端,yxaoi221U
10,"
                                                                                                    小清新，今天立秋了，希望可以带来一丝凉意                                            ",否,"
                                                                                                    所谓夏天的一些小美好，早安！ ​​​​                                                            ", 2012-8-7 07:29,转发,1,赞,iPhone客户端,yw0FzhLtT
