序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    永定路西里社区利用宣传展板、横幅号召社区居民积极地投身到创建全国文明城区工作中去，为争创全国文明城区、共建美好家园贡献自己的一份力量。 ​​​​                                            ",是,无, 2012-8-31 11:23,转发,评论,赞,微博 weibo.com,yzGsokqPu
2,"
                                                                                                    街道各个科室对我社区的“六型社区”档案进行检查，对社区创建“六型社区”的情况提出了宝贵的意见。我们将继续努力，做好“六型社区”的创建工作。 ​​​​                                            ",是,无, 2012-8-31 11:15,转发,评论,赞,微博 weibo.com,yzGpkm2a6
3,"
                                                                                                    保护眼健康知识讲座--青少年专场。眼睛是我们的灵魂之窗，要从小开始爱护哦! ​​​​                                            ",是,无, 2012-8-30 17:03,转发,评论,赞,微博 weibo.com,yzzg758j9
4,"
                                                                                                    我社区居民参加万寿路地区组织的扑克双升比赛，哈哈，重在参与！ ​​​​                                            ",是,无, 2012-8-30 17:00,转发,评论,赞,微博 weibo.com,yzzeQ9UQN
5,"
                                                                                                    为了丰富暑期中小学生的校外文化生活，使社区青少年度过一个欢快、有意义的假期，结合我社区正争创“六型社区”的实际，永定路西里社区于8月17日举办“六型社区”趣味问答及数字电影放映活动。社区内许多小朋友都积极参加了该活动. ​​​​                                            ",是,无, 2012-8-21 11:17,转发,评论,赞,微博 weibo.com,yya98Brd7
6,"
                                                                                                    8月17日，永定路西里社区残疾人协会换届选举大会圆满完成。大会听取了上一届残协的工作报告，选举产生了新一届残疾人协会委员会. ​​​​                                            ",是,无, 2012-8-21 11:10,转发,评论,赞,微博 weibo.com,yya6rmdKq
7,"
                                                                                                    8月11日，万寿路街道“创建全国文明区，建设幸福万寿路”之文明小宣传员活动在小区东门广场举行。社区内的小朋友积极参加了该活动。活动中，小朋友向行人发放了创建全国文明城区的宣传材料，普及了相关知识，同时也锻炼了小朋友与人沟通交流的能力，丰富了小朋友的暑期生活。 ​​​​                                            ",是,无, 2012-8-13 15:23,转发,评论,赞,微博 weibo.com,ywYkXp2j6
8,"
                                                                                                    8月11日，海淀区创建全国文明城区宣传口号、主题标识、吉祥物、歌曲征集活动启动仪式在海淀公园举行。 ​​​​                                            ",是,无, 2012-8-13 15:08,转发,评论,赞,微博 weibo.com,ywYeKoxL0
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #今天是全民健身日#为了满足广大人民群众日益增长的强身健体需求,国务院批准8月8日为“全民健身日”。将健康向上的大众体育精神传达给公众,推广健康生活的理念。今年的主题口号是“每天锻炼一小时，健康生活一辈子 ”。 ​​​​                                                            ", 2012-8-8 10:45,转发,评论,赞,微博 weibo.com,ywbnQ7hol
10,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    从本月开始，社区居委会消费支出使用公务卡了，现金支出的时代结束了。 ​​​​                                                            ", 2012-8-7 11:04,转发,评论,赞,微博 weibo.com,yw24Ps9Hx
11,"
                                                                                                    在万寿路街道残联的指导下，永定路西里社区残协换届选举工作已经开始啦！接下来将成立选委会，请大家密切关注哦！ ​​​​                                            ",是,无, 2012-8-7 11:03,转发,评论,赞,微博 weibo.com,yw24qCJAt
12,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【市区到机场八毛钱】从市区到机场，市民大多选择出租车、机场地铁和机场专线大巴。其实，您还可以选择359路、640路等公交车，到了“机场道口”站，换乘可以划公交卡的“空港巴士”就能到达航站楼。此路线不仅价格便宜（全程八毛），发车数量还多，每隔几分钟就来一辆车，全程1小时左右。 ​​​​                                                            ", 2012-8-6 14:20,1,评论,3,微博 weibo.com,yvTVU8Kyh
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【7月降雨量17年来最多】昨天，市气候中心统计，今年7月全市平均降水量为312.9毫米，比常年偏多近9成，是1995年以来同期雨水最多的一年。其中，7月21日那场大暴雨占据了7月降水量的一半以上。此前，1994年7月的降水量是380毫米。从6月入汛以来，全国、北京的降水量都刷新了1999年以来同期雨量的纪录。 ​​​​                                                            ", 2012-8-2 11:12,转发,评论,赞,微博 weibo.com,yvgZGliyv
14,"
                                                                                                    最普通，最美丽的人                                            ",否,"
                                                                                                    #聚焦暴雨#暴雨中，趴在水中疏通下水道的最美环卫工人——李成友，站在下水道口守井盖的的“灯塔”——康国新，一如他们那些平凡朴实的话:都是份内的事，海淀排水抢险队也在各个积水点排除险情，充当""灯塔""，守卫平安，向他们致敬！ ​​​​                                                            ", 2012-7-27 23:38,转发,评论,1,微博 weibo.com,yurjvmGvv
15,"
                                                                                                    风雨同舟，众志成城！北京7.21暴雨特大灾难给首都人民造成了巨大的灾难！为帮助灾区居民渡过难关，社区现接受捐款、捐物，望居民献出自己的一份爱心。 ​​​​                                            ",是,无, 2012-7-27 23:34,2,评论,赞,微博 weibo.com,yurhJssUe
16,"
                                                                                                    社区暑期儿童绘画班、手工艺班开班啦！ ​​​​                                            ",是,无, 2012-7-25 15:20,转发,评论,赞,微博 weibo.com,yu5ckh160
