序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    谢谢关注！                                            ",否,"
                                                                                                    #海淀活动# 【洋教头支教社区暑期托管班】[立志青年]这个暑假，每到周四上午，来自美国新泽西州的Nally就会准时来到@中关村华清园社区 服务站的多功能厅，为正在放暑假的中国孩子义务教英语。为了调动孩子们学习的积极性，唱歌、舞蹈、做游戏，这位洋教头可是想了不少办法。O网页链接 ​​​​                                                            ", 2012-8-14 14:31,转发,评论,赞,微博 weibo.com,yx7qpEj1s
2,"
                                                                                                    街道领导前来视察工作。 ​​​​                                            ",是,无, 2012-8-13 14:10,转发,评论,赞,微博 weibo.com,ywXRuFeg0
3,"
                                                                                                    //@aska0806: 五道口最近不太平 //@五道口生活指南: 早上路过，没事啦，粉饰下太平先。//@五道口生活指南: 周边尤其是学校的家长们注意啦。@海淀区中关村第二小学 @中关村华清园社区 @五道口书法小课堂                                            ",否,"
                                                                                                    大家注意！#五道口紧急#五道口城铁站下，东源大厦前十字路口，疑似煤气管道破裂！气体大量外泄，现东西南北四方向已全面戒严，消防部门已赶到用水枪稀释空气中的气体，请路过的朋友选择绕行，周围的朋友请勿吸烟使用明火！最近宇宙中心真多事之秋。（by@宜宁-奈特莉 ） ​​​​                                                            ", 2012-8-13 14:09,1,评论,赞,微博 weibo.com,ywXR0fdcx
4,"
                                                                                                    耄耋老人无私捐助  情暖华清： 7月25日下午，中关村街道华清园社区85岁的老人魏金声，来到华清园居委会，向在北京721暴雨中受灾的困难群众捐款。据居委会人员粗略统计，这已经是老人今年第三次... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​                                            ",是,无, 2012-8-7 10:15,转发,评论,赞,新浪博客,yw1LaAe8F
5,"
                                                                                                    发表了博文 《耄耋老人无私捐助  情暖华清》 -  7月25日下午，中关村街道华清园社区85岁的老人魏金声，来到华清园居委会，向在北京721暴雨中受灾的困难群众捐款。据居委会人员粗略统计，这已经是老人 O网页链接 ​​​​                                            ",是,无, 2012-8-7 10:15,转发,评论,赞,新浪博客,yw1L1p9Tm
6,"
                                                                                                    新制作的展版之三 ​​​​                                            ",是,无, 2012-8-6 16:42,转发,评论,赞,微博 weibo.com,yvURKxzd5
7,"
                                                                                                    新制作的展版之二 ​​​​                                            ",是,无, 2012-8-6 16:40,转发,评论,赞,微博 weibo.com,yvUQV8Hnn
8,"
                                                                                                    新制作的展版之一 ​​​​                                            ",是,无, 2012-8-6 16:38,转发,2,赞,微博 weibo.com,yvUQ2aS1R
9,"
                                                                                                    虽然下着雨，我们还是带着小朋友完成了紫菜包饭的课程。 ​​​​                                            ",是,无, 2012-7-31 14:47,转发,评论,赞,微博 weibo.com,yuZxPqCEy
10,"
                                                                                                    汇聚快乐，传递友情： 虽然一大早就下起了小雨，却没能阻挡住华清园社区英语训练营每一位学员的脚步和欢快的笑声。 在华清园服务站二楼的多功能厅，大家在Nally老师的带领一边学英语一边玩。Nal... O网页链接 （使用新浪长微博工具发布 O网页链接） ​​​​                                            ",是,无, 2012-7-26 15:35,1,1,赞,新浪博客,yueJ9wV8v
11,"
                                                                                                    发表了博文 《汇聚快乐，传递友情》 - 虽然一大早就下起了小雨，却没能阻挡住华清园社区英语训练营每一位学员的脚步和欢快的笑声。   在华清园服务站二楼的多功能厅，大家在Nally老师的带领一边学英语一 O网页链接 ​​​​                                            ",是,无, 2012-7-26 15:35,转发,评论,赞,新浪博客,yueIQlLiS
12,"
                                                                                                    [雨伞]                                            ",否,"
                                                                                                    家楼下惊现骑摩托艇 ​​​​                                                            ", 2012-7-26 15:28,转发,评论,赞,微博 weibo.com,yueFWmOpx
