序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    回春操来社区，欢迎社区居民朋友踊跃报名！健康生活从今天开始 ​​​​                                            ",是,无, 2012-8-31 08:39,转发,评论,赞,微博 weibo.com,yzFnLEBpD
2,"
                                                                                                    社区消夏晚会，我的舞台我做主---彩带舞动 ​​​​                                            ",是,无, 2012-8-17 09:15,转发,评论,赞,微博 weibo.com,yxxDxqcuh
3,"
                                                                                                    社区消夏晚会，我的舞台我做主----手语传真情 ​​​​                                            ",是,无, 2012-8-17 09:14,转发,评论,赞,微博 weibo.com,yxxDcaQrS
4,"
                                                                                                    社区消夏晚会，我的舞台我做主--阿姨唱歌，我伴舞 ​​​​                                            ",是,无, 2012-8-17 09:13,转发,评论,赞,微博 weibo.com,yxxCS5e8B
5,"
                                                                                                    社区消夏晚会，我的舞台我做主--舞蹈风采 ​​​​                                            ",是,无, 2012-8-17 09:12,转发,评论,赞,微博 weibo.com,yxxCow0Er
6,"
                                                                                                    社区消夏晚会，我的舞台我做主 ​​​​                                            ",是,无, 2012-8-17 09:10,转发,评论,赞,微博 weibo.com,yxxBznMwt
7,"
                                                                                                    明晚7点，社区消夏晚会在紫金数码广场隆重开幕！！！一场由社区居民自编自导自演的大型文艺表演，期待您踊跃参加！！用我们自己的方式祛暑纳凉！！！ ​​​​                                            ",是,无, 2012-8-15 15:14,1,评论,赞,微博 weibo.com,yxh8lqQJe
8,"
                                                                                                    社区暑期活动----8月14日上午9:30参观中科院软件园，让小朋友近距离感受高科技的神奇力量，欢迎社区小朋友踊跃报名 ​​​​                                            ",是,无, 2012-8-9 15:13,转发,评论,赞,微博 weibo.com,ywmz6DgJ7
9,"
                                                                                                    北京遭遇61年不遇的暴雨，房山、门头沟等地受灾严重，希望大家伸出援助之手，积极捐款，向190万灾区人民奉献爱心！ PS：最近阴雨连连，请社区广大居民注意防汛，小心着凉，平安过夏 ​​​​                                            ",是,无, 2012-7-26 15:48,转发,评论,赞,微博 weibo.com,yueOl3KQk
10,"
                                                                                                    开始兵役登记了，适龄青年即日起到8月20号可以登陆海淀征兵网进行登记，8月20日-8月24日到街道818楼值班室领取《兵役登记证》。兵役登记关系到日后上学或入职报到，请需要登记的同学和家长详细看通知内容！！ ​​​​                                            ",是,无, 2012-7-24 10:58,转发,评论,赞,微博 weibo.com,ytU3vi9gj
11,"
                                                                                                    办公室全体老美女在喝薄荷叶加荷叶茶，祛暑、减肥！！！！！！！！！试试吧 ​​​​                                            ",是,无, 2012-7-18 09:47,转发,1,赞,微博 weibo.com,ysZ1Pkr46
12,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #一周治安播报#7.2-7.8突出警情分布【拎包盗窃警情】发案主要分布在：丰台区的新发地。案发时间主要集中在上、下班高峰期。【入室盗窃类警情】发案主要分布在：东城区的永外；西城区广内；朝阳区的王四营；海淀区的田村；丰台区的石榴园；石景山的苹果园。案发时间主要集中在凌晨和深夜。 ​​​​                                                            ", 2012-7-10 15:04,1,评论,赞,微博 weibo.com,yrNGxpghQ
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #一周治安播报#7.2-7.8突出警情分布【撬砸汽车类盗窃警情】发案主要分布在：西城区的德胜门外；朝阳区的六里屯；海淀区的海淀；丰台区的岳各庄。案发时间主要集中在清晨和傍晚。【盗窃机动车类警情】发案主要分布在：朝阳区的将台。案发时间主要集中在晚上23时至凌晨5时。 ​​​​                                                            ", 2012-7-10 15:04,2,1,赞,微博 weibo.com,yrNGqjMv9
14,"
                                                                                                    社区居民注意啦！！速来社区居委会领取垃圾袋，美好希格玛有你有我有大家 ​​​​                                            ",是,无, 2012-7-10 15:02,转发,评论,赞,微博 weibo.com,yrNFtdODn
15,"
                                                                                                    魅力社区之绽放的雪莲花 ​​​​                                            ",是,无, 2012-7-5 11:37,转发,评论,赞,微博 weibo.com,yr1c65bEc
16,"
                                                                                                    魅力社区之希格玛社区第一男主播 ​​​​                                            ",是,无, 2012-7-5 11:35,转发,评论,赞,微博 weibo.com,yr1b4y2ug
17,"
                                                                                                    烈日炎炎，广大居民注意放热避暑哦有什么好的避暑方法欢迎分享 ​​​​                                            ",是,无, 2012-7-5 11:07,转发,评论,赞,微博 weibo.com,yr0ZKssIW
18,"
                                                                                                    “赞颂党恩 红歌飞扬”--七一歌唱比赛，期待您的参加，与我们一起为母亲献上生日的贺礼 ​​​​                                            ",是,无, 2012-6-19 14:34,转发,评论,赞,微博 weibo.com,yoBvL9cbj
