序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    分享图片 ​​​​                                            ",是,无, 2012-8-31 13:08,转发,评论,赞,微博 weibo.com,yzH91w7tH
2,"
                                                                                                    暑假小学生快乐活动现场 ​​​​                                            ",是,无, 2012-8-28 12:50,转发,评论,赞,微博 weibo.com,yzeKarnwk
3,"
                                                                                                    街道书记莅临科源社区 ​​​​                                            ",是,无, 2012-8-28 12:46,转发,评论,赞,微博 weibo.com,yzeIK6aws
4,"
                                                                                                    #阿姆斯特朗~登月~去世# ​​​​                                            ",是,无, 2012-8-26 21:29,转发,评论,赞,微博话题墙,yyZi08a0s
5,"
                                                                                                    //@杨澜: 转发微博。                                            ",否,"
                                                                                                    我感到幸福不是因为我手中有什么，而是因为我心中有什么。@天下女人 ​​​​                                                            ", 2012-8-25 06:58,转发,评论,29,微博 weibo.com,yyKa5Cupm
6,"
                                                                                                    回春操队伍 ​​​​                                            ",是,无, 2012-8-23 18:54,1,评论,赞,微博 weibo.com,yyvZDqh11
7,"
                                                                                                    欢迎社区小学生报名参加8月27日社区花园的小学生亲子活动啦! ​​​​                                            ",是,无, 2012-8-23 18:52,转发,评论,赞,微博 weibo.com,yyvYDEwjT
8,"
                                                                                                    小志愿者清理社区花坛杂草,劳动热情高 ​​​​                                            ",是,无, 2012-8-23 18:50,转发,1,赞,微博 weibo.com,yyvXV5KRt
9,"
                                                                                                    小学生暑假社会实践，内容为清洁宣传栏上顽固小广告，还居委会一块宣传阵地。 ​​​​                                            ",是,无, 2012-8-23 18:46,转发,评论,赞,微博 weibo.com,yyvWk65Xq
10,"
                                                                                                    原定社区花园播放电影《魔幻厨房》，因为停电现只能取消，又一次活跃居民文化生活的活动泡汤，真对不起居民啊！ ​​​​                                            ",是,无, 2012-8-23 18:41,转发,评论,赞,微博 weibo.com,yyvUp0OXt
11,"
                                                                                                    赞                                            ",否,"
                                                                                                    #公益海淀#中关村地区社会组织公益行活动在中关村街道社区服务中心门前广场上举行，每月一次的志愿活动已经开展了一年多，在义务理发现场，4把理发椅明显不能满足需求，等待理发的人群自发排起长队等候。 ​​​​                                                            ", 2012-8-22 08:24,转发,1,赞,微博 weibo.com,yyirs2BOj
12,"
                                                                                                    北大，百年北大，五四运动先锋地，怎么了？ ​​​​                                            ",是,无, 2012-8-21 23:03,转发,评论,赞,微博 weibo.com,yyeLQvf7E
13,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    在Forevermark专业设计团队的指导下，汤唯首次参与创作「Rainbow of Promise」钻饰。问及设计灵感，汤唯表示早前到山西援旱之旅，往机场途中看见远处的田野像一道彩虹，从而获得启发。她认为人生是一个「圆」，起起落落都在这个「圆」中，永无止境，有着不同色彩。 ​​​​                                                            ", 2012-8-21 22:18,转发,评论,23,专业版微博,yyett6GgR
14,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-20 22:23,-1,评论,赞,微博 weibo.com,yy557wgbh
15,"
                                                                                                    //@杭锦后旗公安局: //@鄂尔多斯交管支队达旗大队: 请按交通信号灯指示通行！                                            ",否,"
                                                                                                    抢黄灯非常危险！公交车抢灯过路口撞飞违规行驶电瓶车，致骑车人死亡！ O网页链接 ​​​​                                                            ", 2012-8-20 21:58,转发,评论,赞,微博 weibo.com,yy4UJCB9R
16,"
                                                                                                    明天要组织社区学生搞暑假社会实践了，主要是清洁宣传栏及中心小花园拔杂草！ ​​​​                                            ",是,无, 2012-8-20 21:15,转发,评论,赞,微博 weibo.com,yy4DbDiiw
17,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-20 21:12,-1,评论,赞,微博 weibo.com,yy4CbikqC
18,"
                                                                                                    “从接到裁员通知到签字，公司并无与员工有任何沟通与协商，单方面态度十分强硬，并且裁员标准并不透明”，一位摩托罗拉移动公司北京员工告诉赛迪网。 ​​​​                                            ",是,无, 2012-8-17 18:55,转发,评论,赞,微博 weibo.com,yxBr68ONr
19,"
                                                                                                    凤凰科技讯 8月17日消息，今日上午，摩托罗拉北京总部员工在工业园区内举行罢工，拉出“反对暴力裁员，要求对等协商”的横幅，抗议谷歌之前决定的强硬裁员要求。 ​​​​                                            ",是,无, 2012-8-17 18:54,转发,评论,赞,微博 weibo.com,yxBqH0Gb4
20,"
                                                                                                    回春操走进科源社区 ​​​​                                            ",是,无, 2012-8-17 16:06,转发,评论,赞,微博 weibo.com,yxAkAr0Uw
21,"
                                                                                                    社会工作者考试成绩可查啦。 ​​​​                                            ",是,无, 2012-8-17 07:40,转发,评论,赞,微博 weibo.com,yxx1bk1qv
22,"
                                                                                                    8月17日早9点，科源社区南门小花园，将举行回春操走进科源社区启动仪式。届时请志愿者免费教授社区居民做回春操，养生保健。 ​​​​                                            ",是,无, 2012-8-16 20:41,转发,评论,赞,微博 weibo.com,yxsHu85Gq
23,"
                                                                                                    全球首个儿童奥林匹克体验中心暨“我的奥林匹克”鸟巢儿童体验中心于2012年8月9日开始运营。鸟巢儿童体验中心设马术、击剑、曲棍球、跆拳道、射击、皮划艇、篮球、足球等体育体验，还设有奥运志愿者中心、火炬中心、场馆建设、奥运专列、医院、消防局等奥运职业体验，共60多个项目，近百种角色供体验。 ​​​​                                            ",是,无, 2012-8-16 20:33,转发,评论,赞,微博 weibo.com,yxsEe05Wh
24,"
                                                                                                    科源居委会办公用房施工中 ​​​​                                            ",是,无, 2012-8-14 16:02,转发,评论,赞,微博 weibo.com,yx81lr27n
25,"
                                                                                                    真好，预祝圆满成功！                                            ",否,"
                                                                                                    中关村校区携手东南社区暑期趣味活动就绪！ ​​​​                                                            ", 2012-8-14 10:31,转发,5,赞,微博 weibo.com,yx5QV6bC9
