序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    平安出行                                            ",否,"
                                                                                                    【今天雷雨转中雨 周六中到大雨 】27日7时北京气象信息：今天早晨有阵雨，轻雾，能见度较差，出行注意交通安全。白天阴转雷阵雨，夜间中雨，气温28到 24℃。雷雨天儿出行最好穿上绝缘性较好的雨鞋，身上不要携带金属物体。预计周六白天有中到大雨。频繁降雨易造成灾区次生灾害，请注意防范。 ​​​​                                                            ", 2012-7-27 10:51,转发,评论,赞,微博 weibo.com,yumigeBBF
2,"
                                                                                                    紧急呼吁：向北京遭灾民众捐款！ 北京市遭遇61年来最强暴雨！北京郊区多地受重灾，受灾人数达190万人，紧急转移安置77325人，倒塌房屋10660间，农作物受灾238688公顷，亟须各方伸手救援。为此，特向全社区发出紧急呼吁：向遭灾民众捐款！截止日期：2012-8-3前捐款地址：科馨居委会，联系电话：62637841 ​​​​                                            ",是,无, 2012-7-25 16:08,转发,评论,赞,微博 weibo.com,yu5vWep3z
3,"
                                                                                                    今天夜间至明天，北京会有大到暴雨，局部地区有大暴雨。科馨社区提醒广大居民，外出携带雨具[雨伞]，注意出行安全。 ​​​​                                            ",是,无, 2012-7-25 14:08,转发,评论,赞,微博 weibo.com,yu4J2usj9
4,"
                                                                                                    2012年兵役登记工作开始了，请本社区的年满18周岁的男性公民（2012年12月31日以前）在海淀区征兵网http//zb.bjhd.gov.cn登记。输入用户名和密码（用户名admin,密码admin）咨询电话：010-62550696。年满19至22岁没有参加过兵役登记的公民，请及时在海淀征兵网补登。登（补）记时间：2012-7-20至8-15。 ​​​​                                            ",是,无, 2012-7-23 16:05,2,评论,赞,微博 weibo.com,ytMDvhgP1
5,"
                                                                                                    “发垃圾袋啦，发垃圾袋啦…”为提高大家环保意识，积极推进垃圾分类工作，科馨居委会将向居住在本社区的住户免费发放环保垃圾袋，每户100个。大家相互转告，先到先得哦[cai开心] ​​​​                                            ",是,无, 2012-7-23 14:39,转发,评论,赞,微博 weibo.com,ytM4OFmot
6,"
                                                                                                    好人，一生平安！求转发，希望大叔能早点找到丢失车牌的车主！@中关村黄庄社区 @中关村豪景社区 @中关村东里北社区 @中关村华清园社区 @中关村青云北社区 @中关村知春里西社区@中关村街道白塔庵社区@中国红十字会总会 @北京统计                                            ",否,"
                                                                                                    今天很热，四季青桥附近这位环卫大叔一直在认真等待丢车牌的车主前去认领，昨晚他应该也战斗在一线吧。车牌有京NK3W89、京N0A179、京HF3994、京P2CH89、京N6B378、京N79P29，大叔电话13011154052。求扩散，让大叔能早点回去歇歇。@北京人不知道的北京事儿 @北京城你不知道的事儿 @交通北京 @安居北京 ​​​​                                                            ", 2012-7-23 14:15,1,评论,6,微博 weibo.com,ytLV2mgng
7,"
                                                                                                    本周五（7月27日）上午9点科馨社区将举行第六次月末清洁日活动，欢迎广大居民积极参与，共同爱护社区环境卫生。[花心] ​​​​                                            ",是,无, 2012-7-23 09:59,转发,评论,赞,微博 weibo.com,ytKeXnpN9
8,"
                                                                                                    //@海淀区政府网站: //@平安北京:                                             ",否,"
                                                                                                    【“7•21”暴雨因灾死亡37人】7月21日，本市发生暴雨到大暴雨天气，截至22日17时，在本市境内共发生因灾死亡37人。其中，溺水死亡25人，房屋倒塌致死6人，雷击致死1人，触电死亡5人。目前，死者已有22人确定身份，其余15人正在确认中。 ​​​​                                                            ", 2012-7-23 09:49,转发,评论,1231,微博 weibo.com,ytKb5spuZ
9,"
                                                                                                    请已经报名参加两癌筛查的居民，请到居委会领取两癌筛查三联卡。 ​​​​                                            ",是,无, 2012-7-5 14:28,转发,评论,赞,微博 weibo.com,yr2jowN4D
10,"
                                                                                                    暑期临近，凡需要参加社会实践的同学们，请尽快到居委会登记。居委会地址：清华园1号楼1门102室。 ​​​​                                            ",是,无, 2012-7-5 14:20,转发,评论,赞,微博 weibo.com,yr2g09aZd
