序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    8月30日上午九点在社区老年活动站,中关村医院的大夫为居民进行义诊活动,为居民免费测试眼睛 ​​​​                                            ",是,无, 2012-8-31 16:51,转发,评论,赞,微博 weibo.com,yzIBJjFSP
2,"
                                                                                                    最后晚会结束,大家一起来跳交谊舞 ​​​​                                            ",是,无, 2012-8-29 16:59,转发,评论,赞,微博 weibo.com,yzpO1epVf
3,"
                                                                                                    希格玛社区舞蹈队表演 ​​​​                                            ",是,无, 2012-8-29 16:58,转发,评论,赞,微博 weibo.com,yzpNEt5b3
4,"
                                                                                                    我社区阿姨表演手语舞 ​​​​                                            ",是,无, 2012-8-29 16:58,转发,评论,赞,微博 weibo.com,yzpNjtvc7
5,"
                                                                                                    科住物业演唱最炫民族风,现场小朋友为她伴舞 ​​​​                                            ",是,无, 2012-8-29 16:56,转发,评论,赞,微博 weibo.com,yzpMPDpQj
6,"
                                                                                                    希格玛社区表演舞蹈 ​​​​                                            ",是,无, 2012-8-29 16:54,转发,评论,赞,微博 weibo.com,yzpLId17Z
7,"
                                                                                                    希格玛小朋友表演葫芦丝 ​​​​                                            ",是,无, 2012-8-29 16:53,转发,评论,赞,微博 weibo.com,yzpLmkcHB
8,"
                                                                                                    我社区舞蹈队表演 ​​​​                                            ",是,无, 2012-8-29 16:50,转发,评论,赞,微博 weibo.com,yzpKi8JzU
9,"
                                                                                                    现场的观众看得很认真 ​​​​                                            ",是,无, 2012-8-29 16:49,转发,评论,赞,微博 weibo.com,yzpJY37yw
10,"
                                                                                                    一位观众即兴表演诗朗诵 ​​​​                                            ",是,无, 2012-8-29 16:33,转发,评论,赞,微博 weibo.com,yzpDkpWZE
11,"
                                                                                                    我社区舞蹈队表演 ​​​​                                            ",是,无, 2012-8-29 16:26,转发,评论,赞,微博 weibo.com,yzpAGruRb
12,"
                                                                                                    希格玛社区表演舞蹈 ​​​​                                            ",是,无, 2012-8-29 16:25,转发,评论,赞,微博 weibo.com,yzpAelnKE
13,"
                                                                                                    我社区盲人朋友陈晓阳自弹自唱<国家>,举话筒的是他妈妈,我们听得都很感动 ​​​​                                            ",是,无, 2012-8-29 16:22,转发,评论,赞,微博 weibo.com,yzpyZvtg3
