序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    2012年8月22日下午我社区选送家庭代表参加了街道组织的“安正杯”消防知识竞赛预赛，为了支持社区工作，参赛家庭特意请假参加了比赛，赛前针对比赛的知识点选手家庭认真准备，比赛当天选手家庭小朋友更是表现积极。通过比赛切实做到了社区居民对于家庭消防知识的普及，是很有意义的一次活动。 ​​​​                                            ",是,无, 2012-8-27 11:22,转发,评论,赞,微博 weibo.com,yz4Kg8O7y
2,"
                                                                                                    2012年8月13日上午9点我社区组织适龄青少年进行了社区清洁活动，社区青少年积极分子踊跃参加，活动目的主要是针对现在孩子物质生活极大丰富，除了学习任务其他社会角色缺失，缺乏社会责任感。活动结束后同学们都觉得天气很热，体会到了劳动过程的不易和劳动成果的喜悦。学生家长也很满意。 ​​​​                                            ",是,无, 2012-8-13 10:51,转发,评论,赞,微博 weibo.com,ywWyI7OwN
3,"
                                                                                                    2012年8月6日开始我居组织社区党员、积极分子观看《为你而歌》节目，节目播出几天来，我社区党员、积极分子反响热烈。节目中的优秀党员忠实的践行“北京精神”，保持了一贯过得硬的党员先锋作风，结合自身特点在所处行业中大有作为的事迹鼓舞着大家，在迎接党的十八大胜利召开之际得到了有意义的教育。 ​​​​                                            ",是,无, 2012-8-9 15:51,转发,评论,赞,微博 weibo.com,ywmOjkLC9
4,"
                                                                                                    2012年7月23日起至8月9日海淀统计局安排我居配合进行的一体化问卷。整个摸底工作接近尾声，此次摸底工作要求户对人逐一排查，我居抽样区域为1996年建的老楼，住户转租转卖情况严重，排查难度很大。居干战高温白天晚上放弃周末休息多次上门、电话、贴通知、找熟人联系租房中介，尽最大可能联系房主。 ​​​​                                            ",是,无, 2012-8-9 15:48,转发,评论,赞,微博 weibo.com,ywmNhuttP
5,"
                                                                                                    2012年8月7日我社区肢体残疾人51岁李建生，由于身体的原因已多年下岗在家。平时居委会相关居干经常跟踪他的健康情况，定期上门拜访，了解他家情况。近期又被诊断出来癌症晚期，我居得知情况第一时间给他提供轮椅服务，并看望本人及其家属，带去了我们对他家的殷切关心，望他放松心情坚强与病魔作斗争。 ​​​​                                            ",是,无, 2012-8-9 15:43,转发,1,赞,微博 weibo.com,ywmLe8Mdh
6,"
                                                                                                    2012年8月1日开始，城乡一体化住户收支与生活状况调查摸底正式开始，居委会全体成员在完成日常各自负责的各口工作的同时，白天抽空入户登记，每天晚上加班至9点钟。为了精益求精的完成答卷，对拒绝的住户不厌其烦的宣传此次调查的目的意义。得到了居民的肯定和支持。 ​​​​                                            ",是,无, 2012-8-3 14:23,转发,1,赞,微博 weibo.com,yvrFyy4QG
7,"
                                                                                                    统计局城乡一体化开始，居干们加班加点入户宣传调查。晚上加班到9点多。爬楼锻炼身体！ ​​​​                                            ",是,无, 2012-8-3 13:57,转发,评论,赞,微博 weibo.com,yvruX6pi9
8,"
                                                                                                    7月30日为认真贯彻我市8月1日即将开始施行国务院颁布的《无障碍环境建设条例》，我社区利用宣传栏、橱窗在社区内进行了大量的宣传。此次《条例》充分体现了我国针对残疾人这支特殊弱势群体的人文关怀。是我国首次立法保障残疾人平等参与社会生活的权利，保障残疾人等社会成员平等参与社会生活。 ​​​​                                            ",是,无, 2012-7-31 14:38,转发,评论,赞,微博 weibo.com,yuZumljNR
9,"
                                                                                                    大雨再临,为""7.21""大雨灾害捐款的热情也继续高涨 ​​​​                                            ",是,无, 2012-7-31 14:19,转发,评论,赞,微博 weibo.com,yuZmspSK8
10,"
                                                                                                    2012年7月31日上午9点我社区居委会全体成员就全面配合统计局进行一体化入户筛查工作召开准备会议大家学习了第一阶段入户摸底的资料，会后在抽样居民楼张贴了宣传画，悬挂了宣传横幅。为了宣传此次入户摸底的意义作用，我们准备了详细的说明资料和折页。并和物业公司领导预先巡视了解各单元的基本情况。 ​​​​                                            ",是,无, 2012-7-31 14:17,转发,评论,赞,微博 weibo.com,yuZlIjIsd
11,"
                                                                                                    2012年7月27日上午8点半八里庄“玲珑杯”体育文化节开幕式，在海淀区领导及社区居干、居民喜迎十八大的热情中盛大召开。我社区选送的双刀、九节鞭两个节目荣幸的获选。居干及演员提前一个小时到场参加了预演。当日天气闷热，演出过程非常顺利，展现了我社区居民的风采。 ​​​​                                            ",是,无, 2012-7-30 09:51,转发,评论,赞,微博 weibo.com,yuObtik9K
12,"
                                                                                                    7月27日准备给社区青少年举办沙画水彩画比赛，让小朋友们在团队中学习建立团队责任感，和用最短的时间里找到自己在团队中的定位。 ​​​​                                            ",是,无, 2012-7-12 15:53,转发,评论,赞,微博 weibo.com,ys6R71HmE
13,"
                                                                                                    暑期开始社区内充满了小朋友们的欢声笑语 ​​​​                                            ",是,无, 2012-7-12 08:37,转发,评论,赞,微博 weibo.com,ys40sCr0O
14,"
                                                                                                    2012年7月11日上午9点我社区为了纪念第二十三个世界人口日，今年主题“让家庭健康、和谐”，结合本辖区实际情况，采取在辖区人群密集的地方发放宣传资料和避孕药具，为了更好的宣传计划生育法律法规政策、辅助奖励政策社区居干还准备了计生谜语题，现场气氛热烈，社区居民更多的了解了计生方面的知识。 ​​​​                                            ",是,无, 2012-7-11 16:42,转发,评论,赞,微博 weibo.com,yrXKKleyj
15,"
                                                                                                    711世界人口日来临之际，准备社区宣传活动资料，宣传国家人口政策，向所有社区居民进行计生科普 ​​​​                                            ",是,无, 2012-7-10 14:43,转发,评论,赞,微博 weibo.com,yrNxSy5gj
16,"
                                                                                                    2012年6月29日到7月3日我社区为了迎接党的生日确保十一届党代会顺利召开，组织党员代表、居民代表、社区积极分子、妇女代表等在社区周围值勤，盛夏时节，大家战酷暑几天来一直坚守岗位，我社区值勤人员普遍年龄较大，但大家都积极克服困难协助居委会完成了此次维稳工作。 ​​​​                                            ",是,无, 2012-7-4 09:27,转发,评论,赞,微博 weibo.com,yqQUzjaQN
17,"
                                                                                                    2012年6月29日下午2点我社区30多名的党员们怀揣着对党生日的祝福，怀揣着坚决跟党走的信仰，兴高采烈的参加了为纪念中国共产党成立91周年，庆祝党的生日，党史问答和红歌卡拉ok比赛，党员同志们积极踊跃的参加了党史问答后唱起了革命歌曲，一首接一首的经典老歌唱响在社区。 ​​​​                                            ",是,无, 2012-6-29 16:03,转发,评论,赞,微博 weibo.com,yq8n56ka9
18,"
                                                                                                    2012年6月26日细雨中我社区迎来了第二十五个“世界禁毒日”和十七个“国际禁毒日”。采取各种形式开展普及毒品预防知识宣传活动，增强公民的禁毒意识，提高公民自觉抵制毒品的能力。活动的开展将宣传《禁毒法》和宣传毒品的危害尤其是合成毒品的危害作为重点，寓教于乐的宣传提高了宣传实效。 ​​​​                                            ",是,无, 2012-6-26 11:22,1,评论,赞,微博 weibo.com,ypEfkp1Pt
19,"
                                                                                                    2012年6月19日下午我社区迎七一在居党支部书记郭书记的带领下走访了社区困难党员。党员宋秀茹长期以来体弱多病，许慧夫妻、孩子都身体不好，但一直都很支持社区党支部的工作，尽可能参加党员活动。在党的生日即将到来之际，我们党支部带去了慰问品，表达了社区党支部、居委会全体居干们的关怀和感谢。 ​​​​                                            ",是,无, 2012-6-19 16:27,转发,评论,赞,微博 weibo.com,yoCfGxHAt
20,"
                                                                                                    2012年6月15日下午我社区第一批两癌筛查正式开始，为了方便居民我居工作人员尽职尽责提前逐一通知检查的居民。为了保证现场检查随时有人联系，当天提前到达体检中心，配合护士做好居民检查流程安排。并在现场打电话提醒。保证第一批报名的居民一次性到场接受了检查。得到居民一致肯定。 ​​​​                                            ",是,无, 2012-6-18 14:51,转发,评论,赞,微博 weibo.com,yosc36ZR4
21,"
                                                                                                    2012年6月13日上午我居委会就上半年工作进行总结，并制定了下半年工作重点，分别就党建工作及居委会六大委员会的具体工作进行了详细的总结，大家就各口工作的特点也进行了公示，方便实现各口信息共享、工作进度协调合作。明确下半年十八大工作进行预热，保证居民工作无小事的原则，做好工作上的规范。 ​​​​                                            ",是,无, 2012-6-18 11:23,转发,评论,赞,微博 weibo.com,yoqPB05Cg
22,"
                                                                                                    2012年6月11日到6月15日我社区请到中医药大学毕业生给社区居民免费进行心脑血管、高血压等夏季高危疾病的中医针灸、理疗保健，为了方便老人的作息时间居委会工作人员和中医药大学医生早上7点半就来到单位，中午也不休息尽量延长为居民们的服务时间。还应居民要求给大家进行了夏季基础病保健知识讲座。 ​​​​                                            ",是,无, 2012-6-15 09:43,转发,评论,赞,微博 weibo.com,ynXTCeFcf
23,"
                                                                                                    2012年6月8日下午五点我社区非本市户籍适龄儿童入学审核工作圆满结束，本着更好为社区流动人口居民服务的宗旨，今年的借读手续我社区严格按照市教委的审核标准逐项核对，做到了有效宣传在前，细致明细伴随居民办理过程，截止时间随时提示。切实为符合条件的社区居民提供了及时有效的服务。 ​​​​                                            ",是,无, 2012-6-11 11:01,转发,评论,赞,微博 weibo.com,ynmHxrkRn
24,"
                                                                                                    2012年6月6日、6月8日两天我社区居民张淑兰、陈骏霞分别在社区里捡到存折、身份证、银行卡等，我们替失主先感谢两位居民拾金不昧的精神。 也特别提醒社区居民夏季炎热，白天家中无人还需关好门窗、晚上睡觉开窗容易产生安全隐患。出门衣物穿着少了要看好自己的财务，预防小偷得逞。 ​​​​                                            ",是,无, 2012-6-11 09:56,转发,评论,赞,微博 weibo.com,ynmh0rhHF
25,"
                                                                                                    2012年6月1日到6月8日期间我社区居委会居干领导社区积极分子、居民代表、各楼门长、妇女代表等社区骨干力量战高温活跃在社区巡逻的一线，在此期间正值“六四”、“ 上海峰会”和一年一度的高考期间，为了保证社区居民安静、和谐的生活、学习氛围。大家认真负责的值勤。体现了社区是我家的主人翁精神。 ​​​​                                            ",是,无, 2012-6-8 15:06,转发,评论,赞,微博 weibo.com,ymW1idre2
26,"
                                                                                                    2012年6月7日我社区组织对辖区内低保人员家庭开展了低保政策普及宣传培训活动。此次培训的内容主要是针对2012年城乡居民最低生活保障对象半年复审工作进行政策咨询培训。社区工作人员就严格执行政策和低保听证工作，并对居民的政策盲点做解释。通过培训大家表示积极配合社区做好低保政策的宣传工作。 ​​​​                                            ",是,无, 2012-6-8 14:23,1,1,赞,微博 weibo.com,ymVJJ3YPN
