序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    东城区健康示范食堂营养知识与技能比赛。 ​​​​                                            ",是,无, 2012-8-31 15:11,1,2,赞,iPhone客户端,yzHWV2wNp
2,"
                                                                                                    东城区健康示范食堂营养知识与技能比赛， ​​​​                                            ",是,无, 2012-8-31 15:09,1,评论,赞,iPhone客户端,yzHWpFNFz
3,"
                                                                                                    东城区健康示范食堂营养知识与技能比赛 ​​​​                                            ",是,无, 2012-8-31 15:08,1,1,赞,iPhone客户端,yzHW24GVT
4,"
                                                                                                    @田向阳的微博                                            ",否,"
                                                                                                    科学用药、安全用药、理性用药、有效用药，合理利用医疗卫生服务资源，是患者健康教育的重要内容之一。但，医药卫生事业发展的终极目标必然是大家不吃药、少吃药，天下无药。 ​​​​                                                            ", 2012-8-24 13:21,转发,评论,赞,微博桌面,yyDeP0yRs
5,"
                                                                                                    预防青少年吸烟从家庭做起 鼓励父母#戒烟#，至少在孩子面前不要再吸烟，特别在狭窄或封闭的空间，如汽车内，起到一个榜样作用。在学校推行防止儿童吸烟的措施，教育青少年远离烟草。另外通过无烟公共场所创建和卫生专业人员的倡导、减少烟草广告、控烟宣传等措施，预防青少年吸烟。 ​​​​                                            ",是,无, 2012-8-22 09:43,20,1,赞,微博桌面,yyiXm5UKc
6,"
                                                                                                    青少年#吸烟#致骨质流失 青少年时期会有很多烦恼，但骨质疏松却不在其中——除非他们染上了吸烟的不良习惯。吸烟会增加骨质疏松的风险，对1000名年龄为18岁至20岁的青年男子进行调查后发现，吸烟者全身骨骼骨质密度都低于常人，特别是在脊骨部位和髋骨处，这是进入老年后最容易发生骨折的地方。 ​​​​                                            ",是,无, 2012-8-22 09:41,转发,评论,赞,微博桌面,yyiWEE3P7
7,"
                                                                                                    父母离家越早儿童身心健康越差 父母外出时儿童的年龄、隔代抚养和主要监护人性别等是影响留守儿童身心发育的主要因素。有约55%的儿童不到1岁时父母外出。而父母外出时儿童年龄越小，其体格发育越差。 ​​​​                                            ",是,无, 2012-8-22 09:40,1,评论,赞,微博桌面,yyiW8aRsx
8,"
                                                                                                    玩触摸屏时多注意 频繁使用触摸屏时间要控制在30分钟以内。三十分钟，就要让你的手指休息一下。使用触摸屏时，要略微弯曲手指。这样手指软骨能够缓冲外来的力量，软骨组织也能受到有效的保护。 ​​​​                                            ",是,无, 2012-8-22 09:36,转发,评论,赞,微博桌面,yyiUExMZX
9,"
                                                                                                    海鲜品不能隔夜吃 鱼和海鲜隔夜后易产生蛋白质降解物，会损伤肝、肾功能。螃蟹为含组胺酸较多的食物，隔夜的剩蟹中组氨酸在某些维生素的作用下，会分解为组胺，回锅加热虽可杀灭病源微生物，却不能破坏毒素，从而导致组氨酸中毒。因此，蟹最好现蒸现吃，一般不要超过4小时。 ​​​​                                            ",是,无, 2012-8-21 14:48,1,评论,赞,微博桌面,yybwVtJd7
10,"
                                                                                                    坏“胆固醇” 低密度脂蛋白胆固醇（LDL-C），该类脂蛋白中携带大量胆固醇，容易沉积于动脉壁内，形成动脉粥样硬化，是“坏的脂蛋白”。 ​​​​                                            ",是,无, 2012-8-21 14:48,转发,评论,赞,微博桌面,yybwLs45R
11,"
                                                                                                    好胆固醇 所谓好“胆固醇”，即指高密度脂蛋白胆固醇（HDL-C)。该类脂蛋白可将外周组织包括动脉壁内的胆固醇带到肝脏，通过代谢排出体外，具有抗动脉粥样硬化作用，有“抗动脉粥样硬化性脂蛋白”的美称，是“好的脂蛋白”。 ​​​​                                            ",是,无, 2012-8-21 14:48,转发,评论,赞,微博桌面,yybwE3IL3
12,"
                                                                                                    涕中带血不可忽视 鼻出血是鼻腔疾病常见的症状之一，可以表现为较大量的新鲜血液自鼻腔流出，亦可仅表现为鼻涕中带少许新鲜血丝或黑褐色陈旧性血。前者由于出血量较多，病人会及时到医院诊治，而后者由于出血少，时有时无，常被患者忽视而延误早期发现某些严重疾病的时机。 ​​​​                                            ",是,无, 2012-8-21 14:46,转发,评论,赞,微博桌面,yybw4AMZv
13,"
                                                                                                    什么是耐药细菌？ 抗菌药物通过杀灭细菌发挥治疗感染的作用,细菌作为一类广泛存在的生物体，也可以通过多种形式获得对抗菌药物的抵抗作用，逃避被杀灭的危险，这种抵抗作用被称为“细菌耐药”，获得耐药能力的细菌就被称为“耐药细菌”。 ​​​​                                            ",是,无, 2012-8-21 14:46,转发,评论,赞,微博桌面,yybvR2s8S
14,"
                                                                                                    要防止血管“生锈” 55岁以上的健康人群应每年至少检测一次胆固醇，将总胆固醇水平控制在5.18mmol/L以下；冠心病、中 风、高血压患者则应每3至6个月检测一次，在平衡运动、饮食的基础之上，坚持长期服用降胆固醇药物立普妥这类他汀类药物。 ​​​​                                            ",是,无, 2012-8-20 15:29,4,评论,赞,微博桌面,yy2n1ykzJ
15,"
                                                                                                    吃完夜宵想睡觉怎么办 不少人在睡觉前都喜欢吃夜宵，其实不仅仅是食物还没消化导致热量积聚，更重要的是会影响睡眠质量，这是引起肥胖的主要原因。一般 来说，睡前2-3小时前进食为佳，但如果要吃夜宵的话，尽量选择一些易消化，或促进消化的食物吧，例如富含酵素的食物，也不怕会积 聚了。 ​​​​                                            ",是,无, 2012-8-20 15:28,转发,1,赞,微博桌面,yy2mq2yaS
16,"
                                                                                                    尿黄提示肝脏有问题 如果一两次的尿黄，时间短且没有其他不适，这大可放心。尿液颜色改变与人体出汗和饮水量、饮食有关。如出汗多，饮 水量小，尿液的颜色也会加深。刚起床时，肾脏里积存了整晚的尿液，所以， 尿液颜色较深气味重。等你喝过水后，下一次尿液的颜色和气味都会好转。如长期尿黄需要重视 ​​​​                                            ",是,无, 2012-8-20 15:26,转发,评论,赞,微博桌面,yy2lLwaJC
17,"
                                                                                                    风湿性心脏病征兆自测：心悸气短，活动后喘促、疲劳，乏力，咯血等左心功能不全。重者出现头昏，心绞痛，心律失常，甚至晕厥，猝死。晚期出现呼吸困难、咳嗽、咯血等左心功能不全症状，体征为主动瓣区听到响亮粗糙的吹风样收缩期杂音，向颈部传导，并伴有收缩期震颤等。 ​​​​                                            ",是,无, 2012-8-20 15:23,转发,评论,赞,微博桌面,yy2ktaifd
18,"
                                                                                                                                                ",否,"
                                                                                                    #营养螺丝钉#【阿斯巴甜要少吃】阿斯巴甜是我们最常见的甜味剂，但国外很多研究表明，它对儿童的健康具有负面影响，曾有项研究针对阿斯巴甜的作用做了调查，结果发现这种物质会导致噩梦、记忆力衰退、急躁易怒以及恶心反胃。尽管它不会升高血糖浓度，但是仍不应该放入孩子的健康食谱中 via@王静营养师 ​​​​                                                            ", 2012-8-17 09:40,1,评论,赞,微博桌面,yxxNUs19P
19,"
                                                                                                                                                ",否,"
                                                                                                    【秋季饮食八忌】忌吃辛辣生冷的食物。忌吃过燥的食物。忌吃油腻、煎炸的食物。忌吃水生植物。忌不按食物安全期吃。忌盲目控制饮食。忌盲目吃蟹。 ​​​​                                                            ", 2012-8-17 09:04,转发,评论,赞,微博桌面,yxxz5tHLE
20,"
                                                                                                                                                ",否,"
                                                                                                    【吃香蕉不能通便反可致便秘】香蕉是热带、亚热带的水果，我国大部分地区处于温带。为了便于保存，采摘香蕉的时候，不能等它熟，而是在香蕉皮青绿时就得摘下。我们在北方吃到的香蕉都是经过催熟的，虽然尝不出生香蕉的涩味，但生香蕉中的鞣酸成分仍然存在。鞣酸具有非常强的收敛作用，从而造成便秘。 ​​​​                                                            ", 2012-8-16 15:29,转发,评论,赞,微博桌面,yxqEOxXPu
21,"
                                                                                                    早餐                                            ",否,"
                                                                                                    #早餐吃什么# 推荐一下： 1.脱脂牛奶一杯、烤全麦面包两片、番茄一个。 2.银耳莲子粥一碗、由低脂乳酪、生菜、面包火腿各一片做成的三明治一份。 3.小馄饨一碗、五香茶叶蛋一个。 ​​​​                                                            ", 2012-8-16 07:49,1,1,赞,微博桌面,yxnE5bc0l
22,"
                                                                                                    不吃早餐首先会精神不振，并影响胃酸分泌、胆汁排出，这会减弱消化系统功能，诱发胃炎、胆结石等消化系统疾病。还会使人在午饭时出现强烈的空腹感和饥饿感，不知不觉吃下过多的食物，多余的能量就会在体内转化为脂肪，时间长了，脂肪在皮下堆积，反而导致肥胖。不吃早餐易患感冒、心血管系统疾病。 ​​​​                                            ",是,无, 2012-8-16 07:47,1,评论,赞,微博桌面,yxnDv8YNN
23,"
                                                                                                    #早餐#不应该天天一个样，也无需墨守成规。早上吃头天晚上的剩菜剩饭，吃酸奶和水果，吃炒饭、面条都可以。 ​​​​                                            ",是,无, 2012-8-16 07:46,转发,评论,赞,微博桌面,yxnCT0Xf1
24,"
                                                                                                    尽快入睡的3种方法。 可以饮一杯温热的牛奶。牛奶中的钙是一种镇静物质。饮温热饮料是一种很好的习惯，可以使身体放松，犹如一天生活结束时的奖赏。 睡前1小时要远离电视，因为电视屏幕闪烁的光线会使人神经兴奋而影响睡眠。 请把忧虑暂时放在一边，不要去想它，闭上眼睛静静入睡。 ​​​​                                            ",是,无, 2012-8-15 22:45,1,评论,赞,微博桌面,yxk5ekOhY
25,"
                                                                                                    早餐应吃什么？ 这要根据你的年龄，活动量和健康而定。一个正在成长的年轻人或孕妇可以吃一顿足实的早餐，例如，面包、鸡蛋或肉类、果汁和牛奶。成年人只吃面包、馒头、脱脂牛奶，新鲜水果或果汁就够了。鸡蛋是很有营养的食物，每都不可少。 ​​​​                                            ",是,无, 2012-8-15 22:40,转发,评论,赞,微博桌面,yxk3qFOM0
26,"
                                                                                                    为健康而说，为快乐而歌，北京市全民健康生活方式行动演讲比赛开始了，为选手们鼓掌，东城许莹加油！ ​​​​                                            ",是,无, 2012-8-15 09:21,转发,评论,赞,微博 weibo.com,yxePcAg8D
27,"
                                                                                                    #高血压#用药多注意 “不要老是吃同样药物，以免失效。”具有这样观点的病人常主动地不断变换降压药物的品种。其实这是不对的。选择某些降压药物，获得满意效果后应继续坚持服用，一般不会失效，如有血压波动情况发生，应该寻找其他原因，包括感冒、发热、情绪波动、熬夜、过度劳累等都可导致血压波动 ​​​​                                            ",是,无, 2012-8-15 08:51,1,1,赞,微博桌面,yxeCKvvFH
28,"
                                                                                                    隔夜茶不能喝 隔夜茶因时间过久，维生素大多已丧失，且茶汤中的蛋白质、糖类等会成为细菌、霉菌繁殖的养料，茶水搁置过久就容易被微生物污染，茶水中的复杂成分也易发生变化。因此，饮用隔夜茶可能引起胃肠疾病及消化不良等症。所以，隔夜茶不能喝。 ​​​​                                            ",是,无, 2012-8-15 08:49,转发,评论,赞,微博桌面,yxeC4i5pA
29,"
                                                                                                    吃早餐好处多 吃早餐对身体营养上的贡献已无须赘言，对学习能力与品行的影响近年来也已得到证实。有专家对1000名3-6年级小学生考试成绩的研究指出：吃早餐的学生比不吃早餐的学生成绩好。而且早餐的份量和内容也和学习成绩有关。 ​​​​                                            ",是,无, 2012-8-15 08:48,转发,评论,赞,微博桌面,yxeBQEeWQ
30,"
                                                                                                    如何预防感染性疾病？ 注意个人卫生，包括环境卫生、饮食卫生；锻炼身体，提高自身抵抗力；合理使用抗菌药物，减少耐药菌产生与感染；部分传染病可以通过接种疫苗预防；医疗机构加强医院感染控制，减少住院患者获得耐药菌感染。 ​​​​                                            ",是,无, 2012-8-15 08:47,转发,评论,赞,微博桌面,yxeBcdiC4
31,"
                                                                                                    //@北京东城健康教育                                            ",否,"
                                                                                                    日本一项研究报告称，运动前和运动后喝纯西红柿汁，有减轻运动疲劳的效果。因为西红柿中含有抗氧化物质番茄红素以及多种维生素、矿物质和有机酸等营养成分，具有抗疲劳的效果，但是并不能消除疲劳 ​​​​                                                            ", 2012-8-15 08:45,转发,评论,赞,微博桌面,yxeAAFe2b
