序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    大家注意了//@曾晓芃: 不光是止痛药，什么药都不能滥用[织]                                            ",否,微博已被原作者删除, 2012-8-29 09:51,-1,2,赞,微博 weibo.com,yzn0hlQ9l
2,"
                                                                                                    今天你吃早餐了吗？请告诉身边的朋友~~//@与点阁: 回复@曾晓芃://@曾晓芃:牛奶、鸡蛋、主食、蔬菜或水果//@与点阁:早餐是个大问题                                            ",否,"
                                                                                                    【怎么吃早餐，身体更健康】①缺了主食:增加面包、馒头等主食；②西式快餐:应加上水果或蔬菜汤；③油条豆浆:一星期不宜超过一次；④路边购买的早餐:一是要注意卫生，二是最好买回去吃；⑤剩饭菜:尽量别再吃，如果要吃一定先热透。 ​​​​                                                            ", 2012-8-29 09:50,5,1,赞,微博 weibo.com,yzmZCyVcQ
3,"
                                                                                                    大家注意//@北京卫生监督: 谨防织纹螺食物中毒！大家不要食用！                                            ",否,"
                                                                                                    #卫生安全提示#【谨防织纹螺食物中毒】怀柔区卫生监督所温馨提示：食品生产经营单位不得采购、加工和销售织纹螺；消费者不购买和食用织纹螺，误食织纹螺后，如发生口唇麻木等类似神经系统中毒症状，立即就医；消费者若发现食品生产经营单位采购、加工和销售织纹螺，及时向当地卫生行政部门举报。 ​​​​                                                            ", 2012-8-28 15:00,7,2,赞,微博 weibo.com,yzfB9qlJr
4,"
                                                                                                    原来平时只能放3、4套衣服的双肩背里至少能放十套以上……威武//@曾晓芃:好好学习，以后出差就不用拉杆箱了                                            ",否,"
                                                                                                    #惠生活#“打包帝”教你怎样把一个月的衣服装进一个双肩包内！看完真心膜拜了，迅速学起来~~ O网页链接   超级有用！！！   ​​​​                                                            ", 2012-8-28 14:57,6,3,赞,微博 weibo.com,yzfzPh37E
5,"
                                                                                                    原来是因为天气凉，外面的蚊子都跑到屋里了，不叮人的雄蚊子在夏天是不进屋的，但是秋天也飞到屋里了，所以显得屋里蚊子多了。而且秋天来临，母蚊最后一次吸血产卵，攻击性更强。                                            ",否,"
                                                                                                    #秋后蚊子为何这么猛#“秋后蚊子猛如虎、一天打死7只、9楼蚊子也爬上来了！”早上看到msn上的朋友们饱含着仇恨，用“死”、“猛”这样的词儿痛斥蚊子，这种仇恨是有群众基础的，每年都有不少朋友和我说，感到秋天屋子里的蚊子比夏天多，比夏天更嚣张。秋天蚊密度是不是增加了？答案是否定的。@新浪健康 ​​​​                                                            ", 2012-8-23 10:32,6,5,赞,微博 weibo.com,yysHKzFFc
6,"
                                                                                                    防蚊叮咬全攻略//@曾晓芃: 蚊子咬人受几大因素影响：★呼出的二氧化碳是蚊子定向的气味源 ★深色衣服吸热，也易招引蚊子 ★女性经期分泌物产生变化，也更招蚊子 ★运动出汗后，比较招蚊子，建议运动后赶快洗个澡，汗水少了，蚊子就叮得少                                            ",否,"
                                                                                                    #秋后蚊子为何这么猛#“秋后蚊子猛如虎、一天打死7只、9楼蚊子也爬上来了！”早上看到msn上的朋友们饱含着仇恨，用“死”、“猛”这样的词儿痛斥蚊子，这种仇恨是有群众基础的，每年都有不少朋友和我说，感到秋天屋子里的蚊子比夏天多，比夏天更嚣张。秋天蚊密度是不是增加了？答案是否定的。@新浪健康 ​​​​                                                            ", 2012-8-23 10:29,1,评论,赞,微博 weibo.com,yysGMiNda
7,"
                                                                                                    北方地区早晚凉，出门记得添衣裳//@首都健康:明日处暑。增加1小时睡眠+加强锻炼=缓解秋乏                                            ",否,"
                                                                                                    【处暑后驱“秋乏”多睡1小时】8月23日就是“处暑”，意味暑气逐渐消退、天气逐渐转凉。其间天气由热转凉，早晚温凉，中午气温仍然很高，很多人感到懒洋洋的，就是常说的“秋乏”，要减缓“秋乏”，睡眠尤其要充足，最好比平时多增加1小时睡眠。还要加强锻炼，如早晚跑步、打拳、做操、爬山等. ​​​​                                                            ", 2012-8-22 14:04,8,2,赞,政府版微博,yykFuncrp
8,"
                                                                                                    北京无炭疽流行，市民一般接触不到患病的牲畜，市售牛羊肉经过严格检疫，正规途径购买的应可放心食用。在进行肉类加工时，应注意生熟分开，熟透后再食用。旅游或出差应注意在存在炭疽的地区不主动去接触可疑的病死动物或其残骸，不仅可以预防炭疽，也可以预防其他传染病。                                            ",否,"
                                                                                                    #炭疽可防可控可治#近日，辽宁省沈阳等地发生人感染皮肤炭疽传染病疫情，北京市疾控中心提示大家：卫生部门会及时通报炭疽疫情，公众不必恐慌；炭疽病例并不罕见，发病有明显的地区分布；牧区及特殊职业有传染，传播途径主要是皮肤接触；得了炭疽不可怕，治疗起来不困难。@首都健康 @新浪健康。 ​​​​                                                            ", 2012-8-20 14:18,6,1,赞,政府版微博,yy1TXDqRJ
9,"
                                                                                                    炭疽可防可控可治，大家不必因为其他地区出现炭疽病例而恐慌。如果怀疑自己可能感染炭疽，应及时到医院进行诊断和治疗，由于炭疽杆菌对多种抗生素敏感，早期治疗治愈率较高。首选青霉素类药物进行治疗，环丙沙星、链霉素、红霉素等常见抗生素均有效果。                                            ",否,"
                                                                                                    #炭疽可防可控可治#近日，辽宁省沈阳等地发生人感染皮肤炭疽传染病疫情，北京市疾控中心提示大家：卫生部门会及时通报炭疽疫情，公众不必恐慌；炭疽病例并不罕见，发病有明显的地区分布；牧区及特殊职业有传染，传播途径主要是皮肤接触；得了炭疽不可怕，治疗起来不困难。@首都健康 @新浪健康。 ​​​​                                                            ", 2012-8-20 14:17,6,评论,赞,政府版微博,yy1TywdRk
10,"
                                                                                                    肠炭疽：急性起病，发热，腹胀，剧烈疼痛，腹泻，通常为血样便或血水样便。可有恶心、呕吐，呕吐物中含血丝及胆汁。可累及消化道以外系统。                                            ",否,"
                                                                                                    #炭疽可防可控可治#近日，辽宁省沈阳等地发生人感染皮肤炭疽传染病疫情，北京市疾控中心提示大家：卫生部门会及时通报炭疽疫情，公众不必恐慌；炭疽病例并不罕见，发病有明显的地区分布；牧区及特殊职业有传染，传播途径主要是皮肤接触；得了炭疽不可怕，治疗起来不困难。@首都健康 @新浪健康。 ​​​​                                                            ", 2012-8-20 14:16,1,评论,赞,政府版微博,yy1T9p0Mv
