序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                     @海淀区中医医院健康教育 请加头像，加v必备条件，谢谢 ​​​​                                            ",是,无, 2012-8-31 17:32,转发,评论,赞,联想乐Phone,yzISl7trb
2,"
                                                                                                    支持                                            ",否,"
                                                                                                    【十招对付孩子挑食】1，让孩子体验饥饿，而后获得饱腹感;2，进餐时间要保证在25分钟以下;3，每一种新食物喂15次以上;4，喜欢的和不喜欢的食物掺着喂;5，常带孩子到超市采购食品;6，鼓励用食物玩游戏;7，避免分散注意力;8，不买你不希望孩子吃的食物;9，多做口腔训练;10，父母做孩子的榜样。 ​​​​                                                            ", 2012-8-31 12:52,2,评论,赞,微博 weibo.com,yzH2FlKgC
3,"
                                                                                                    健康生活方式八注意                                            ",否,"
                                                                                                    【健康生活小知识】1. 带饭不要带绿叶青菜；2. 少吃鸡头和鸭头；3. 用吸管喝饮料可防蛀牙；4. 腹部肥胖最危险；5. 枕头主要是枕颈部；6. 厕所马桶冲水时要盖上马桶盖；7.不要饮用隔夜水龙头中的水；8. 拿完照片记得要洗手；9. 男人最怕热，女人最怕冷。 ​​​​                                                            ", 2012-8-31 10:24,转发,评论,赞,微博 weibo.com,yzG4Io1V8
4,"
                                                                                                    支持                                            ",否,"
                                                                                                    【人生的8个关键词】1、忍耐：不是胆怯懦弱。2、放弃：除了生命，没有什么是不能割舍的。3、压力：想开了就是天堂。4、豁达：生命本身就是幸福。5、执着：在枯叶凋零的时候等待春天。6、放纵：驾驭自己是一生的功课。7、感恩：懂得回报是可贵的品格。8、释怀：将心事交给清风。 ​​​​                                                            ", 2012-8-31 10:00,转发,评论,赞,微博 weibo.com,yzFUOBfWy
5,"
                                                                                                    红眼病: 早期症状与急性卡他性结膜炎相似，但传染性强，传播快，如接触病人用过的东西，往往在12—24小时内发病。 ​​​​                                            ",是,无, 2012-8-31 09:27,转发,1,赞,微博 weibo.com,yzFHwbeG6
6,"
                                                                                                    细菌性痢疾: 这是由痢疾杆菌引起的急性肠道传染病，大多是进食不洁食品后感染痢疾杆菌所致。主要表现为发热、腹痛、腹泻，并伴恶心、呕吐、口干等表现。 ​​​​                                            ",是,无, 2012-8-31 09:26,转发,1,赞,微博 weibo.com,yzFHerjfd
7,"
                                                                                                    食物中毒: 灾区气候潮热，卫生状况差，细菌易繁殖，人群吃进了被细菌或细菌毒素污染的食物均可发病。潜伏期短，一般为数小时至2天，最短为1小时。主要表现为畏寒、发热、恶心、腹泻等，重者可引起脱水、血压下降甚至休克。 ​​​​                                            ",是,无, 2012-8-31 09:26,1,1,赞,微博 weibo.com,yzFGS19eU
8,"
                                                                                                    支持                                            ",否,"
                                                                                                    【如何让宝宝爱吃菜】1、孕期每天保证一斤蔬菜半斤果，多选择深颜色蔬菜。对宝宝将来可能不太喜欢的蔬菜（如胡萝卜、苦瓜等）也要经常食用。2、宝宝六个月以后用蔬菜熬粥做辅食。3、宝宝一岁后准备好可以生吃的蔬菜条让其磨牙用，能满足他们牙痒想咀嚼的感觉，还可让他爱吃蔬菜。O网页链接 ​​​​                                                            ", 2012-8-30 12:33,1,1,赞,微博 weibo.com,yzxulB1xe
9,"
                                                                                                    支持                                            ",否,"
                                                                                                    【豆芽并非越长越好】在大豆发芽过程中植酸酶活性不断升高，不断地水解植酸，致使植酸——这一妨碍钙、锌、铁吸收的主要抑制因子呈现下降趋势，比大豆或豆腐中植酸含量下降40%，进而大大地提高了发芽大豆中钙、锌、铁的生物利用率，而且以发3～4天（长约4～5厘米）的豆芽营养为最好。 ​​​​                                                            ", 2012-8-30 11:17,转发,评论,赞,微博 weibo.com,yzwZy8Nyj
10,"
                                                                                                    支持                                            ",否,"
                                                                                                    《关于健康心态》健康心态是一种高效而满意的、持续的心理状态。个体能够适应发展着的环境，具有完善的个性特征；且其认知，情绪反应，意志行为处于积极状态，并能保持正常的调控能力。生活实践中，能够正确认识自我，自觉控制自己，正确对待外界影响，使心理保持平衡协调。您做到了吗？ ​​​​                                                            ", 2012-8-30 11:06,转发,评论,赞,微博 weibo.com,yzwV6rRKJ
11,"
                                                                                                    甲肝、戊肝。 甲肝患者以儿童和青少年为主，病程一般为1至2月，极少转为慢性或重症肝炎。戊肝患者以青壮年和老人为多，其中孕妇和老年人发病病情严重且病死率高。 ​​​​                                            ",是,无, 2012-8-30 10:46,1,评论,赞,微博 weibo.com,yzwMTzS3K
12,"
                                                                                                    甲肝、戊肝 甲、戊型肝炎的流行，主要是由于水源被带有肝炎病毒的粪便污染造成。甲肝和戊肝病毒感染潜伏期约为半个月到一个月。发病特点相似，多数病人起病时类似感冒或胃病，有发热、怕冷、呕吐等现象。 ​​​​                                            ",是,无, 2012-8-30 10:44,转发,评论,赞,微博 weibo.com,yzwMdC98L
13,"
                                                                                                    什么血吸虫病? 本病曾在我国长江两岸及其以南地区十分猖獗，解放后虽然已基本控制，但近几年来，部分地区发病率有上升趋势。如果人们在洪水期间不注意保护，接触了含有尾蚴的疫水，可造成血吸虫病的急性感染。 ​​​​                                            ",是,无, 2012-8-28 15:07,转发,评论,赞,微博 weibo.com,yzfDLoEWC
14,"
                                                                                                    什么钩端螺旋体病? 钩端螺旋体病是一种水灾疾病，也是人畜共患的自然疫源性疾病。鼠类和猪是携带钩体的主要传染源。此病起病急骤，常有畏寒、发热、眼结膜充血和淋巴结肿大。治疗不及时，常因肾、肝衰竭而死亡。 ​​​​                                            ",是,无, 2012-8-28 15:05,转发,评论,赞,微博 weibo.com,yzfD8Ep4J
15,"
                                                                                                    支持                                            ",否,"
                                                                                                    【7招缓解烧心】烧心又称胃灼痛，表现为上腹部或下胸部烧灼样疼痛。1、禁食辛辣食物 2、尽量少喝咖啡、茶、酒、番茄汁和橙汁 3、有些锻炼不要做，如倒立、瑜伽、仰卧起坐可能增加胃酸反流风险 4、把床头加高 5、每餐少吃点，睡前3小时禁食 6、服用制酸剂 7、穿宽松衣物。O网页链接（康康） ​​​​                                                            ", 2012-8-28 15:02,转发,评论,2,微博 weibo.com,yzfC7s5ng
