序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    北京消防帮大家捅马蜂窝是不收费的！                                            ",否,微博已被原作者删除, 2012-8-31 16:03,-1,21,赞,微博 weibo.com,yzIiilwvB
2,"
                                                                                                    【新型骗局：假扮情侣式抢劫】                                            ",否,"
                                                                                                    #新型骗局：假扮情侣式抢劫！#深圳出现这样一种抢劫方式，不法分子一上来就抓住一过路女孩说不要分手，女孩反抗时，男子就大声说是其男友，路人见此情形大多都误以为是情侣吵架，便不闻不问了不法分子再乘机抢劫或拉上车抢劫，独自出行的姑娘警惕！L20120817深圳娱乐频道《城市发现》--地铁骗子 @温州微博力量 @中国警察网 ​​​​¡查看图片                                                            ", 2012-8-31 14:08,61,13,赞,微博 weibo.com,yzHxjnteh
3,"
                                                                                                     如果发生紧急情况您身边没有安全锤，经过我们的实验，可以选择随车携带的灭火器，用灭火器底部侧边砸车玻璃的边缘，也可以将玻璃砸碎进行逃生。                                            ",否,"
                                                                                                    近期旅游大巴车事故频发，延安特大事故导致36人死亡。事故中如何有效逃生？今天北京消防对大巴车内如何逃生进行了实验。如果发生紧急情况，前、后挡风玻璃非常坚固，大家就不要尝试敲碎挡风玻璃逃生了，边上的钢化玻璃四角和边缘是最薄弱的，可以用安全锤敲打，一旦出现裂痕再用力踹一下就可以了。 ​​​​                                                            ", 2012-8-31 11:02,23,8,赞,政府版微博,yzGkdk2lU
4,"
                                                                                                    近期旅游大巴车事故频发，延安特大事故导致36人死亡。事故中如何有效逃生？今天北京消防对大巴车内如何逃生进行了实验。如果发生紧急情况，前、后挡风玻璃非常坚固，大家就不要尝试敲碎挡风玻璃逃生了，边上的钢化玻璃四角和边缘是最薄弱的，可以用安全锤敲打，一旦出现裂痕再用力踹一下就可以了。 ​​​​                                            ",是,无, 2012-8-31 10:33,116,12,赞,微博 weibo.com,yzG895BDe
5,"
                                                                                                    昨天下午，暂住在乐清市虹桥镇的陕西8岁小男孩小刘，与伙伴玩耍攀爬翻越铁栏杆时，左手臂被铁栏杆顶端尖头刺穿。经消防人员与附近群众救援，小刘被送往医院治疗，目前病情稳定。家长要常教育孩子远离危险物！                                            ",否,"
                                                                                                    #铁栏杆刺穿8岁男孩左臂#昨天下午，暂住在乐清市虹桥镇的陕西8岁小男孩小刘，与伙伴玩耍攀爬翻越铁栏杆时，左手臂被铁栏杆顶端尖头刺穿。经消防人员与附近群众救援，小刘被送往医院治疗，目前病情稳定。家长要常教育孩子远离危险物！@温州微博力量 @育儿网官方微博 ​​​​                                                            ", 2012-8-31 09:59,10,5,赞,微博 weibo.com,yzFUlm4tr
6,"
                                                                                                    #安全提示#【电器设备较多的办公室防火事项】1、使用插座供电时切忌插用电器过多，以免造成插座、插头啮合不良发热失火。2、便携式电器一般体积较小，散热性差，易自燃，使用时应远离桌面、台布等可燃物体，并随时查看其工作温度。3、最好每个办公室设置一个双连开关，下班时随手切断室内电源。 ​​​​                                            ",是,无, 2012-8-31 09:50,29,7,赞,微博 weibo.com,yzFQB57eq
7,"
                                                                                                    【鬼节祭扫 勿忘防火】今天是农历七月十五是道教中元节，又称“七月节”或“盂兰盆会”，为三大鬼节之一。鬼节也是祭祀扫墓活动日。为此，北京消防提示广大市民：在鬼节期间文明祭祀，防止因祭祀烧纸、焚香和燃放鞭炮引发森林火灾。务必做到人走火灭，绝不留火灾隐患，避免疏忽大意，因小失大。 ​​​​                                            ",是,无, 2012-8-31 09:20,104,19,赞,微博 weibo.com,yzFEEzcAx
8,"
                                                                                                    #每日火情# ​​​​                                            ",是,无, 2012-8-31 09:00,4,1,赞,微博 weibo.com,yzFwviZ5F
9,"
                                                                                                    今天早上，延庆县张山营镇粮库门口一辆由西向东行驶蓝色小货车与一辆同向行驶的红色大货车相撞，事故导致小货车车头变形，司机被卡在车内。南菜园消防中队迅速前往现场救援,消防员利用液压剪进行扩张,经过19分钟的紧张救援,司机成功被救出.再次提示司机朋友们注意行车安全! ​​​​                                            ",是,无, 2012-8-30 15:45,20,14,赞,微博 weibo.com,yzyKozEnz
10,"
                                                                                                    快拨打119报警！大货车一定要定期做好维修保养工作啊！                                            ",否,"
                                                                                                    消防队还没来…@武汉同城会 @平安武汉 @武汉路边社 我在:2S5武英高速 ​​​​                                                            ", 2012-8-30 15:32,12,7,赞,微博 weibo.com,yzyFg3MsH
11,"
                                                                                                    【校长学消防】29日，北京市石景山区的百余名中小学、幼儿园校长进行消防理论和扑救油锅火、水带连接出水打靶、利用床单打逃生结、穿戴防毒面具等消防实际操作培训。 ​​​​                                            ",是,无, 2012-8-30 14:25,17,9,赞,微博 weibo.com,yzydZxIad
12,"
                                                                                                    11大区域开通公益性WiFi，这样就方便多啦！                                            ",否,"
                                                                                                    【11大区域开通公益性WiFi】王府井、西单、奥运公园、朝阳公园、蓝色港湾、三里屯、中关村步行街、金融街、北京站、北京南站和北京西站的部分区域已开通“My Beijing”免费无线网络。点击进入在“用户登录”区输入手机号，点击“短信获取密码”，密码就会通过短信发至手机，填写密码进行登录即可上网。 ​​​​                                                            ", 2012-8-30 14:03,22,4,4,微博 weibo.com,yzy58eyHo
13,"
                                                                                                    开飞车，兰博基尼碰撞高速栏杆后起火，由于撞击猛烈，豪华跑车很快就被大火吞没，由于事发突然，该辆价值400万人民币的豪车还是被完全烧毁。                                            ",否,"
                                                                                                    【开飞车 兰博基尼碰撞高速栏杆后起火】昨天晚上7时许，位于沈海高速大丰往盐城方向1019段，一辆疾驰的兰博基尼豪华跑车在撞击到高速护栏后瞬间着火，司机被甩出车外。由于撞击猛烈，豪华跑车很快就被大火吞没，由于事发突然，该辆价值400万人民币的豪车还是被完全烧毁。 ​​​​                                                            ", 2012-8-30 11:31,24,9,赞,微博 weibo.com,yzx5syiLB
14,"
                                                                                                    昨天早上，南四环大红门东桥上一辆水泥罐车和一辆集装箱货车发生追尾，事故造成南四环暴堵7小时。6时40分，大红门消防中队参与破拆救援行动。8时30许，救援人员终于成功用吊车将两车分开，交通封锁解除。特别提示货车司机朋友们，不要疲劳驾驶，一定要注意交通安全！ ​​​​                                            ",是,无, 2012-8-30 10:30,22,12,赞,微博 weibo.com,yzwGBgNLf
15,"
                                                                                                    [lt泪目]28日晚上，一名女子疑因失恋一时想不开，想跳下玉蜓公园西侧的护城河。119指挥中心接到报警后立即调派7名消防员迅速赶到现场。当消防员想靠近女子时，她突然跳下护城河，2名消防员立即跳入河中将女子成功救出。唉，没有过不去的砍儿，希望大家珍惜自己的生命啊！[xb风车] ​​​​                                            ",是,无, 2012-8-30 09:47,13,14,赞,微博 weibo.com,yzwpbeBTz
16,"
                                                                                                    #警情播报# 【北京消防3分钟成功营救跳河轻生女子】28日晚上20时50分，一女子怀疑因失恋一时想不开，跳下护城河，东城消防支队龙潭湖中队迅速跳下护城河内3分钟将女子成功救出。 ​​​​                                            ",是,无, 2012-8-30 09:36,15,6,赞,微博 weibo.com,yzwkJfaU5
17,"
                                                                                                    #每日火情# ​​​​                                            ",是,无, 2012-8-30 09:12,6,1,赞,微博 weibo.com,yzwaFtZ7s
18,"
                                                                                                    近日张女士带着7岁的儿子到小区里的健身器材区做健身运动，不料儿子踩在漫步机上玩耍时因荡得太高导致重心不稳摔了下来，来回晃荡的漫步机脚踏砸在孩子脸上，致使孩子脸部被缝3针。这里提示家长朋友，儿童使用户外健身器材时必须有成人看护，并给予适当指导，动作幅度不宜过大，以免造成意外。 ​​​​                                            ",是,无, 2012-8-29 16:37,73,15,赞,微博 weibo.com,yzpEY7zY5
19,"
                                                                                                    【“消防金刚”们的“塞伯坦” 美国皮尔斯消防车工厂】                                            ",否,"
                                                                                                    【顶级装备！深入剖析美国皮尔斯消防车】深入剖析美国生产的皮尔斯消防车，这绝对是消防顶级装备。好几世代以来，皮尔斯工厂一直是业界标杆，目前每年生产1800辆，他们创造出终极消防车供水垂直高度达300米以上，可用于百层高楼灭火救援。O网页链接 ​​​​                                                            ", 2012-8-29 14:09,23,4,赞,微博 weibo.com,yzoGSfFAJ
20,"
                                                                                                    [lb咦]近日位于朝阳区望京西园三区一住户家中出现小青蛇，消防员接到报警后赶到现场，经过“地毯式”搜索后，消防员在花盆土壤中发现了8颗空蛇卵消防员找到了四条蛇后，确定家中没有其他小青蛇后返回。这里提示大家如果家中绿植里出现了小青蛇，可购买一些药剂置于蛇曾出没的地方，或打119救助。 ​​​​                                            ",是,无, 2012-8-29 14:04,425,80,赞,微博 weibo.com,yzoEJhf3c
21,"
                                                                                                    #安全提示#逃生时，以湿毛巾掩口鼻呼吸，降低姿势，以减少吸入浓烟。 ​​​​                                            ",是,无, 2012-8-29 13:54,36,7,赞,微博 weibo.com,yzoAHAM9b
22,"
                                                                                                    #警情快报#8月29日5时11分，龙泉镇龙泉务村北口前红绿灯处发生交通事故，一辆面包车与一辆欧曼中型货车发生追尾事故，面包车司机被困车内。北京消防立即出动一辆五十铃抢险救援车、一辆五十铃水罐车和一辆美国大力泡沫车及23名消防官兵，迅速赶赴现场实施救援。 ​​​​                                            ",是,无, 2012-8-29 09:58,12,5,赞,微博 weibo.com,yzn2VmQaL
23,"
                                                                                                    #每日火情# ​​​​                                            ",是,无, 2012-8-29 09:12,7,1,赞,微博 weibo.com,yzmKlggQN
24,"
                                                                                                    大家多多支持我们的消防战士哦！今晚8点，央视3套《星光大道》//@赴汤蹈火119: 求转！这是全国消防部队的普通战士上央视星光大道的第一人。希望大家支持他！                                            ",否,"
                                                                                                    大家好！我是冈华！一名普通的消防战士！敬请大家在8月29日星期三晚8点，中央电视台三套《星光大道》5号选手:冈华！谢谢大家关注！谢谢啦！ O网页链接 (chang.weibo.com) ​​​​                                                            ", 2012-8-29 09:10,11,9,1,微博 weibo.com,yzmJAA7Ub
25,"
                                                                                                    近期追尾事故较多，司机朋友们一定要注意行车安全！                                            ",否,"
                                                                                                    【三车连环追尾一人被困 远安消防驱车60公里紧急施救】8月27日8时01分，远安县荷花镇盘古验超站1公里处，一辆客车与两辆货车发生连环追尾，客车司机被困。远安消防接到报警后立即赶往现场紧急施救。10时10分，吊车到达现场，官兵配合吊车实施破拆，经过半个多小时，转移了事故车辆，及时恢复了交通。 ​​​​                                                            ", 2012-8-28 15:18,6,4,赞,微博 weibo.com,yzfIka3Di
