序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    妈妈爸爸们要关注啦                                            ",否,"
                                                                                                    #关爱婴幼儿健康#婴幼儿纸尿裤、尿片、卫生湿巾等婴幼儿卫生用品是目前多数家长为宝宝购买的必备日常用品。如若选购、使用不当，非但不能呵护宝宝，反而可能对宝宝造成伤害。8月30日上午10点至11点，北京公共卫生消毒产品专家李健 做客微访谈，和大家聊聊如何正确选购、使用婴幼儿卫生用品，欢迎提问！ ​​​​                                                            ", 2012-8-29 15:35,转发,评论,赞,政府版微博,yzpfErWvk
2,"
                                                                                                    【短信平台助推卫生监督工作】2012年年初燕山文卫分局卫生监督所正式开通了短信服务平台，通过平台及时有效地向广大经营户发送宣传、提醒、通知等短信。截至目前，已向各类餐饮、公共场所和医疗机构等单位发送短信200余次1.5万余条。详情：O网页链接 ​​​​                                            ",是,无, 2012-8-29 15:30,转发,评论,赞,微博 weibo.com,yzpdZCO5w
3,"
                                                                                                    2家游泳场馆重新开放前，卫生监督员对水质进行了现场快速检测，各项指标均符合有关卫生要求。如今后发现水质有问题，可拨打燕山卫生监督所24小时投诉电话：80345015//@fofo56: 刚准备去@田晓苏 //@燕山区生活:求解～                                            ",否,微博已被原作者删除, 2012-8-6 10:59,-1,1,赞,微博 weibo.com,yvSCkvTR0
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    关注#写字楼空调#安全，集中空调百日专项整治正在进行中！今天（7月30日）上午10点，@bjwsjd 做客微访谈，和大家聊聊写字楼空调，集中空调通风系统的安全使用，军团菌对人体有什么危害？欢迎大家提问！地址：O网页链接  ​​​​                                                            ", 2012-7-30 10:06,转发,评论,赞,微博 weibo.com,yuOhpsVCj
5,"
                                                                                                    危难之中伸援手 暴雨无情人有情                                            ",否,"
                                                                                                    暴雨无情人有情。当所有漏水隐患都及时排除，所有重要文件、物资都妥善保管后，已是深夜了。“这路上水流太急，天也已经这么晚了，这样出去实在太危险，不如等明天雨小点再去看看吧。”@北京燕山卫生监督 任所长却只是很简单说了一句：“能帮一把是一把，这大半夜的谁都不容易” O网页链接 ​​​​                                                            ", 2012-7-27 10:59,1,评论,赞,微博 weibo.com,yumldsLmm
6,"
                                                                                                    //@北京房山卫生监督:转发微博                                            ",否,"
                                                                                                    #卫生信息# 水灾后个人健康指南：洪涝灾害给我们的工作、学习、生活带来一定的困难和影响，但是，我们要以积极的态度面对困难，用科学技术指导自己战胜灾害，讲科学、不迷信，一定会重建家园。 ​​​​                                                            ", 2012-7-27 08:16,1,评论,赞,政府版微博,yulh9Dm8G
7,"
                                                                                                    在一上午的实地检查中，赵所长指出：“7•21”特大自然灾害历史罕见，燕山地区受灾严重，灾后卫生防病工作尤其重要，燕山监督所在灾情面前应变及时、措施有力，为燕山地区灾后保持社会稳定发挥了重要作用。最后，赵所长要求继续努力做好灾后突发公共卫生事件的防控工作，为全市灾后重建工作贡献力量。 ​​​​                                            ",是,无, 2012-7-26 15:39,转发,评论,1,微博 weibo.com,yueKG9s6C
8,"
                                                                                                    7月25日，北京市卫生监督所副所长赵新生亲自带队到燕山检查灾后应急卫生监督保障工作并慰问了战斗在灾后保障一线的卫生监督员。赵所长对于暴雨后防控生活饮用水污染情况，以及预防食品安全事故的工作措施进行了重点检查，还对传染病的防控工作，消毒器械、药物储备情况等作了一一询问。 ​​​​                                            ",是,无, 2012-7-26 15:34,1,评论,1,微博 weibo.com,yueIzeF4P
9,"
                                                                                                    //@北京市疾病预防控制中心:地面、墙壁、门窗、桌面等物体表面的消毒方法：受污水污染的环境及物品可用有效氯为500毫克/升～700毫克/升的含氯消毒剂溶液或0.2%-0.5% 过氧乙酸溶液喷洒消毒，作用30分钟，喷洒剂量100毫升/平方米-300毫升/平方米，以喷湿为度。不耐腐蚀的表面消毒后用清水擦拭。                                            ",否,"
                                                                                                    今天，我们一起来学习#水灾后消毒原则、方法和注意事项#灾后最重要的就是消毒防疫和饮水安全。北京市疾病预防控制中心提醒大家，特大自然灾害后特别要注重消毒及杀虫、灭鼠，注意环境卫生的清理，以免引起污染和传染病的发生。@首都健康 @北京发布 @微博小秘书 @政府微博助理 @新浪健康 ​​​​                                                            ", 2012-7-26 14:14,转发,评论,赞,政府版微博,yuec9A0Df
10,"
                                                                                                    //@北京市疾病预防控制中心:餐（饮）具的消毒方法：首选煮沸消毒10分钟～15分钟，或流通蒸汽消毒10 分钟。也可用有效氯为250毫克/升～500 毫克/升含氯消毒剂溶液浸泡5分钟或0.2%-0.5%过氧乙酸溶液浸泡30分钟后，再用清水洗净。                                            ",否,"
                                                                                                    今天，我们一起来学习#水灾后消毒原则、方法和注意事项#灾后最重要的就是消毒防疫和饮水安全。北京市疾病预防控制中心提醒大家，特大自然灾害后特别要注重消毒及杀虫、灭鼠，注意环境卫生的清理，以免引起污染和传染病的发生。@首都健康 @北京发布 @微博小秘书 @政府微博助理 @新浪健康 ​​​​                                                            ", 2012-7-26 14:14,转发,评论,赞,政府版微博,yuec2utgJ
11,"
                                                                                                    【监督员现场快检水质 保障游泳场馆卫生安全】受暴雨影响，燕化游泳馆和东风游泳场关闭，经过两天的紧急抢修处理，燕化游泳馆已于7月25日上午恢复开放。保证开放初期，游泳馆各方面达到卫生要求，开放前燕山卫生监督所监督员，来到向阳游泳馆游泳池水质进行了现场快速检测。详情：O网页链接 ​​​​                                            ",是,无, 2012-7-26 11:29,转发,评论,赞,微博 weibo.com,yud78ofyI
