序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #出行提示#9：55，市气象台发布暴雨蓝色预警，受较强降雨云团影响，预计未来3小时本市城区的南部将出现小时雨量达到20毫米的短时强降水，请您注意出行安全。 ​​​​                                                            ", 2012-8-27 10:31,转发,评论,赞,微博 weibo.com,yz4po7Ger
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #微关注#小编这的雨已经从小雨转成中、大雨了，豆大的雨点滴在地上噼里啪啦的，天还雾蒙蒙的，您那里不知怎样呢？雨天出行，咱们要格外注意安全。[同意]小编帮您整理了点雨天行车小提醒，希望能对您的出行有所帮助。 ​​​​                                                            ", 2012-8-27 10:07,转发,评论,赞,微博 weibo.com,yz4fH6wEB
3,"
                                                                                                    2012年魅力社区系列活动综合表演请支持218号歌伴舞《祖国万岁》—房山区拱辰街道北关东路社区 O网页链接 ​​​​                                            ",是,无, 2012-8-24 16:57,2,评论,赞,微博 weibo.com,yyEEPwQtJ
4,"
                                                                                                    发表了博文 《区委老干部局领导到北关东路社区慰问离休老干部》 - 北关东路社区现有离休老干部14名，其中10名老干部常年卧病在床，行动不方便。近日，房山区委老干部局领导在详细了解老干部身体和生活需求的 O网页链接 ​​​​                                            ",是,无, 2012-8-24 10:46,1,评论,赞,新浪博客,yyCe4f5qb
5,"
                                                                                                    北关东路社区现有离休老干部14名，其中10名老干部常年卧病在床，行动不方便。近日，房山区委老干部局领导在详细了解老干部身体和生活需求的基础上，购买了轮椅、浴凳等用品送到老干部家中，为老干部的晚年生活提供有力保障，让他们感受到党和政府对他们的关怀，赢得了老干部的好评。 ​​​​                                            ",是,无, 2012-8-23 17:59,1,评论,赞,微博 weibo.com,yyvDadrgC
6,"
                                                                                                    发表了博文 《房山区新一届大学生社工到北关东路社区参观》 - 8月21日下午，房山区新一届大学生社区工作者一行40人来到北关东路社区参观，与我社区工作者一同学习、交流，共同探讨如何做好新时期社区工作。 O网页链接 ​​​​                                            ",是,无, 2012-8-23 09:36,2,评论,赞,新浪博客,yysl17fUo
7,"
                                                                                                    7.21特大暴雨致使房山区许多农村房屋被冲毁，这些牵动着社区广大青少年的心。近日，北关东路社区团支部组织了以“少花一点零花钱 我为灾区做贡献”为主题的捐款活动，受到社区广大青少年的积极响应。他们把自己平时积攒下来的零花钱捐出来，为房山区受灾地区重建奉献出自己的爱心、贡献出自己的力量。 ​​​​                                            ",是,无, 2012-8-20 16:37,2,评论,赞,微博 weibo.com,yy2Onl0nn
8,"
                                                                                                    发表了博文 《少花一点零花钱  我为灾区做贡献》 - 7.21特大暴雨致使房山区许多农村房屋被冲毁，这些牵动着社区广大青少年的心。近日，北关东路社区团支部组织了以“少花一点零花钱 我为灾区做贡献”为主 O网页链接 ​​​​                                            ",是,无, 2012-8-20 16:29,转发,评论,赞,新浪博客,yy2LnsCZp
9,"
                                                                                                    发表了博文 《燕山民政分局领导到我社区调研》 - 8月16日上午，房山区老龄委副主任张芳陪同燕山民政分局副局长刘元源和燕山各街道民政工作负责人20余人，就社区办公用房及规范化建设工作到我社区调研。 调 O网页链接 ​​​​                                            ",是,无, 2012-8-20 11:02,1,评论,赞,新浪博客,yy0CmAE8F
10,"
                                                                                                    组织社区青少年利用暑期时间到社区图书阅览室读书，丰富课外知识。 ​​​​                                            ",是,无, 2012-8-20 10:08,2,1,赞,微博 weibo.com,yy0gKelfy
