序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    发表了博文 《海淀区流动人口避孕节育检查定点医疗机构介绍》 - 海淀区计划生育生殖健康技术服务中心  地址：北京市海淀区大钟寺14号   服务热线：52395827   乘车路线：地铁13号线、300 O网页链接 ​​​​                                            ",是,无, 2012-8-31 17:33,转发,评论,赞,新浪博客,yzISJDQLw
2,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【北京公布19家婚检机构名单】昨天，北京市卫生局公布19家可以进行婚检的医疗机构名单，鼓励二级及以上医疗机构开展此项服务。从朝阳区妇幼保健院获悉，免费婚检时间为每周二至周六上午八点至十点半。夫妻双方中有一方是朝阳区户口，即可持两人身份证免费婚检。以下是19家婚检医疗机构名单~ ​​​​                                                            ", 2012-8-30 11:23,1,评论,赞,微博 weibo.com,yzx27msgU
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    #食品退市信息#（2012年8月29日）在近期的食品安全监管中，抽检出下列不合格食品，现将不合格食品名单予以公示，并决定对这些不合格食品在流通领域采取停止销售措施。其中市工商局在抽检中发现不合格食品11个(见图)。凡已购买上述不合格食品的消费者可凭购物小票和食品外包装向销售单位要求退货。 ​​​​                                                            ", 2012-8-30 09:14,转发,评论,赞,微博 weibo.com,yzwbHy59W
4,"
                                                                                                    塔楼小广场活动提示——居民朋友们：接到塔楼居民反映，晚上十点后在广场玩耍的孩子活动时声音较大，影响了周围居民的正常休息，请家长朋友们安排好孩子的作息时间，共同营造和谐的社区氛围。 ​​​​                                            ",是,无, 2012-8-24 16:24,转发,1,赞,微博 weibo.com,yyErp8OSd
5,"
                                                                                                    //@海淀区政府网站: 【二代身份证不会被消磁】二代身份证使用的芯片类似于U盘,是不会发生所谓的""消磁""的情况。如果您的二代身份证信息无法读取,应该是芯片四周的线圈出现了损坏或者是对方身份证识别仪出现了故障,建议到派出所进行检测,如确实是损坏了,需要重新办理。大家平时放置身份证时注意别折了                                            ",否,"
                                                                                                    #求证# 有报道称【身份证不能长期与手机放在一起】有市民反映他的第二代身份证在办理业务时读不了信息，结果发现原来是他常把证件与手机放一起所致。二代身份证采用内置IC芯片技术，不能长期与手机、电视机等有磁性物体放一起，否则会使芯片出现故障，从而影响设备读取数据导致不能使用。@平安北京 ​​​​                                                            ", 2012-8-24 16:14,1,评论,2,微博 weibo.com,yyEnkbPAX
6,"
                                                                                                    //@学院路建清园社区: //@学院路768厂社区: 留心//@学院路北科大社区:                                             ",否,"
                                                                                                    【特别提醒】最近发现经常有居民咨询，有关接到一通关于“自称是自来水公司，免费为老年人提供自来水过滤器”的电话，我们特在此声明并提醒大家，社区没有接到相关通知，对类似电话内容不要轻信，以防上当受骗！！ ​​​​                                                            ", 2012-8-23 16:01,转发,评论,赞,微博 weibo.com,yyuRs2Z6O
7,"
                                                                                                    北京市老年优待政策之二：办理65周岁以上老年优待卡。办理人员条件：年满65周岁以上且具有北京市户籍；提交材料：近期免冠白底1寸彩照1张、身份证原件及复印件1张（正反面印一张纸上）；办理时间：提前两个月办理（如2012年10月满65周岁，可于2012年8月20日前来居委会办理）；办理地点：社区居委会。 ​​​​                                            ",是,无, 2012-8-21 15:42,1,3,赞,微博 weibo.com,yybSOE6T4
8,"
                                                                                                    北京市老年优待政策之一：办理60-64周岁老年证。 办理人员条件：年满60-64周岁且具有北京市户籍；提交材料：近期免冠1寸彩照1张、身份证原件及复印件1张（正反面印一张纸上）；办理时间：年满60周岁的当月20号前；办理地点：社区居委会。 ​​​​                                            ",是,无, 2012-8-21 15:21,3,1,1,微博 weibo.com,yybKijswj
9,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【秋天5大水果冠军挑着吃】1、柚子：碳水化合物最低，糖尿病患者与减肥者佳选，每天食用量别超200克，一天一大瓣即可；2、柑橘：维生素B1冠军，止咳化痰，吃多易上火；3、鲜枣：软化血管，抗癌降压，一天吃8~10个即可；4、石榴：含膳食纤维最高，防便秘治腹泻；5、板栗：富含矿物质。 ​​​​                                                            ", 2012-8-21 09:28,转发,评论,赞,微博 weibo.com,yy9r4clvC
10,"
                                                                                                    //@平安北京: 遇到马蜂袭击，千万不能跑，立即蹲下，用衣服包住头部，不要进行反击。万一被蛰伤，建议立即去医院检查，别抓伤口，以免溃烂。                                            ",否,"
                                                                                                    昨天，西二旗消防中队接到报警称：海淀区铭科苑一住户阳台窗户左上角有一大概约15厘米左右马蜂窝，严重影响了居民生活。消防员接到报警后迅速赶到现场将马蜂窝“一锅端”。这个提示大家如遇马蜂来袭，要用衣物保护好自己的头颈，并原地趴下，不能进行反击，否则只会招致更多马峰攻击。 ​​​​                                                            ", 2012-8-20 14:24,转发,评论,赞,微博 weibo.com,yy1WG3DYQ
