序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    独自在家的孩子一定要提高防范意识！即将到来的新学期祝大家学业顺利！//@杭锦后旗公安局: 转发微博                                            ",否,"
                                                                                                    #关注开学安全#随着各中小学校开学日子的临近，一些不法分子瞄准假期家长不在家，孩子自身防范意识不高，冒充学校新老师进行“家访”，趁孩子不注意，盗窃家中现金、手机等贵重财物，给部分家庭造成了一定的经济损失。在此，警方提醒各位家长一定要注意防范。#“新老师”家访？这可能是骗局# ​​​​                                                            ", 2012-8-31 17:06,转发,评论,赞,微博 weibo.com,yzIHScTbH
2,"
                                                                                                    好消息：学院路街道妇联与中国医师协会、北京大学第三医院携手，自2012年9月起，联合开展“和谐家庭 健康先行”活动，率先启动的是[前列腺增生症]和[骨质疏松症]健康宣教和免费筛查，辖区内60岁以上居民均可参加。我社区的具体筛查和宣教时间届时将在宣传栏内张贴通知，请社区居民随时关注！ ​​​​                                            ",是,无, 2012-8-31 14:18,转发,评论,赞,微博 weibo.com,yzHBBip64
3,"
                                                                                                    前天，社区1号楼居民何女士在六号楼南面停车场内捡到钱包一个，及时送到居委会。钱包内有身份证、银行卡，现金，收据等物品。居委会通过多方寻找，终于找到了失主。失主对何女士拾金不昧的精神及居委会的热心帮助表示十分感谢。 ​​​​                                            ",是,无, 2012-8-31 10:40,转发,1,赞,微博 weibo.com,yzGb0751w
4,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【时光如贼 8月再见】#北京你好#今日限行6和1，最高气温31℃，白天雾转阴有雷阵雨[xb雨]。昨晚气象局发布了大雾黄色预警，目前还没有解除，能见度差，上班的同学多多留意。8月的最后一天了，这一年转眼三分之二没有了，好像还什么都没做，是谁将日子从手中偷走了？今天的原创图片——润。 ​​​​                                                            ", 2012-8-31 09:11,转发,评论,赞,微博 weibo.com,yzFB69Ql7
5,"
                                                                                                    现手工编织、书画、养花、健康养生和电脑等兴趣小组将长期招募成员，请有兴趣的居民朋友积极报名登记。地点：4-101，时间：周一至周五8:30-11:30，14:00-17:00 ，咨询电话：82397735 ​​​​                                            ",是,无, 2012-8-30 14:00,转发,评论,赞,微博 weibo.com,yzy3AsAOz
6,"
                                                                                                    社区老年活动室4号楼地下一层108室9月3日正式开放，欢迎老年朋友前来参加丰富的活动！ ​​​​                                            ",是,无, 2012-8-30 11:31,转发,评论,赞,微博 weibo.com,yzx564PBc
7,"
                                                                                                    居委会近期编出了健翔园社区的邻里之歌 欢迎大伙口口相传 ​​​​                                            ",是,无, 2012-8-30 10:55,1,1,赞,微博 weibo.com,yzwQx2s45
8,"
                                                                                                    周日的亲子活动在广大家长和孩子的参与下，举办的非常成功。同时因为室外活动声音太大可能给您带来的烦恼，在此表示深深的歉意，今后我们工作中一定会注意细节，尽量做到不扰民，再次表示歉意！ ​​​​                                            ",是,无, 2012-8-28 11:22,转发,评论,赞,微博 weibo.com,yzeasiTG1
9,"
                                                                                                    暑期快要结束了，还未参加社会实践的学生请赶快到居委会来登记了 ​​​​                                            ",是,无, 2012-8-28 11:12,转发,评论,赞,微博 weibo.com,yze6Dlrz3
10,"
                                                                                                    8月26日（本周日）16:00—18:30由健翔园社区携手小野人亲子网在社区中心广场举办“童心无界，舒适无限”八大智能进社区亲子活动。如您家孩子有才艺（限十个名额）、想秀一秀幸福的家庭、参与亲子游戏或益智问答，欢迎0-12岁儿童踊跃参加。报名热线：52073922 ​​​​                                            ",是,无, 2012-8-24 09:15,转发,评论,赞,微博 weibo.com,yyBD9D4M1
11,"
                                                                                                    回复@木头游龙:楼道是消防通道，生命安全第一，一旦发生火灾，楼道是逃生通道，不要因图方便，成为了逃生的阻碍。您要是觉得不方便可以将其停放在自己家中，但从消防安全的角度也不建议您将其停放在家中。                                            ",否,"
                                                                                                    楼道统一清理即将开始，请还未还得及自行清理的住户抓紧时间清理，为了整洁更为了安全，请您对我们的工作给予支持与配合，非常感谢！ ​​​​                                                            ", 2012-8-24 08:59,转发,评论,赞,微博 weibo.com,yyBwNazlc
12,"
                                                                                                    请您9月1日前自行清理楼道内堆放的杂物，9月1日以后将由物业公司统一进行清理。                                            ",否,"
                                                                                                    楼道统一清理即将开始，请还未还得及自行清理的住户抓紧时间清理，为了整洁更为了安全，请您对我们的工作给予支持与配合，非常感谢！ ​​​​                                                            ", 2012-8-24 08:54,转发,评论,赞,微博 weibo.com,yyBusEi0B
13,"
                                                                                                    3号楼308室居民闫先生6月底在社区中心广场拾到两部总价万余元的手机。经过多方查找，闫先生将两部手机物归原主，失主感激不尽。这种拾金不昧的精神值得我们学习和赞扬！ ​​​​                                            ",是,无, 2012-8-24 08:51,转发,评论,赞,微博 weibo.com,yyBtwsW3n
