序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    //@北京市民政局: 感兴趣的童鞋看一下吧                                            ",否,"
                                                                                                    #周末去哪玩儿#长城之声森林音乐节，时间：2012年8月25、26日；9月1、2日；票价：380元；演出剧目：9月1日“北京森林音乐会”；9月2日“敦善音乐会”、“音乐生活”系列活动；地点：北京延庆长城之声音乐园区中心演出区（户外）。提示：周末阴有阵雨，早晚温差大，建议携带长衣长裤和帐篷、雨伞。 ​​​​                                                            ", 2012-8-31 16:40,转发,评论,赞,微博 weibo.com,yzIxeEZbj
2,"
                                                                                                    学起来                                            ",否,"
                                                                                                    【如何辨别“催熟水果”】这个不需要多说了，果断学习吧！ ​​​​                                                            ", 2012-8-31 10:17,转发,评论,赞,微博 weibo.com,yzG1IaRFL
3,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【时光如贼 8月再见】#北京你好#今日限行6和1，最高气温31℃，白天雾转阴有雷阵雨[xb雨]。昨晚气象局发布了大雾黄色预警，目前还没有解除，能见度差，上班的同学多多留意。8月的最后一天了，这一年转眼三分之二没有了，好像还什么都没做，是谁将日子从手中偷走了？今天的原创图片——润。 ​​​​                                                            ", 2012-8-31 08:56,转发,评论,赞,微博 weibo.com,yzFuSwTkN
4,"
                                                                                                    [推荐]//@健康顾问微博: 表示自己是人才的童鞋请举手！（                                            ",否,"
                                                                                                    【迟到、懒惰、情绪化的人是人才！】英国《新科学家》周刊根据多个研究，发现原来经常迟到、懒惰、情绪化的员工，才是不可多得的人才。经常迟到人愈夜便会愈做得起劲；而情绪化的员工往往特别有创意，经常想出新主意。这个研究成果给力啊，表示自己是人才的童鞋请举手！（转）   ​​​​                                                            ", 2012-8-31 08:52,转发,评论,赞,微博 weibo.com,yzFtjiCNv
5,"
                                                                                                    早上好！                                            ",否,"
                                                                                                    #早安诗选#江南可采莲，莲叶何田田。鱼戏莲叶间：鱼戏莲叶东，鱼戏莲叶西， 鱼戏莲叶南，鱼戏莲叶北。——《汉乐府·相和歌辞·江南可采莲》 ​​​​                                                            ", 2012-8-31 08:48,转发,评论,3,微博 weibo.com,yzFruqKqi
6,"
                                                                                                    保护颈椎//@健康顾问微博: 转发微博                                            ",否,"
                                                                                                    【颈椎的治疗方法】只需三分钟你的颈椎病去无踪。   ​​​​                                                            ", 2012-8-31 08:47,转发,评论,1,微博 weibo.com,yzFr6uzTh
7,"
                                                                                                    //@北京市民政局: 为他们鼓掌~请珍惜我们的今天和现有的一切~那将可能是别人不可及的美好~                                            ",否,"
                                                                                                    【残奥会开幕式10个精彩瞬间】北京时间今晨3时30分，名为“启蒙”的第14届残奥会正式开幕。在物理学家霍金的启蒙下，莎士比亚名著《暴风雨》女主人公米兰达与6万多现场观众展开了一场科学探索之旅。整个开幕式共分11幕，历时近4小时。你看开幕式了吗？一起回味下这些精彩瞬间吧，共同为运动员们加油！ ​​​​                                                            ", 2012-8-30 14:12,转发,评论,赞,微博 weibo.com,yzy8DmSqL
8,"
                                                                                                    //@新浪文化: 林则徐的名言：苟利国家生死以, 岂因祸福避趋之。                                            ",否,"
                                                                                                    1785年的今天，林则徐诞辰，他50岁时曾写“十无益”，作为自己的修行标准和教子原则：1存心不善，风水无益2父母不孝，奉神无益3兄弟不和，交友无益4行止不端，读书无益 5作事乖张，聪明无益 6心高气傲，博学无益7时运不济，妄求无益8妄取人财，布施无益 9不惜元气，医药无益10淫恶肆欲，阴骘无益 。 ​​​​                                                            ", 2012-8-30 09:04,转发,评论,2,微博 weibo.com,yzw7LboC9
9,"
                                                                                                    但愿早日普遍起来//@北京市民政局: 东城公租自行车将增40站点                                            ",否,"
                                                                                                    【东城公租自行车将增40站点】#聚焦北京#东城第二批网点已经建完40个。目前，这些网点正在进行系统调试，在调试完成后将尽快投入使用。网点建好后将开一批，不会等到十一前统一启用。这批40个网点与第一批33个网点多在东城区南片不同，这批网点更多分布在东城区的北片。 ​​​​                                                            ", 2012-8-29 10:50,转发,评论,赞,微博 weibo.com,yznodjXha
10,"
                                                                                                    走起~//@海淀区政府网站: 今儿这阳光~可爱的千屈菜可以闪耀了~[xb小花]                                            ",否,"
                                                                                                    [lxhx跳跃]美景共享：还是昨天照的，普罗旺斯有迷人的薰衣草，我们有小丛的可爱千屈菜。技术有限，只能凭喜好搭配景色了。 ​​​​                                                            ", 2012-8-29 09:50,转发,评论,赞,微博 weibo.com,yzmZWlQ3i
