序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    社区装修垃圾大清理啦 ​​​​                                            ",是,无, 2012-8-31 09:45,转发,评论,赞,微博 weibo.com,yzFOIFnX3
2,"
                                                                                                    由于安装健身器材 施工水泥未干 9月3日后才能正常使用 望居民配合！ ​​​​                                            ",是,无, 2012-8-29 16:33,转发,评论,赞,微博 weibo.com,yzpDi4gNw
3,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-29 09:28,-1,评论,赞,微博 weibo.com,yzmQI0MWC
4,"
                                                                                                    转发微博                                            ",否,微博已被原作者删除, 2012-8-29 09:27,-1,评论,赞,微博 weibo.com,yzmQCnKbp
5,"
                                                                                                    施工的师傅们 辛苦啦 ​​​​                                            ",是,无, 2012-8-29 09:26,转发,评论,赞,微博 weibo.com,yzmQ48gIo
6,"
                                                                                                    居民朋友们 今天上午 开始更新健身器材喽 ​​​​                                            ",是,无, 2012-8-29 09:25,转发,1,赞,微博 weibo.com,yzmPC3VJU
7,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【8月22日早晨6点北京天气预报】今天白天晴，北转南风2、3级，城区及大部分地区最高气温28℃，最小相对湿度20%，夜间晴间多云，最低气温17℃，最大相对湿度70%。昼夜温差加大，应及时增减衣物。 ​​​​                                                            ", 2012-8-22 10:01,转发,评论,赞,微博 weibo.com,yyj4R9qjL
8,"
                                                                                                    //@学院路768厂社区: 需要办的居民朋友们一定记得时间及时办理哦~~                                            ",否,"
                                                                                                    区武装部通知：8月20日前，有适龄青年需要办理入学报名手续的，请通知其本人携带身份证、一寸电子版照片（50K以下），到海淀区武装部现场办理兵役证（8:30--11：30；14:00--16:30），其它大批量的发放时间不变。请适龄青年还没办理的抓紧时间办理。 ​​​​                                                            ", 2012-8-17 16:46,转发,评论,赞,微博 weibo.com,yxAAQ42q6
9,"
                                                                                                    今天 我社区举办的“暑期防火、防盗、交通安全知识讲座”很成功哦！ ​​​​                                            ",是,无, 2012-8-17 14:46,转发,评论,赞,微博 weibo.com,yxzNTkoos
10,"
                                                                                                    盛夏蚊蝇肆虐，我社区喷洒灭蚊蝇药，气味稍有刺鼻，望居民谅解哟！ ​​​​                                            ",是,无, 2012-8-17 11:05,转发,评论,赞,微博 weibo.com,yxymozPK8
11,"
                                                                                                    放晴喽 ​​​​                                            ",是,无, 2012-8-2 12:12,转发,1,赞,微博 weibo.com,yvhnX0jZI
12,"
                                                                                                    雨天出行 注意安全 ​​​​                                            ",是,无, 2012-7-31 17:01,转发,评论,赞,微博 weibo.com,yv0qv2yPy
13,"
                                                                                                    又要下雨了 ​​​​                                            ",是,无, 2012-7-11 14:51,转发,评论,赞,微博 weibo.com,yrX1r3QZR
14,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【昨夜倾盆大雨 难解今日闷热】11日7时北京气象信息：昨晚的倾盆大雨把北京折腾了个遍，乌云、闪电、暴雨，真是让人猝不及防，可是这场“透心儿凉’的大雨还是没能完全赶走几日的闷热。今天白天晴转阴，降雨云团留在了东北部，最高气温34℃，潮湿闷热，防暑防霉变。夜间多数地区还有雷雨，及早回家。 ​​​​                                                            ", 2012-7-11 08:44,转发,评论,赞,微博 weibo.com,yrUCt9GG1
15,"
                                                                                                    全面准备迎接 “六型社区”评估小组的到来 ​​​​                                            ",是,无, 2012-7-11 08:43,转发,评论,赞,微博 weibo.com,yrUCawwWy
16,"
                                                                                                    雨天出行 注意安全 ​​​​                                            ",是,无, 2012-7-9 08:59,转发,评论,赞,微博 weibo.com,yrBRz6Uy6
17,"
                                                                                                    “干净、规范、服务、安全、健康、文明”创建六型社区 ​​​​                                            ",是,无, 2012-7-5 08:47,转发,评论,赞,微博 weibo.com,yr050BrH9
18,"
                                                                                                    语言大学社区居委会召开网格化管理培训会议， ​​​​                                            ",是,无, 2012-7-5 08:45,转发,评论,赞,微博 weibo.com,yr04fCncz
19,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【傍晚到夜间还将有雷雨】5日7时北京气象信息：昨夜通州大兴朝阳昌平和部分城区出现了降雨天气。预计今天白天多云转阴，傍晚北部有雷阵雨，白天阳光不给力，湿度大，有闷热感，最高气温31℃。夜间阴有雷阵雨，最低气温22℃，雷雨天气发生时在户外不能躲避在大树下或电线杆附近，也要避免走在空旷地。 ​​​​                                                            ", 2012-7-5 08:45,转发,评论,赞,微博 weibo.com,yr03UEyau
20,"
                                                                                                     ​​​​                                            ",是,无, 2012-7-4 07:09,转发,评论,赞,微博 weibo.com,yqQ0GDtNX
21,"
                                                                                                    转发微博                                            ",否,"
                                                                                                    【雨情信息】市气象台发布4日01时至06时降水量：降水主要集中在东南部地区，平均3.0毫米，最大降水量大兴区长子营22.1毫米，西南部平均0.3毫米，城区平均0.1毫米。由于雨量分布不均，中心城区、石景山区、丰台区、门头沟区、顺义区、延庆区、密云区及平谷区未见降雨。 ​​​​                                                            ", 2012-7-4 07:07,转发,评论,赞,微博 weibo.com,yqPZUtBVb
