序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    垃圾分类从我做起，生活铸“六型”                                            ",否,"
                                                                                                    家庭生活垃圾——有害垃圾 #海淀垃圾分类# 对人体健康或自然环境产生危害的垃圾，包括废电池、废日光灯管、废水银温度计、过期药品等，这些垃圾需要特殊安全处理。@中国垃圾论坛 @固废资讯播报 @信用卡董峥 @文明海淀 ​​​​                                                            ", 2012-8-31 10:36,转发,评论,赞,微博桌面,yzG9zcoo6
2,"
                                                                                                    小小可乐不少用处，大家可以试试哦，嘿嘿                                            ",否,微博已被原作者删除, 2012-8-30 09:00,-1,1,赞,微博桌面,yzw5OFg3X
3,"
                                                                                                                                                ",否,"
                                                                                                    11岁的加拿大男孩奥斯汀福曼在自家后院捡柴时，突然遭遇一条凶猛的美洲狮袭击。生死关头，他家一条名叫“天使”的宠物犬奋不顾身地上前与来犯者搏斗，结果被对方死死咬住。就在双方扭打之际，奥斯汀得以脱身，并让家人报警。闻讯赶到的骑警击毙了美洲狮，终于将奄奄一息的“天使”解救。 ​​​​                                                            ", 2012-8-28 13:34,转发,评论,2,微博桌面,yzf2qcMFo
4,"
                                                                                                    学院路北科大社区~科技不断进步的今天，违法违规等不法份子，也在利用使用一些科技手段从事违法违规活动，微博同仁们要时刻警惕！共促和谐社会，共建“六型”社区。加油加油！！！[爱心传递] ​​​​                                            ",是,无, 2012-8-28 10:04,转发,评论,赞,iPhone客户端,yzdF7bLLP
5,"
                                                                                                    小事不容忽视珍爱身边点滴！                                            ",否,"
                                                                                                    #北京提醒#罐装碳酸饮料不要放冰箱冷冻室】近日，嘉定一男孩从冰箱拿出一听百事可乐，在开启瞬间发生爆炸。因气体喷发力度关系，瓶口的盖子直接划到孩子脸上，伤口很深直接穿透脸腮。万幸没划到眼睛。最后在第九人民医院外缝31针内缝7针。〔嘉定都市网〕PS:以后不要把碳酸饮料放冷冻室了，太危险！ ​​​​                                                            ", 2012-8-28 09:55,转发,评论,赞,iPhone客户端,yzdBivmX5
6,"
                                                                                                    现在居民的卡越来越多了，大家要分类整理好以免消磁，耽误大家使用。                                            ",否,"
                                                                                                    【身份证不能长期与手机放在一起】有市民反映第二代身份证在办理业务时读不了信息,结果发现原来是因为他经常把证件与手机放在一起引致的。第二代身份证采用了内置IC芯片技术,不能长期与手机、电视机等有磁性物放一起，否则会使芯片出现故障，从而影响读取数据导致不能使用。@平安奉化铁路   ​​​​                                                            ", 2012-8-27 16:47,转发,评论,赞,微博桌面,yz6S1hQD3
7,"
                                                                                                    天气有变化，注意亲们的身体哦。                                            ",否,"
                                                                                                    空气质量预报 ​​​​                                                            ", 2012-8-27 16:34,转发,评论,赞,微博桌面,yz6MDnzd5
8,"
                                                                                                    以前在林大东门有棵大树，出产的“老根”可是我童年的无敌法宝，                                            ",否,微博已被原作者删除, 2012-8-24 16:59,-1,评论,赞,微博桌面,yyEFgaX6f
9,"
                                                                                                                                                ",否,"
                                                                                                    【特别提醒】最近发现经常有居民咨询，有关接到一通关于“自称是自来水公司，免费为老年人提供自来水过滤器”的电话，我们特在此声明并提醒大家，社区没有接到相关通知，对类似电话内容不要轻信，以防上当受骗！！ ​​​​                                                            ", 2012-8-23 15:02,1,评论,赞,微博桌面,yyutvux6S
10,"
                                                                                                    传统“情人节”亲 你怎么过呐！！！                                            ",否,"
                                                                                                    【七夕节天气提示】今天你安排了什么活动？先看天气怎么样吧！今天全国雨水不多，北方大部晴到多云，你和TA可以放心去约会啦，晚上出门不妨带一件外套。西藏东南部、川西高原南部、云南西部和南部、广东西南部、海南、上海、浙江东部沿海、福建东北部沿海、台湾等地有中到大雨，还是尽量安排在室内吧！ ​​​​                                                            ", 2012-8-23 13:06,转发,评论,赞,微博桌面,yytIg0Ofo
